pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,9.9341925990159e-06,0.000317894163168509,0.593325476396405,0.843957881648301,1.80442112037997,15,RPL26|RPS29|RPS13|RPS15A|RPL39|RPL12|RPL36A|RPS3A|RPL18A|RPS16|RPS10|RPLP1|RPL28
HALLMARK_ADIPOGENESIS,0.0023997600239976,0.0383961603839616,0.297232921999731,0.802010081261756,1.64980466456517,10,UQCRQ|STAT5A|APOE
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.0883911608839116,0.754324567543246,0.046343236109192,0.585435598958909,1.27711481774985,19,IQGAP1|SCIN|PFN2|SSH2|ITGAX|IQGAP2|FGF20|TMSB4X|PDGFB|FGF2
HALLMARK_ALLOGRAFT_REJECTION,0.0942905709429057,0.754324567543246,0.0447238454595963,0.588539546955166,1.27800337066769,18,RPL39|RPS3A|GBP2|RPS19|GPR65|FGR|TLR2|NLRP3|HCLS1
HALLMARK_APOPTOSIS,0.194280571942806,0.983601639836017,0.0293830445605139,0.567301333621586,1.20524177205546,14,DPYD|HMOX1|PLAT|TSPO|RELA|HMGB2
KEGG_MAPK_SIGNALING_PATHWAY,0.235476452354765,0.983601639836017,0.0259974934286787,0.520194073105901,1.1488209144342,22,CACNB4|RELA|FGF20|PDGFB|FGF2|DUSP10|DUSP1|FGF14|DUSP6|RASA2|CACNA1C|MAP3K8|HSPB1
KEGG_PATHWAYS_IN_CANCER,0.254374562543746,0.983601639836017,0.0247018726696714,0.511220903990458,1.13345069056992,23,CYCS|STAT5A|ZBTB16|WNT5B|RELA|FGF20|PDGFB|FGF2|HSP90B1|FGF14|HSP90AA1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.417058294170583,0.983601639836017,0.0170570489120776,0.497448541985712,1.05683827397661,14,SPP1|PPIB|PFN2|PMEPA1|FGF2|TNFAIP3|CXCL12|CALD1|VEGFA|TGFBI|WNT5A
HALLMARK_COAGULATION,0.426757324267573,0.983601639836017,0.0167212171262563,0.497843324164887,1.05101186271078,13,APOC1|PLAT|OLR1|PDGFB|A2M|DUSP6|LGMN|APOC2
HALLMARK_P53_PATHWAY,0.445555444455554,0.983601639836017,0.0160940828101506,0.466618985961206,1.03050318690421,22,ALOX15B|HMOX1|ZBTB16|ST14|PTPN14|BTG1|CTSD|IER5
