pathway,pval,padj,log2err,ES,NES,size,leadingEdge
midbrain_DEG_BHQ1_positiveL2FC,1.57351250588193e-22,3.61907876352845e-21,1.22950405660873,0.658381200619109,1.66537958333094,230,NEAT1|RPS19|OAZ1|COX4I1|CHCHD10|RPL34|CD81|NDUFA4|PRDX5|RPL9|CHCHD2|HTRA1|RGS10|RPS29|UQCRH|COX5B|PSMB1|CYCS|RPS28|TOMM7|RPS5|MIF|RPL7A|ATP5MJ|APOE|COPS9|UBL5|CFL1|RPS21|RPL10|TAGLN3|ATP5IF1|TOMM6|COX6C|RPS13|RPS3|CST3|ATP5MK|SMIM29|NDUFB2|RPL30|RPL26|ATP5PF|COX6A1|RPS15|RPL13|RPL39|HINT1|ATP5MF|RPL38|UQCR10|RPL36A|NDUFAB1|COX8A|MDH1|TIMM8B|TMEM59|COX7A2|H2AZ1|UBA52|RPL14|RPS23|TPT1|NDUFB5|RPL37|NEFL|NDUFA1|SPCS1|UQCRFS1|UQCRB|SOD1|ELOB|RPL17|PRDX1|COX7C|WBP2|SSR4|THY1|SMDT1|COX7B|RPL32|SAP18|B2M|RPS26|EID2|CAPZB|DBNDD2|CPLX1|PRR13|NDUFB4|RPS17|BEND6|RPL4|RPS25|GSTP1|FKBP8|LYSMD2|PSMA2|MT2A|NDUFA8|MPC2|RPL22|DBI|MBP|NDUFC1|ATP5MC3|RPL11|RPS27|GOT1|MPP1|SLC25A5|RPLP2|SLC25A3|TMBIM1|RPL22L1|SGCE|CERS2|RPL13A|ATP5PO|ATP5PD|RPS11|GNG5|NDUFB11|DYNC1I1|PPA2|SEM1|ATP5ME|RPS20|ARPC1A|CDK2AP1|HIGD2A|ALDOC|ATF4|NME1|MRPL43|CHURC1|AMD1
midbrain_DEG_BHQ1,4.68554763234768e-16,5.38837977719983e-15,1.02766987054358,0.540613612990228,1.39046309650105,529,NEAT1|RPS19|OAZ1|NUFIP2|COX4I1|CHCHD10|RIMS2|RPL34|CD81|NDUFA4|IGF2R|PRDX5|RPL9|CHCHD2|HTRA1|RGS10|DYM|RPS29|UQCRH|COX5B|CLTC|PSMB1|CYCS|RPS28|TOMM7|RPS5|MIF|RPL7A|ATP5MJ|APOE|COPS9|UBL5|CFL1|RPS21|RPL10|TAGLN3|LINGO2|ATP5IF1|TENM2|LUC7L2|TOMM6|COX6C|RPS13|SYNE1|RPS3|CST3|ANKS1B|GABRG3|NKTR|KCNQ3|ATP5MK|SMIM29|NDUFB2|RPL30|RPL26|VCL|GABRB1|ATP5PF|COX6A1|ADGRB3|RPS15|RPL13|RPL39|HINT1|ATP5MF|RPL38|RORA|UQCR10|NNAT|RPL36A|NDUFAB1|COX8A|MDH1|TIMM8B|TMEM59|ENC1|ZNF490|UNC79|COX7A2|H2AZ1|UBA52|RPL14|MEF2A|RPS23|TPT1|NDUFB5|RPL37|FRMPD4|NEFL|BPTF|NDUFA1|RGS4|TIAM1|RAPGEF6|SPCS1|UQCRFS1|UQCRB|ATP1A1|CACNA2D3|SOD1|ELOB|RPL17|PRDX1|TAOK3|COX7C|WBP2|DPP10|SSR4|THY1|ADGRL3|SMDT1|COX7B|RPL32|SAP18|B2M|RPS26|ARHGAP32|PPM1E|EID2|PROX1|GRIN2B|CAPZB|KALRN|KCNMA1|DBNDD2|CPLX1|BBX|PJA2|PRR13|NDUFB4|RPS17|BEND6|NR1D2|RPL4|PHACTR2|RPS25|PCNT|GSTP1|NEDD4L|FKBP8|AKAP6|LYSMD2|TMEM178B|RIMS1|PSMA2|MT2A|DNAJC13|NDUFA8|MPC2|RPL22|ZNF638|DBI|MBP|NDUFC1|ATP5MC3|RPL11|RPS27|RAPGEF2|GOT1|CELF2|MPP1|SLC25A5|RPLP2|ZNF804A|FCHO2|SORBS2|SLC25A3|TMBIM1|HIF1A|RPL22L1|PDE10A|NCOA1|SGCE|PTPRN2|YWHAZ|CERS2|EML6|RPL13A|ATP5PO|SCN3B|ATP5PD|BTBD8|RPS11|GNG5|SLC23A2|NDUFB11|DYNC1I1|ZNF365|PPA2|SEM1|CACNA1E|ATP5ME|NCAM2|TLK1|RPS20|ARPC1A|NALCN|CDK2AP1|HIGD2A|ALDOC|ATF4|NME1|SIK2|MRPL43|HERC1|CHURC1|AMD1|KCNK1|ZNF483|SHANK2|NEXMIF|TNRC6B|PDS5B|MEA1|GAD1|FAM107A|INA|TENM3|FBXL5|NDUFB3
midbrain_DEG_BHQ05,1.99522764011046e-13,1.52967452408468e-12,0.943632225232838,0.569925180507634,1.45092619728453,302,RPS19|OAZ1|NUFIP2|CHCHD10|RIMS2|RPL34|CD81|NDUFA4|IGF2R|RPL9|CHCHD2|HTRA1|RGS10|RPS29|UQCRH|COX5B|CYCS|RPS28|TOMM7|MIF|RPL7A|ATP5MJ|APOE|COPS9|UBL5|RPS21|RPL10|TAGLN3|LINGO2|COX6C|RPS3|CST3|ANKS1B|GABRG3|SMIM29|NDUFB2|RPL30|RPL26|VCL|GABRB1|ATP5PF|COX6A1|RPS15|RPL13|HINT1|ATP5MF|UQCR10|NNAT|RPL36A|COX8A|MDH1|TIMM8B|TMEM59|COX7A2|H2AZ1|MEF2A|RPS23|NDUFB5|RPL37|NDUFA1|RGS4|TIAM1|UQCRFS1|ATP1A1|CACNA2D3|ELOB|RPL17|COX7C|WBP2|ADGRL3|SMDT1|COX7B|SAP18|B2M|RPS26|ARHGAP32|PPM1E|GRIN2B|KALRN|KCNMA1|DBNDD2|PJA2|NDUFB4|RPS17|NR1D2|RPL4|PHACTR2|RPS25|PCNT|NEDD4L|FKBP8|PSMA2|MT2A|DNAJC13|RPL22|ZNF638|DBI|NDUFC1|ATP5MC3|RAPGEF2|SLC25A5|RPLP2|ZNF804A|SLC25A3|TMBIM1|RPL22L1|SGCE|YWHAZ|RPL13A|SCN3B|ATP5PD|BTBD8|GNG5|SLC23A2|NDUFB11|ZNF365|CACNA1E|ATP5ME|TLK1|RPS20|NALCN|CDK2AP1|HIGD2A|ALDOC|MRPL43|AMD1|KCNK1|ZNF483|SHANK2|NEXMIF|PDS5B|MEA1|GAD1|FAM107A|INA|TENM3|NDUFB3
sleep_UP_wake_UP,0.0055994400559944,0.0321967803219678,0.193113963346815,0.50651354660739,1.25129612862403,111,MED12L|PIGL|PER3|TMTC2|SYNDIG1|RPL7A|GPX4|PMEPA1|ZBTB25|SMIM3|RIC8A|TUBA1A|SRSF2|ZFAND5|THY1|STRADA|IGF1R|FKBP5|ARHGDIG|SIRT7|ZBTB16|IQGAP1|DIPK1A|SH3BGRL3|ST6GALNAC3|SORBS2|DCXR|GPCPD1|TUBA4A|TNFRSF10B|MAT2B|RPL6|TUBB|ABHD16A|BLNK|CHID1|CDKN1A|SULT1A1|TRAK1|FCGRT|CCND3|ABHD18|MLYCD
sleep_No_Change_wake_No Change,0.0242975702429757,0.111768823117688,0.0915140765993025,0.448151760931434,1.13669709817859,257,RPS19|OAZ1|ARPC4|CD81|SKP1|LSM7|RAB40B|ATP5IF1|SRSF3|FAU|STMN1|UQCR11|OAZ2|HSBP1|CTSZ|SRSF5|UQCR10|RPS7|RASA2|PFDN5|FAR1|MBOAT7|PHACTR1|RPLP0|RPL35|MS4A6A|DYNLT3|GADD45GIP1|NGRN|PDZRN4|SSR4|PPP2R2B|CAPZB|KALRN|RPS18|ITM2C|BUB3|FUS|CCDC97|RPL4|PDE4B|PNPLA6|MICOS13|PPP1CA|XRN2|FGFR1OP2|UXT|AXL|CEND1|RPL11|GOT1|THUMPD1|ACSL1|OSTC|NDUFA7|REX1BD|SOD2|VEZF1|COPS4|SYT11|TMEM181|LSM4|TOP1|ATOX1|ACTR2|CIPC|COMMD3|TIPRL|TCP1|ERO1B|RAC1|EIF4EBP2|IER5L|ARPC1A|HIGD2A|VPS41|C12orf57|TRAPPC1|SETDB1|HERPUD1|SEC62|NDUFB7|MEA1|IDH3B|SBDS|HCFC1R1|MAST4|METTL9|CERS6|LGI3|CRYM|PPDPF|CHMP1A|GLRX2|LPAR6|S100A1|TOM1L1|ASB8|BTF3|ACIN1|CSRP1|C1orf43|ZNF131|CDK16|KCNAB2|EIF3H|AARS1|RTN4|C1GALT1|PSMD2|PHYHIP|NDUFA6|BAG1|CCDC85A|PPP2R2D
sleep_DOWN_wake_UP,0.15968403159684,0.525990258117045,0.033099561009158,0.473171302108271,1.13140795414955,57,NRXN3|CALR|PHF21A|LRRTM4|SCG2|SLC36A1|FOXP1|HSP90B1|PCSK1|INTS12|LRRC8C|SIK2|CBLN2|CDKN1A|ZMYND8|PSME4|ALDH18A1|UBA6|TMEM33|TRIB1|SGSM1|PPM1H|IQGAP2
Up_SD_4OR7,0.16008399160084,0.525990258117045,0.0330503054273023,0.420370594454479,1.06737256977579,272,AGBL3|SLC38A2|NAV2|PLXDC1|HTRA1|NRXN3|USP15|CALR|PHF21A|LRRTM4|NKTR|HINT1|NEDD8|RORA|GPC6|MMP24|ENC1|TAFA1|TBC1D4|SCG2|GRIA1|SLC36A1|APLP2|FOXP1|DLG2|EFNA5|HSP90B1|NPTN|ADGRL3|STT3B|KCNMA1|BBX|IGF1R|MEG8|PDE4B|PCSK1|INTS12|CPM|CDC73|ZBTB16|DDHD2|GRID1|NRDC|CZIB|AGFG1|TSC22D1|PVT1|FNDC3A|RRM2B|SIPA1L1|GPHN|PDIA3|LRRC8C|EEF1D|MAFG|SAP30|ASH2L|SOCS6|PTPRK|MEF2C|SIK2|IL10RA|CBLN2|CDKN1A|AGO2|BHLHE40|PTPN9|SORL1|ZMYND8|PSME4|LIPG|LPP|WWOX|LCORL|ALDH18A1|SLC1A2|UBA6|NDUFAF4|TMEM33|TRIB1|SGSM1|DMTN|MTHFD2|PPM1H|IQGAP2|ARID5A|LYVE1|RCSD1|PTPN1|HELZ|MRPL51|NDST3|DDX19B
sleep_No_Change_wake_UP,0.258074192580742,0.741963303669633,0.0244632244059292,0.414644232515521,1.04775744533936,221,AGBL3|SLC38A2|NAV2|PLXDC1|HTRA1|USP15|CALR|NKTR|HINT1|NEDD8|RORA|GPC6|MMP24|ENC1|TAFA1|TBC1D4|GRIA1|APLP2|DLG2|EFNA5|NPTN|ADGRL3|STT3B|KCNMA1|BBX|IGF1R|MEG8|PDE4B|CPM|CDC73|ZBTB16|DDHD2|GRID1|NRDC|CZIB|AGFG1|TSC22D1|PVT1|FNDC3A|RRM2B|SIPA1L1|GPHN|PDIA3|EEF1D|MAFG|SAP30|ASH2L|SOCS6|PTPRK|MEF2C|IL10RA|AGO2|BHLHE40|PTPN9|SORL1|LIPG|LPP|WWOX|LCORL|ALDH18A1|SLC1A2|UBA6|NDUFAF4|DMTN|MTHFD2|ARID5A|LYVE1|RCSD1|PTPN1|HELZ|MRPL51|NDST3|DDX19B
midbrain_DEG_BHQ1_negativeL2FC,0.294770522947705,0.753302447533025,0.0223163782591721,0.407010279397455,1.03591431557686,299,NUFIP2|RIMS2|IGF2R|DYM|CLTC|LINGO2|TENM2|LUC7L2|SYNE1|ANKS1B|GABRG3|NKTR|KCNQ3|VCL|GABRB1|ADGRB3|RORA|NNAT|ENC1|ZNF490|UNC79|MEF2A|FRMPD4|BPTF|RGS4|TIAM1|RAPGEF6|ATP1A1|CACNA2D3|TAOK3|DPP10|ADGRL3|ARHGAP32|PPM1E|PROX1|GRIN2B|KALRN|KCNMA1|BBX|PJA2|NR1D2|PHACTR2|PCNT|NEDD4L|AKAP6|TMEM178B|RIMS1|DNAJC13|ZNF638|RAPGEF2|CELF2|ZNF804A|FCHO2|SORBS2|HIF1A|PDE10A|NCOA1|PTPRN2|YWHAZ|EML6|SCN3B|BTBD8|SLC23A2|ZNF365|CACNA1E|NCAM2|TLK1|NALCN|SIK2|HERC1|ZNF483|SHANK2|NEXMIF|TNRC6B|PDS5B|FAM107A|TENM3|FBXL5|GTF2A1|SLC4A10|HSPA12A|DST|ITPR1|DCP2|ZFC3H1|CRIM1|ANKIB1|DOCK3|CTNNB1|MEGF9|ARCN1|NFAT5|ATP6V1A|PANK3|HELZ|MAP2|MED13|MAP1B|NSD3|SLF2|GOLGB1|SYNJ1|SLC1A3|FBXL16|CLASP2|GOLGA4|PRR36|C14orf132|PRICKLE2|AKT3|DICER1|GABRA4|MYT1L|ASTN1|TMF1|PRRC2C|NEDD4|OTUD4|CEP350
cortex_DEG_BHQ1,0.46045395460454,0.898443488984435,0.0156173884385277,0.464618790997761,1.02341266079902,18,PER3|NR1D2|NFIL3|PDE5A
