GENE_SYMBOLS,refseq_ids
RPL11,NM_000975
PMVK,NM_001323011
MRPL24,NM_024540
SNRPE,NM_001304464
CAPN2,NM_001146068
RPS7,NM_001011
PDIA6,NM_001282704
CCDC138,NM_001303105
DBI,NM_001079862
GALNT13,NM_001301627
PTMA,NM_001099285
RPSA,NM_001304288
RPL14,NM_001034996
CLSTN2,NM_022131
RPL22L1,NM_001099645
NCBP2,NM_001042540
ACOX3,NM_001101667
RPL9,NM_000661
RPL34,NM_000995
OSTC,NM_001267817
SNHG8,NR_003584
RPS3A,NM_001006
HCN1,NM_021072
UQCRQ,NM_014402
RPS14,NM_001025070
RPP21,NM_001199120
ABHD16A,NM_001177515
RPS18,NM_022551
RPS10,NM_001014
RPL10A,NM_007104
TRERF1,NM_001297573
GRIK2,NM_001166247
RPS12,NM_001016
FMC1,NM_197964
RPL7,NM_000971
RIMS2,NM_001100117
GALT,NM_000155
RPL12,NM_000976
FAM171A1,NM_001010924
SORCS3,NM_014978
ATRNL1,NM_001276282
RIC8A,NM_001286134
IFITM3,NM_021034
CHID1,NM_001142674
RPS13,NM_001017
SELENOH,NM_001321335
FAU,NM_001997
CDK2AP2,NM_001271849
RPS3,NM_001005
TIMM8B,NM_012459
SRPRA,NM_001177842
RPL41,NM_001035267
RPL21,NM_000982
MRPL52,NM_001318870
NOP10,NM_018648
RPS27L,NM_015920
PPIB,NM_000942
RPLP1,NM_001003
RPS2,NM_002952
RPS15A,NM_001019
E2F4,NM_001950
RPL26,NM_000987
SNHG29,NM_152350
NME1,NM_000269
RPL38,NM_000999
NT5C,NM_001252377
NOL4,NM_001198546
IER3IP1,NM_016097
RPL17,NM_000985
SEC11C,NM_001307941
RPS15,NM_001018
MYDGF,NM_019107
RPS28,NM_001031
RPL18A,NM_000980
RPS16,NM_001020
RPS19,NM_001022
RPL18,NM_000979
LIN7B,NM_001308419
ATP5F1E,NM_006886
ATP5PF,NM_001003696
PCNT,NM_001315529
TMEM121B,NM_001163079
ZNF630,NM_001037735
KANTR,NM_001397448
TSR2,NM_001346789
RPL36A,NM_001199972
MIR503HG,NM_032762
RTL8A,NM_001078172
RPL10,NM_001256577
