"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"THAP11","THAP11","MA1573.1","2.68903",0.00356437,0.741259,0.713794,0.0714575,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"ETV4","ETV4","MA0764.2","2.57135",0.00504618,0.912639,0.883767,0.0690796,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"Plagl1","Plagl1","MA1615.1","2.3018",0.0106464,0.851047,0.825969,0.0605568,31,"False",0.99906226481715,0.0605394067574162,0.102569188390993,NA,NA,NA,0.966415935544325,0.944561450135528
"ETV1","ETV1","MA0761.2","2.20041",0.0138388,0.834149,0.813569,0.06534,31,"False",0.99906226481715,0.437963485637482,0.17049496240091,NA,NA,NA,0.975583930969828,0.999846643018902
"GABPA","GABPA","MA0062.3","2.11736",0.0170632,0.825907,0.806282,0.0608993,31,"False",0.99906226481715,0.904409386968571,0.169341676555343,NA,NA,NA,0.664901170173695,0.529070409561627
"Tcf12","Tcf12","MA0521.1","2.11034",0.0173695,0.884117,0.863658,0.059203,31,"False",0.99906226481715,0.493644922160601,0.939866226015439,NA,NA,NA,0.998829719872075,0.999846643018902
"RUNX1","RUNX1","MA0002.2","1.98344",0.0236095,0.867827,0.852338,0.045351,31,"False",0.99906226481715,3.30743147721164e-05,0.00041127914736339,0.68968369971314,0.697324601934655,0.202646800862411,0.922003183420758,0.896316272610972
"FERD3L","FERD3L","MA1485.1","1.96114",0.0248579,0.786521,0.770135,0.0582257,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"E2F8","E2F8","MA0865.1","1.9343",0.0264758,0.749094,0.732586,0.0537339,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"NFATC2","NFATC2","MA0152.1","1.85006",0.0320791,0.921245,0.903213,0.0627825,31,"False",0.99906226481715,0.0231732378916371,0.00252716656148963,0.567897000401664,0.575708497625846,0.584418963587536,0.998695714004685,0.999846643018902
"ZFP57","ZFP57","MA1583.1","1.83781",0.0329772,0.840489,0.822293,0.0607544,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"MYF5","MYF5","MA1641.1","1.80093",0.0358006,0.837035,0.818577,0.0558562,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"TFAP2C","TFAP2C","MA0815.1","1.79491",0.0362748,0.82897,0.809526,0.060131,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","1.78872",0.036767,0.834631,0.816155,0.05907,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"Ptf1a","Ptf1a","MA1619.1","1.7647",0.0387513,0.84597,0.827653,0.0551305,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0872.1","1.75699",0.0393991,0.823785,0.804318,0.0607337,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"ELF1","ELF1","MA0473.3","1.74841",0.0401043,0.823596,0.80716,0.0638972,31,"False",0.99906226481715,0.00426402774503925,0.51844965562584,NA,NA,NA,0.510014042875917,0.296384474887083
"BCL6B","BCL6B","MA0731.1","1.73657",0.0411656,0.681599,0.667536,0.0460239,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
"ATOH1","ATOH1","MA1467.1","1.72828",0.0419016,0.844928,0.83003,0.0490841,31,"False",0.99906226481715,NA,NA,NA,NA,NA,NA,NA
