"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"ZBTB33","ZBTB33","MA0527.1","4.68118",1.39828e-06,0.815697,0.772676,0.0743272,35,"False",0.00099923709,NA,NA,NA,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","4.56089",2.51697e-06,0.851685,0.805366,0.0648536,35,"False",0.00099923709,0.0905776019044341,0.790302571056558,0.493315068593753,NA,-1.0001564542847,0.750875404508989,0.717729026142046
"ERF","ERF","MA0760.1","4.21958",1.20919e-05,0.867105,0.83128,0.0589486,35,"False",0.00224119733333333,0.621160469584031,0.127645804327305,NA,NA,NA,0.943145084219716,0.953918211102615
"ELK3","ELK3","MA0759.1","4.19517",1.34811e-05,0.866605,0.827514,0.0629342,35,"False",0.00224119733333333,0.0801548497763039,0.00608493566116945,0.674036747920581,0.680238853172645,0.598973974707928,0.942557800919317,0.999846643018902
"ELK4","ELK4","MA0076.2","4.17803",1.45579e-05,0.891785,0.852902,0.0591148,35,"False",0.00224119733333333,0.0328108378777022,0.101682912187929,NA,NA,NA,0.992256539252077,0.999846643018902
"ZBTB7A","ZBTB7A","MA0750.2","4.14382",1.6936e-05,0.870609,0.829929,0.0577038,35,"False",0.00224119733333333,0.195768766844911,0.319399080183768,NA,NA,NA,0.940466051400669,0.999846643018902
"FLI1","FLI1","MA0475.2","3.93176",4.17074e-05,0.864834,0.82927,0.0640196,35,"False",0.004338842775,0.0505140732299938,0.212939840808429,NA,NA,NA,0.962440509118781,0.999061981599116
"FEV","FEV","MA0156.2","3.92051",4.37163e-05,0.875306,0.840666,0.0618395,35,"False",0.004338842775,NA,NA,NA,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","3.83903",6.11477e-05,0.879685,0.846278,0.0603228,35,"False",0.005332107,0.835007615509045,0.929974737321853,NA,NA,NA,0.920056480349065,0.999846643018902
"ERG","ERG","MA0474.2","3.81598",6.7155e-05,0.881242,0.84857,0.0593809,35,"False",0.005332107,NA,NA,NA,NA,NA,NA,NA
"GLIS3","GLIS3","MA0737.1","3.56936",0.000177903,0.76741,0.742723,0.0387864,35,"False",0.012841362,0.937679116922942,0.956131734818169,NA,NA,NA,0.781452320945723,0.76696712394121
"IRF6","IRF6","MA1509.1","3.44502",0.000282688,0.820578,0.792275,0.0630234,35,"False",0.0178909684705882,NA,NA,NA,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","3.40015",0.000333974,0.878229,0.848397,0.0620917,35,"False",0.0178909684705882,0.409428352266666,0.356123836082475,NA,NA,NA,0.803851140962504,0.602129928715239
"NRF1","NRF1","MA0506.1","3.3746",0.000367807,0.884538,0.844252,0.0651817,35,"False",0.0178909684705882,0.0388426619678388,0.258228645761331,NA,NA,NA,0.891903599657696,0.950939635845586
"GLIS1","GLIS1","MA0735.1","3.37037",0.000373333,0.726931,0.701599,0.0429799,35,"False",0.0178909684705882,NA,NA,NA,NA,NA,NA,NA
"ETV3","ETV3","MA0763.1","3.3643",0.000380791,0.863266,0.835857,0.0557132,35,"False",0.0178909684705882,NA,NA,NA,NA,NA,NA,NA
"GLIS2","GLIS2","MA0736.1","3.36351",0.000383056,0.81423,0.7882,0.0405427,35,"False",0.0178909684705882,NA,NA,NA,NA,NA,NA,NA
"ETV5","ETV5","MA0765.2","3.21308",0.000651933,0.883003,0.853063,0.0645472,35,"False",0.028757489,0.000452455741730472,0.0046921440081734,0.976822319170784,0.977511602026253,0.0766767432916249,0.884998209268041,0.999846643018902
"Znf423","Znf423","MA0116.1","3.14377",0.000829834,0.849249,0.826226,0.0428145,35,"False",0.0346783261052632,NA,NA,NA,NA,NA,NA,NA
"CTCF","CTCF","MA0139.1","3.04541",0.00115322,0.801861,0.779428,0.0547317,35,"False",0.0444243,0.00544905837282436,0.204884212524906,NA,NA,NA,0.859706388701827,0.999846643018902
"ZBTB7B","ZBTB7B","MA0694.1","3.04115",0.00117495,0.820725,0.796231,0.0370964,35,"False",0.0444243,0.0292150980199121,0.0481665826720912,0.711687625958383,0.719541572640086,-0.00385773015190105,0.912044768359968,0.999846643018902
"EGR3","EGR3","MA0732.1","2.96626",0.00150316,0.812143,0.780667,0.048185,35,"False",0.0542504109090909,NA,NA,NA,NA,NA,NA,NA
"GLI2","GLI2","MA0734.2","2.84847",0.00218484,0.786431,0.764694,0.0509643,35,"False",0.0754244765217391,NA,NA,NA,NA,NA,NA,NA
"ZBTB7C","ZBTB7C","MA0695.1","2.79065",0.00262261,0.84306,0.822194,0.0370479,35,"False",0.0816607096551724,NA,NA,NA,NA,NA,NA,NA
"TFAP2A","TFAP2A","MA0872.1","2.78656",0.00265722,0.833371,0.804318,0.0468682,35,"False",0.0816607096551724,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","2.78121",0.00270082,0.803928,0.780201,0.0402425,35,"False",0.0816607096551724,NA,NA,NA,NA,NA,NA,NA
"GLI3","GLI3","MA1491.1","2.77044",0.00278654,0.803477,0.782675,0.0470908,35,"False",0.0816607096551724,NA,NA,NA,NA,NA,NA,NA
"TFAP2E","TFAP2E","MA1569.1","2.74926",0.00298067,0.905817,0.876258,0.0440241,35,"False",0.0816607096551724,NA,NA,NA,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","2.74805",0.00298257,0.814325,0.790052,0.0591719,35,"False",0.0816607096551724,0.00372224057152594,0.000191453601748905,0.845094091816569,0.852577843897278,0.18085131900872,0.940466051400669,0.999846643018902
"ZNF460","ZNF460","MA1596.1","2.73473",0.00310924,0.811221,0.777914,0.072835,35,"False",0.0822912186666667,NA,NA,NA,NA,NA,NA,NA
"ETV2","ETV2","MA0762.1","2.63869",0.00413619,0.827311,0.805106,0.0645031,35,"False",0.102664426857143,NA,NA,NA,NA,NA,NA,NA
"TFAP2B","TFAP2B","MA0813.1","2.63611",0.00418304,0.841777,0.816155,0.0463267,35,"False",0.102664426857143,NA,NA,NA,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","2.61895",0.00439003,0.864143,0.839285,0.0634145,35,"False",0.102664426857143,0.835430946976149,0.336234784462894,NA,NA,NA,0.947208501551059,0.989814950681537
