"Gene_Symbols","p_cogdx","p_ceradsc","p_braak","acrophase_cog1","acrophase_cog2","acrophase_cog4","acrophase_cog5","acrophase_cerad1to2","acrophase_cerad3to5","acrophase_braak0to3","acrophase_braak3to5","acrophase_braak5to7","amplitude_cog1","amplitude_cog2","amplitude_cog4","amplitude_cog5","amplitude_cerad1to2","BHQ_cogdx","Bonf_cogdx","BHQ_cerad","Bonf_cerad","BHQ_braak","Bonf_braak"
"SAMD11","0.70447316260126","0.614111405373969","0.243652886426974","1.67647183040708","0.654726628191771","1.67669380902363","1.06323534737297","2.80980649992949","1.156194636559","1.64916301911329","0.191180899573016","0.0700911774357077","0.187227827033256","0.0697376142997567","0.032645041274364","0.0821251695234109","0.297686131102243",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"KLHL17","0.779801369875061","0.164914227719106","0.488862847535005","1.66654509195105","1.93999425201936","1.71190393366865","0.664233489021707","2.42742738105773","1.51249810869859","1.69028824716588","1.413665580497","1.15514075186781","1.57911752499182","0.50394724646102","1.99469590390757","1.02380816676174","1.76124343796137",0.974649268653617,1,0.999963831301336,1,0.999904061893522,1
"HES4","0.201126271065945","0.642410300919923","0.972976164358372","4.29817708537362","3.43570387922874","4.31525449875189","4.21780954334651","3.53179406577297","4.25130067908737","4.29536557821061","5.08060885856097","2.68264253927039","5.02773748638279","3.56596429481029","4.05691829965018","4.72020105038786","4.68073529231252",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ISG15","0.925497094180367","0.797596985321071","0.970547367328505","3.05056155208235","2.70252601139381","3.10231135603138","2.86594652095306","4.01275048309664","3.01977822795054","2.88814240020493","0.668578285185876","0.799485465749246","0.616548585164817","1.02808075726829","0.624482949048467","0.731111125453357","0.525472773522816",0.987003339449944,1,0.999963831301336,1,0.999904061893522,1
"B3GALT6","0.318375648709594","0.920027904522069","0.564265592521458","3.23168875827556","3.54476160065234","3.24101893633656","3.21489205270645","3.25421823602951","3.15141827923277","3.3618396028804","1.61651628884259","0.945370036723193","1.56527063220602","1.41355547103337","1.35747619701793","1.42454468142979","1.77664175181374",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"CPTP","0.422834728721757","0.666258840382804","0.906923789774272","2.73932445700417","2.74933242283262","2.72602550689034","2.87184010392036","2.92868488274809","2.6780405164755","2.8344946176688","1.85403514547494","0.921304694420901","1.80885763372436","1.31376710099326","1.23295185378489","1.65748891675547","1.8496492230888",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"TAS1R3","0.231372474359731","0.354503185612331","0.405403947603322","1.78600234492103","2.63357790115885","1.84459711592107","2.45428615782229","2.33683839411169","1.52965557088951","1.9583412514634","0.0667635533930405","0.0662490118360417","0.0683869240072517","0.0289038275606855","0.0834961215618545","0.0334874251612612","0.0841444401909764",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"AURKAIP1","0.199506122228194","0.717071744818013","0.366482038975711","2.91950627593077","2.32486185441346","2.93557865323842","2.6687525669984","4.01321273475221","2.69107373150357","3.04453856151298","4.71317401528333","3.54614207239047","4.3784190612091","4.66326179629133","3.66304145148561","3.94512690778109","5.14591449250395",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"MRPL20-AS1","0.163745440161664","0.597296155435386","0.976379440143351","3.77377210675982","4.68495729426701","3.77373987035509","4.18414368233342","3.77708371542994","3.79184865177533","3.91524490382727","0.619366439001963","0.619220738556417","0.589334237650616","0.587271918490314","0.482559361983747","0.611659358617032","0.577689170624908",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ANKRD65","0.108008822031985","0.975484156967273","0.967593242451479","2.93345926024566","1.79202299329777","2.92805763997355","2.85447296134597","2.85812776136161","2.80534992715459","2.95043827247948","1.845716746757","0.432749345587564","1.64975056129635","1.55386247263597","1.44933525472647","1.86882212756626","1.47320047627171",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"ATAD3C","0.681977318974587","0.732394108299048","0.991672843850239","1.07077592819384","1.78510413382747","1.07884037617481","0.915758335647893","0.285527373891682","0.964460645229641","1.14981168445415","0.577183061021712","0.787674913301193","0.476844695328281","0.741209681605496","0.593736993679692","0.560995808253411","0.517170481401549",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"SSU72","0.283182296666817","0.777508045157871","0.335876351473432","2.7678898130011","2.57243353081448","2.7704272211565","2.71462260416249","3.00247576140472","2.66401004916297","2.86856990046091","12.4144270924983","7.83125598453299","12.0083180761381","9.89759820763451","8.01313614917921","10.5711696471323","13.8267046696998",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"FNDC10","0.752397590640401","0.73094266465732","0.624449666600492","3.05696093461389","3.62358281786311","3.07509746178524","3.30556263427585","3.0646649712729","2.9279136997328","3.41772082132024","2.44266923616276","1.65549179453843","2.28921867220982","2.79230524548156","2.61843496039429","2.83801856513544","1.83741148321038",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"GABRD","0.658839582203403","0.801707441596565","0.935285471531464","3.27300424256998","3.09384866605109","3.27630628706883","3.1113151792498","3.54547633344865","3.29852085150895","3.21920422872352","16.0530579360217","13.859979183544","15.5653005342276","17.125712314222","9.28048323857974","15.8561481922338","15.3540233133283",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"HES5","0.282276763215385","0.845505476225418","0.267956126884629","3.86231016237212","4.9352575121464","4.01902396441929","4.13177306949402","3.24753681093277","3.83477503793235","4.54136897053848","1.01992494609132","1.06682731700779","1.06123464168558","0.819708204181273","1.60473113155903","1.13404296267443","0.715340049869642",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"PRXL2B","0.430412246095961","0.828248044736785","0.59721476814217","2.72017814755695","2.79696928617464","2.70542164184215","2.88514830102032","2.94355100916216","2.57862479755712","2.90825427974283","3.86051012093829","1.67432393828711","3.65305275634944","3.4386097120231","3.02128057781147","3.54326260198306","4.06111079905549",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"MMEL1","0.0774751857908041","0.624788028572232","0.414481767729871","1.86738763776447","6.1846348854025","1.78463356955313","1.25615885479453","2.35758522449103","1.71548542854673","1.69996385996505","0.141431938161408","0.173753099141476","0.141243664829074","0.0768992785743029","0.434926496202919","0.104752982994214","0.166700661274568",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"TTC34","0.678073129428876","0.911781286092832","0.0214066830622454","5.09898518752976","5.28376656829126","5.15789699356013","4.83281862231867","2.63011779617102","4.71243810855536","5.92912087025903","0.418336020126214","0.849316905456285","0.43794419422248","0.402310508317862","1.15514713849893","0.52807953787659","0.556366753859207",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"TPRG1L","0.146392824642615","0.650948644895939","0.494349333986684","2.97055404812096","3.12090456606982","2.98237321634633","2.94036479217127","3.06580760066691","2.92836871983495","3.05509444637198","12.8548855229203","6.86942362515848","12.5088144972288","10.2036349679716","6.91413971404853","11.7168950055428","13.6835361706104",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"SMIM1","0.629285579387728","0.872853684949302","0.562164727780013","2.40860524370022","1.19961933657756","2.40210899869122","1.98199860448773","2.92179938214208","2.00093091156701","2.85436229615676","0.078483074416466","0.0338232772458443","0.0749955464329425","0.0557759173321292","0.10707077313758","0.0860639562440533","0.0751640005095064",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"LRRC47","0.156663671339498","0.664387558862139","0.347257744900652","3.10714600588977","3.23130015698932","3.08783778244066","3.12756439711983","3.07240516421224","3.06167695710394","3.1630321777971","5.89119408016137","3.30136183622263","5.76443896685194","4.60371626610142","4.42489870391883","5.14547308989829","6.6600113236388",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"Z98886.1","0.37473541158234","0.0976037502030023","0.336556635404698","4.65414349595452","4.57124534083032","4.58554610615041","5.11537954047056","4.8969153290725","4.74102384729455","4.67373091425369","0.0927093581225894","0.0308413221247663","0.0717948356742296","0.153756661220616","0.172150035849963","0.107490793884368","0.0489470675649454",0.972462099340793,1,0.999963831301336,1,0.999904061893522,1
"RPL22","0.589697461915182","0.809745319399693","0.769220470697924","3.09820987229373","2.64850421944147","3.0028831016636","3.20609757815354","4.55165093249698","2.9816652568067","3.01813590264281","9.29707496598486","8.1016349506109","8.72439188247734","10.2472714927761","11.3966591833955","9.25020342386332","8.5920100844066",0.973910260030841,1,0.999963831301336,1,0.999904061893522,1
"ICMT","0.665422792633739","0.641606628844938","0.585879588033379","3.00379614594495","3.02766844098652","2.98959609495145","3.03311115994854","3.22688841794155","2.99252942553756","3.02797171884984","3.40194215058735","2.56891383327703","3.4156821965112","2.59722591999138","2.92599977559833","2.92610465708645","3.81929834024644",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"TAS1R1","0.814385626080799","0.580887718146679","0.731844569961666","5.29789072062916","5.47302354703428","5.39757981383566","5.33040691235329","5.52536767064775","5.15947965531531","5.50575647027468","0.186927137990881","0.0794930413272407","0.151141116437985","0.280571956873554","0.548933663677324","0.151569670875385","0.171810756856402",0.979492846355238,1,0.999963831301336,1,0.999904061893522,1
"KLHL21","0.732974095892689","0.489112496608499","0.308269555740774","2.18488674068381","2.1005416451055","2.196163991206","2.00064401072118","2.42130207233221","2.04868781806068","2.3058383644757","5.55652384612096","3.84479488579868","5.57925763471076","3.82711636743147","5.06436226372817","4.47957466422001","6.12485899312351",0.974346376609869,1,0.999963831301336,1,0.999904061893522,1
"Z97987.1","0.785735746036352","0.275821352161931","0.195305545689951","4.91866315478141","4.84343166763885","4.8998582933776","5.16820749961645","5.43722873259904","4.80259538416108","5.20104089447647","0.245511649847246","0.150690378868006","0.200303421291228","0.369600580916653","0.365594140934297","0.288491768044085","0.139484374193989",0.975369035437816,1,0.999963831301336,1,0.999904061893522,1
