Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,1.3007961278247046e-31,8.875095222925525,631.1715794071487,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'MRPS18A', 'RPSA', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'MRPL18', 'MRPL17', 'MRPL14', 'MRPL12', 'RPL41', 'MRPL28', 'MRPL24', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'MRPS17', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'MRPL34', 'MRPL35', 'RPS4X', 'RPL7A', 'MRPL2', 'RPLP2', 'MRPL9', 'MRPS2', 'RPL13A', 'RPS3A', 'MRPS7', 'MRPS6', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",4.149539647760808e-29,0,0,98
2,Oxidative phosphorylation,5.1954152936628155e-18,5.29636688244121,210.78880853495994,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'TCIRG1', 'ATP12A', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V0B', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'ATP6V1B2', 'NDUFS3', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1B1', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP6V0A4', 'CYC1', 'ATP6V0E2', 'ATP6V1D', 'ATP5MF', 'ATP5ME', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",6.907287563460368e-16,0,0,74
3,Coronavirus disease,6.495881721122604e-18,3.56852984256727,141.22586489210363,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'F13A1', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'C3AR1', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPSA', 'RPL24', 'RPL27', 'MASP2', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'C5AR1', 'C2', 'C6', 'C7', 'C9', 'PLCG2', 'JUN', 'RPL41', 'ISG15', 'RPS26', 'NFKBIA', 'SELP', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'RPLP1', 'RPLP0', 'CGAS', 'RPS4X', 'RPL7A', 'CASP1', 'RPLP2', 'VWF', 'RPL13A', 'RPS3A', 'TNFRSF1A', 'IL1B', 'RPL37A', 'TLR7', 'TLR2', 'C1QB', 'C1QA', 'RPL10', 'C1R', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'CCL2', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'MAPK3', 'RPL35A', 'RPL23A', 'MAS1', 'FCGR2A', 'RPL22L1', 'FAU', 'RPL26L1', 'C1QC']",6.907287563460368e-16,0,0,107
4,Parkinson disease,3.211235456839808e-16,3.0665094339622643,109.39682172788943,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'TXN2', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'DAXX', 'TUBA4A', 'COX6B1', 'DDIT3', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'TXN', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'UBB', 'UBC', 'CYC1', 'DRD1', 'DRD2', 'XBP1', 'HSPA5', 'SEM1', 'UQCRQ', 'GNAS', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'UCHL1', 'TUBA1A', 'UQCRFS1', 'SLC18A2', 'COX8A', 'TUBB', 'NDUFC2', 'NDUFC1', 'TUBB2A', 'ADORA2A', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMA8', 'PSMB6', 'ATP5F1A', 'TUBA3D', 'ATP5F1B', 'PSMB3', 'MFN2', 'RPS27A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PINK1', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",2.560960276829747e-14,0,0,116
5,Prion disease,4.80771993081744e-13,2.579977899956878,73.17690198925126,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'NCF4', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'CREB3L1', 'PSMD2', 'TUBB1', 'CSNK2A3', 'CYBA', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'STIP1', 'KLC3', 'C6', 'KLC2', 'C7', 'C9', 'CYC1', 'EGR1', 'HSPA8', 'PRNP', 'HSPA5', 'SEM1', 'GRIN3B', 'UQCRQ', 'CYCS', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'TUBA1A', 'UQCRFS1', 'RAC1', 'COX8A', 'TUBB', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'C1QB', 'C1QA', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMA8', 'PSMB6', 'ATP5F1A', 'TUBA3D', 'ATP5F1B', 'PSMB3', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'HSPA1L', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31', 'HSPA1B', 'C1QC', 'HSPA1A']",3.067325315861527e-11,0,0,118
6,Huntington disease,2.2230654583983442e-08,2.002976895009899,35.29604555648346,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'PSMD7', 'TUBB3', 'CREB3L1', 'PSMD2', 'TUBB1', 'AP2M1', 'TGM2', 'TUBA4A', 'COX6B1', 'TBPL2', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'ATG101', 'CYC1', 'DNAH12', 'DNAH11', 'BDNF', 'SEM1', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'COX4I1', 'CLTB', 'COX7C', 'TUBA1B', 'TUBA1A', 'CASP8', 'UQCRFS1', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'NDUFB8', 'NDUFB7', 'DCTN1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMA8', 'PSMB6', 'ATP5F1A', 'TUBA3D', 'ATP5F1B', 'PSMB3', 'AP2S1', 'POLR2E', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'POLR2J3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'POLR2J2', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'SOD2', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",1.181929802048453e-06,0,0,117
7,Diabetic cardiomyopathy,5.659505696601334e-08,2.300141874931791,38.38325914892447,"['COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NCF4', 'SLC2A4', 'COX6A1', 'COX7C', 'GYS2', 'PPP1CC', 'MPC2', 'PDK4', 'UQCRFS1', 'RAC1', 'CTSD', 'PDK2', 'COX8A', 'G6PD', 'NDUFC2', 'CYBA', 'NDUFC1', 'CPT1B', 'COX6B1', 'TGFBR2', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'PPIF', 'NDUFS3', 'VDAC2', 'VDAC1', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'PDHB', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PTPA', 'ATP5F1A', 'ATP5F1B', 'PLN', 'CYC1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'REN', 'SLC25A31']",2.5791175960226076e-06,0,0,81
8,Alzheimer disease,2.804687982152467e-07,1.8006177606177607,27.165566071024582,"['NDUFA13', 'CHRM1', 'CSF1', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'FRAT1', 'TUBB6', 'FRAT2', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'CSNK2A3', 'WNT5A', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'PPID', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'LPL', 'COX7A2', 'GPR83', 'COX7A1', 'RTN4', 'UQCRH', 'ATP5MC1', 'WNT6', 'KLC3', 'KLC2', 'ATG101', 'FADD', 'CYC1', 'FZD1', 'XBP1', 'FZD2', 'FZD7', 'FZD9', 'FZD8', 'SEM1', 'CDK5', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'NOX1', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'CASP7', 'TUBA1A', 'CASP8', 'UQCRFS1', 'HRAS', 'COX8A', 'PSENEN', 'TUBB', 'NDUFC2', 'NDUFC1', 'WNT16', 'TNFRSF1A', 'BACE2', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'WNT8B', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMA8', 'PSMB6', 'ATP5F1A', 'TUBA3D', 'ATP5F1B', 'PSMB3', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'WNT7A', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'SLC25A31', 'CDK5R1']",1.1183693328832963e-05,0,0,131
9,Complement and coagulation cascades,5.157176994544638e-07,3.3975987638283036,49.18943707978273,"['C1QB', 'C1QA', 'SERPINA1', 'CFH', 'C1R', 'ITGB2', 'C5AR1', 'CFI', 'F13A1', 'C4BPA', 'PLG', 'TFPI', 'CLU', 'C2', 'THBD', 'C6', 'C7', 'C9', 'C3AR1', 'CD59', 'VSIG4', 'CR2', 'CR1', 'SERPINB2', 'VWF', 'F10', 'SERPIND1', 'F12', 'SERPINF2', 'F11', 'F5', 'F7', 'PROCR', 'CR1L', 'CFHR4', 'MASP2', 'F2RL2', 'C1QC']",1.8279327347330438e-05,0,0,38
10,Pathways of neurodegeneration,7.208620626675291e-07,1.6534884465211548,23.384986216962925,"['NDUFA13', 'CHRM1', 'CSF1', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'PSMD8', 'TUBB8', 'TUBB6', 'FRAT1', 'PSMD7', 'FRAT2', 'TUBB3', 'PSMD2', 'TUBB1', 'GABARAPL2', 'DAXX', 'GABARAPL1', 'CSNK2A3', 'WNT5A', 'PDYN', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'PPID', 'ATF4', 'UQCRB', 'NDUFB10', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'WNT6', 'KLC3', 'KLC2', 'UBB', 'ATG101', 'UBC', 'FADD', 'CYC1', 'FZD1', 'DNAH12', 'PRNP', 'DNAH11', 'XBP1', 'FZD2', 'HSPA5', 'BDNF', 'FZD7', 'FZD9', 'FZD8', 'RAB39B', 'SEM1', 'CDK5', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'DNAL4', 'NOX1', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'UCHL1', 'CASP7', 'TUBA1A', 'CASP8', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'NEFH', 'HRAS', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'TNFRSF1B', 'WNT16', 'TOMM40L', 'TNFRSF1A', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'DCTN1', 'NDUFB4', 'NDUFB3', 'DCTN3', 'NDUFB2', 'WNT8B', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMA8', 'PSMB6', 'TUBA3D', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'MFN2', 'RPS27A', 'MAPK3', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'BAD', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'WNT7A', 'TUBB4B', 'COX6C', 'TUBB4A', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'PSMC5', 'PINK1', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31', 'CDK5R1']",2.2995499799094177e-05,0,0,161
