Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,1.2367967799827535e-12,2.7938144329896906,76.60219075133277,"['ISCA1', 'COX6A1', 'PHB2', 'TOMM22', 'PDK4', 'ATP6V1E1', 'ATP6V1G1', 'ATP1B1', 'COX6B1', 'UQCRC1', 'VDAC2', 'VDAC1', 'ISCU', 'UQCRB', 'COX17', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'UQCRH', 'ATP5MC1', 'PRDX3', 'LDHB', 'LDHA', 'GRPEL1', 'CYC1', 'ATP6V1D', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'SURF1', 'GOT2', 'UQCRQ', 'CYCS', 'COX7B', 'SLC25A3', 'COX4I1', 'MRPS12', 'HCCS', 'TCIRG1', 'MRPL34', 'COX7C', 'MRPL35', 'CASP7', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'COX8A', 'ATP6V0B', 'ATP6AP1', 'GPX4', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS3', 'SLC25A5', 'ATP6V0C', 'SLC25A11', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'OAT', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'TIMM10', 'PDHB', 'COX5B', 'COX5A', 'ATP5F1A', 'ATP5F1B', 'MFN2', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'MDH1', 'NDUFA5', 'ATP5PB', 'MDH2', 'NDUFA4', 'IDH3G', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PDP1', 'NDUFAB1', 'ATP5PO', 'BAX']",6.183983899913767e-11,0,0,100
2,TNF-alpha Signaling via NF-kB,4.640786523449497e-08,2.287378727172953,38.624212580886045,"['CDKN1A', 'TNFAIP8', 'BTG1', 'CD83', 'CSF1', 'CD80', 'TNC', 'TNFAIP3', 'CXCL1', 'SLC2A3', 'CXCL2', 'ETS2', 'ICAM1', 'ZFP36', 'MYC', 'KYNU', 'SLC16A6', 'OLR1', 'MAP3K8', 'CCN1', 'PHLDA2', 'IER5', 'DUSP4', 'KLF10', 'DUSP5', 'DUSP2', 'EDN1', 'SERPINB2', 'IL18', 'TAP1', 'SERPINB8', 'RHOB', 'TUBB2A', 'IL1B', 'NINJ1', 'TRIB1', 'FJX1', 'ATF3', 'CD44', 'TLR2', 'PPP1R15A', 'CEBPB', 'BCL2A1', 'CEBPD', 'RELB', 'SOCS3', 'SNN', 'NFIL3', 'DNAJB4', 'CCL2', 'HES1', 'MSC', 'EGR1', 'JUN', 'EGR2', 'EGR3', 'GADD45B', 'LAMB3', 'GADD45A', 'PLK2', 'G0S2', 'SOD2', 'KLF4', 'PNRC1', 'EIF1', 'VEGFA', 'NFKB2', 'EHD1', 'NFKBIA', 'EFNA1', 'NR4A1', 'YRDC', 'MARCKS', 'NR4A3', 'BCL6', 'ID2', 'CLCF1', 'BHLHE40', 'TRIP10', 'TNFSF9', 'ACKR3', 'PTX3', 'NFKBIE']",1.1601966308623742e-06,0,0,83
3,Hypoxia,0.0005920667078557455,1.6637062339880444,12.364483798353822,"['CDKN1C', 'SRPX', 'CDKN1A', 'TES', 'BTG1', 'CDKN1B', 'CITED2', 'TNFAIP3', 'SLC2A3', 'ENO1', 'ENO2', 'SLC2A5', 'MT2A', 'ZFP36', 'CSRP2', 'CASP6', 'STBD1', 'CCN5', 'PIM1', 'IDS', 'CCN1', 'TGM2', 'TPI1', 'IGFBP3', 'PGAM2', 'BGN', 'MIF', 'DDIT3', 'GAPDHS', 'PKP1', 'ALDOC', 'S100A4', 'KDELR3', 'ANGPTL4', 'ALDOB', 'ALDOA', 'GAPDH', 'ATF3', 'CHST2', 'MT1E', 'CHST3', 'PPP1R15A', 'LXN', 'STC1', 'CXCR4', 'PLAC8', 'LDHC', 'LDHA', 'PRDX5', 'NFIL3', 'STC2', 'HAS1', 'NOCT', 'GPC3', 'PGK1', 'HMOX1', 'B4GALNT2', 'JUN', 'PKLR', 'HSPA5', 'CAVIN3', 'TPBG', 'B3GALT6', 'CP', 'PNRC1', 'VEGFA', 'EFNA1', 'EFNA3', 'BHLHE40', 'ACKR3', 'TGFBI', 'INHA']",0.006732786636402134,0,0,72
4,Apoptosis,0.0006732786636402134,1.765974765974766,12.897534018341771,"['IFITM3', 'CDKN1A', 'CDKN1B', 'HSPB1', 'ENO2', 'CLU', 'LGALS3', 'CASP7', 'CASP8', 'CASP6', 'CASP4', 'PEA15', 'TIMP2', 'CASP1', 'TSPO', 'TIMP1', 'NEFH', 'TNFRSF12A', 'GPX4', 'GPX3', 'HGF', 'IL18', 'BGN', 'PPP2R5B', 'TAP1', 'EMP1', 'AVPR1A', 'RHOB', 'TGFBR3', 'DDIT3', 'IL1B', 'VDAC2', 'TXNIP', 'ATF3', 'CD44', 'SATB1', 'LEF1', 'NEDD9', 'BCL2L10', 'PMAIP1', 'HMOX1', 'SC5D', 'BMF', 'IGFBP6', 'CD14', 'BCAP31', 'JUN', 'EGR3', 'GADD45B', 'GADD45A', 'BIK', 'SOD2', 'SOD1', 'DNAJA1', 'CDK2', 'PPT1', 'BAX', 'BCL2L2']",0.006732786636402134,0,0,58
5,Allograft Rejection,0.0006732786636402134,1.765974765974766,12.897534018341771,"['CD86', 'CSF1', 'CD80', 'GPR65', 'NCF4', 'ITGB2', 'RPL9', 'ICAM1', 'RPS19', 'STAB1', 'TIMP1', 'RPL39', 'SRGN', 'EIF5A', 'CD96', 'RPS9', 'IL4R', 'IL15', 'IL18', 'TAP1', 'RPS3A', 'CARTPT', 'HLA-E', 'NME1', 'TLR1', 'FGR', 'ZAP70', 'CD8B', 'ELF4', 'IL1B', 'IRF7', 'HCLS1', 'IRF8', 'LCP2', 'TLR6', 'LTB', 'TLR2', 'IGSF6', 'CAPG', 'THY1', 'PSMB10', 'C2', 'SOCS1', 'CCL2', 'GBP2', 'ELANE', 'SOCS5', 'LYN', 'CCR1', 'CD74', 'NPM1', 'FYB1', 'CDKN2A', 'PTPRC', 'IL7', 'HLA-DRA', 'KLRD1', 'CD247']",0.006732786636402134,0,0,58
6,IL-6/JAK/STAT3 Signaling,0.000822611295543978,2.213039796782388,15.719280921275004,"['ACVRL1', 'CSF1', 'EBI3', 'CXCL1', 'CSF2RB', 'SOCS3', 'SOCS1', 'LEPR', 'PIM1', 'HMOX1', 'MAP3K8', 'CD14', 'CCR1', 'JUN', 'IL4R', 'TNFRSF12A', 'IL1R1', 'IL1R2', 'OSMR', 'TNFRSF1B', 'IL17RB', 'TNFRSF1A', 'HAX1', 'IL7', 'IL1B', 'IL3RA', 'LTB', 'LTBR', 'CD44', 'IL18R1', 'TLR2', 'CRLF2']",0.00685509412953315,0,0,32
7,Complement,0.001126086602296364,1.6432075069311154,11.155747005358183,"['FCN1', 'DGKG', 'CDA', 'GMFB', 'SERPINA1', 'PCSK9', 'TNFAIP3', 'CXCL1', 'CLU', 'PHEX', 'LGALS3', 'CASP7', 'CSRP1', 'CASP5', 'KYNU', 'CASP4', 'TIMP2', 'PIM1', 'CASP1', 'OLR1', 'TIMP1', 'CTSD', 'CTSB', 'DUSP5', 'CR2', 'SERPINB2', 'FCER1G', 'CR1', 'HPCAL4', 'DUSP6', 'F5', 'F7', 'MMP14', 'PLSCR1', 'MMP15', 'IRF7', 'LCP2', 'PFN1', 'S100A9', 'C1QA', 'CEBPB', 'CFH', 'C1R', 'PLG', 'C2', 'C9', 'SPOCK2', 'CD59', 'LYN', 'F10', 'HSPA5', 'KCNIP3', 'PRSS36', 'CP', 'MT3', 'ATOX1', 'PSMB9', 'EHD1', 'PDP1', 'GNB2', 'APOC1', 'CALM3', 'CALM1', 'C1QC', 'CDK5R1', 'MSRB1', 'HSPA1A']",0.008043475730688315,0,0,67
8,Myc Targets V1,0.0026346851148441957,1.5515322236448996,9.21453685132741,"['YWHAE', 'SLC25A3', 'HSP90AB1', 'RPL34', 'RPLP0', 'PHB2', 'RPL6', 'PSMD8', 'EEF1B2', 'PSMD7', 'TRIM28', 'SNRPD1', 'MYC', 'C1QBP', 'MRPL9', 'RPS10', 'EIF1AX', 'VBP1', 'NCBP2', 'RPS5', 'RPL22', 'ILF2', 'NME1', 'TUFM', 'CANX', 'TCP1', 'NHP2', 'SRSF3', 'VDAC1', 'ERH', 'PPIA', 'SET', 'PCNA', 'ODC1', 'NOLC1', 'PHB', 'COX5A', 'PSMA7', 'PRDX3', 'LDHA', 'PSMB3', 'PCBP1', 'RPS3', 'RPL14', 'PGK1', 'EIF4H', 'RPS2', 'CYC1', 'BUB3', 'RPL18', 'CCT7', 'HNRNPA1', 'CCT5', 'RANBP1', 'NPM1', 'SF3A1', 'NOP16', 'GOT2', 'HSPE1', 'LSM2', 'RSL1D1', 'LSM7', 'APEX1', 'IMPDH2', 'NDUFAB1', 'CDK2', 'POLE3', 'EIF4G2', 'RAN', 'MAD2L1']",0.016466781967776224,0,0,70
9,KRAS Signaling Up,0.003112274491612058,1.5655232498864615,9.036828712580519,"['SERPINA3', 'SNAP25', 'ITGB2', 'F13A1', 'TNFAIP3', 'IKZF1', 'TMEM100', 'C3AR1', 'SOX9', 'SCN1B', 'FCER1G', 'ARG1', 'IGFBP3', 'EMP1', 'PDCD1LG2', 'BPGM', 'TNFRSF1B', 'ETV4', 'DUSP6', 'ETV5', 'ALDH1A3', 'RBP4', 'PCP4', 'IL1B', 'ALDH1A2', 'HKDC1', 'MALL', 'SCG5', 'PECAM1', 'IRF8', 'ANGPTL4', 'LCP1', 'TRIB1', 'TRIB2', 'PPP1R15A', 'TPH1', 'ABCB1', 'CFH', 'SATB1', 'CXCR4', 'LY96', 'TFPI', 'HSD11B1', 'PCSK1N', 'IL1RL2', 'RELN', 'GPNMB', 'SPP1', 'PRELID3B', 'CBX8', 'TMEM176B', 'IL10RA', 'TMEM176A', 'LAPTM5', 'NR1H4', 'G0S2', 'WNT7A', 'NAP1L2', 'KLF4', 'GNG11', 'YRDC', 'TMEM158', 'MAFB', 'ID2', 'ITGBL1']",0.017290413842289208,0,0,65
10,IL-2/STAT5 Signaling,0.005764477985998574,1.5145328291108342,7.808992875350093,"['IFITM3', 'CDKN1C', 'CD86', 'CD83', 'CSF1', 'CD81', 'GPR65', 'SLC2A3', 'IKZF2', 'SHE', 'SPRED2', 'MYC', 'PIM1', 'MAP3K8', 'TGM2', 'GABARAPL1', 'PRKCH', 'IL4R', 'CISH', 'GPX4', 'GSTO1', 'S100A1', 'IL1R2', 'APLP1', 'EMP1', 'RHOH', 'TNFRSF1B', 'ETV4', 'RHOB', 'PLSCR1', 'ARL4A', 'IL3RA', 'IRF8', 'TLR7', 'LTB', 'CD44', 'ABCB1', 'AHCY', 'AHNAK', 'PTGER2', 'ODC1', 'CAPG', 'GPR83', 'SLC1A5', 'GATA1', 'IL1RL1', 'MUC1', 'SOCS1', 'NFIL3', 'PENK', 'SPP1', 'PRNP', 'XBP1', 'GADD45B', 'IL10RA', 'PRAF2', 'SPRY4', 'HOPX', 'BATF', 'SELP', 'SYT11', 'BHLHE40', 'IL18R1', 'F2RL2']",0.02882238992999287,0,0,64
