Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,STAT1 human,0.00012792205077519556,2.5370880090338064,22.74268387545832,"['CD86', 'CDKN1A', 'MVP', 'LY96', 'FGF2', 'TNFSF13B', 'ICAM1', 'SOCS3', 'MUC1', 'PIM1', 'HMOX1', 'CCL2', 'TIMP1', 'FCGR1A', 'MUC4', 'CTSB', 'CCR1', 'EDN1', 'HSP90AA1', 'IL1R1', 'NR1H4', 'TAP1', 'HLA-E', 'PSMB9', 'PLSCR1', 'KRT17', 'IL1B', 'IRF7', 'IRF8', 'BAX', 'VIP', 'CFTR', 'NOX1']",0.052322634847764164,0,0,33
2,ETS2 human,0.00019061069161298421,4.42126582278481,37.869368557627745,"['EGR1', 'CDKN1A', 'CD163', 'ANGPT2', 'VWF', 'CDKN2A', 'TNC', 'FLI1', 'ICAM1', 'IL5', 'TERT', 'MYC', 'TLR9', 'CDK1', 'ERG', 'CGA']",0.052322634847764164,0,0,16
3,EGR1 mouse,0.0003651479982746219,2.5069018404907975,19.84264903136746,"['CDKN1C', 'ENO1', 'CXCL2', 'FGF2', 'ICAM1', 'HSD11B2', 'MAP1LC3B', 'SOCS1', 'CCL2', 'NTRK1', 'CDKN2D', 'NGFR', 'JUN', 'JUND', 'GADD45B', 'PTGES2', 'GADD45A', 'BNIP3', 'NGB', 'TGFBR2', 'NR4A1', 'MMP14', 'IL1B', 'ID3', 'BAX', 'GNRH1', 'LTB', 'PTGES', 'CDK5R1']",0.06043304683619526,0,0,29
4,CEBPA human,0.00044031363815078516,3.0552881676207413,23.61133805899666,"['CD163', 'CSF1', 'SLC10A1', 'SFTPD', 'IGF1', 'ICAM1', 'HK3', 'SOCS3', 'IL5', 'STAR', 'MYC', 'LEP', 'ALB', 'TLR9', 'SPP1', 'CCL2', 'S100A9', 'GAPDH', 'HAMP', 'ELANE', 'PCK2']",0.06043304683619526,0,0,21
5,PITX1 human,0.0006602656898110125,11.04128053917439,80.85384262932733,"['JUN', 'TERT', 'IRF7', 'GNRH1', 'HES1', 'TRIB2', 'RUNX1', 'NKX3-1']",0.06098452262854394,0,0,8
6,ETS1 human,0.000666497515066054,2.4199450084602367,17.698205255774475,"['CDKN1A', 'FLT1', 'ABCB1', 'TNC', 'F13A1', 'CXCR4', 'TERT', 'CASP1', 'HMOX1', 'MUC4', 'CTSB', 'NKX3-1', 'EGR1', 'FOXD1', 'CR1', 'ANGPT2', 'VWF', 'CDKN2A', 'RHOC', 'DUSP6', 'FLI1', 'TGFBR2', 'IL5', 'TMEM158', 'CSNK2B', 'TBXAS1', 'BAX', 'ERG']",0.06098452262854394,0,0,28
7,GLI1 human,0.0011067503901152815,5.0622409553916405,34.45526797284389,"['EGR2', 'JUN', 'SOCS1', 'IL1R2', 'H2AFX', 'CDK2', 'BHLHE41', 'TNFRSF10B', 'SOX9', 'S100A9', 'S100A7']",0.08680085202475565,0,0,11
8,TBX3 mouse,0.001919932929979717,16.55621052631579,103.56679590805794,"['GJA1', 'CDKN1A', 'BGLAP', 'NPPA', 'ONECUT1', 'SP7']",0.09894591601759736,0,0,6
9,ZNF148 human,0.001919932929979717,16.55621052631579,103.56679590805794,"['ADORA2A', 'SOX18', 'CDKN2A', 'ODC1', 'VIM', 'CXCL5']",0.09894591601759736,0,0,6
10,PPARD human,0.0020057745718278642,9.659086123394399,59.9995864862684,"['HSD11B2', 'PDK4', 'LPL', 'ANGPTL4', 'TXN', 'TIMP1', 'SOD1']",0.09894591601759736,0,0,7
11,ETS1 mouse,0.002150383551324513,2.523162389238327,15.497538562688444,"['EGR1', 'RNF11', 'ANGPT2', 'VWF', 'CDKN2A', 'EBF1', 'IKZF1', 'NR2F2', 'RUNX3', 'FLI1', 'TGFBR2', 'VEGFA', 'CDH5', 'THBD', 'IL5', 'SPP1', 'HMOX1', 'CCL2', 'TIMP1', 'ERG', 'LTBR']",0.09894591601759736,0,0,21
12,MEF2C mouse,0.002162752262679724,4.338732500376336,26.6240838881946,"['MYOM1', 'JUN', 'SFRP2', 'CKM', 'DLX5', 'BGLAP', 'DLX6', 'RHO', 'SP7', 'CALR', 'RGR']",0.09894591601759736,0,0,11
13,ESR2 human,0.0027418789070446786,4.601067565669336,27.142212250322,"['JUN', 'CDKN1A', 'PTPRC', 'TERT', 'MKNK2', 'CRH', 'AVP', 'CD68', 'CTSD', 'VEGFA']",0.10752082285482348,0,0,10
14,XBP1 human,0.0027418789070446786,4.601067565669336,27.142212250322,"['PRNP', 'HSPA5', 'WFS1', 'GAD1', 'DDIT3', 'ERP29', 'CCL2', 'SOD2', 'VEGFA', 'HSPA1A']",0.10752082285482348,0,0,10
