Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MYCN,0.09378300068133756,2.9842849659507595,7.063121109050084,"['NTRK1', 'NGFR', 'CDK2']",0.9999957937527437,0,0,3
2,STAT2,0.1414733003024639,2.0801852303192785,4.068102326514315,"['ZFP36', 'CISH', 'HSPB1', 'CXCR4']",0.9999957937527437,0,0,4
3,KRT7,0.14346571346451564,3.26585179526356,6.341171193554138,"['HSPA1B', 'HSPA1A']",0.9999957937527437,0,0,2
4,NR1I2,0.14946766307497616,2.3660157872870795,4.497027553482433,"['FGR', 'ATP6AP1', 'CDK2']",0.9999957937527437,0,0,3
5,TEAD4,0.1930369541838051,5.710947930574099,9.393787687289194,['MYH7'],0.9999957937527437,0,0,1
6,FLI1,0.20416623684870228,2.5395127748068926,4.03483054189243,"['ELK1', 'RUNX1']",0.9999957937527437,0,0,2
7,USF2,0.21977846671050583,2.4057134815648746,3.64498119979604,"['S100A9', 'S100A8']",0.9999957937527437,0,0,2
8,RCOR2,0.22692583122039917,4.56849132176235,6.775675897634564,['ARR3'],0.9999957937527437,0,0,1
9,SOX4,0.22692583122039917,4.56849132176235,6.775675897634564,['CDK2'],0.9999957937527437,0,0,1
10,NOD2,0.2580744370831769,1.75831531253218,2.3816507855922664,"['SOCS3', 'CASP4', 'CASP1']",0.9999957937527437,0,0,3
11,PADI4,0.2593933424917007,3.8068535825545173,5.137005045927733,['ELK1'],0.9999957937527437,0,0,1
12,HSF1,0.2935543900980969,1.3584318109230278,1.6650194669444345,"['DNAJB1', 'CDK2', 'HSPB1', 'HSPA1B', 'FKBP5', 'HSPA1A']",0.9999957937527437,0,0,6
13,GATA2,0.29857541781085073,1.9039661319073085,2.301386165366314,"['ZBTB32', 'RUNX1']",0.9999957937527437,0,0,2
14,NEUROD1,0.29857541781085073,1.9039661319073085,2.301386165366314,"['NR4A1', 'CDK2']",0.9999957937527437,0,0,2
15,STAT4,0.3142718068314783,1.8277005347593582,2.1155579601982977,"['CISH', 'ETV5']",0.9999957937527437,0,0,2
16,STAT3,0.34608218119715123,1.1754960606022282,1.247294201199173,"['CCR1', 'FGR', 'SOCS3', 'NR4A1', 'CISH', 'CDK2', 'TRIP10', 'CXCR4', 'HSPB1', 'GATA1', 'CD44']",0.9999957937527437,0,0,11
17,HEY1,0.34885071355134384,2.537457350541463,2.672224763396237,['GATA1'],0.9999957937527437,0,0,1
18,TCF4,0.35071317383154244,1.4583440143552935,1.5280332554023437,"['LGALS3', 'EGR1', 'NR4A1']",0.9999957937527437,0,0,3
19,CBFB,0.3911649202114747,1.522638146167558,1.4291877786268512,"['NGFR', 'RUNX1']",0.9999957937527437,0,0,2
