Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,6.0634722720641366e-37,10.699150683839068,892.2381869685261,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'MRPS18A', 'RPSA', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'MRPL18', 'MRPL17', 'MRPL14', 'MRPL12', 'RPL41', 'MRPL28', 'MRPL24', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'MRPS17', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPL36', 'MRPL34', 'MRPL35', 'RPS4X', 'RPL7A', 'MRPL2', 'RPLP2', 'MRPL9', 'MRPS2', 'RPL13A', 'RPS3A', 'MRPS7', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",1.9342476547884594e-34,0,0,98
2,Oxidative phosphorylation,1.5458824812463007e-22,6.638623660922217,333.4001585261567,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'TCIRG1', 'ATP12A', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V0B', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'NDUFC1', 'COX6B1', 'PPA1', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'ATP6V1B2', 'NDUFS3', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1B1', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'ATP6V0A4', 'CYC1', 'ATP6V0E2', 'ATP6V1D', 'ATP5MF', 'ATP5ME', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",2.4656825575878496e-20,0,0,75
3,Coronavirus disease,1.0787600903308045e-19,3.8661695152773956,168.84839829520732,"['RPL4', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPS11', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'RPSA', 'RPL24', 'RPL27', 'MASP2', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'C5AR1', 'C2', 'C6', 'C9', 'JUN', 'RPL41', 'ISG15', 'RPS26', 'NFKBIA', 'SELP', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'RPLP1', 'RPLP0', 'RPS4X', 'RPL7A', 'CASP1', 'RPLP2', 'VWF', 'RPL13A', 'RPS3A', 'TNFRSF1A', 'IL1B', 'RPL37A', 'TLR2', 'C1QB', 'C1QA', 'RPL10', 'C1R', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'CCL2', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'MAPK3', 'RPL35A', 'RPL23A', 'MAS1', 'FCGR2A', 'RPL22L1', 'FAU', 'RPL26L1', 'C1QC']",1.1470815627184221e-17,0,0,102
4,Parkinson disease,1.6567991333818007e-19,3.501618594486307,151.42479727703636,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'TXN2', 'PSMD8', 'TUBB8', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'DAXX', 'TUBA4A', 'COX6B1', 'DDIT3', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'TXN', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'UBB', 'UBC', 'CYC1', 'DRD1', 'DRD2', 'XBP1', 'HSPA5', 'UQCRQ', 'GNAS', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'UCHL1', 'TUBA1A', 'UQCRFS1', 'SLC18A2', 'COX8A', 'DUSP1', 'TUBB', 'NDUFC2', 'NDUFC1', 'TUBB2A', 'ADORA2A', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'MFN2', 'RPS27A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PINK1', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",1.3212973088719861e-17,0,0,113
5,Prion disease,7.53478783096136e-15,2.8172410090455684,91.61455262851743,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'NCF4', 'COX6A1', 'PSMD8', 'TUBB8', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'CSNK2A3', 'CYBA', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'STIP1', 'KLC3', 'C6', 'KLC2', 'C9', 'CYC1', 'EGR1', 'HSPA8', 'PRNP', 'HSPA5', 'GRIN3B', 'UQCRQ', 'CYCS', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'TUBA1A', 'UQCRFS1', 'RAC1', 'COX8A', 'TUBB', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'C1QB', 'C1QA', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'HSPA1L', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31', 'HSPA1B', 'C1QC', 'HSPA1A']",4.807194636153347e-13,0,0,112
6,Diabetic cardiomyopathy,4.306673825145379e-10,2.647782972440945,57.10125368578195,"['COX7B', 'NDUFA13', 'NDUFA11', 'NDUFA12', 'COX4I1', 'NCF4', 'SLC2A4', 'COX6A1', 'COX7C', 'GYS2', 'PPP1CC', 'MPC2', 'PDK4', 'UQCRFS1', 'RAC1', 'CTSD', 'PDK2', 'COX8A', 'G6PD', 'NDUFC2', 'CYBA', 'NDUFC1', 'COX6B1', 'NDUFS6', 'NDUFS5', 'UQCRC1', 'PPIF', 'NDUFS3', 'VDAC2', 'VDAC1', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'PDHB', 'COX5B', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PTPA', 'ATP5F1A', 'ATP5F1B', 'PLN', 'CYC1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'REN', 'SLC25A31']",2.0187457164978613e-08,0,0,79
7,Huntington disease,4.429849534634806e-10,2.2075936883629192,47.54601663699561,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'AP2M1', 'TGM2', 'TUBA4A', 'COX6B1', 'TBPL2', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'ATG101', 'CYC1', 'DNAH12', 'DNAH11', 'BDNF', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'COX4I1', 'CLTB', 'COX7C', 'TUBA1B', 'TUBA1A', 'UQCRFS1', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'NDUFB8', 'NDUFB7', 'DCTN1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'AP2S1', 'POLR2E', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'POLR2J3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'POLR2J2', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'SOD2', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31']",2.0187457164978613e-08,0,0,111
8,Amyotrophic lateral sclerosis,5.0031929329499726e-09,2.000414894972128,38.234309049706134,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'ACTB', 'ACTG1', 'PSMD8', 'TUBB8', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'GABARAPL2', 'DAXX', 'GABARAPL1', 'TUBA4A', 'COX6B1', 'DDIT3', 'UQCRC1', 'PFN4', 'SRSF3', 'VDAC1', 'PFN1', 'ATF4', 'PFN2', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'ATG101', 'CYC1', 'DNAH12', 'DNAH11', 'XBP1', 'HSPA5', 'ALYREF', 'RAB39B', 'CHCHD10', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'NXT1', 'COX4I1', 'COX7C', 'TUBA1B', 'TUBA1A', 'CASP1', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'NEFH', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'NRG1', 'TNFRSF1B', 'TOMM40L', 'TNFRSF1A', 'TUBB2A', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'DCTN6', 'NDUFB8', 'NDUFB7', 'DCTN1', 'NDUFB5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'HNRNPA1', 'UBQLN4', 'UBQLN2', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'SOD1', 'PSMC5', 'PINK1', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX']",1.9950231820138015e-07,0,0,122
9,Pathways of neurodegeneration,3.069996684693986e-08,1.783775317052191,30.85753681259661,"['NDUFA13', 'CHRM1', 'CSF1', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'PSMD8', 'TUBB8', 'FRAT1', 'PSMD7', 'FRAT2', 'TUBB3', 'PSMD2', 'TUBB1', 'GABARAPL2', 'DAXX', 'GABARAPL1', 'CSNK2A3', 'PDYN', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'UBA52', 'PPID', 'ATF4', 'UQCRB', 'NDUFB10', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'UBB', 'ATG101', 'UBC', 'FADD', 'CYC1', 'FZD1', 'DNAH12', 'PRNP', 'DNAH11', 'XBP1', 'FZD2', 'HSPA5', 'BDNF', 'FZD9', 'FZD8', 'RAB39B', 'CDK5', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'DNAL4', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'UCHL1', 'CASP7', 'TUBA1A', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'NEFH', 'HRAS', 'COX8A', 'GPX2', 'GPX3', 'TUBB', 'NDUFC2', 'NDUFC1', 'TNFRSF1B', 'WNT16', 'TOMM40L', 'TNFRSF1A', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'DCTN1', 'NDUFB4', 'NDUFB3', 'DCTN3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'MFN2', 'RPS27A', 'MAPK3', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'BAD', 'NDUFA3', 'ADRM1', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'TUBB4B', 'COX6C', 'TUBB4A', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'PSMC5', 'PINK1', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'BAX', 'SLC25A31', 'CDK5R1']",1.088143269352646e-06,0,0,150
10,Alzheimer disease,7.833333389388603e-08,1.8826792671113062,30.80494904855132,"['NDUFA13', 'CHRM1', 'CSF1', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'FRAT1', 'FRAT2', 'PSMD7', 'TUBB3', 'PSMD2', 'TUBB1', 'CSNK2A3', 'DKK1', 'TUBA4A', 'COX6B1', 'DDIT3', 'CSNK2B', 'UQCRC1', 'PPIF', 'VDAC2', 'VDAC1', 'PPID', 'ATF4', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'ATP5MC3', 'LPL', 'COX7A2', 'GPR83', 'COX7A1', 'RTN4', 'UQCRH', 'ATP5MC1', 'KLC3', 'KLC2', 'ATG101', 'FADD', 'CYC1', 'FZD1', 'XBP1', 'FZD2', 'FZD9', 'FZD8', 'CDK5', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'CASP7', 'TUBA1A', 'UQCRFS1', 'HRAS', 'COX8A', 'PSENEN', 'TUBB', 'NDUFC2', 'NDUFC1', 'WNT16', 'TNFRSF1A', 'BACE2', 'TUBB2A', 'NDUFS6', 'IL1B', 'NDUFS5', 'NDUFS3', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB3', 'MAPK3', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'BAD', 'NDUFA4', 'NDUFA3', 'ADRM1', 'NDUFA2', 'NDUFA1', 'COX6C', 'TUBB4B', 'ATP5F1D', 'TUBB4A', 'ATP5F1E', 'PSMC5', 'PSMC3', 'NDUFAB1', 'ATP5PO', 'SLC25A31', 'CDK5R1']",2.4988333512149643e-06,0,0,120
