Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),5.1708810183480904e-08,inf,inf,"['COA3', 'NDUFB10', 'PET100', 'UQCC3', 'SCO2', 'NDUFB11', 'NDUFS5', 'SDHAF1', 'NDUFA1', 'COX14']",5.532842689632457e-05,0,0,10
2,Aerobic Electron Transport Chain (GO:0019646),2.8210454954286014e-07,inf,inf,"['NDUFB10', 'UQCC3', 'NDUFA4', 'UQCRQ', 'NDUFS5', 'NDUFA1', 'CYCS', 'UQCR11', 'UQCR10']",0.00010061728933695346,0,0,9
3,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),2.8210454954286014e-07,inf,inf,"['NDUFB10', 'UQCC3', 'NDUFA4', 'UQCRQ', 'NDUFS5', 'NDUFA1', 'CYCS', 'UQCR11', 'UQCR10']",0.00010061728933695346,0,0,9
4,Cellular Respiration (GO:0045333),4.7443464245664907e-07,44.73684210526316,651.4195091037208,"['NDUFB10', 'NDUFB11', 'NDUFA4', 'UQCRQ', 'NDUFS5', 'NDUFA1', 'CYCS', 'UQCR11', 'UQCR10', 'MTLN']",0.0001015290134857229,0,0,10
5,Translation (GO:0006412),4.7443464245664907e-07,44.73684210526316,651.4195091037208,"['MRPS17', 'GADD45GIP1', 'MRPS24', 'RPL36AL', 'MRPS12', 'FAU', 'RPL26', 'RPL15', 'RPS27A', 'MRPL54']",0.0001015290134857229,0,0,10
6,Proton Motive Force-Driven ATP Synthesis (GO:0015986),8.290011025875857e-06,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1', 'ATP5MC3', 'ATP5MF', 'ATP5MC1']",0.0014783852996145279,0,0,7
7,Oxidative Phosphorylation (GO:0006119),0.000239541463871127,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1', 'ATP5MF']",0.021634818217201587,0,0,5
8,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",0.000239541463871127,inf,inf,"['UQCC3', 'UQCRQ', 'CYCS', 'UQCR11', 'UQCR10']",0.021634818217201587,0,0,5
9,Mitochondrial Gene Expression (GO:0140053),0.000239541463871127,inf,inf,"['MRPS17', 'GADD45GIP1', 'MRPS24', 'MRPS12', 'MRPL54']",0.021634818217201587,0,0,5
10,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),0.000239541463871127,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1', 'ATP5MF']",0.021634818217201587,0,0,5
11,Mitochondrial Translation (GO:0032543),0.000239541463871127,inf,inf,"['MRPS17', 'GADD45GIP1', 'MRPS24', 'MRPS12', 'MRPL54']",0.021634818217201587,0,0,5
12,Cytoplasmic Translation (GO:0002181),0.0002628529316108604,26.288659793814432,216.7214998748027,"['RPL36AL', 'MRPS12', 'RPL26', 'RPL15', 'FAU', 'RPS27A']",0.021634818217201587,0,0,6
13,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),0.0002628529316108604,26.288659793814432,216.7214998748027,"['NDUFA4', 'UQCRQ', 'CYCS', 'UQCR11', 'UQCR10', 'MTLN']",0.021634818217201587,0,0,6
14,Gene Expression (GO:0010467),0.00037193753453023727,8.822916666666666,69.6726727755747,"['MRPS17', 'RPL36AL', 'ALYREF', 'MRPS12', 'FAU', 'RPL26', 'RPL15', 'RPS27A']",0.02842665442481099,0,0,8
15,Peptide Biosynthetic Process (GO:0043043),0.0005867213347178756,10.252158894645941,76.28591018227864,"['MRPS17', 'RPL36AL', 'MRPS12', 'RPL26', 'RPL15', 'FAU', 'RPS27A']",0.039236989259257934,0,0,7
16,Macromolecule Biosynthetic Process (GO:0009059),0.0005867213347178756,10.252158894645941,76.28591018227864,"['MRPS17', 'RPL36AL', 'MRPS12', 'RPL26', 'RPL15', 'FAU', 'RPS27A']",0.039236989259257934,0,0,7
17,ATP Biosynthetic Process (GO:0006754),0.0012796067246827966,inf,inf,"['ATP5MC3', 'ALDOA', 'ATP5MF', 'ATP5MC1']",0.057049133142108015,0,0,4
18,NADH Dehydrogenase Complex Assembly (GO:0010257),0.0012796067246827966,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1']",0.057049133142108015,0,0,4
19,Aerobic Respiration (GO:0009060),0.0012796067246827966,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1']",0.057049133142108015,0,0,4
20,Respiratory Chain Complex IV Assembly (GO:0008535),0.0012796067246827966,inf,inf,"['COA3', 'PET100', 'SCO2', 'COX14']",0.057049133142108015,0,0,4
21,Ribonucleoprotein Complex Biogenesis (GO:0022613),0.0012796067246827966,inf,inf,"['RPS19BP1', 'MRPS12', 'RPL26', 'RSL24D1']",0.057049133142108015,0,0,4
22,Ribosome Biogenesis (GO:0042254),0.0012796067246827966,inf,inf,"['RPS19BP1', 'MRPS12', 'RPL26', 'RSL24D1']",0.057049133142108015,0,0,4
23,Mitochondrial Cytochrome C Oxidase Assembly (GO:0033617),0.0012796067246827966,inf,inf,"['COA3', 'PET100', 'SCO2', 'COX14']",0.057049133142108015,0,0,4
24,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),0.0012796067246827966,inf,inf,"['NDUFB10', 'NDUFB11', 'NDUFS5', 'NDUFA1']",0.057049133142108015,0,0,4
25,Protein Targeting (GO:0006605),0.005439894861944317,17.346938775510203,90.44686149749171,"['TIMM10', 'SRP14', 'GABARAP', 'TOMM5']",0.23282750009121675,0,0,4
26,Regulation Of Mitochondrial Membrane Potential (GO:0051881),0.006807311168057074,inf,inf,"['PRELID1', 'PINK1', 'MTLN']",0.2697712203637433,0,0,3
27,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",0.006807311168057074,inf,inf,"['NDUFB10', 'NDUFA4', 'NDUFS5']",0.2697712203637433,0,0,3
28,Chemical Synaptic Transmission (GO:0007268),0.011416154612616192,3.504166666666667,15.673176851622232,"['SLC32A1', 'HOMER1', 'PNOC', 'CRH', 'SNCG', 'NSG1', 'GABARAP', 'HCRTR1']",0.4362601941249759,0,0,8
29,Regulation Of Stress Fiber Assembly (GO:0051492),0.013891757147177955,8.66326530612245,37.0481043087106,"['GPR65', 'DYNLL1', 'ACTG1', 'PFN2']",0.45042970143880035,0,0,4
30,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),0.013891757147177955,8.66326530612245,37.0481043087106,"['PSMB6', 'UBL4A', 'PINK1', 'UBE2S']",0.45042970143880035,0,0,4
31,Protein Secretion (GO:0009306),0.013891757147177955,8.66326530612245,37.0481043087106,"['ARL4D', 'RAB3A', 'AP1S1', 'VIP']",0.45042970143880035,0,0,4
32,Mitochondrial Transport (GO:0006839),0.013891757147177955,8.66326530612245,37.0481043087106,"['PINK1', 'TIMM10', 'SLC25A5', 'TOMM5']",0.45042970143880035,0,0,4
33,Modification-Dependent Protein Catabolic Process (GO:0019941),0.013891757147177955,8.66326530612245,37.0481043087106,"['UBL4A', 'PINK1', 'UBE2S', 'RPS27A']",0.45042970143880035,0,0,4
34,Vesicle-Mediated Transport (GO:0016192),0.014725213016786223,4.355670103092783,18.37306185729764,"['ARL4D', 'RAB3A', 'AP1S1', 'RHOV', 'NSG1', 'ARF5']",0.4634111155282723,0,0,6
35,Mitochondrion Organization (GO:0007005),0.015440622015820912,5.42948717948718,22.645052381223575,"['CHCHD2', 'PINK1', 'TIMM10', 'COX7A1', 'TOMM5']",0.4720418730550965,0,0,5
36,Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412),0.023390486288872293,12.944162436548224,48.61084297340672,"['HOMER1', 'CRH', 'YWHAH']",0.49541444501095183,0,0,3
37,Carbohydrate Catabolic Process (GO:0016052),0.023390486288872293,12.944162436548224,48.61084297340672,"['LDHA', 'TPI1', 'GAPDH']",0.49541444501095183,0,0,3
38,Positive Regulation Of Cellular Respiration (GO:1901857),0.023390486288872293,12.944162436548224,48.61084297340672,"['PINK1', 'PRELID1', 'ISCU']",0.49541444501095183,0,0,3
39,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.023390486288872293,12.944162436548224,48.61084297340672,"['PINK1', 'TIMM10', 'TOMM5']",0.49541444501095183,0,0,3
40,Transcription By RNA Polymerase II (GO:0006366),0.023390486288872293,12.944162436548224,48.61084297340672,"['ELOB', 'POLR2I', 'POLR2K']",0.49541444501095183,0,0,3
41,Glycolytic Process (GO:0006096),0.023390486288872293,12.944162436548224,48.61084297340672,"['LDHA', 'TPI1', 'GAPDH']",0.49541444501095183,0,0,3
42,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.023390486288872293,12.944162436548224,48.61084297340672,"['MOAP1', 'TIMM10', 'TOMM5']",0.49541444501095183,0,0,3
