Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,MYC (mouse),7.3109666284978915e-06,3.9656831973216153,46.89870509362089,"['BEX4', 'TMEM184A', 'HOMER1', 'H2AFZ', 'GPR65', 'DIRAS1', 'WDR64', 'UQCR11', 'COPS7A', 'MIF', 'SRP14', 'OAZ1', 'ACTG1', 'TRPM1', 'PRDX5', 'GNG3', 'LDHA', 'DDT', 'UQCRQ', 'CCDC85B', 'FAM32A', 'TOMM5', 'RAN']",0.0018716074568954602,0,0,23
2,ATF4 (human),2.0542431568331074e-05,3.2873563218390807,35.480495882919485,"['MESP1', 'ZNF593', 'BEX1', 'RAB3A', 'CITED1', 'DIRAS1', 'TMEM160', 'AIF1', 'LDHA', 'ZNHIT2', 'PARD6A', 'TAC1', 'SULT4A1', 'YWHAH', 'MOAP1', 'CCK', 'ARL4D', 'FNDC4', 'UBE2S', 'CRH', 'CYCS', 'CALM3', 'RHOV', 'RPP25', 'RSL24D1', 'RAN']",0.0026294312407463775,0,0,26
3,EGR1 (mouse),5.336527168998422e-05,4.299028536733455,42.29534897973762,"['GADD45GIP1', 'NRN1', 'GPX4', 'H2AFZ', 'NDUFB11', 'ACTG1', 'SPRED2', 'PRDX5', 'FAP', 'CYCS', 'RPS27A', 'PHLDA2', 'ALDOA', 'RAN', 'ARF5', 'YWHAH', 'PFN2']",0.0045538365175453194,0,0,17
4,RELA (mouse),0.00012439480078713162,2.8964285714285714,26.044831036356936,"['NRN1', 'RAB3A', 'DCTN3', 'PRELP', 'SPRED2', 'PARD6A', 'TMEM203', 'RPL36AL', 'STAB1', 'BANF1', 'RPL15', 'SULT4A1', 'YWHAH', 'TMEM184A', 'MOAP1', 'GPX4', 'HOMER1', 'NAP1L5', 'HIST3H2A', 'CYCS', 'FAM32A', 'ALDOA', 'GAPDH', 'RAN', 'PVALB']",0.007961267250376424,0,0,25
5,SP1 (mouse),0.00041689032908880314,2.7980649188514355,21.77646450590456,"['TMEM184A', 'NRN1', 'GPX4', 'HOMER1', 'H2AFZ', 'DIRAS1', 'COPS7A', 'OAZ1', 'ACTG1', 'UQCRQ', 'RPL36AL', 'UBE2S', 'CAMK2N2', 'SNCG', 'NEFL', 'BANF1', 'PHLDA2', 'TMSB10', 'RAN', 'ARF5', 'YWHAH', 'PFN2']",0.021344784849346723,0,0,22
6,MIR138 (human),0.0005866727215654297,2.6346045197740113,19.60420667307127,"['OST4', 'F8A1', 'NRN1', 'TPI1', 'SERPINA1', 'CITED1', 'DIRAS1', 'TPRG1L', 'COX7A1', 'GCHFR', 'ARL4D', 'PCP4', 'RPL36AL', 'SCO2', 'SDHAF1', 'STAB1', 'THEM5', 'PHLDA2', 'SEPHS2', 'GAPDH', 'TOMM5', 'PVALB', 'PFN2']",0.02503136945345833,0,0,23
7,ARNT (human),0.0006867312470589234,3.0183150183150182,21.984101293365114,"['LRRC25', 'NRN1', 'CITED1', 'UQCR10', 'C4ORF48', 'DEXI', 'AIF1', 'PCP4', 'PINK1', 'DDT', 'CYCS', 'AP1S1', 'CALM3', 'C6ORF118', 'SULT4A1', 'POLR2K', 'FAM50B', 'LY6E']",0.025114742749583484,0,0,18
8,ESR1 (human),0.0008993848935144463,2.6559590316573556,18.628364075007205,"['GADD45GIP1', 'MESP1', 'OST4', 'GPX4', 'CCDC115', 'TMEM160', 'LAGE3', 'AIF1', 'HCRTR1', 'C1ORF216', 'SPRED2', 'ARL4D', 'SNN', 'C9ORF16', 'PYDC1', 'CALM3', 'FAU', 'HBQ1', 'POLR2I', 'ALDOA', 'NOP10']",0.026447022762534307,0,0,21
9,XBP1 (human),0.0009394975557016523,4.923976608187134,34.3209310933718,"['MESP1', 'ZNHIT2', 'PARD6A', 'MRPS24', 'TUSC1', 'SNCG', 'TIMM10', 'TAC1', 'SEPHS2', 'RND3']",0.026447022762534307,0,0,10
10,NFATC3 (mouse),0.0010330868266614963,2.7766886472999466,19.090301004243738,"['NPB', 'RNASEK', 'NRN1', 'GPR65', 'TUSC1', 'TNFRSF11B', 'LAGE3', 'SPRED2', 'TMEM114', 'FAP', 'CAMK2N2', 'STAB1', 'THEM5', 'SNCG', 'RPL15', 'ALDOA', 'POLR2K', 'NOP10', 'PFN2']",0.026447022762534307,0,0,19
11,ZNF354C (human),0.001687395877532839,2.7065934065934067,17.280431924456085,"['TMEM184A', 'RPS19BP1', 'CITED1', 'NDUFA4', 'DIRAS1', 'MRPS12', 'COPS7A', 'CCK', 'DYNLL1', 'LAGE3', 'TCEAL7', 'HINT1', 'PINK1', 'SCO2', 'C9ORF16', 'BANF1', 'RPL26', 'TMSB10']",0.039270304058946076,0,0,18
12,NRF1 (human),0.0019423790097625455,3.557446808510638,22.21213495440439,"['MESP1', 'LDHA', 'PINK1', 'PARD6A', 'HIST3H2A', 'NDUFB11', 'SCO2', 'MRPS12', 'AP1S1', 'DNAJB9', 'C4ORF48', 'RAN']",0.0414374188749343,0,0,12
13,CREM (human),0.0033647601835626855,3.0441880101322827,17.334819901363375,"['SIGLEC9', 'TUSC1', 'TIMM10', 'MRPL54', 'C1ORF216', 'SPRED2', 'ZNHIT2', 'PARD6A', 'CCDC85B', 'NDUFS5', 'VIP', 'TAC1', 'RAN']",0.06342014886807526,0,0,13
14,E2F1 (mouse),0.0036474637054278334,2.1084656084656084,11.836342362000234,"['MRPS17', 'RPS19BP1', 'MRPS12', 'LAGE3', 'RND3', 'PARD6A', 'RPL36AL', 'CCDC85B', 'AP1S1', 'TMSB10', 'POLR2K', 'TMEM184A', 'MOAP1', 'ATP6V1G2', 'CCDC115', 'NAP1L5', 'GCHFR', 'PCP4', 'FNDC4', 'RPL26', 'RPP25', 'SLC25A5', 'RSL24D1', 'NOP10', 'RAN']",0.06342014886807526,0,0,25
15,HIF1A (human),0.003716024347738785,2.4515484515484514,13.716660962154803,"['BEX4', 'MRPS17', 'RPS19BP1', 'CCDC115', 'COX7A1', 'GCHFR', 'C1ORF216', 'SPRED2', 'ZNHIT2', 'DDT', 'NDUFS5', 'C9ORF16', 'PNOC', 'BANF1', 'FAU', 'RHOV', 'RPP25', 'BEX5']",0.06342014886807526,0,0,18
16,E2F1 (human),0.004220238078530036,1.8332886625569553,10.024172595271011,"['RNASEK', 'NDUFB10', 'CITED1', 'MRPS12', 'TPRG1L', 'UQCR10', 'TMEM141', 'GABARAP', 'ACTG1', 'CHCHD2', 'GNG3', 'PARD6A', 'CAMK2N2', 'AP1S1', 'RPL15', 'PHLDA2', 'UBL4A', 'OST4', 'MOAP1', 'F8A1', 'TPI1', 'ATP6V1G2', 'GPX4', 'SLC32A1', 'MIF', 'DYNLL1', 'NAP1L5', 'HIST3H2A', 'UQCRQ', 'SCO2', 'CYCS', 'PYDC1', 'FAM32A', 'ALDOA', 'GAPDH', 'ISCU']",0.06752380925648058,0,0,36
17,ELK4 (human),0.004608309808254719,2.457253657676714,13.219764516949107,"['TSTD1', 'MRPS12', 'UQCR11', 'CCK', 'UQCR10', 'TIMM10', 'MRPL54', 'SPRED2', 'PRDX5', 'ZNHIT2', 'FNDC4', 'C9ORF16', 'DNAJB9', 'RPP25', 'ALDOA', 'GAPDH', 'NOP10']",0.06823774999612779,0,0,17
18,MAX (human),0.004797966796602736,2.3093922651933703,12.33114557218683,"['UBL4A', 'RNASEK', 'NRN1', 'H2AFZ', 'CCDC115', 'COPS7A', 'CCK', 'C4ORF48', 'ACTG1', 'TRPM1', 'LDHA', 'PINK1', 'SNN', 'SCO2', 'STAB1', 'ALDOA', 'SULT4A1', 'RAN', 'PFN2']",0.06823774999612779,0,0,19
