Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-572,0.0005327134643966267,5.546052631578948,41.803520725207754,"['TMEM184A', 'MOAP1', 'SPRED2', 'ZNF593', 'CCDC85B', 'GPR65', 'CCDC184', 'SULT4A1', 'FAM50B', 'RAN']",0.3515908865017736,0,0,10
2,hsa-miR-4754,0.0027296992086357007,6.1367875647668395,36.228917258340935,"['TMEM184A', 'F8A1', 'UQCC3', 'SLC32A1', 'TMEM141', 'OAZ1', 'DEXI']",0.7115800655778992,0,0,7
3,mmu-miR-1839-3p,0.008304147327850035,2.619591638308216,12.550464091666456,"['UBL4A', 'UQCC3', 'DYNLL1', 'C1ORF216', 'SPRED2', 'FLG2', 'SNN', 'FNDC4', 'CYCS', 'NEFL', 'CCDC184', 'SULT4A1', 'LAMTOR5']",0.7115800655778992,0,0,13
4,hsa-miR-518c,0.008727448759396721,5.2329896907216495,24.81108082195418,"['TMEM184A', 'OST4', 'SPRED2', 'SNN', 'NDUFA4', 'CCDC184']",0.7115800655778992,0,0,6
5,hsa-miR-518b,0.008727448759396721,5.2329896907216495,24.81108082195418,"['TMEM184A', 'OST4', 'SPRED2', 'SNN', 'NDUFA4', 'CCDC184']",0.7115800655778992,0,0,6
6,hsa-miR-518a-3p,0.008727448759396721,5.2329896907216495,24.81108082195418,"['TMEM184A', 'OST4', 'SPRED2', 'SNN', 'NDUFA4', 'CCDC184']",0.7115800655778992,0,0,6
7,hsa-miR-518f,0.008727448759396721,5.2329896907216495,24.81108082195418,"['TMEM184A', 'OST4', 'SPRED2', 'SNN', 'NDUFA4', 'CCDC184']",0.7115800655778992,0,0,6
8,hsa-miR-518d-3p,0.008727448759396721,5.2329896907216495,24.81108082195418,"['TMEM184A', 'OST4', 'SPRED2', 'SNN', 'NDUFA4', 'CCDC184']",0.7115800655778992,0,0,6
9,hsa-miR-3960,0.009703364530607717,3.2945026178010473,15.270950642779589,"['TMEM184A', 'HIST3H2A', 'SLC32A1', 'DIRAS1', 'CAMK2N2', 'PRELP', 'MIF', 'PHLDA2', 'DEXI']",0.7115800655778992,0,0,9
10,mmu-miR-503,0.014245679014689315,2.2970927917164476,9.765634364806644,"['NRN1', 'RPS19BP1', 'HOMER1', 'NDUFB11', 'PRELP', 'SRP14', 'RND3', 'SNN', 'EMC6', 'PHLDA2', 'SULT4A1', 'NOP10', 'LY6E', 'YWHAH']",0.8450341597086557,0,0,14
11,hsa-miR-515-3p,0.016040407504420536,1.8447336561743342,7.623627976362747,"['TMEM184A', 'UBL4A', 'TPI1', 'SPRYD3', 'SERPINA1', 'WDR64', 'TNFRSF11B', 'AARD', 'SPRED2', 'PINK1', 'SNN', 'TMEM203', 'CCDC85B', 'CAMK2N2', 'PNOC', 'CYCS', 'RHOV', 'RPP25', 'RSL24D1', 'CCDC184', 'POLR2K', 'LAMTOR5', 'PFN2']",0.8450341597086557,0,0,23
