Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,FOS human,0.03820063265678569,2.7016014017358705,8.820467066543964,"['PDHA1', 'CCND1', 'STAR', 'DDIT3', 'NEFL', 'CCK']",0.9777588602434053,0,0,6
2,AATF mouse,0.041465942491989885,10.337068160597573,32.90167698333048,"['BAX', 'TPT1']",0.9777588602434053,0,0,2
3,NEUROG2 mouse,0.041465942491989885,10.337068160597573,32.90167698333048,"['RND2', 'DLL3']",0.9777588602434053,0,0,2
4,FOXO4 mouse,0.06511003942800299,6.890756302521009,18.823317239179996,"['CCND1', 'GADD45A']",0.9777588602434053,0,0,2
5,NR1I3 mouse,0.06511003942800299,6.890756302521009,18.823317239179996,"['SQLE', 'ATP6V1E1']",0.9777588602434053,0,0,2
6,TAL1 mouse,0.09205801549853529,5.167600373482727,12.326464741506106,"['CCND1', 'KIT']",0.9777588602434053,0,0,2
7,ERCC2 human,0.09205801549853529,5.167600373482727,12.326464741506106,"['BAX', 'LAMTOR5']",0.9777588602434053,0,0,2
8,FOXO3 mouse,0.09205801549853529,5.167600373482727,12.326464741506106,"['CCND1', 'GADD45A']",0.9777588602434053,0,0,2
9,NR0B1 human,0.09205801549853529,5.167600373482727,12.326464741506106,"['STAR', 'NOS1']",0.9777588602434053,0,0,2
10,NRF1 mouse,0.10081206046215255,3.1017757009345797,7.117015918456118,"['COX4I1', 'COX17', 'NOS1']",0.9777588602434053,0,0,3
11,ASCL1 mouse,0.12154275247636476,4.133706816059758,8.711742495038306,"['CDKN2D', 'DLL3']",0.9777588602434053,0,0,2
12,NPM1 human,0.12154275247636476,4.133706816059758,8.711742495038306,"['RPL3', 'CCND1']",0.9777588602434053,0,0,2
13,PPARD human,0.12154275247636476,4.133706816059758,8.711742495038306,"['TXN', 'SOD1']",0.9777588602434053,0,0,2
14,PAX5 human,0.1409253887332135,2.584345794392523,5.064089382765928,"['XBP1', 'CCND1', 'BAX']",0.9777588602434053,0,0,3
15,SREBF2 mouse,0.15290667647219758,3.4444444444444446,6.468416949224069,"['HMGCS1', 'FABP6']",0.9777588602434053,0,0,2
16,REST human,0.1569193522078525,2.067913938260056,3.8298247667241236,"['CD59', 'TAC1', 'VIP', 'CHGB']",0.9777588602434053,0,0,4
17,EOMES mouse,0.16888568867413936,10.328358208955224,18.36932788623714,['MESP1'],0.9777588602434053,0,0,1
18,MAZ human,0.16888568867413936,10.328358208955224,18.36932788623714,['HRAS'],0.9777588602434053,0,0,1
19,MTF1 mouse,0.16888568867413936,10.328358208955224,18.36932788623714,['SELENOW'],0.9777588602434053,0,0,1
20,RUNX3 mouse,0.16888568867413936,10.328358208955224,18.36932788623714,['ITGAE'],0.9777588602434053,0,0,1
21,ATF1 human,0.18534618365883312,2.2147530040053405,3.7330324968810014,"['LDHA', 'MAP1LC3B', 'FTH1']",0.9777588602434053,0,0,3
