Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4670-5p,0.26324336807125914,1.2132706374085684,1.619323590467772,"['NTRK2', 'COPS7A', 'PEX10', 'OCEL1', 'COPZ1', 'NUBP2', 'FAM200B', 'SPRED2', 'OBSCN', 'CYCS', 'CALM3', 'RPRML', 'TMCC1', 'IGFBP6', 'ZNF532', 'PAK4', 'COX20']",0.999995187243354,0,0,17
2,hsa-miR-652,0.4726149052030955,1.0378578552782909,0.7778478684594766,"['LRPAP1', 'NTRK2', 'F8A1', 'TRAF3IP1', 'FBXO48', 'MED27', 'COMMD6', 'MRPL30', 'PRPF4', 'RINL', 'COMMD9', 'SERBP1', 'CHMP3', 'PFDN1', 'FAM32A', 'RPRML', 'CENPBD1', 'SLC25A4', 'COX20', 'YWHAH']",0.999995187243354,0,0,20
3,hsa-miR-4798-5p,0.476274347299719,1.0475428008375416,0.777026637379029,"['LRPAP1', 'SET', 'TRAF3IP1', 'RPL22', 'GDI2', 'GON7', 'EPB41L5', 'NSDHL', 'ZNF609', 'IFT22', 'SERBP1', 'NEFL', 'NAA38', 'BORCS8']",0.999995187243354,0,0,14
4,hsa-miR-671-3p,0.5006522070859578,1.0215992647058822,0.7067869298027358,"['TMEM184A', 'TOMM40', 'SHC3', 'ANKRD33B', 'RPS19BP1', 'DCLK2', 'LSM5', 'SELENOK', 'RAI1', 'FUNDC2', 'SPCS2', 'PGBD5', 'C19ORF53', 'NRIP2', 'PIP5K1A', 'PHLDA2', 'RPS24', 'BORCS6', 'RPL26L1']",0.999995187243354,0,0,19
5,mmu-miR-1901,0.5405402869004219,1.0175461776286234,0.6259802730558874,"['NRN1', 'MAFB', 'RPS19BP1', 'POLE3', 'SRSF3', 'FAM192A', 'MRPL15']",0.999995187243354,0,0,7
6,mmu-miR-5126,0.5577129132857506,0.992202764310008,0.5793580500854436,"['SPRED2', 'FABP3', 'HSBP1', 'TTC7B', 'RPL28', 'PTMA', 'DEXI', 'ZNF532', 'HABP2', 'COPS9']",0.999995187243354,0,0,10
7,mmu-miR-1945,0.5804322403277677,0.9733044604980564,0.5294603124486374,"['LRPAP1', 'RAI1', 'ZNF609', 'MAFB', 'YEATS2', 'YWHAQ', 'NACA', 'CCNYL1', 'RPRML', 'HABP2']",0.999995187243354,0,0,10
8,mmu-miR-718,0.5943267077111875,0.9626817752596789,0.5009084515819708,"['SETD2', 'RPS19BP1', 'BAD', 'ARPC5L', 'PRICKLE2', 'FIGNL2', 'SMG6', 'SERP2', 'FAP', 'RAB14', 'EIF4H', 'SRSF3', 'CTXN2', 'RHCG']",0.999995187243354,0,0,14
9,hsa-miR-572,0.6107601892272321,0.9581004001248616,0.4723922510093465,"['ZNF593', 'ANKRD33B', 'DMAC1', 'PHB', 'SERP2', 'SPRED2', 'RINL', 'CCDC85B', 'BAG1', 'EIF4H', 'CD59', 'TMEM184A', 'MOAP1', 'NTRK2', 'PDHA1', 'PRSS36', 'MED29', 'PPDPF', 'LYRM7', 'SRSF3', 'CENPBD1', 'PPIB', 'RPL28', 'RAN', 'FAM50B']",0.999995187243354,0,0,25
10,mmu-miR-5109,0.6242382623819308,0.9375694860172753,0.44180444912442174,"['PDHA1', 'MAFB', 'SUMO1', 'FBXO2', 'NDUFA2', 'FIGNL2', 'DSTN', 'DEXI', 'RSL24D1', 'BORCS6']",0.999995187243354,0,0,10
11,hsa-miR-4800-3p,0.6575496939341609,0.9191702302977812,0.3853482741962097,"['TMEM184A', 'KDM5A', 'VPS29', 'FOXF2', 'NDUFA5', 'POP4', 'TUSC1', 'MAK16', 'COMMD6', 'LSM4', 'HAPLN1', 'ZNF609', 'RNF150', 'LLPH']",0.999995187243354,0,0,14
12,mmu-miR-1843b-3p,0.6613279917466524,0.8971704623878537,0.3709847921906475,"['PAN3', 'RPL22']",0.999995187243354,0,0,2
13,hsa-miR-614,0.6684911833829426,0.9171922100587022,0.36938271843067094,"['NTRK2', 'SHC3', 'HSBP1', 'RPA2', 'BRK1', 'NDUFC2', 'COPS7A', 'RND2', 'EML4', 'EPB41L5', 'STBD1', 'GRPEL2', 'LYRM7', 'EIF4H', 'CYCS', 'CD59', 'SNX8']",0.999995187243354,0,0,17
14,mmu-miR-3960,0.7133403183604025,0.8659493901041131,0.29251481827726394,"['ARL4D', 'MAFB', 'CCDC85B', 'BAD', 'BRK1', 'RPL13A', 'CALM3', 'CCDC106', 'PHLDA2', 'ZNF532']",0.999995187243354,0,0,10
15,hsa-miR-548al,0.726291845653874,0.8950138848592862,0.28622844196404845,"['TMEM184A', 'NDRG3', 'OSBPL5', 'DHX8', 'TMEM167A', 'POP4', 'RPL36A', 'MRPS18B', 'PRICKLE2', 'C1ORF43', 'ADCY2', 'COQ10B', 'MRPL54', 'ACTG1', 'EPB41L5', 'MYL6', 'ZNF609', 'FEZ1', 'RPL27A', 'GSE1', 'NRIP3', 'CALM3', 'CENPBD1', 'RPS23']",0.999995187243354,0,0,24
16,hsa-miR-3186-3p,0.7320095794718874,0.8638709677419355,0.2694946370145471,"['LRPAP1', 'CCDC25', 'ALYREF', 'FIGNL2', 'ADCY2', 'CCDC106', 'MED26', 'HDDC3', 'NUBP2', 'TXN2', 'IFT22', 'CCND1', 'PAK4']",0.999995187243354,0,0,13
17,hsa-miR-518e,0.7388036997947642,0.8797818199527602,0.2663302119635558,"['LRPAP1', 'NTRK2', 'RPS9', 'SLC32A1', 'NDUFA4', 'TRAF3IP1', 'CCDC115', 'CCDC25', 'TPRG1L', 'PRICKLE2', 'C1ORF43', 'EIF2S1', 'CISD3', 'CPEB1', 'TCEAL6', 'RAB14', 'POLE3', 'NHLRC1', 'NAA38', 'CTXN1']",0.999995187243354,0,0,20
