Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NR5A1 (human),0.006230425906950259,2.5094017094017094,12.74352126197602,"['FLG2', 'SCGN', 'KCTD19', 'FRMD6', 'F11', 'CLEC5A', 'NCF4', 'WDR64', 'SLC17A6', 'XYLT1', 'TNFRSF11B', 'AIF1']",0.7570799244781327,0,0,12
2,LEF1 (mouse),0.009690391811185792,2.355340848094471,10.920821470700387,"['TMEM184A', 'TMEM45B', 'THEG', 'RASL10B', 'NRIP2', 'APOC1', 'SIDT1', 'XYLT1', 'SLC38A11', 'ASPHD2', 'SNX8', 'POLE']",0.7570799244781327,0,0,12
3,SREBF1 (human),0.012134787360299921,1.9960246360582308,8.805819896128865,"['TMEM184A', 'LRRC25', 'FOXF2', 'ROM1', 'NCF4', 'PNMA5', 'SIRPB2', 'SKA3', 'AIF1', 'CPT1B', 'TRPM1', 'FCGR3A', 'TDG', 'STAB1', 'APOC1', 'SIDT1', 'RSPH10B2']",0.7570799244781327,0,0,17
4,NR5A1 (mouse),0.016936591310228948,2.4687039764359353,10.068063167997835,"['LRRC25', 'HELB', 'FSHR', 'GPR65', 'ROM1', 'APOC1', 'DDX43', 'SNX8', 'CPT1B']",0.7570799244781327,0,0,9
5,NFATC3 (mouse),0.023069462875126883,2.330487804878049,8.784180646786048,"['SPRED2', 'TMEM114', 'FAP', 'GPR65', 'STAB1', 'CLEC5A', 'THEM5', 'SLC38A11', 'TNFRSF11B']",0.7570799244781327,0,0,9
6,BRCA1 (human),0.023753716834920124,2.124548736462094,7.945846824701081,"['TMEM45B', 'OPN4', 'CD163', 'SERPINA1', 'SIGLEC9', 'GPR65', 'ROM1', 'PNMA5', 'SLC38A11', 'MTRNR2L8', 'HCG9']",0.7570799244781327,0,0,11
7,CBEPA (human),0.024895378399727067,2.1919777876939857,8.095134201722107,"['COLEC11', 'SCGN', 'HELB', 'KCTD19', 'RASL10B', 'NRIP2', 'CLEC5A', 'APOC1', 'FIGNL2', 'SIRPB2']",0.7570799244781327,0,0,10
8,MYC (mouse),0.02777344208882156,2.06887667468224,7.414181690465005,"['TMEM184A', 'PDLIM1', 'TRPM1', 'THEG', 'HELB', 'HOMER1', 'GPR65', 'WDR64', 'ASPHD2', 'SNX8', 'CPT1B']",0.7570799244781327,0,0,11
9,TP53 (mouse),0.028438120813051686,2.238933601609658,7.970659039189387,"['ANKRD33B', 'FRMD6', 'CD80', 'NRIP2', 'CLEC5A', 'STARD10', 'CPT1B', 'LUC7L2', 'SLC25A25']",0.7570799244781327,0,0,9
10,KLF11 (human),0.034426903138882664,1.9330655957161982,6.512337455254008,"['TMEM184A', 'THEG', 'SERPINA1', 'SIGLEC9', 'FOXF2', 'RASL10B', 'CD80', 'ROM1', 'PNMA5', 'ASPHD2', 'SNX8', 'POLE']",0.7570799244781327,0,0,12
11,RELA (mouse),0.04196067141859175,1.923940949935815,6.100860029731454,"['TMEM184A', 'SPRED2', 'ANKRD33B', 'SHC3', 'HOMER1', 'TDG', 'STAB1', 'STARD10', 'SIDT1', 'PRELP', 'SLC25A25']",0.7570799244781327,0,0,11
12,CACYBP (human),0.04445916197561875,1.9038293477397314,5.926971482147431,"['TMEM184A', 'LRRC25', 'SPRED2', 'THEG', 'SIGLEC9', 'STAB1', 'APOC1', 'PNMA5', 'ASPHD2', 'CPT1B', 'SLC25A25']",0.7570799244781327,0,0,11
13,SRY (human),0.04718134016126509,3.1310861423220975,9.56157559888622,"['COLEC11', 'FCGR3A', 'OPN4', 'FRMD6']",0.7570799244781327,0,0,4
14,NFAT2 (human),0.04821172414301378,2.1117351463198344,6.403104160528648,"['SCGN', 'FCGR3A', 'SHC3', 'GPR65', 'CLEC5A', 'C6ORF118', 'MTRNR2L8', 'RSPH10B2']",0.7570799244781327,0,0,8
15,NR1H2 (human),0.05188120867142881,2.619949494949495,7.751902956310962,"['TMEM184A', 'TRPM1', 'APOC1', 'SKA3', 'SLC25A25']",0.7570799244781327,0,0,5
16,KLF4 (human),0.055997909487702655,1.7765397709687403,5.120770930995926,"['TMEM184A', 'THEG', 'SERPINA1', 'SIGLEC9', 'FOXF2', 'RASL10B', 'CD80', 'ROM1', 'PNMA5', 'ASPHD2', 'SNX8', 'POLE']",0.7570799244781327,0,0,12
17,NR2F1 (mouse),0.05830751355365511,2.2961460446247464,6.525702893078309,"['FSHR', 'TDG', 'GPR65', 'F11', 'NCF4', 'ASPHD2']",0.7570799244781327,0,0,6
18,RORB (mouse),0.05830751355365511,2.2961460446247464,6.525702893078309,"['FSHR', 'TDG', 'GPR65', 'F11', 'NCF4', 'ASPHD2']",0.7570799244781327,0,0,6
19,SPI1 (human),0.05847365270359561,1.8651283579547873,5.295433279883884,"['FCGR3A', 'HELB', 'SHC3', 'FRMD6', 'SERPINA1', 'GPR65', 'NCF4', 'SIRPB2', 'SLC38A11', 'SLC25A25']",0.7570799244781327,0,0,10
20,ETV4 (human),0.0652927021402084,1.8239046149997915,4.977207720667698,"['TMEM45B', 'SPRED2', 'SIGLEC9', 'FOXF2', 'UBASH3B', 'ROM1', 'ASPHD2', 'PMFBP1', 'AIF1', 'PSORS1C1']",0.8031002363245633,0,0,10
21,BCL6 (human),0.07458018156926413,1.9102874026322858,4.958877759963889,"['PDLIM1', 'FLG2', 'SPRED2', 'SCGN', 'SHC3', 'CD80', 'NCF4', 'SLC38A11']",0.8736535555256655,0,0,8
22,POU1F1 (human),0.08232510121794749,1.865546218487395,4.658416698425791,"['FLG2', 'COLEC11', 'FSHR', 'GPR65', 'CLEC5A', 'SLC17A6', 'DSG1', 'SNX8']",0.9033261936270733,0,0,8
23,Stat3 (mouse),0.08555343821820735,1.8482040603852161,4.544020543828648,"['TMEM184A', 'PDLIM1', 'TRPM1', 'NRIP2', 'GPR65', 'NCF4', 'WDR64', 'CD14']",0.9033261936270733,0,0,8
