Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,SPI1 mouse,0.0074491874257069145,20.479120879120877,100.34053122838324,"['NCF4', 'AIF1']",0.2333057583198738,0,0,2
2,PAX2 mouse,0.019549992311287602,inf,inf,['SFRP2'],0.2333057583198738,0,0,1
3,SP2 human,0.038721890052705446,50.68478260869565,164.79397829578753,['CD14'],0.2333057583198738,0,0,1
4,RORA mouse,0.038721890052705446,50.68478260869565,164.79397829578753,['CPT1B'],0.2333057583198738,0,0,1
5,FOXD3 human,0.038721890052705446,50.68478260869565,164.79397829578753,['RND3'],0.2333057583198738,0,0,1
6,MEF2D human,0.05752286728153826,25.33695652173913,72.35152181037093,['CD14'],0.2333057583198738,0,0,1
7,PPARGC1A mouse,0.05752286728153826,25.33695652173913,72.35152181037093,['CPT1B'],0.2333057583198738,0,0,1
8,IRF7 human,0.05752286728153826,25.33695652173913,72.35152181037093,['CD80'],0.2333057583198738,0,0,1
9,PPARG human,0.06782071039626386,5.103296703296703,13.732398163047673,"['TNFRSF11B', 'CPT1B']",0.2333057583198738,0,0,2
10,MEF2C human,0.07596001433670309,16.88768115942029,43.52881224721929,['CPT1B'],0.2333057583198738,0,0,1
11,ASCL1 mouse,0.07596001433670309,16.88768115942029,43.52881224721929,['RND3'],0.2333057583198738,0,0,1
12,TRERF1 human,0.07596001433670309,16.88768115942029,43.52881224721929,['CD80'],0.2333057583198738,0,0,1
13,CREB5 human,0.07596001433670309,16.88768115942029,43.52881224721929,['TNFRSF11B'],0.2333057583198738,0,0,1
14,RXRA human,0.07596001433670309,16.88768115942029,43.52881224721929,['CPT1B'],0.2333057583198738,0,0,1
15,USF1 mouse,0.0940402933884855,12.66304347826087,29.935839183089584,['FSHR'],0.2527332884815548,0,0,1
16,USF2 mouse,0.0940402933884855,12.66304347826087,29.935839183089584,['FSHR'],0.2527332884815548,0,0,1
17,NR5A1 human,0.11177053660087051,10.128260869565217,22.194131875034824,['FSHR'],0.26700739299096843,0,0,1
18,BCL6 human,0.11177053660087051,10.128260869565217,22.194131875034824,['CD80'],0.26700739299096843,0,0,1
19,MITF human,0.1462076028318132,7.2313664596273295,13.903948818187336,['TRPM1'],0.31434634608839834,0,0,1
20,MITF mouse,0.1462076028318132,7.2313664596273295,13.903948818187336,['TRPM1'],0.31434634608839834,0,0,1
21,SMAD1 mouse,0.16292745520215696,6.326086956521739,11.47836997977967,['TNFRSF11B'],0.31844911698603406,0,0,1
22,PAX6 mouse,0.16292745520215696,6.326086956521739,11.47836997977967,['SFRP2'],0.31844911698603406,0,0,1
23,HDAC1 mouse,0.17932333484125482,5.621980676328502,9.661737887008748,['FSHR'],0.3352566694858242,0,0,1
24,MEF2C mouse,0.19540145206101087,5.058695652173913,8.259327879847659,['SFRP2'],0.3360904975449387,0,0,1
25,ETS2 mouse,0.19540145206101087,5.058695652173913,8.259327879847659,['STAB1'],0.3360904975449387,0,0,1
26,STAT6 human,0.21116789955211904,4.5978260869565215,7.150087299576912,['SIDT1'],0.349239218490043,0,0,1
27,VDR human,0.22662865440289265,4.213768115942029,6.255096412009029,['CD14'],0.3609271162712735,0,0,1
28,WT1 human,0.24178958034369133,3.8887959866220734,5.5208747947189805,['CD14'],0.3713197126706689,0,0,1
29,ETS2 human,0.27123484634499,3.368840579710145,4.395562937428027,['CD163'],0.38876994642781904,0,0,1
30,KLF4 human,0.27123484634499,3.368840579710145,4.395562937428027,['CD14'],0.38876994642781904,0,0,1
31,EP300 mouse,0.2855303659690207,3.157608695652174,3.957768510463154,['CPT1B'],0.39605824956993196,0,0,1
32,SPI1 human,0.3132943359581308,2.8055555555555554,3.2561618928845637,['CD163'],0.42098926394373826,0,0,1
33,CEBPA human,0.32677334105559536,2.6573226544622424,2.972184816627939,['CD163'],0.42579556561789694,0,0,1
34,EGR1 human,0.40232265979844545,2.0169565217391305,1.8364406798748942,['FAP'],0.5088198344509751,0,0,1
35,SP3 human,0.42559187445880275,1.8667471819645733,1.5947143906213783,['CD14'],0.5228700171922435,0,0,1
36,JUN mouse,0.4799168350382849,1.5733695652173914,1.1550773880381824,['CD14'],0.5660099022023188,0,0,1
37,E2F1 human,0.5001947972950724,1.4801790281329923,1.025405362637075,['FSHR'],0.5660099022023188,0,0,1
38,RELA mouse,0.5001947972950724,1.4801790281329923,1.025405362637075,['CD80'],0.5660099022023188,0,0,1
39,NFKB1 mouse,0.6645149251207708,0.927938808373591,0.3792466798020348,['CD80'],0.7326703020562345,0,0,1
40,SP1 human,0.6995436772899146,0.8251748251748252,0.29485728279330575,"['CD163', 'CD14']",0.7520094530866582,0,0,2
41,SP1 mouse,0.7925391098376843,0.6390746934225195,0.1485934454760539,['CD14'],0.8160994088525304,0,0,1
42,RELA human,0.812365215231477,0.5999214248297537,0.12466683215685653,['CD80'],0.8160994088525304,0,0,1
43,NFKB1 human,0.8160994088525304,0.5926501035196687,0.12043782472004211,['CD80'],0.8160994088525304,0,0,1
