Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-1193-5p,0.00015051229551941092,3.579746835443038,31.507019270741697,"['TMEM184A', 'ANKRD33B', 'SHC3', 'SERPINA1', 'FOXF2', 'RASL10B', 'CD80', 'FIGNL2', 'XYLT1', 'SPRED2', 'SCGN', 'ASPHD2', 'PMFBP1', 'STUM']",0.04854021530501002,0,0,14
2,mmu-miR-379,0.00015051229551941092,3.579746835443038,31.507019270741697,"['TMEM184A', 'ANKRD33B', 'SHC3', 'SERPINA1', 'FOXF2', 'RASL10B', 'CD80', 'FIGNL2', 'XYLT1', 'SPRED2', 'SCGN', 'ASPHD2', 'PMFBP1', 'STUM']",0.04854021530501002,0,0,14
3,hsa-miR-4800-5p,0.0002808687744117573,3.2051282051282053,26.210330104751907,"['TMEM184A', 'ANKRD33B', 'ZC3HAV1L', 'XYLT1', 'SIRPB2', 'PRELP', 'MTRNR2L8', 'AIF1', 'SPRED2', 'NRIP2', 'TET3', 'DSG1', 'ASPHD2', 'SNX8', 'STUM']",0.05644061537626177,0,0,15
4,mmu-miR-486,0.00045121760052034516,3.1826695482144696,24.517888531053547,"['TMEM45B', 'ST6GAL2', 'ANKRD33B', 'SHC3', 'SERPINA1', 'F11', 'WDR64', 'FIGNL2', 'PRELP', 'TET3', 'CLEC5A', 'SIDT1', 'STUM', 'SLC25A25']",0.05644061537626177,0,0,14
5,mmu-miR-3107,0.00045121760052034516,3.1826695482144696,24.517888531053547,"['TMEM45B', 'ST6GAL2', 'ANKRD33B', 'SHC3', 'SERPINA1', 'F11', 'WDR64', 'FIGNL2', 'PRELP', 'TET3', 'CLEC5A', 'SIDT1', 'STUM', 'SLC25A25']",0.05644061537626177,0,0,14
6,mmu-miR-744,0.0005835944262416638,3.9221634740400453,29.205622710707402,"['TMEM184A', 'OPN4', 'ANKRD33B', 'SHC3', 'SERPINA1', 'NRIP2', 'TET3', 'FIGNL2', 'PRELP', 'STUM']",0.05644061537626177,0,0,10
7,mmu-miR-1298,0.000710984607247796,3.0263958394661956,21.93791907251641,"['SHC3', 'HOMER1', 'CD80', 'GPR65', 'XYLT1', 'RND3', 'TRPM1', 'FLG2', 'SPRED2', 'FCGR3A', 'STAB1', 'CLEC5A', 'C6ORF118', 'LUC7L2']",0.05644061537626177,0,0,14
8,hsa-miR-184,0.0007513007870205577,4.12772397094431,29.693626385020508,"['TMEM184A', 'ANKRD33B', 'RASL10B', 'GPR65', 'FIGNL2', 'XYLT1', 'SNX8', 'STUM', 'SLC25A25']",0.05644061537626177,0,0,9
9,mmu-miR-1247,0.0008017218125684597,5.191214470284238,37.006864327338285,"['ANKRD33B', 'UBASH3B', 'DNAAF3', 'TET3', 'NCF4', 'FIGNL2', 'SLC25A25']",0.05644061537626177,0,0,7
10,mmu-miR-5123,0.000897837251701484,3.4410452961672475,24.140728084523417,"['TMEM184A', 'ST6GAL2', 'HOMER1', 'TET3', 'PNMA5', 'SLC17A6', 'XYLT1', 'DSG1', 'PRELP', 'TNFRSF11B', 'STUM']",0.05644061537626177,0,0,11
