Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-6770-5p,0.0016886513092152977,6.568181818181818,41.93012402147862,"['ANKRD33B', 'RASL10B', 'TET3', 'ZC3HAV1L', 'PRELP']",0.6546895975313128,0,0,5
2,hsa-miR-504-5p,0.001956758809720336,8.689138576779026,54.18951593977359,"['PDLIM1', 'ANKRD33B', 'SIGLEC9', 'RASL10B']",0.6546895975313128,0,0,4
3,hsa-miR-4275,0.0022523724685710304,14.1,85.95037374813704,"['ANKRD33B', 'UBASH3B', 'MTRNR2L8']",0.6546895975313128,0,0,3
4,hsa-miR-3677-3p,0.0036390142612283045,34.146520146520146,191.7683063677235,"['ANKRD33B', 'TET3']",0.7188045724283676,0,0,2
5,mmu-miR-669c-3p,0.006480321969858764,9.111764705882353,45.91404643407462,"['SERPINA1', 'FOXF2', 'XYLT1']",0.7188045724283676,0,0,3
6,hsa-miR-5684,0.009806471652220091,17.062271062271062,78.90810233079296,"['ZC3HAV1L', 'MTRNR2L8']",0.7188045724283676,0,0,2
7,mmu-miR-876-5p,0.010875355156203016,7.369841269841269,33.32093938826799,"['HELB', 'HOMER1', 'LUC7L2']",0.7188045724283676,0,0,3
8,hsa-miR-1250-5p,0.012448889927258367,14.621664050235479,64.13242901556124,"['ANKRD33B', 'DNAAF3']",0.7188045724283676,0,0,2
9,hsa-miR-3154,0.013583426098624295,6.726086956521739,28.914808166070724,"['ANKRD33B', 'ZC3HAV1L', 'PRELP']",0.7188045724283676,0,0,3
10,hsa-miR-154-5p,0.015364637359206108,12.791208791208792,53.41208023990391,"['TET3', 'ZC3HAV1L']",0.7188045724283676,0,0,2
11,hsa-miR-647,0.015364637359206108,12.791208791208792,53.41208023990391,"['SPRED2', 'SLC25A25']",0.7188045724283676,0,0,2
12,hsa-miR-3173-5p,0.018542253046212143,11.367521367521368,45.33030136402167,"['TMEM184A', 'ANKRD33B']",0.7188045724283676,0,0,2
13,hsa-miR-6799-3p,0.018542253046212143,11.367521367521368,45.33030136402167,"['TMEM184A', 'ANKRD33B']",0.7188045724283676,0,0,2
14,mmu-miR-432,0.019549992311287602,inf,inf,['SIGLEC9'],0.7188045724283676,0,0,1
15,mmu-miR-466q,0.021896238007731775,5.519047619047619,21.090711747279247,"['SERPINA1', 'FOXF2', 'XYLT1']",0.7188045724283676,0,0,3
16,hsa-miR-1231,0.021970611382789287,10.228571428571428,39.053192692391924,"['TMEM184A', 'FOXF2']",0.7188045724283676,0,0,2
17,hsa-miR-539-3p,0.025638913560409673,9.296703296703297,34.05981144487625,"['ANKRD33B', 'MTRNR2L8']",0.7188045724283676,0,0,2
18,hsa-miR-5697,0.03015318418341526,4.825,16.894567418726883,"['SIGLEC9', 'TET3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
19,hsa-miR-4513,0.033653738582923844,7.863060016906171,26.668599107155924,"['FLG2', 'TET3']",0.7188045724283676,0,0,2
20,hsa-miR-485-3p,0.033653738582923844,7.863060016906171,26.668599107155924,"['ANKRD33B', 'MTRNR2L8']",0.7188045724283676,0,0,2
21,hsa-miR-6855-3p,0.033653738582923844,7.863060016906171,26.668599107155924,"['FLG2', 'TET3']",0.7188045724283676,0,0,2
22,hsa-miR-584-5p,0.033653738582923844,7.863060016906171,26.668599107155924,"['TET3', 'ZC3HAV1L']",0.7188045724283676,0,0,2
23,hsa-miR-4735-5p,0.03481532939333077,4.53921568627451,15.241313113580528,"['SIGLEC9', 'NRIP2', 'LUC7L2']",0.7188045724283676,0,0,3
24,hsa-miR-6842-3p,0.037980224063459606,7.2998430141287285,23.87552116888785,"['TMEM184A', 'SPRED2']",0.7188045724283676,0,0,2
25,mmu-miR-3095-5p,0.038721890052705446,50.68478260869565,164.79397829578753,['FRMD6'],0.7188045724283676,0,0,1
26,mmu-miR-199a-3p,0.038721890052705446,50.68478260869565,164.79397829578753,['HOMER1'],0.7188045724283676,0,0,1
27,mmu-miR-3969,0.038721890052705446,50.68478260869565,164.79397829578753,['LUC7L2'],0.7188045724283676,0,0,1
28,hsa-miR-1468-5p,0.038721890052705446,50.68478260869565,164.79397829578753,['MTRNR2L8'],0.7188045724283676,0,0,1
29,mmu-miR-467f,0.03982879106716831,4.285185185185185,13.811859912572022,"['SERPINA1', 'FOXF2', 'XYLT1']",0.7188045724283676,0,0,3
30,mmu-miR-3082-5p,0.03982879106716831,4.285185185185185,13.811859912572022,"['SERPINA1', 'ZC3HAV1L', 'LUC7L2']",0.7188045724283676,0,0,3
31,hsa-miR-1272,0.04250656299978022,6.8117216117216115,21.512076166225988,"['ZC3HAV1L', 'PRELP']",0.7188045724283676,0,0,2
32,hsa-miR-4272,0.04722346989358978,6.384615384615385,19.491364162827495,"['HOMER1', 'TET3']",0.7188045724283676,0,0,2
33,hsa-miR-7111-3p,0.047996251754970125,3.952991452991453,12.0037817632236,"['TMEM45B', 'FRMD6', 'SLC25A25']",0.7188045724283676,0,0,3
34,hsa-miR-6074,0.05719323737160314,5.672771672771673,16.231612860731865,"['HOMER1', 'TET3']",0.7188045724283676,0,0,2
35,hsa-miR-4526,0.05719323737160314,5.672771672771673,16.231612860731865,"['ANKRD33B', 'SLC25A25']",0.7188045724283676,0,0,2
36,hsa-miR-7855-5p,0.05719323737160314,5.672771672771673,16.231612860731865,"['TET3', 'ZC3HAV1L']",0.7188045724283676,0,0,2
37,hsa-miR-3660,0.05719323737160314,5.672771672771673,16.231612860731865,"['ANKRD33B', 'SLC25A25']",0.7188045724283676,0,0,2
38,mmu-miR-470-5p,0.05752286728153826,25.33695652173913,72.35152181037093,['SIGLEC9'],0.7188045724283676,0,0,1
39,mmu-miR-5126,0.05752286728153826,25.33695652173913,72.35152181037093,['LUC7L2'],0.7188045724283676,0,0,1
40,mmu-miR-3965,0.05752286728153826,25.33695652173913,72.35152181037093,['DSG1'],0.7188045724283676,0,0,1
41,mmu-miR-467b-5p,0.05752286728153826,25.33695652173913,72.35152181037093,['SLC17A6'],0.7188045724283676,0,0,1
42,hsa-miR-2115-5p,0.06242889741037337,5.373048004626952,14.903368383332682,"['DNAAF3', 'POLE']",0.7188045724283676,0,0,2
43,hsa-miR-3159,0.06782071039626386,5.103296703296703,13.732398163047673,"['ZC3HAV1L', 'MTRNR2L8']",0.7188045724283676,0,0,2
44,hsa-miR-6732-3p,0.06782071039626386,5.103296703296703,13.732398163047673,"['SIGLEC9', 'RASL10B']",0.7188045724283676,0,0,2
45,hsa-miR-548x-3p,0.0699485975614308,3.3463768115942027,8.901344339524838,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
46,hsa-miR-548aq-3p,0.0699485975614308,3.3463768115942027,8.901344339524838,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
47,hsa-miR-548aj-3p,0.0699485975614308,3.3463768115942027,8.901344339524838,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
48,hsa-miR-548ae-3p,0.0699485975614308,3.3463768115942027,8.901344339524838,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
49,hsa-miR-4306,0.0699485975614308,3.3463768115942027,8.901344339524838,"['TMEM184A', 'ST6GAL2', 'PRELP']",0.7188045724283676,0,0,3
50,hsa-miR-548am-3p,0.07339959431907699,3.274468085106383,8.552376475514306,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
51,hsa-miR-548ah-3p,0.07339959431907699,3.274468085106383,8.552376475514306,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
52,hsa-miR-548j-3p,0.07339959431907699,3.274468085106383,8.552376475514306,"['ST6GAL2', 'DNAAF3', 'ZC3HAV1L']",0.7188045724283676,0,0,3
53,hsa-miR-24-1-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['SNX8'],0.7188045724283676,0,0,1
54,hsa-miR-4790-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['POLE'],0.7188045724283676,0,0,1
55,hsa-miR-604,0.07596001433670309,16.88768115942029,43.52881224721929,['SLC25A25'],0.7188045724283676,0,0,1
56,hsa-miR-3150a-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['TET3'],0.7188045724283676,0,0,1
57,mmu-miR-1897-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['HOMER1'],0.7188045724283676,0,0,1
58,hsa-miR-3150b-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['TET3'],0.7188045724283676,0,0,1
59,hsa-miR-24-2-5p,0.07596001433670309,16.88768115942029,43.52881224721929,['SNX8'],0.7188045724283676,0,0,1
60,hsa-miR-4759,0.07596001433670309,16.88768115942029,43.52881224721929,['SIGLEC9'],0.7188045724283676,0,0,1
61,hsa-miR-4644,0.07692564887685081,3.2055555555555557,8.221980485292018,"['TMEM184A', 'ST6GAL2', 'PRELP']",0.7188045724283676,0,0,3
62,hsa-miR-125a-5p,0.07692564887685081,3.2055555555555557,8.221980485292018,"['ANKRD33B', 'TDG', 'CLEC5A']",0.7188045724283676,0,0,3
63,hsa-miR-1972,0.08485472078286717,4.434782608695652,10.93978671776482,"['PNMA5', 'SLC25A25']",0.7188045724283676,0,0,2
64,hsa-miR-3679-3p,0.08485472078286717,4.434782608695652,10.93978671776482,"['TMEM45B', 'TET3']",0.7188045724283676,0,0,2
65,hsa-miR-346,0.08485472078286717,4.434782608695652,10.93978671776482,"['FOXF2', 'STUM']",0.7188045724283676,0,0,2
66,hsa-miR-4267,0.09079400131054005,4.249084249084249,10.194241721927575,"['TET3', 'SLC25A25']",0.7188045724283676,0,0,2
67,mmu-miR-1197-3p,0.0940402933884855,12.66304347826087,29.935839183089584,['LUC7L2'],0.7188045724283676,0,0,1
68,hsa-miR-433-5p,0.0940402933884855,12.66304347826087,29.935839183089584,['DNAAF3'],0.7188045724283676,0,0,1
69,mmu-miR-211-5p,0.0940402933884855,12.66304347826087,29.935839183089584,['FOXF2'],0.7188045724283676,0,0,1
70,hsa-miR-3619-3p,0.0940402933884855,12.66304347826087,29.935839183089584,['SHC3'],0.7188045724283676,0,0,1
71,hsa-miR-29a-3p,0.09563439411855444,2.9,6.806945982285683,"['SFRP2', 'TDG', 'TET3']",0.7188045724283676,0,0,3
72,hsa-miR-4262,0.09685204284098058,4.0782417582417585,9.520944109929408,"['ZC3HAV1L', 'SLC25A25']",0.7188045724283676,0,0,2
73,hsa-miR-4792,0.1030220536891586,3.9205409974640744,8.910653410360037,"['TET3', 'ZC3HAV1L']",0.7188045724283676,0,0,2
74,hsa-miR-658,0.10929745719507324,3.7745217745217747,8.355591471478597,"['SIGLEC9', 'ZC3HAV1L']",0.7188045724283676,0,0,2
75,mmu-miR-204-5p,0.11177053660087051,10.128260869565217,22.194131875034824,['FOXF2'],0.7188045724283676,0,0,1
76,hsa-miR-449c-3p,0.11177053660087051,10.128260869565217,22.194131875034824,['ZC3HAV1L'],0.7188045724283676,0,0,1
77,hsa-miR-6841-5p,0.11177053660087051,10.128260869565217,22.194131875034824,['MTRNR2L8'],0.7188045724283676,0,0,1
78,mmu-miR-3057-3p,0.11177053660087051,10.128260869565217,22.194131875034824,['SERPINA1'],0.7188045724283676,0,0,1
79,hsa-miR-3177-3p,0.11177053660087051,10.128260869565217,22.194131875034824,['TET3'],0.7188045724283676,0,0,1
80,mmu-miR-503-5p,0.11177053660087051,10.128260869565217,22.194131875034824,['FSHR'],0.7188045724283676,0,0,1
