Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Vitamin D Receptor Pathway WP2877,0.01811118105453338,6.464516129032258,25.930633839996933,"['LRRC25', 'COLEC11', 'TNFRSF11B']",0.14206277823308192,0,0,3
2,Osteoblast Signaling WP322,0.03234996111744965,inf,inf,['TNFRSF11B'],0.14206277823308192,0,0,1
3,Osteoclast Signaling WP12,0.03234996111744965,inf,inf,['TNFRSF11B'],0.14206277823308192,0,0,1
4,Macrophage markers WP4146,0.03234996111744965,inf,inf,['CD163'],0.14206277823308192,0,0,1
5,Fragile X Syndrome  WP4549,0.06368331438034706,30.78787878787879,84.78466710400856,['HOMER1'],0.14206277823308192,0,0,1
6,15q13.3 copy number variation syndrome WP4942,0.06368331438034706,30.78787878787879,84.78466710400856,['TRPM1'],0.14206277823308192,0,0,1
7,Imatinib and Chronic Myeloid Leukemia WP3640,0.06368331438034706,30.78787878787879,84.78466710400856,['SPRED2'],0.14206277823308192,0,0,1
8,Type I collagen synthesis in the context of Osteogenesis imperfecta WP4786,0.06368331438034706,30.78787878787879,84.78466710400856,['TNFRSF11B'],0.14206277823308192,0,0,1
9,RANKL/RANK signaling pathway WP2018,0.06368331438034706,30.78787878787879,84.78466710400856,['TNFRSF11B'],0.14206277823308192,0,0,1
10,Synaptic signaling pathways associated with autism spectrum disorder WP4539,0.06368331438034706,30.78787878787879,84.78466710400856,['HOMER1'],0.14206277823308192,0,0,1
11,Monoamine Transport WP727,0.06368331438034706,30.78787878787879,84.78466710400856,['TNFRSF11B'],0.14206277823308192,0,0,1
12,BDNF-TrkB Signaling WP3676,0.06368331438034706,30.78787878787879,84.78466710400856,['HOMER1'],0.14206277823308192,0,0,1
13,Disruption of postsynaptic signaling by CNV WP4875,0.06368331438034706,30.78787878787879,84.78466710400856,['HOMER1'],0.14206277823308192,0,0,1
14,7-oxo-C and 7beta-HC pathways WP5064,0.09403098837191044,15.378787878787879,36.35746743667996,['THEM5'],0.17043116642408768,0,0,1
15,Oxysterols derived from cholesterol WP4545,0.09403098837191044,15.378787878787879,36.35746743667996,['THEM5'],0.17043116642408768,0,0,1
16,The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879,0.09403098837191044,15.378787878787879,36.35746743667996,['TNFRSF11B'],0.17043116642408768,0,0,1
17,Ectoderm Differentiation WP2858,0.12342306732510468,10.242424242424242,21.428557325351477,['TNFRSF11B'],0.2105452324957668,0,0,1
18,Microglia Pathogen Phagocytosis Pathway WP3937,0.1794563848419302,6.133333333333334,10.535981569358142,['NCF4'],0.2891241755786653,0,0,1
19,Acute viral myocarditis WP4298,0.20615346138572063,5.106060606060606,8.063156101393666,['AIF1'],0.3146552831676789,0,0,1
20,Lung fibrosis WP3624,0.23200666584826707,4.372294372294372,6.387874750563752,['SERPINA1'],0.33640966547998724,0,0,1
21,Complement and Coagulation Cascades WP558,0.2812842492284118,3.393939393939394,4.304837287225175,['SERPINA1'],0.3884401536963782,0,0,1
22,NRF2 pathway WP2884,0.30475812036546807,3.0515151515151517,3.625922797092737,['SERPINA1'],0.4017266132090261,0,0,1
23,Apoptosis Modulation and Signaling WP1772,0.32748714754310093,2.771349862258953,3.0936757786033766,['TNFRSF11B'],0.41291857733695336,0,0,1
24,Complement system WP2806,0.34949427096521585,2.537878787878788,2.667991035551409,['FCGR3A'],0.4223055774163025,0,0,1
25,Circadian rhythm related genes WP3594,0.4114034633730357,2.0242424242424244,1.7978934243638616,['HOMER1'],0.47722801751272137,0,0,1
26,IL-18 signaling pathway WP4754,0.4307389664227977,1.8958333333333333,1.5967713479654364,['TNFRSF11B'],0.480439616394659,0,0,1
27,Nuclear Receptors Meta-Pathway WP2882,0.46757781605145887,1.6818181818181819,1.2785005103792453,['SERPINA1'],0.48427702376758247,0,0,1
28,Spinal Cord Injury WP2431,0.46757781605145887,1.6818181818181819,1.2785005103792453,['AIF1'],0.48427702376758247,0,0,1
29,"GPCRs, Class A Rhodopsin-like WP455",0.5791668601857709,1.2024242424242424,0.6567216228230655,['GPR65'],0.5791668601857709,0,0,1
