Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,3.3960531535266193e-53,17.23930430845846,2082.7561376340673,"['ISCA1', 'COX7B', 'MRPS15', 'MRPS11', 'COX4I1', 'MRPS12', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL35', 'TOMM22', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'GPX4', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS8', 'NDUFS6', 'NDUFS3', 'VDAC2', 'VDAC1', 'SLC25A5', 'SLC25A4', 'ISCU', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'MRPL15', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL11', 'ATP5MC1', 'LDHA', 'GRPEL1', 'CYC1', 'NDUFV2', 'ATP6V1D', 'ATP5MG', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'PDHA1', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'CYCS', 'BAX']",1.562184450622245e-51,0,0,82
2,Myc Targets V1,8.571720823274763e-23,6.999930006299433,355.6733639624779,"['HDDC2', 'RPL34', 'RPL6', 'PSMD8', 'EEF1B2', 'PSMD7', 'YWHAQ', 'SNRPD1', 'RACK1', 'MRPL9', 'RPS10', 'ACP1', 'VBP1', 'NCBP2', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'NME1', 'PSMA2', 'SNRPG', 'NHP2', 'SRSF3', 'VDAC1', 'ERH', 'SET', 'GLO1', 'PHB', 'COX5A', 'PSMA7', 'LDHA', 'POLD2', 'RPS3', 'RPL14', 'PGK1', 'EIF4H', 'SNRPB2', 'RPS2', 'CYC1', 'RPL18', 'CCT7', 'HNRNPA1', 'RANBP1', 'NPM1', 'SSB', 'PA2G4', 'EIF2S1', 'LSM2', 'LSM7', 'SERBP1', 'NDUFAB1', 'POLE3', 'EIF3D', 'RAN']",1.9714957893531953e-21,0,0,54
3,DNA Repair,4.825771724465263e-10,4.8392008752604045,103.80995775458548,"['GTF2A2', 'RNMT', 'GMPR2', 'COX17', 'SUPT4H1', 'SNAPC5', 'POLD4', 'MRPL40', 'GUK1', 'MPC2', 'TMED2', 'POLR2I', 'POLR2J', 'SAC3D1', 'POLR2K', 'RFC3', 'GPX4', 'NCBP2', 'ALYREF', 'TAF10', 'RPA2', 'EDF1', 'GTF2H5', 'RBX1', 'NME1', 'APRT', 'POLE4', 'DAD1', 'EIF1B']",7.3995166441800696e-09,0,0,29
4,Reactive Oxygen Species Pathway,9.073219103513717e-05,4.993218274111675,46.47487014990981,"['CDKN2D', 'NDUFA6', 'GPX4', 'NDUFB4', 'GLRX2', 'TXN', 'HMOX2', 'ATOX1', 'FTL', 'SOD1', 'LAMTOR5']",0.0010434201969040774,0,0,11
5,Unfolded Protein Response,0.0001247432572725183,3.2249063670411986,28.989498830605637,"['XBP1', 'NPM1', 'IMP3', 'POP4', 'LSM1', 'EIF2S1', 'LSM4', 'HSP90B1', 'CKS1B', 'RPS14', 'EXOSC5', 'SERP1', 'EXOSC4', 'SPCS1', 'NHP2', 'BANF1', 'CALR']",0.0011476379669071682,0,0,17
6,Adipogenesis,0.0001540930923066412,2.5365797896662095,22.26597980466617,"['COX8A', 'COX7B', 'NDUFB7', 'GPX4', 'NDUFA5', 'GADD45A', 'VEGFB', 'CHCHD10', 'UQCR11', 'MRPL15', 'UQCR10', 'COX6A1', 'SOD1', 'DHRS7', 'GRPEL1', 'NKIRAS1', 'UQCRQ', 'DDT', 'NDUFAB1', 'ATP5PO', 'NDUFS3', 'SNCG', 'CYC1', 'ALDOA']",0.001181380374350916,0,0,24
7,mTORC1 Signaling,0.0036201531892527685,2.0585941644562333,11.571849671830321,"['IDI1', 'XBP1', 'TPI1', 'TOMM40', 'SDF2L1', 'GOT1', 'HMGCS1', 'ARPC5L', 'PDAP1', 'HSP90B1', 'ATP5MC1', 'MLLT11', 'SQLE', 'LDHA', 'SERP1', 'DDIT3', 'PGK1', 'CALR', 'ALDOA', 'EEF1E1', 'ATP6V1D']",0.023789578100803906,0,0,21
8,Myc Targets V2,0.028012460295007827,2.6360296595888104,9.424085075903777,"['EXOSC5', 'NPM1', 'NDUFAF4', 'IMP4', 'PHB', 'PA2G4', 'DCTPP1']",0.161071646696295,0,0,7
9,E2F Targets,0.08900308127985532,1.5279499683169409,3.696239762316925,"['JPT1', 'RANBP1', 'RFC3', 'POP7', 'RPA2', 'PA2G4', 'EIF2S1', 'NME1', 'CKS1B', 'POLE4', 'UBE2S', 'POLD2', 'NAA38', 'DCTPP1', 'RAN']",0.37886740096130833,0,0,15
10,Pperoxisome,0.09030583875973931,1.8431793770139635,4.432022797423938,"['IDI1', 'FIS1', 'PRDX5', 'FABP6', 'HRAS', 'SLC25A4', 'YWHAH', 'SOD1']",0.37886740096130833,0,0,8
