Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Alcoholism,0.06108560159094941,5.218166014776184,14.587274002029371,"['NTRK2', 'SHC3']",0.6087295132760683,0,0,2
2,Arginine biosynthesis,0.0701399944326138,15.260759493670886,40.551838027986705,['NOS1'],0.6087295132760683,0,0,1
3,Neurotrophin signaling pathway,0.08345751420905288,4.331888768508487,10.757888759060053,"['NTRK2', 'SHC3']",0.6087295132760683,0,0,2
4,Relaxin signaling pathway,0.08939117887369524,4.155232155232155,10.033777338071465,"['SHC3', 'NOS1']",0.6087295132760683,0,0,2
5,Fatty acid elongation,0.094421921910292,10.896925858951175,25.716548982323534,['THEM5'],0.6087295132760683,0,0,1
6,Yersinia infection,0.09544648462765463,3.9923409923409925,9.378765774986205,"['IRF3', 'PIP5K1A']",0.6087295132760683,0,0,2
7,Insulin signaling pathway,0.1078945678814632,3.7018844609206054,8.242618724480844,"['PTPN1', 'SHC3']",0.6087295132760683,0,0,2
8,Phospholipase D signaling pathway,0.12292740985800667,3.411965811965812,7.152030560881291,"['SHC3', 'PIP5K1A']",0.6087295132760683,0,0,2
9,RNA transport,0.1273130482654736,3.3372352285395763,6.878396482541174,"['POM121', 'TRNT1']",0.6087295132760683,0,0,2
10,Base excision repair,0.13541772760422424,7.260397830018083,14.516374073555223,['TDG'],0.6087295132760683,0,0,1
11,NOD-like receptor signaling pathway,0.14976318468672567,3.0075414781297134,5.710419008163077,"['IRF3', 'CARD16']",0.6087295132760683,0,0,2
12,Metabolism of xenobiotics by cytochrome P450,0.15242120506835974,6.35126582278481,11.947413802570711,['AKR7A3'],0.6087295132760683,0,0,1
13,Cytosolic DNA-sensing pathway,0.15242120506835974,6.35126582278481,11.947413802570711,['IRF3'],0.6087295132760683,0,0,1
14,Arginine and proline metabolism,0.20147504527191193,4.615650172612198,7.3946858314471715,['NOS1'],0.6087295132760683,0,0,1
15,Cholesterol metabolism,0.20147504527191193,4.615650172612198,7.3946858314471715,['APOC1'],0.6087295132760683,0,0,1
16,RIG-I-like receptor signaling pathway,0.20147504527191193,4.615650172612198,7.3946858314471715,['IRF3'],0.6087295132760683,0,0,1
17,Focal adhesion,0.21591153983036895,2.3542406311637083,3.608783664791719,"['SHC3', 'PIP5K1A']",0.6087295132760683,0,0,2
18,Herpes simplex virus 1 infection,0.22571876790355633,1.8720304086157744,2.786452574114995,"['ZNF140', 'IRF3', 'ZNF14']",0.6087295132760683,0,0,3
19,Inositol phosphate metabolism,0.2326089899993597,3.9036027263875366,5.693000122612801,['PIP5K1A'],0.6087295132760683,0,0,1
20,Prolactin signaling pathway,0.23768012758755896,3.8056962025316454,5.46813661378942,['SHC3'],0.6087295132760683,0,0,1
21,Ras signaling pathway,0.24265130815463046,2.1685761047463177,3.0709852715829697,"['NTRK2', 'SHC3']",0.6087295132760683,0,0,2
22,Long-term depression,0.24271816981084685,3.7125656066687247,5.256451992124202,['NOS1'],0.6087295132760683,0,0,1
23,Bacterial invasion of epithelial cells,0.2674193672391292,3.3076499724821136,4.362582556793179,['SHC3'],0.6087295132760683,0,0,1
24,Non-small cell lung cancer,0.2674193672391292,3.3076499724821136,4.362582556793179,['EML4'],0.6087295132760683,0,0,1
25,ErbB signaling pathway,0.2674193672391292,3.3076499724821136,4.362582556793179,['SHC3'],0.6087295132760683,0,0,1
26,Glioma,0.2722632686042547,3.2370051171559386,4.211297632121749,['SHC3'],0.6087295132760683,0,0,1
27,Adherens junction,0.27707553929713036,3.1693037974683542,4.067690830967281,['PTPN1'],0.6087295132760683,0,0,1
28,Pertussis,0.27707553929713036,3.1693037974683542,4.067690830967281,['IRF3'],0.6087295132760683,0,0,1
29,Chronic myeloid leukemia,0.2818563832443015,3.1043657969516922,3.9312372730677425,['SHC3'],0.6087295132760683,0,0,1
30,Salivary secretion,0.286606003090377,3.042025316455696,3.8014572567511284,['NOS1'],0.6087295132760683,0,0,1
31,Calcium signaling pathway,0.28665869142770695,1.9201741654571842,2.399186572124698,"['NTRK2', 'NOS1']",0.6087295132760683,0,0,2
32,Longevity regulating pathway,0.29132460022214446,2.9821295606850335,3.6779115867735044,['SESN1'],0.6087295132760683,0,0,1
33,p53 signaling pathway,0.2960123747098371,2.924537487828627,3.5601974647576906,['SESN1'],0.6087295132760683,0,0,1
34,Progesterone-mediated oocyte maturation,0.30066952532969143,2.869118700740387,3.447944863776289,['CPEB1'],0.6087295132760683,0,0,1
35,Choline metabolism in cancer,0.3052962496695497,2.8157524613220817,3.340813322258399,['PIP5K1A'],0.6087295132760683,0,0,1
36,Complement and coagulation cascades,0.3052962496695497,2.8157524613220817,3.340813322258399,['F11'],0.6087295132760683,0,0,1
37,Phosphatidylinositol signaling system,0.3052962496695497,2.8157524613220817,3.340813322258399,['PIP5K1A'],0.6087295132760683,0,0,1
38,Toll-like receptor signaling pathway,0.3098927439807704,2.764326812428078,3.238489105100856,['IRF3'],0.6087295132760683,0,0,1
39,Circadian entrainment,0.3098927439807704,2.764326812428078,3.238489105100856,['NOS1'],0.6087295132760683,0,0,1
