Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,G Protein-Coupled Glutamate Receptor Signaling Pathway (GO:0007216),0.0011938542580513553,99.12765957446808,667.1854864955171,"['TRPM1', 'HOMER1']",0.307674603911283,0,0,2
2,Response To Light Stimulus (GO:0009416),0.003040796402710605,12.494623655913978,72.41428845883539,"['TRPM1', 'OPN4', 'CPT1B']",0.307674603911283,0,0,3
3,Glutamate Receptor Signaling Pathway (GO:0007215),0.003875551382914668,33.02836879432624,183.4087558449097,"['TRPM1', 'HOMER1']",0.307674603911283,0,0,2
4,Positive Regulation Of Signaling (GO:0023056),0.01043063534017799,16.50354609929078,75.30581448256055,"['HOMER1', 'CD80']",0.307674603911283,0,0,2
5,Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719),0.013235669113407802,14.142857142857142,61.165592704857836,"['SPRED2', 'SFRP2']",0.307674603911283,0,0,2
6,Positive Regulation Of Cell Communication (GO:0010647),0.013235669113407802,14.142857142857142,61.165592704857836,"['HOMER1', 'CD80']",0.307674603911283,0,0,2
7,Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110),0.016328845734295626,12.372340425531915,50.90997929518256,"['STMND1', 'SKA3']",0.307674603911283,0,0,2
8,Visual Perception (GO:0007601),0.01641451018209526,6.231182795698925,25.607603814295725,"['TRPM1', 'ROM1', 'CRYBB3']",0.307674603911283,0,0,3
9,Sensory Perception Of Light Stimulus (GO:0050953),0.01641451018209526,6.231182795698925,25.607603814295725,"['TRPM1', 'ROM1', 'CRYBB3']",0.307674603911283,0,0,3
10,DNA-templated DNA Replication (GO:0006261),0.019697639427379267,10.995271867612294,43.18125265229081,"['HELB', 'POLE']",0.307674603911283,0,0,2
11,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),0.019697639427379267,10.995271867612294,43.18125265229081,"['STMND1', 'SKA3']",0.307674603911283,0,0,2
12,Base-Excision Repair (GO:0006284),0.019697639427379267,10.995271867612294,43.18125265229081,"['TDG', 'POLE']",0.307674603911283,0,0,2
13,Macrophage Activation (GO:0042116),0.019697639427379267,10.995271867612294,43.18125265229081,"['FCGR3A', 'AIF1']",0.307674603911283,0,0,2
14,Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070099),0.020184882828545723,inf,inf,['RNF113A'],0.307674603911283,0,0,1
15,Positive Regulation Of Hippo Signaling (GO:0035332),0.020184882828545723,inf,inf,['FRMD6'],0.307674603911283,0,0,1
16,Stress Fiber Assembly (GO:0043149),0.020184882828545723,inf,inf,['PDLIM1'],0.307674603911283,0,0,1
17,Fatty Acid Transmembrane Transport (GO:1902001),0.020184882828545723,inf,inf,['CPT1B'],0.307674603911283,0,0,1
18,High-Density Lipoprotein Particle Remodeling (GO:0034375),0.020184882828545723,inf,inf,['APOC1'],0.307674603911283,0,0,1
19,Amino-Acid Betaine Metabolic Process (GO:0006577),0.020184882828545723,inf,inf,['CPT1B'],0.307674603911283,0,0,1
20,Cardiolipin Acyl-Chain Remodeling (GO:0035965),0.020184882828545723,inf,inf,['THEM5'],0.307674603911283,0,0,1
21,Chondroitin Sulfate Proteoglycan Metabolic Process (GO:0050654),0.020184882828545723,inf,inf,['XYLT1'],0.307674603911283,0,0,1
22,Contractile Actin Filament Bundle Assembly (GO:0030038),0.020184882828545723,inf,inf,['PDLIM1'],0.307674603911283,0,0,1
23,Negative Regulation Of Chemokine-Mediated Signaling Pathway (GO:0070100),0.020184882828545723,inf,inf,['RNF113A'],0.307674603911283,0,0,1
24,Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),0.0233299035358261,9.893617021276595,37.18040398708538,"['JSRP1', 'UBASH3B']",0.307674603911283,0,0,2
25,DNA Replication (GO:0006260),0.031338092650087565,8.24113475177305,28.538397803169442,"['HELB', 'POLE']",0.307674603911283,0,0,2
26,Cilium Assembly (GO:0060271),0.03272659164542614,4.665322580645161,15.953384687128766,"['RPGRIP1', 'DNAAF3', 'CFAP47']",0.307674603911283,0,0,3
27,Cellular Response To Radiation (GO:0071478),0.03569153172929844,7.60556464811784,25.34814396044214,"['TRPM1', 'OPN4']",0.307674603911283,0,0,2
28,Negative Regulation Of Fatty Acid Biosynthetic Process (GO:0045717),0.03996657423650215,49.04210526315789,157.90144591014132,['APOC1'],0.307674603911283,0,0,1
29,Female Gonad Development (GO:0008585),0.03996657423650215,49.04210526315789,157.90144591014132,['FSHR'],0.307674603911283,0,0,1
30,Negative Regulation Of Lipoprotein Lipase Activity (GO:0051005),0.03996657423650215,49.04210526315789,157.90144591014132,['APOC1'],0.307674603911283,0,0,1
31,Regulation Of Hippo Signaling (GO:0035330),0.03996657423650215,49.04210526315789,157.90144591014132,['FRMD6'],0.307674603911283,0,0,1
32,Very-Low-Density Lipoprotein Particle Assembly (GO:0034379),0.03996657423650215,49.04210526315789,157.90144591014132,['APOC1'],0.307674603911283,0,0,1
33,Positive Regulation Of Peptide Secretion (GO:0002793),0.03996657423650215,49.04210526315789,157.90144591014132,['RASL10B'],0.307674603911283,0,0,1
34,Heparan Sulfate Proteoglycan Biosynthetic Process (GO:0015012),0.03996657423650215,49.04210526315789,157.90144591014132,['XYLT1'],0.307674603911283,0,0,1
35,Intracellular Lipid Transport (GO:0032365),0.03996657423650215,49.04210526315789,157.90144591014132,['CPT1B'],0.307674603911283,0,0,1
36,Long-Chain fatty-acyl-CoA Metabolic Process (GO:0035336),0.03996657423650215,49.04210526315789,157.90144591014132,['THEM5'],0.307674603911283,0,0,1
