Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Allograft Rejection,0.02883593931209489,3.7085346215781,13.150956176329434,"['CD80', 'GPR65', 'STAB1', 'NCF4']",0.30354656732678625,0,0,4
2,Coagulation,0.030354656732678627,4.816857440166493,16.833979098572296,"['SERPINA1', 'F11', 'APOC1']",0.30354656732678625,0,0,3
3,KRAS Signaling Dn,0.07544611403981177,3.23562412342216,8.361941842361029,"['CD80', 'NRIP2', 'SIDT1']",0.4337030703815819,0,0,3
4,Inflammatory Response,0.08674061407631638,3.035549703752469,7.421412274329254,"['STAB1', 'CLEC5A', 'CD14']",0.4337030703815819,0,0,3
5,Pancreas Beta Cells,0.23312217195450388,4.077192982456141,5.937178330079602,['SCGN'],0.7390687706457244,0,0,1
6,UV Response Dn,0.32171040865675027,2.714619883040936,3.0786598836381303,['RND3'],0.7390687706457244,0,0,1
7,Epithelial Mesenchymal Transition,0.3351713770199999,1.7181784247853678,1.8781636961050778,"['FAP', 'TNFRSF11B']",0.7390687706457244,0,0,2
8,Reactive Oxygen Species Pathway,0.3489270499898415,2.442105263157895,2.5712740824358726,['PDLIM1'],0.7390687706457244,0,0,1
9,IL-2/STAT5 Signaling,0.37199312839092935,1.5778997940974606,1.5603533857797822,"['SPRED2', 'GPR65']",0.7390687706457244,0,0,2
10,Complement,0.3937085193293998,1.5040916530278232,1.4020306748189173,"['SERPINA1', 'APOC1']",0.7390687706457244,0,0,2
11,G2-M Checkpoint,0.4696187236758332,1.6245614035087719,1.2278989708461574,['POLE'],0.7390687706457244,0,0,1
12,Spermatogenesis,0.4696187236758332,1.6245614035087719,1.2278989708461574,['THEG'],0.7390687706457244,0,0,1
13,IL-6/JAK/STAT3 Signaling,0.4803947009197208,1.5718166383701189,1.1523729978207846,['CD14'],0.7390687706457244,0,0,1
14,E2F Targets,0.5591529033308573,1.2472334682861,0.7250571171203237,['POLE'],0.769706402068376,0,0,1
15,Apical Junction,0.6022502967415219,1.1043062200956937,0.5599739665643161,['TNFRSF11B'],0.769706402068376,0,0,1
16,Xenobiotic Metabolism,0.6894105459700254,0.8654135338345864,0.3218631542725604,['F11'],0.769706402068376,0,0,1
17,Estrogen Response Late,0.6894105459700254,0.8654135338345864,0.3218631542725604,['SERPINA1'],0.769706402068376,0,0,1
18,Apoptosis,0.695755822902974,0.8500461680517082,0.30835978072158193,['CD14'],0.769706402068376,0,0,1
19,Glycolysis,0.7312210819649573,0.7680868838763576,0.2404414782060192,['HOMER1'],0.769706402068376,0,0,1
20,TNF-alpha Signaling via NF-kB,0.8186643415476829,0.5876765083440308,0.11758297311522665,['CD80'],0.8186643415476829,0,0,1
