Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NR5A1 (human),0.007588874045213908,2.4374307862679956,11.897275274225807,"['FLG2', 'SCGN', 'KCTD19', 'FRMD6', 'F11', 'CLEC5A', 'NCF4', 'WDR64', 'SLC17A6', 'XYLT1', 'TNFRSF11B', 'AIF1']",0.8720885557014223,0,0,12
2,LEF1 (mouse),0.012381595512373845,2.269151138716356,9.965077390108908,"['TMEM184A', 'TMEM45B', 'THEG', 'RASL10B', 'NRIP2', 'APOC1', 'SIDT1', 'XYLT1', 'SLC38A11', 'ASPHD2', 'SNX8', 'POLE']",0.8720885557014223,0,0,12
3,MYC (mouse),0.015146552975257164,2.2012072434607646,9.223019387192606,"['TMEM184A', 'PDLIM1', 'TRPM1', 'THEG', 'HELB', 'HOMER1', 'GPR65', 'CRYBB3', 'WDR64', 'ASPHD2', 'SNX8', 'CPT1B']",0.8720885557014223,0,0,12
4,SREBF1 (human),0.017423667608704518,1.904862579281184,7.714552085491814,"['TMEM184A', 'LRRC25', 'FOXF2', 'ROM1', 'NCF4', 'PNMA5', 'SIRPB2', 'SKA3', 'AIF1', 'CPT1B', 'TRPM1', 'FCGR3A', 'TDG', 'STAB1', 'APOC1', 'SIDT1', 'RSPH10B2']",0.8720885557014223,0,0,17
5,NR5A1 (mouse),0.018233425401160516,2.4337568058076227,9.745976229792934,"['LRRC25', 'HELB', 'FSHR', 'GPR65', 'ROM1', 'APOC1', 'DDX43', 'SNX8', 'CPT1B']",0.8720885557014223,0,0,9
6,CBEPA (human),0.027529786954983457,2.1509195290454413,7.7271497976545005,"['COLEC11', 'SCGN', 'HELB', 'KCTD19', 'RASL10B', 'NRIP2', 'CLEC5A', 'APOC1', 'FIGNL2', 'SIRPB2']",0.8720885557014223,0,0,10
7,NFATC3 (mouse),0.028487314648986965,2.2366923334449282,7.9588142574931044,"['SPRED2', 'TMEM114', 'FAP', 'GPR65', 'STAB1', 'CLEC5A', 'THEM5', 'SLC38A11', 'TNFRSF11B']",0.8720885557014223,0,0,9
8,BRCA1 (human),0.030657591611705354,2.032089394897744,7.081577448966181,"['TMEM45B', 'OPN4', 'CD163', 'SERPINA1', 'SIGLEC9', 'GPR65', 'ROM1', 'PNMA5', 'SLC38A11', 'MTRNR2L8', 'HCG9']",0.8720885557014223,0,0,11
9,BCL6 (human),0.03940411431993607,2.097779877184695,6.783978969941352,"['PDLIM1', 'FLG2', 'SPRED2', 'SCGN', 'RNF113A', 'SHC3', 'CD80', 'NCF4', 'SLC38A11']",0.8720885557014223,0,0,9
10,KLF11 (human),0.04104029753623739,1.8744588744588744,5.985523630419369,"['TMEM184A', 'THEG', 'SERPINA1', 'SIGLEC9', 'FOXF2', 'RASL10B', 'CD80', 'ROM1', 'PNMA5', 'ASPHD2', 'SNX8', 'POLE']",0.8720885557014223,0,0,12
