Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,RARA,0.11526626995274437,3.6509062253743103,7.887821001189269,"['NRIP2', 'TDG']",0.8686108742142017,0,0,2
2,IKZF1,0.16779746222060388,6.121052631578947,10.926064311305401,['TDG'],0.8686108742142017,0,0,1
3,SMAD4,0.26010096216094325,2.0882752376641016,2.8122497890678075,"['SERPINA1', 'TDG']",0.8686108742142017,0,0,2
4,SIRT3,0.26385492458662424,3.493233082706767,4.6542295504937075,['FAP'],0.8686108742142017,0,0,1
5,JUNB,0.26385492458662424,3.493233082706767,4.6542295504937075,['TDG'],0.8686108742142017,0,0,1
6,MYC,0.3096970723817165,1.383504136313125,1.6216891009549326,"['TRPM1', 'FRMD6', 'TDG', 'XYLT1', 'POLE']",0.8686108742142017,0,0,5
7,IRF3,0.36212723980858547,2.32531328320802,2.3619593781624215,['CD80'],0.8686108742142017,0,0,1
8,TCF3,0.37199312839092935,1.5778997940974606,1.5603533857797822,"['FLG2', 'SERPINA1']",0.8686108742142017,0,0,2
9,GTF2B,0.37506253348297625,2.219138755980861,2.1762261846074034,['FOXF2'],0.8686108742142017,0,0,1
10,VDR,0.3877381919488075,2.122196796338673,2.010622151498426,['TDG'],0.8686108742142017,0,0,1
11,CEBPA,0.4242584271517007,1.8761133603238866,1.6086030679827026,['RPGRIP1'],0.8686108742142017,0,0,1
12,RXRA,0.4696187236758332,1.6245614035087719,1.2278989708461574,['TDG'],0.8686108742142017,0,0,1
13,TBP,0.4909539723819401,1.5223684210526316,1.0830203515785533,['FOXF2'],0.8686108742142017,0,0,1
14,PML,0.5499944516170945,1.2803324099722992,0.765443003966761,['TDG'],0.903562313370941,0,0,1
15,AR,0.6695783900579975,0.9149950347567031,0.36701094382044847,['TDG'],0.9162139474370686,0,0,1
16,JUN,0.6829343389375966,0.8813397129186603,0.336104681363946,['TDG'],0.9162139474370686,0,0,1
17,NR3C1,0.7312210819649573,0.7680868838763576,0.2404414782060192,['TDG'],0.9162139474370686,0,0,1
18,BRCA1,0.7625902295924534,0.7003813882532418,0.18982747987982831,['RPGRIP1'],0.9162139474370686,0,0,1
19,HTT,0.8365481683660788,0.55329703569268,0.09874757318518468,['CPT1B'],0.9162139474370686,0,0,1
20,EP300,0.8699793102483444,0.4900107411385607,0.06825156206921765,['TDG'],0.9162139474370686,0,0,1
21,ILF3,0.8752850776099228,0.48,0.06393870849792987,['RNF113A'],0.9162139474370686,0,0,1
22,ESR1,0.8763785584180657,0.5940860215053764,0.07839389057730278,"['PDLIM1', 'TDG', 'DSG1']",0.9162139474370686,0,0,3
23,TP53,0.9400212211637041,0.35282651072124754,0.02182331757563206,['TDG'],0.9400212211637041,0,0,1
