Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,1.8080144229862734e-52,16.64152945481156,1982.708357329023,"['ISCA1', 'COX7B', 'MRPS15', 'MRPS11', 'COX4I1', 'MRPS12', 'MRPL34', 'COX6A1', 'COX7C', 'MRPL35', 'TOMM22', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'GPX4', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS8', 'NDUFS6', 'NDUFS3', 'VDAC2', 'VDAC1', 'SLC25A5', 'SLC25A4', 'ISCU', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'UQCR11', 'COX7A2', 'MRPL15', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL11', 'ATP5MC1', 'LDHA', 'GRPEL1', 'CYC1', 'NDUFV2', 'ATP6V1D', 'ATP5MG', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'PDHA1', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'CYCS', 'BAX']",8.316866345736858e-51,0,0,82
2,Myc Targets V1,6.18097788680982e-23,7.069009584664537,361.49487532554645,"['HDDC2', 'RPL34', 'RPL6', 'PSMD8', 'EEF1B2', 'PSMD7', 'YWHAQ', 'SNRPD1', 'RACK1', 'MRPL9', 'RPS10', 'ACP1', 'VBP1', 'NCBP2', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'NME1', 'PSMA2', 'SNRPG', 'NHP2', 'SRSF3', 'VDAC1', 'ERH', 'SET', 'GLO1', 'PHB', 'COX5A', 'PSMA7', 'LDHA', 'POLD2', 'RPS3', 'RPL14', 'PGK1', 'EIF4H', 'SNRPB2', 'RPS2', 'CYC1', 'RPL18', 'CCT7', 'HNRNPA1', 'RANBP1', 'NPM1', 'SSB', 'PA2G4', 'EIF2S1', 'LSM2', 'LSM7', 'SERBP1', 'NDUFAB1', 'POLE3', 'EIF3D', 'RAN']",1.4216249139662585e-21,0,0,54
3,DNA Repair,4.974859325838534e-10,4.832461362679656,103.51834799462065,"['GTF2A2', 'RNMT', 'GMPR2', 'COX17', 'SUPT4H1', 'SNAPC5', 'POLD4', 'MRPL40', 'GUK1', 'MPC2', 'TMED2', 'POLR2I', 'POLR2J', 'SAC3D1', 'POLR2K', 'RFC3', 'GPX4', 'NCBP2', 'ALYREF', 'TAF10', 'RPA2', 'EDF1', 'GTF2H5', 'RBX1', 'NME1', 'APRT', 'POLE4', 'DAD1', 'EIF1B']",7.628117632952419e-09,0,0,29
4,Reactive Oxygen Species Pathway,5.090666633777758e-05,5.420614539980519,53.585575416545375,"['CDKN2D', 'NDUFA6', 'GPX4', 'NDUFB4', 'GLRX2', 'TXN', 'HMOX2', 'ATOX1', 'FTL', 'SOD1', 'LAMTOR5']",0.0005854266628844422,0,0,11
5,Unfolded Protein Response,0.00010677138375027233,3.275180605723812,29.95093910389083,"['XBP1', 'NPM1', 'IMP3', 'POP4', 'LSM1', 'EIF2S1', 'LSM4', 'HSP90B1', 'CKS1B', 'RPS14', 'EXOSC5', 'SERP1', 'EXOSC4', 'SPCS1', 'NHP2', 'BANF1', 'CALR']",0.0009822967305025054,0,0,17
6,Adipogenesis,0.00022437331742359562,2.4638384514545506,20.701661706451798,"['COX8A', 'COX7B', 'NDUFB7', 'GPX4', 'NDUFA5', 'GADD45A', 'VEGFB', 'CHCHD10', 'UQCR11', 'MRPL15', 'UQCR10', 'COX6A1', 'SOD1', 'DHRS7', 'GRPEL1', 'NKIRAS1', 'UQCRQ', 'DDT', 'NDUFAB1', 'ATP5PO', 'NDUFS3', 'SNCG', 'CYC1', 'ALDOA']",0.0017201954335808998,0,0,24
7,mTORC1 Signaling,0.0028069126128452172,2.110783349721403,12.402266644992853,"['IDI1', 'XBP1', 'TPI1', 'TOMM40', 'SDF2L1', 'GOT1', 'HMGCS1', 'ARPC5L', 'PDAP1', 'HSP90B1', 'ATP5MC1', 'MLLT11', 'SQLE', 'LDHA', 'SERP1', 'DDIT3', 'PGK1', 'CALR', 'ALDOA', 'EEF1E1', 'ATP6V1D']",0.018445425741554285,0,0,21
8,Myc Targets V2,0.028192497014647443,2.6322177146720755,9.39359377836041,"['EXOSC5', 'NPM1', 'NDUFAF4', 'IMP4', 'PHB', 'PA2G4', 'DCTPP1']",0.1621068578342228,0,0,7
9,E2F Targets,0.08517782515096045,1.5397378694924708,3.792396155545276,"['JPT1', 'RANBP1', 'RFC3', 'POP7', 'RPA2', 'PA2G4', 'EIF2S1', 'NME1', 'CKS1B', 'POLE4', 'UBE2S', 'POLD2', 'NAA38', 'DCTPP1', 'RAN']",0.4204558595053301,0,0,15
10,Fatty Acid Metabolism,0.09685053419461905,1.5928044612340349,3.718539590773565,"['IDI1', 'NSDHL', 'GABARAPL1', 'LDHA', 'LGALS1', 'PDHA1', 'HMGCS1', 'PSME1', 'ERP29', 'IDH3B', 'ALDOA', 'YWHAH']",0.4204558595053301,0,0,12
