Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-615-3p,3.3747160301927562e-09,2.1760797739896574,42.44868947767091,"['TRIR', 'RPL5', 'ZCCHC12', 'MRPS15', 'CUEDC2', 'RPL3', 'UBXN1', 'RPL31', 'TACO1', 'TUSC2', 'PDCD5', 'MRPS12', 'MAGEF1', 'ARPC5L', 'MRFAP1', 'RPL9', 'RPL7', 'PSMD8', 'RPS15', 'RPL7A', 'ZNF609', 'RPS17', 'SNRPD1', 'RPL36AL', 'RPL36', 'IDH3B', 'UQCRFS1', 'TMED2', 'TMSB10', 'SEPHS2', 'HRAS', 'TPI1', 'RPL21', 'RPL23', 'SSR2', 'MRPS18B', 'RAD23A', 'RPSA', 'EDF1', 'MRPL46', 'PDRG1', 'SMDT1', 'DPM3', 'CLPP', 'RPL37A', 'VDAC1', 'PFDN2', 'TMEM126B', 'RPL29', 'ALDOA', 'DCTPP1', 'PTMA', 'UBA52', 'PFDN6', 'BEX4', 'LRPAP1', 'STOML2', 'TOMM40', 'UQCR11', 'MRPL54', 'C12ORF57', 'GRPEL2', 'RPS3', 'RPL13', 'CYC1', 'RPL15', 'RPS2', 'HNRNPA1', 'CCT7', 'GADD45GIP1', 'PPIL1', 'SPAG7', 'GADD45A', 'ALYREF', 'PA2G4', 'MRPL21', 'NACA', 'SERBP1', 'NDUFAB1', 'TOMM7', 'CHMP2A', 'LAMTOR2', 'EIF3D', 'RAN', 'TPT1']",9.30409209524143e-06,0,0,85
2,hsa-miR-16-5p,4.871421952790772e-08,1.8324806500600093,30.85401704383549,"['RPL5', 'RPL30', 'RPL3', 'RPL31', 'TACO1', 'MRFAP1', 'ARPC5L', 'RPL9', 'RPL6', 'ACTG1', 'TXN2', 'LSM10', 'NARS', 'UXT', 'LAPTM4B', 'RPS17', 'CCND1', 'FTH1', 'RPL36', 'PHLDA2', 'ATP6V1E1', 'AP2M1', 'GABARAPL1', 'KDM2A', 'RPL21', 'RPS5', 'RPS6', 'SARS', 'RPSA', 'WBP11', 'TMEM251', 'TMEM126A', 'AURKAIP1', 'SNRPC', 'FTL', 'BEX3', 'ENY2', 'DHX8', 'GABARAP', 'HSP90B1', 'MRPL20', 'GRPEL2', 'BTF3', 'EIF2B2', 'UQCC3', 'PA2G4', 'LSM5', 'MRPL21', 'EIF1', 'MLLT11', 'TIMM10B', 'RPS25', 'RPS27', 'NACA', 'UBE2S', 'NDUFAF4', 'RPL27A', 'PPT1', 'CYCS', 'TMCC1', 'CALR', 'RPS24', 'NOP10', 'PPP1R11', 'RPLP1', 'MRPS12', 'MRPS10', 'MRPL40', 'YWHAQ', 'AIFM2', 'TIMM17A', 'YWHAH', 'CDV3', 'TPI1', 'MRPS23', 'RPS3A', 'EEF1G', 'SMDT1', 'SYF2', 'UFC1', 'CHMP3', 'STRAP', 'RHOV', 'RPL10', 'RNMT', 'RPL12', 'TIMM13', 'HSD17B8', 'RPL14', 'RPS3', 'SNCG', 'RPL13', 'STX4', 'SNRPB2', 'ZNF622', 'RPS2', 'EMC6', 'HNRNPA1', 'CDIPT', 'CXORF40B', 'PPIL1', 'NDUFA4', 'ATOX1', 'POLE4', 'CDKN2AIPNL', 'SERBP1', 'SNX15', 'LAMTOR2', 'EIF3F', 'LAMTOR1', 'SLIRP', 'LAMTOR4', 'RAN', 'TPT1', 'LAMTOR5']",6.71525516192208e-05,0,0,115
3,hsa-miR-92a-3p,8.437992593481626e-07,1.7630404268630686,24.656739575948446,"['RPL3', 'CCNI', 'TUSC2', 'POP4', 'PARK7', 'RPL8', 'RPL9', 'RPS15', 'CHCHD5', 'RPS14', 'CHCHD2', 'CCND1', 'RPL18A', 'SNRPD1', 'RPS10', 'RPL39', 'GABARAPL2', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'TTC7B', 'MED7', 'RBX1', 'MYL6', 'RPL24', 'VDAC2', 'SNRPE', 'GEMIN6', 'ERH', 'RPL27', 'PPIB', 'NDRG3', 'NDUFB10', 'DHX8', 'GLO1', 'SNU13', 'OAZ1', 'HSP90B1', 'C12ORF57', 'PPCS', 'BTF3', 'MOAP1', 'PRELID1', 'EIF2B2', 'CHCHD10', 'PA2G4', 'FAM136A', 'EIF1', 'RPS25', 'COPS6', 'IFT22', 'LSM7', 'RPS28', 'PSMG3', 'RPS24', 'COX20', 'RPS23', 'RPAIN', 'RPLP1', 'COX4I1', 'DNPH1', 'RPL7A', 'MRPL2', 'YWHAQ', 'UQCRFS1', 'ELOB', 'MRPL9', 'CDV3', 'HMGCS1', 'VBP1', 'MRPS21', 'RPL13A', 'RPS3A', 'DYNLL1', 'MED29', 'GCHFR', 'PFDN2', 'PFDN6', 'RPL11', 'TMEM160', 'PSMA7', 'TSPAN31', 'PSMB6', 'RPS15A', 'CD59', 'RPL15', 'ZNF622', 'CCT7', 'POLR2I', 'POLR2L', 'NPM1', 'PPIL1', 'NDUFA7', 'NDUFA5', 'RPA2', 'PDAP1', 'ATOX1', 'CDKN2AIPNL', 'EIF3I', 'OCIAD2', 'FAU', 'PFKM', 'TPT1']",0.0007754515193409614,0,0,104
4,hsa-miR-100-5p,1.157601338965513e-06,2.9879452820629293,40.84270364054443,"['RPL5', 'SET', 'RPL10', 'RPL31', 'RPLP1', 'MRPS33', 'RPL36A', 'RPL10A', 'COX5A', 'RPL7', 'ANAPC11', 'RPS15', 'RPL7A', 'NUDCD2', 'RPS15A', 'RPL14', 'RPL15', 'RPL19', 'RPL39L', 'RPL21', 'RPS8', 'NDUFA2', 'NDUFC2', 'FBXL15', 'RPS27', 'PSMA2', 'SERBP1', 'SNRNP27', 'RPL26', 'ZNF511', 'PFN2']",0.0007978767228819799,0,0,31
5,hsa-miR-186-5p,6.991325204186814e-06,1.9517057395040396,23.168387407710178,"['RPL5', 'SETD2', 'MRPS15', 'CUEDC2', 'RPL32', 'RPLP1', 'PDCD5', 'MRFAP1', 'NENF', 'COX6A1', 'RPL9', 'TXN2', 'PSMD8', 'RPS4X', 'FUNDC2', 'SERP1', 'RPL18A', 'SUMO2', 'RPL36', 'RACK1', 'ARL6IP4', 'TMED2', 'YWHAH', 'RPS7', 'HMGCS1', 'SSR2', 'DHPS', 'MZT2B', 'PSMA2', 'KIT', 'PSME1', 'SRSF3', 'SNRNP27', 'RPL27', 'DNAJC8', 'RPL29', 'COX17', 'BLOC1S6', 'LDHA', 'ZMAT2', 'PPCS', 'RPL14', 'PGK1', 'FAM192A', 'RPS2', 'HNRNPA1', 'HMOX2', 'BEND5', 'BTF3', 'RANBP1', 'NDUFA7', 'NDUFA4', 'NDUFA2', 'PDAP1', 'EIF1', 'RPS26', 'FIBP', 'TMEM11', 'C18ORF32', 'CHMP2A', 'RPS21', 'RAN']",0.003855016717588609,0,0,62
6,hsa-miR-1180-3p,2.2587921998050765e-05,5.4448929663608565,58.2499834136074,"['FAM200B', 'DHX8', 'RPLP1', 'RPL27A', 'SUMO2', 'RACK1', 'RPL35', 'POLR2I', 'ACTG1', 'COX6B1', 'RPL19', 'EIF1']",0.010379150158104327,0,0,12
7,hsa-miR-324-5p,5.2849964006912526e-05,2.3473411777261934,23.116741563652496,"['CUEDC2', 'DHX8', 'WBP2', 'MRPL14', 'MEA1', 'COX5A', 'UBL5', 'LDHA', 'RPL36AL', 'RACK1', 'PGK1', 'SAP18', 'RPL37', 'SEC61B', 'RPS2', 'HNRNPA1', 'PAK4', 'YWHAH', 'RPL41', 'CHCHD10', 'PA2G4', 'PDRG1', 'MZT2A', 'PSMC5', 'UBE2S', 'PSME1', 'PIN1', 'RPL27', 'TMCC1', 'ALDOA', 'RAN', 'ITM2C']",0.020815335823865404,0,0,32
8,hsa-miR-331-3p,0.0001755059045804314,2.0706668136922857,17.906790890274376,"['CUEDC2', 'DHX8', 'RNMT', 'RPL34', 'MRPS12', 'RPL36A', 'RNF7', 'COX7C', 'SMG6', 'ACTG1', 'NARS', 'RPL7A', 'RPS14', 'LDHA', 'PSMD7', 'RPS3', 'GSE1', 'RPS2', 'CDIPT', 'POLR2L', 'CDKN2D', 'RPS9', 'PPIL1', 'MRPS26', 'TPI1', 'SSR4', 'TFCP2', 'HAX1', 'RPS27', 'PSME1', 'RHOV', 'RPL29', 'LAMTOR4', 'AURKAIP1', 'SLC25A4', 'POLR3K']",0.060483722366031174,0,0,36
9,hsa-miR-744-5p,0.00026511416523085823,1.9588574423480083,16.13187666244208,"['RPL3', 'RNASEK', 'RPL10', 'NDUFB10', 'WBP2', 'RPLP1', 'GDI2', 'NUDT2', 'CCDC106', 'MRPL11', 'ACTG1', 'UBL5', 'RPL7A', 'RPS14', 'PRDX5', 'HINT1', 'SERP1', 'RPL18A', 'RACK1', 'RPL13', 'RPL37', 'RPL18', 'CCDC71', 'POLR2L', 'PAK4', 'TMEM14C', 'OSBPL5', 'DCXR', 'RPS6', 'PA2G4', 'MRPL46', 'PPDPF', 'ERP29', 'UFC1', 'PIN1', 'VDAC1', 'PTMA', 'RAN', 'LY6E']",0.0812133059490529,0,0,39
10,hsa-miR-320a,0.00030107847935052025,1.822320867379007,14.775631985895625,"['RPL30', 'STOML2', 'CCNI', 'RPLP1', 'MAK16', 'MRPS12', 'RPL8', 'RPL9', 'OAZ1', 'ACTG1', 'CKS1B', 'RPS4X', 'RPL7A', 'RPS17', 'RPS16', 'PPP1R7', 'RPL36', 'MRPL9', 'DCAF11', 'TAC1', 'PPIL1', 'XBP1', 'NPM1', 'TPI1', 'NDUFA3', 'MRPS18B', 'C20ORF27', 'RPL13A', 'RAD23A', 'IMP4', 'NPM3', 'COX6B1', 'RPS27', 'RAB14', 'SYF2', 'PPT1', 'SNRPG', 'VDAC2', 'RPL27', 'VDAC1', 'CALM3', 'EIF3F', 'CALR', 'UBA52', 'PFKM', 'PFDN6', 'RAN']",0.08300733675693843,0,0,47
