Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NRF1 (mouse),2.9965076610394296e-12,2.5975954738330977,68.92349073565138,"['RPL30', 'NDUFA13', 'POP7', 'ARPC5L', 'PARK7', 'TMEM97', 'RPL8', 'COX6A1', 'TOMM22', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPS19', 'RPL35', 'RPL38', 'RPS10', 'CHCHD1', 'PLEKHJ1', 'GABARAPL2', 'ATP6V1G1', 'RPS9', 'RPL21', 'RPS8', 'IMP4', 'RPSA', 'COX6B1', 'NHP2', 'UBE2V2', 'ERP29', 'GEMIN6', 'RPL27', 'SNRNP25', 'UBA52', 'PRR13', 'SRSF9', 'LIPT2', 'ANAPC13', 'NOLC1', 'MRPL17', 'ARL2', 'COX7A2', 'PHB', 'LDHA', 'BAG1', 'BTF3', 'TRAPPC4', 'RPS25', 'LSM7', 'RPS28', 'UBE2S', 'RPS21', 'RPS24', 'RPS23', 'UBE2M', 'COX7B', 'ZFAND2A', 'COX4I1', 'DBI', 'MEA1', 'COX7C', 'CKS1B', 'HINT1', 'COX8A', 'SSR4', 'GLRX2', 'SYP', 'DYNLL1', 'TUBG1', 'PPDPF', 'NDUFB4', 'POMP', 'CCDC107', 'CCDC106', 'COX5B', 'COX5A', 'MRPL54', 'PET117', 'MRPL55', 'PSMB6', 'PARD6A', 'EIF4H', 'RPS3', 'PCBD1', 'RPS2', 'ATP6V0E2', 'HNRNPA1', 'TIMM8B', 'NPM1', 'NDUFA6', 'NDUFA5', 'FBXL15', 'RPL23A', 'COX6C', 'SPCS1', 'PSMC3', 'FKBP1B', 'NDUFAB1', 'POLR3K', 'TOMM5']",7.986309720147947e-10,0,0,100
2,NRF1 (human),5.135890495271991e-12,2.8546009715475362,74.20468961908756,"['MESP1', 'SLC25A3', 'NDUFA13', 'PPP1R11', 'ASNSD1', 'NDUFA12', 'ZFAND2A', 'RPLP1', 'POP4', 'MRPS12', 'MRPL36', 'RPL10A', 'RPL8', 'COX6A1', 'ING1', 'CALB2', 'MAP1LC3B', 'RPS16', 'SEC61G', 'RPL36', 'AP1S1', 'HRAS', 'PLEKHJ1', 'PSENEN', 'CDV3', 'ENDOG', 'C14ORF119', 'PGAM1', 'RPS5', 'RPL13A', 'C4ORF48', 'SYP', 'MZT2B', 'THAP5', 'NEIL2', 'NDUFS6', 'SCO2', 'DDIT3', 'STRAP', 'NAA38', 'SLC25A6', 'LRPAP1', 'IDI1', 'FKBP2', 'SET', 'UQCRB', 'MTFP1', 'NDUFB11', 'COX17', 'MRPL17', 'AXDND1', 'RNF5', 'COMMD8', 'LDHA', 'PARD6A', 'ZMAT2', 'BLOC1S2', 'BAG1', 'DNAJB9', 'SAP18', 'NDN', 'HNRNPA1', 'POLR2J', 'ATP6V1D', 'RANBP1', 'SF3A1', 'TRAPPC1', 'BAD', 'NDUFA3', 'TRAPPC5', 'MT3', 'PNRC1', 'PINK1', 'LSM7', 'HIST3H2A', 'RAB14', 'PITHD1', 'TOMM7', 'CHMP2A', 'MAGED2', 'ZNF576', 'RAN', 'ITM2C']",7.986309720147947e-10,0,0,83
3,HIF1A (human),1.175508880669377e-10,2.3461843378382596,53.643510126298466,"['ISCA1', 'ZNF174', 'RPL3', 'EEF1B2', 'NARS', 'RPS15', 'SNRPD1', 'NPPA', 'NEK2', 'BANF1', 'RPS11', 'ATP6V1E1', 'RPS10', 'NUDT14', 'RPL39', 'RPS13', 'SCN1B', 'SKP1', 'GABARAPL2', 'FKBPL', 'AIP', 'RPSA', 'COX6B1', 'NEIL2', 'NHP2', 'PSME1', 'RPL24', 'SNRPE', 'RPL29', 'RPP25', 'BEX4', 'RPS19BP1', 'MRPL17', 'COX7A2', 'COX7A1', 'C12ORF57', 'ZNHIT2', 'BLOC1S1', 'SURF6', 'XBP1', 'TBCC', 'EIF1', 'RPS26', 'C1ORF216', 'EIF5', 'STAR', 'PNOC', 'RPS23', 'BEX5', 'MRPS17', 'SLC25A3', 'COX7B', 'UBXN1', 'ZFAND2A', 'MRPL35', 'ING1', 'CALB2', 'RPS4X', 'MAP1LC3A', 'SUMO1', 'C9ORF16', 'SUMO2', 'TIMM17A', 'IDH3B', 'TMED2', 'SEC61B', 'CCDC115', 'MRPL47', 'EDF1', 'COQ10B', 'COPZ1', 'MRPL52', 'GCHFR', 'CORT', 'NDUFS5', 'RHOV', 'DCTPP1', 'SLC25A6', 'GTF2A2', 'AHCY', 'RPL10', 'WBP2', 'NDUFB4', 'GMPR2', 'NDUFB3', 'COX5A', 'FAM71F2', 'PSMB10', 'MRPL55', 'RPS15A', 'DDT', 'RPS3', 'POLR2E', 'RPL13', 'RPL17', 'CDKN2D', 'TAF13', 'PSMC3', 'FABP6', 'MORN2', 'FAU', 'PFKM', 'POLR3K']",1.2186108729605875e-08,0,0,103
4,ESR1 (human),1.8004712671339414e-09,2.232088998763906,44.94359722670082,"['ARPC5L', 'TXN2', 'PSMD8', 'RPS19', 'RPS11', 'HABP2', 'SCN1B', 'GABARAPL1', 'ENDOG', 'MRPS18A', 'COX6B1', 'NEIL2', 'S100A6', 'NHP2', 'RPL24', 'SRSF3', 'UBA52', 'PRR13', 'IDI1', 'PHB', 'SNN', 'IGFBP6', 'HBQ1', 'SAC3D1', 'OST4', 'PMM1', 'SURF2', 'MT3', 'OCEL1', 'LSM2', 'C1ORF216', 'FIBP', 'LSM7', 'STAR', 'EIF6', 'PPT1', 'PYDC1', 'CALM3', 'RPS24', 'NOP10', 'RPS23', 'MESP1', 'CUEDC2', 'COX7B', 'ZFAND2A', 'COX4I1', 'MRPL35', 'DDA1', 'SUMO1', 'C9ORF16', 'TIMM17A', 'TMED2', 'DGCR6L', 'GPX4', 'CCDC115', 'PGAM1', 'DHPS', 'MRPL47', 'EDF1', 'JOSD2', 'TUBG1', 'NME1', 'MZT2B', 'EEF1G', 'MRPL52', 'MRPL53', 'ARL4D', 'ALDOA', 'PTMA', 'OTUB1', 'SLC25A6', 'SF3B5', 'STOML2', 'GTF3C6', 'NDUFB3', 'TMEM160', 'AXDND1', 'COX5A', 'LAGE3', 'FAM71F2', 'TFPT', 'POLR2I', 'POLR2L', 'CDKN2D', 'GADD45GIP1', 'NPM1', 'MDH2', 'NDUFA3', 'GAD2', 'HCRTR1', 'CDKN2AIPNL', 'FABP6', 'MORN2', 'APEX1', 'NDUFAB1', 'BAX', 'POLR3H', 'FAU', 'RPL26L1']",1.3998664101966394e-07,0,0,99
5,ATF4 (human),4.846009561376958e-09,2.2565848644481563,43.20256599918023,"['MESP1', 'RAB3A', 'RPL3', 'CCNI', 'FAM89B', 'CITED1', 'RPL34', 'DIRAS1', 'PARK7', 'ALKBH7', 'CNDP2', 'LSM10', 'RPS14', 'MAP1LC3A', 'GUK1', 'RPL35', 'RPLP2', 'SEC61B', 'SULT4A1', 'BCAS2', 'RPS12', 'YWHAH', 'COX8A', 'CDV3', 'GABARAPL1', 'HMGCS1', 'RPL21', 'RPS8', 'METTL1', 'BUD31', 'MRPS18A', 'GLRX2', 'JOSD2', 'WBP11', 'DUSP23', 'ARL4D', 'HAX1', 'FNDC4', 'PRKAR1A', 'CDC37', 'CRH', 'RHOV', 'RPP25', 'UBA52', 'CUTA', 'ZNF593', 'FKBP2', 'BEX1', 'TM2D2', 'RPL11', 'PEX11B', 'NDUFB2', 'NOLC1', 'MRPL17', 'TMEM160', 'RNF7', 'SEZ6L2', 'AXDND1', 'HSP90B1', 'LDHA', 'ZNHIT2', 'TCEAL6', 'PARD6A', 'TCEAL2', 'TAC1', 'RPL18', 'HNRNPA0', 'MOAP1', 'XBP1', 'TRAPPC1', 'NDUFA5', 'TRAPPC4', 'PDAP1', 'CCK', 'OCEL1', 'RPS25', 'FABP3', 'RPS27', 'NECAP1', 'RPS29', 'UBE2S', 'IMPDH2', 'C18ORF32', 'SRRD', 'PSMG3', 'CYCS', 'CALM3', 'RSL24D1', 'ZNF576', 'RPS21', 'RAN']",3.014217947176468e-07,0,0,91
6,CRX (human),2.8485990040427843e-07,2.032351826108935,30.630119763205236,"['MRPS17', 'UBXN1', 'RPL3', 'NDUFA11', 'NDUFA12', 'TUSC2', 'RPLP0', 'NUDT1', 'TRIAP1', 'COX6A1', 'RND2', 'MRPL35', 'RPL6', 'TXN2', 'MAP1LC3B', 'MAP1LC3A', 'SUMO1', 'C6ORF226', 'RPL18A', 'GUK1', 'C19ORF53', 'RPL36', 'TMED2', 'RPS11', 'RPS10', 'SLC39A3', 'GABARAPL2', 'ATP6V1G1', 'GABARAPL1', 'FKBPL', 'GPX4', 'RPS8', 'CCDC115', 'IMP3', 'DHPS', 'NME2', 'RPS3A', 'GLRX2', 'SYP', 'NME1', 'COX6B1', 'MZT2B', 'DPM3', 'MYL6', 'UFC1', 'RPL24', 'SRSF3', 'FAM32A', 'AURKAIP1', 'RPL29', 'ALDOA', 'OTUB1', 'CSTB', 'SET', 'AHCY', 'RPL10', 'AXDND1', 'COX5A', 'LAGE3', 'FAM71F2', 'TFPT', 'BLOC1S1', 'PRDX1', 'POLR2E', 'AP2S1', 'RPL13', 'HBQ1', 'SCAND1', 'SAC3D1', 'GADD45GIP1', 'FIS1', 'NPM1', 'RPL41', 'PMM1', 'TAF13', 'MDH2', 'NDUFA3', 'OCEL1', 'LSM2', 'C1ORF216', 'RPS27', 'NACA', 'PSMG3', 'NUCB1', 'BAX', 'FAU', 'RPS24', 'SCN2B']",1.4765238170955099e-05,0,0,88
7,E2F1 (human),4.5149014554957967e-07,1.5971830985915494,23.33598272853541,"['POP7', 'ZNF174', 'FRMPD2', 'ARPC5L', 'RPL8', 'ALKBH7', 'RPL9', 'CISD3', 'RPL7', 'RPS15', 'RPS19', 'STMN1', 'AP1S1', 'ARL6IP4', 'RPL38', 'PELO', 'ATP6V1G2', 'C17ORF49', 'TINF2', 'MIF', 'MYL6', 'THAP5', 'SCO2', 'CTXN1', 'RPL28', 'CUTA', 'CDCA5', 'TPRG1L', 'NOLC1', 'MRPL17', 'GABARAP', 'ANAPC11', 'MYL12B', 'SURF6', 'FIS1', 'F8A1', 'CNFN', 'MRPL21', 'NR2F6', 'EIF5', 'STAR', 'PYDC1', 'CALM2', 'RPS24', 'ITM2C', 'CITED1', 'MAGEF1', 'MRPS12', 'MRPL36', 'ING1', 'TRMT112', 'MAP1LC3B', 'MRPL40', 'RPLP2', 'TMED2', 'SEC61B', 'HRAS', 'COX8A', 'TPI1', 'SLC32A1', 'SSR4', 'GSTO1', 'MRPL49', 'DYNLL1', 'RAB33A', 'APRT', 'NME1', 'MZT2B', 'MZT2A', 'MRPL51', 'KIT', 'FAM32A', 'ALDOA', 'PTMA', 'CSTB', 'RNASEK', 'AHCY', 'RPL11', 'MRPS34', 'CRYBA2', 'TIMM13', 'UQCR10', 'PET117', 'PSMA7', 'RPS15A', 'PNMA1', 'CAMK2N2', 'RPL15', 'TAF9B', 'MEF2D', 'CXORF40B', 'CDKN2D', 'UBL4A', 'RANBP1', 'SF3A1', 'MDH2', 'GAD2', 'HIST3H2A', 'TMEM54', 'FABP5', 'FABP6', 'APEX1', 'NUCB1', 'LAMTOR2', 'LAMTOR1', 'TOMM6', 'NDUFA13', 'NDUFA11', 'MPV17L2', 'PARK7', 'TMEM141', 'ACTG1', 'CHCHD2', 'PHLDA2', 'NUDT14', 'PLEKHJ1', 'SLC39A3', 'TRAPPC2L', 'FKBPL', 'RPSA', 'SMO', 'NHP2', 'UBE2V2', 'ERP29', 'PHPT1', 'ISCU', 'FKBP2', 'NDUFB10', 'HIGD1A', 'SEZ6L2', 'C1ORF53', 'HSP90B1', 'PGK1', 'ATP6V1D', 'OST4', 'MOAP1', 'TRAPPC4', 'HMGA1', 'LSM1', 'DSTN', 'CHCHD10', 'LSM3', 'LSM2', 'MAFB', 'UQCRQ', 'CHMP2A', 'RNF181', 'CYCS', 'PIN1', 'TDRD10', 'UBE2M', 'YWHAB', 'DBI', 'TRIAP1', 'RPL7A', 'SUMO1', 'C6ORF226', 'TRIM68', 'MDP1', 'GPX4', 'NCBP2', 'C14ORF119', 'VBP1', 'NDUFC1', 'EDF1', 'BPGM', 'DUSP23', 'NDUFS6', 'PPDPF', 'GAPDH', 'DCTPP1', 'SLC25A11', 'SLC25A6', 'TSSC4', 'TM2D2', 'MTFP1', 'WBP2', 'NDUFB2', 'RPL36A', 'NDUFB1', 'RNF5', 'DLL3', 'TFPT', 'GNG3', 'C17ORF107', 'PARD6A', 'C19ORF73', 'TMEM208', 'PCBD1', 'HNRNPA1', 'POLR2J', 'BEND5', 'NDUFA7', 'NDUFA6', 'BAD', 'RPL23A', 'NAP1L5', 'PFKM']",2.0059062180845612e-05,0,0,198
8,ELK1 (mouse),1.1489116486627478e-06,1.9534566124091093,26.71683117475776,"['SLC25A3', 'POP7', 'YWHAB', 'DBI', 'MRPL36', 'COX6A1', 'ING1', 'TXNDC17', 'ACTG1', 'TOMM22', 'RPS14', 'TRMT112', 'MAP1LC3B', 'MRPL40', 'STBD1', 'ARL6IP4', 'RAC3', 'TIMM17B', 'CHCHD1', 'SULT4A1', 'CCDC51', 'SLC39A3', 'COX8A', 'PSENEN', 'GABARAPL2', 'ATP6V1G1', 'HMGCS1', 'FBXO2', 'MRPS23', 'DHPS', 'EDF1', 'JOSD2', 'COQ10B', 'LENG1', 'DPM2', 'ARL4D', 'NEIL2', 'NDUFS6', 'UBE2V2', 'SNRPE', 'VDAC1', 'CTXN2', 'RPP25', 'ALDOA', 'SLC25A4', 'LY6E', 'SRSF9', 'GTF2A2', 'TSSC4', 'GMPR2', 'RPL11', 'COX7A2', 'COPS7A', 'NEDD8', 'TMEM160', 'PHB', 'MRPL55', 'HSP90B1', 'DLL3', 'LDHA', 'PRDX5', 'EXOSC4', 'RPL14', 'AP2S1', 'SURF6', 'NRIP3', 'SERF2', 'POLR2L', 'SYT5', 'FIS1', 'PRELID1', 'SF3A1', 'NDUFA6', 'PMM1', 'NDUFA4', 'LSM1', 'HOPX', 'PNRC2', 'HCRTR1', 'MANF', 'DRAP1', 'PDCL3', 'NUDT8', 'FABP5', 'EIF6', 'PFKM', 'RPS23']",4.4663940341764324e-05,0,0,87
9,FOXA1 (mouse),2.0974660705977814e-06,1.9477120410453743,25.46590755966416,"['MESP1', 'PPP1R11', 'ASNSD1', 'CITED4', 'MYL6B', 'MRPL35', 'RPL9', 'LSM10', 'UBL5', 'PSMD7', 'LGALS1', 'PTTG1', 'STBD1', 'MFSD3', 'AP1S1', 'RPLP2', 'UQCRFS1', 'FAM3C', 'RPS9', 'FKBPL', 'MRPS24', 'RPS8', 'BUD31', 'RPL23', 'RPS5', 'NDUFC1', 'EDF1', 'SRP9', 'NME1', 'COX6B1', 'CDC37', 'KIT', 'UFC1', 'NHP2', 'VDAC1', 'SLC25A5', 'UBA52', 'RPL28', 'PRR13', 'DCTN6', 'SF3B5', 'BEX2', 'TM2D2', 'UQCRB', 'NDUFB10', 'RPS19BP1', 'WBP2', 'RPL11', 'PEX11B', 'CRYBA2', 'SUPT4H1', 'NOLC1', 'RNF7', 'TIMM10', 'PHB', 'FAM71F2', 'PET117', 'MRPL55', 'GNG10', 'EXOSC4', 'GRPEL1', 'ZMAT2', 'EIF4H', 'RRS1', 'ROMO1', 'TAF9B', 'RPL17', 'POLR2K', 'BTF3', 'PMM1', 'LSM1', 'RPL23A', 'ATOX1', 'EIF1', 'RPS28', 'STAR', 'PSMC3', 'FABP6', 'RNF181', 'VIP', 'TOMM5', 'TPT1', 'RPS23']",7.247910532843445e-05,0,0,83
10,GFI1 (human),3.5197426680743065e-06,1.9219160357174885,24.133735434797085,"['MRPS17', 'SLC25A3', 'UBXN1', 'RPL3', 'RPLP0', 'ARPC5L', 'COX6A1', 'MRPL35', 'TXN2', 'RPS14', 'RPS17', 'SUMO1', 'C6ORF226', 'C19ORF53', 'SUMO2', 'RPLP2', 'RPS11', 'RPS10', 'RPS13', 'SLC39A3', 'RPS7', 'FKBPL', 'GPX4', 'FBXO2', 'DHPS', 'AIP', 'NME2', 'RPS3A', 'LDOC1', 'SYP', 'TUBG1', 'MRPL52', 'GCHFR', 'MRPL53', 'MZT2A', 'MYL6', 'UFC1', 'NHP2', 'UBE2V2', 'SNRPE', 'ERH', 'RHOV', 'SNRNP25', 'ALDOA', 'UBA52', 'OTUB1', 'PRR13', 'NDUFB8', 'SET', 'AHCY', 'GTF3C6', 'RPL11', 'NDUFB3', 'COX5A', 'FAM71F2', 'PSMB6', 'TFPT', 'BLOC1S1', 'PRDX1', 'POLR2E', 'RPL13', 'SAC3D1', 'SERF2', 'GADD45GIP1', 'RPL41', 'SDF2L1', 'PMM1', 'TAF13', 'MDH2', 'NDUFA3', 'LSM4', 'RPS26', 'RPS27', 'SPCS1', 'FABP6', 'NACA', 'PSMG3', 'NDUFAF3', 'NUCB1', 'BAX', 'FAU', 'SCN2B']",9.981890222108082e-05,0,0,82
