Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-3960,0.13496227535488392,1.5482954545454546,3.1008641757634496,"['ARL4D', 'MAFB', 'CCDC85B', 'BAD', 'CAMK2N2', 'NXPH4', 'CITED4', 'BRK1', 'RPL13A', 'CALM3', 'CCDC106', 'PHLDA2']",0.999994668819737,0,0,12
2,hsa-miR-4523,0.15546403787483506,1.33606488414747,2.4868721361521806,"['WDR83OS', 'LRPAP1', 'IDI1', 'SF3A1', 'NXPH4', 'FRMPD2', 'CISD3', 'ANAPC11', 'TRMT112', 'C1ORF216', 'MIEN1', 'RPL27A', 'PGK1', 'POLR2E', 'TIMM17B', 'NRIP3', 'ZNF831', 'SH2D5', 'CCDC184', 'SLC39A3', 'ITM2C']",0.999994668819737,0,0,21
3,mmu-miR-1899,0.203967557155392,1.3538743136058573,2.1523817091134947,"['FIS1', 'ATP6V1G2', 'METTL1', 'C6ORF120', 'HDDC3', 'MLLT11', 'ARMCX3', 'RGS4', 'FIBP', 'SNN', 'MIEN1', 'DDIT3', 'NUDT16', 'RAN']",0.999994668819737,0,0,14
4,hsa-miR-503,0.21992623774506526,1.1272575767505875,1.7071899724255668,"['PPP1R11', 'RND2', 'MRPL35', 'NUBP2', 'NARS', 'PSMD7', 'MRPL40', 'SNRPD1', 'SEC62', 'BORCS8', 'SULT4A1', 'CDV3', 'WDR83OS', 'GABARAPL1', 'APLP2', 'MRPS18A', 'DDX54', 'C4ORF48', 'JOSD2', 'WBP11', 'LENG1', 'FNDC4', 'SMO', 'PRKAR1A', 'CDC37', 'CRH', 'PPIF', 'VDAC1', 'FAM32A', 'CLEC4G', 'OTUB1', 'NRN1', 'TM2D2', 'RPL10', 'TPRG1L', 'ARL2', 'ARPP19', 'LAGE3', 'TGOLN2', 'LDHA', 'SNN', 'EIF4H', 'EMC4', 'RPRML', 'ZNF622', 'EMC6', 'HNRNPA1', 'CXORF40B', 'BTF3', 'F8A1', 'SPRYD3', 'NDUFA4', 'LGI2', 'HMGA1', 'PDAP1', 'PNRC2', 'TIMM10B', 'NECAP1', 'MAFB', 'C4ORF3', 'SRRD', 'PPT1', 'PSMG3', 'CYCS', 'NUCB1', 'LAMTOR4', 'DNAL4']",0.999994668819737,0,0,67
5,hsa-miR-423-3p,0.2464794447258599,1.216059335698162,1.703062738116589,"['SET', 'C17ORF49', 'MRPL49', 'LRRC73', 'PDAP1', 'COX7A2', 'LSM4', 'C1ORF122', 'TGOLN2', 'LSM7', 'C17ORF107', 'GRPEL1', 'SMO', 'RAB14', 'MPC2', 'TRIM68', 'RHOV', 'ATP6V0E2', 'SLC25A4', 'RILP', 'PTMA', 'DNAL4']",0.999994668819737,0,0,22
6,hsa-miR-4285,0.25617682949898996,1.4162962962962964,1.9288359853089638,"['RPL41', 'CUEDC2', 'NDUFA11', 'RPL27A', 'CITED4', 'PPIF', 'CHCHD10', 'CCDC106']",0.999994668819737,0,0,8
7,hsa-miR-4714-3p,0.25868808138264204,1.112291748655385,1.5039655581616318,"['NDUFA11', 'TMEM167A', 'POP4', 'UBE2L6', 'RND2', 'ATRAID', 'RGS4', 'FUNDC2', 'SUMO1', 'TRIM68', 'IDH3B', 'NEFL', 'ARFIP2', 'NUDT16', 'BORCS8', 'SEPHS2', 'CDV3', 'ATP6V1G1', 'C14ORF119', 'HSBP1', 'VBP1', 'PGAM1', 'NDUFC2', 'MRPS7', 'ARMCX3', 'PRKAR1A', 'UBE2V2', 'NAA38', 'RPL28', 'CHMP5', 'IDI1', 'RPL10', 'CDCA5', 'POMP', 'TPRG1L', 'SELENOK', 'PNMA1', 'BLOC1S2', 'GRPEL2', 'DNAJB9', 'SURF6', 'SAP18', 'CD59', 'ATP6V1F', 'TIMM8A', 'PPIL1', 'NDUFA5', 'LGI2', 'HMGA1', 'COX6C', 'NPM3', 'C6ORF120', 'MZT1', 'LSM7', 'NECAP1', 'EIF5', 'SYT11', 'C4ORF3', 'CYCS', 'TDRD10', 'TPT1']",0.999994668819737,0,0,61
8,hsa-miR-4664-3p,0.2599110707927792,1.2155727155727156,1.6378818123703374,"['LRPAP1', 'NRN1', 'RPS19BP1', 'YWHAB', 'NXPH4', 'MPV17L2', 'RNF7', 'C6ORF120', 'TXNDC17', 'CNDP2', 'FUNDC2', 'PINK1', 'C19ORF53', 'RPL27A', 'CAMK2N2', 'C18ORF32', 'NUDT16', 'ZNF831', 'HRAS', 'SKP1']",0.999994668819737,0,0,20
9,mmu-miR-5099,0.2657364770257706,1.182207122184472,1.566720164976409,"['MAGEF1', 'ARPP19', 'TMEM141', 'CHCHD2', 'MRPL40', 'SNRPD1', 'GRPEL2', 'ELOC', 'NUDT16', 'ZNF622', 'SERF2', 'SKP1', 'CDV3', 'UQCC3', 'VBP1', 'ALYREF', 'IMP4', 'SYP', 'MLLT11', 'SPCS1', 'PPT1', 'LY6D', 'SLC25A4', 'VAMP2', 'CHMP5']",0.999994668819737,0,0,25
10,hsa-miR-4506,0.26704518460743903,1.1060705676090292,1.4603863420550394,"['ISCA2', 'COX7B', 'ARHGDIG', 'TMEM97', 'SRP14', 'TXN2', 'SALL2', 'STK16', 'SEPHS2', 'CDV3', 'ATP6V1G1', 'C14ORF119', 'MMGT1', 'GLRX5', 'RPL23', 'RPL22', 'MRPS18A', 'BPGM', 'DPM3', 'HAX1', 'THAP5', 'SMO', 'SDHAF1', 'UBE2V2', 'SRSF3', 'NAA38', 'ZNF831', 'DCTPP1', 'RPL28', 'VAMP2', 'ARF6', 'ANAPC13', 'LRPAP1', 'BEX3', 'NDUFB4', 'CDCA5', 'MRPS34', 'RNF7', 'HIGD1A', 'PET117', 'TGOLN2', 'TCEAL8', 'GRPEL1', 'PRDX1', 'TIMM8B', 'CDKN2D', 'TIMM8A', 'SF3A1', 'PDAP1', 'C20ORF27', 'C6ORF120', 'PTRHD1', 'NAP1L5', 'MRPL30', 'C1ORF216', 'NECAP1', 'EIF5', 'RAB14', 'EIF6', 'SYT11', 'C4ORF3', 'POLR3H', 'ZNF576']",0.999994668819737,0,0,63
