Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,3.209875289699354e-56,26.98270803851862,3447.8108528167977,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPL21', 'RPS7', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'MRPS18A', 'RPSA', 'MRPS18C', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'MRPL18', 'MRPL16', 'MRPL17', 'MRPL14', 'MRPL15', 'MRPL12', 'MRPL10', 'MRPL11', 'MRPL20', 'RPL41', 'MRPL27', 'MRPL28', 'MRPL24', 'MRPL21', 'MRPL30', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'MRPS17', 'MRPS16', 'MRPS14', 'MRPS11', 'RPLP1', 'MRPS12', 'RPLP0', 'MRPS10', 'MRPL36', 'MRPL34', 'MRPL35', 'MRPL32', 'MRPL33', 'MRPL4', 'RPS4X', 'RPL7A', 'MRPL2', 'RPLP2', 'MRPL9', 'MRPS2', 'MRPS21', 'RPL13A', 'RPS3A', 'MRPS7', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'RPL35A', 'RPL23A', 'RPL22L1', 'FAU', 'RPL26L1']",9.982712150964991e-54,0,0,115
2,Oxidative phosphorylation,8.683656708457887e-30,9.433589679980154,631.2591253815818,"['NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'UQCRFS1', 'ATP6V1E1', 'COX8A', 'ATP6V1G1', 'ATP6V0B', 'ATP6V1G2', 'ATP6AP1', 'NDUFC2', 'SDHC', 'NDUFC1', 'COX6B1', 'COX7A2L', 'PPA2', 'NDUFS6', 'NDUFS5', 'ATP6V1B2', 'NDUFS3', 'NDUFS1', 'UQCRC2', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1A', 'NDUFB8', 'NDUFB7', 'NDUFB10', 'UQCRB', 'NDUFB6', 'COX15', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX5A', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'COX11', 'CYC1', 'NDUFV3', 'ATP6V0E2', 'ATP5MG', 'ATP6V1D', 'NDUFV1', 'ATP5MF', 'ATP6V1C1', 'ATP5ME', 'ATP6V0A1', 'ATP6V1F', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",1.3503086181652014e-27,0,0,84
3,Parkinson disease,4.264628052130794e-28,4.54530596285435,286.4543980052669,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'TXN2', 'PSMD8', 'TUBB8', 'PSMD7', 'PSMD4', 'TUBB3', 'PSMD2', 'PSMD3', 'PRKACA', 'SDHC', 'TUBA4A', 'COX6B1', 'COX7A2L', 'DDIT3', 'VDAC2', 'VDAC1', 'UQCRC2', 'UBA52', 'ATF4', 'PSMD12', 'NDUFB10', 'UQCRB', 'NDUFB11', 'PSMD13', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'ITPR2', 'COX7A2', 'TXN', 'UBE2J2', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC4', 'KLC2', 'UBB', 'UBC', 'CYC1', 'DRD1', 'NDUFV3', 'NDUFV1', 'XBP1', 'HSPA5', 'EIF2AK3', 'EIF2S1', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'COX7B', 'COX4I1', 'COX7C', 'TUBA1B', 'UCHL1', 'TUBA1A', 'UQCRFS1', 'COX8A', 'DUSP1', 'NDUFC2', 'NDUFC1', 'TUBB2A', 'PSMA1', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'PRKN', 'NDUFB8', 'NDUFB7', 'NDUFB6', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'GNAI3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'ADCY5', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB2', 'PSMB3', 'MFN2', 'RPS27A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'UBE2G1', 'ATP5F1C', 'COX6C', 'TUBB4B', 'ATP5F1D', 'ATP5F1E', 'MAPK10', 'PSMC5', 'PINK1', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX']",4.4209977473755894e-26,0,0,129
4,Huntington disease,7.189410829566415e-24,3.47118935165307,184.97771240785602,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'PSMD7', 'PSMD4', 'TUBB3', 'CREB3L1', 'PSMD2', 'PSMD3', 'EP300', 'AP2M1', 'SDHC', 'TUBA4A', 'COX6B1', 'COX7A2L', 'VDAC2', 'VDAC1', 'UQCRC2', 'STX1A', 'PSMD12', 'NDUFB10', 'UQCRB', 'NDUFB11', 'PSMD13', 'PIK3R4', 'ATP5MC2', 'CACNA1B', 'ATP5MC3', 'COX7A2', 'NRF1', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC4', 'KLC2', 'ATG101', 'NRBF2', 'CYC1', 'NDUFV3', 'NDUFV1', 'CREBBP', 'DNAH11', 'DNAH14', 'SP1', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'COX4I1', 'CLTC', 'CLTA', 'COX7C', 'BBC3', 'TUBA1B', 'GRM5', 'TUBA1A', 'CASP8', 'UQCRFS1', 'COX8A', 'GPX3', 'GPX7', 'NDUFC2', 'NDUFC1', 'WIPI2', 'CREB3', 'PLCB4', 'TUBB2A', 'PSMA1', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'PPARG', 'NDUFS1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'DCTN6', 'BECN1', 'DCTN5', 'NDUFB8', 'NDUFB7', 'DCTN2', 'NDUFB6', 'DCTN1', 'NDUFB5', 'DNAH5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'AMBRA1', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB2', 'POLR2A', 'PSMB3', 'POLR2C', 'POLR2D', 'AP2S1', 'POLR2E', 'POLR2G', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'KCNJ10', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'TUBB4B', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'ACTR10']",5.589766919987888e-22,0,0,144
5,Amyotrophic lateral sclerosis,4.908281163356961e-20,2.8808616905885023,128.0853522120269,"['NDUFA13', 'NUP107', 'NDUFA11', 'NDUFA12', 'COX6A1', 'ACTG1', 'PSMD8', 'TUBB8', 'PSMD7', 'PSMD4', 'TUBB3', 'PSMD2', 'PSMD3', 'GABARAPL2', 'GABARAPL1', 'ANXA11', 'SDHC', 'TUBA4A', 'COX6B1', 'COX7A2L', 'DDIT3', 'VDAC1', 'UQCRC2', 'SQSTM1', 'ATF4', 'PFN2', 'NUP205', 'PSMD12', 'VCP', 'SEH1L', 'NDUFB10', 'UQCRB', 'NDUFB11', 'PSMD13', 'PIK3R4', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'KLC1', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC4', 'ATXN2', 'KLC2', 'ATG101', 'NRBF2', 'CYC1', 'NDUFV3', 'NDUFV1', 'DNAH11', 'XBP1', 'HSPA5', 'ALYREF', 'DNAH14', 'EIF2AK3', 'CHCHD10', 'NUP153', 'EIF2S1', 'UQCRQ', 'CYCS', 'DNAL4', 'COX7B', 'NXT1', 'COX4I1', 'COX7C', 'TUBA1B', 'PPP3CC', 'TUBA1A', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'RAB8A', 'COX8A', 'GPX3', 'SIGMAR1', 'GPX7', 'NDUFC2', 'NDUFC1', 'NRG1', 'WIPI2', 'TOMM40L', 'TUBB2A', 'PSMA1', 'ALS2', 'NRG3', 'PSMA2', 'NDUFS6', 'NDUFS5', 'CAT', 'NDUFS3', 'NDUFS1', 'PRKN', 'DCTN6', 'BECN1', 'DCTN5', 'NDUFB8', 'TOMM40', 'NDUFB7', 'DCTN2', 'NDUFB6', 'DCTN1', 'NDUFB5', 'DNAH5', 'NDUFB4', 'DCTN3', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'AMBRA1', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB2', 'PSMB3', 'HNRNPA1', 'RAE1', 'NXF5', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'TUBB4B', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'PSMC5', 'CCS', 'PINK1', 'PSMC3', 'VAPB', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'ACTR10']",3.05295088360803e-18,0,0,153
6,Prion disease,8.645442297311789e-20,3.3193982455443973,145.7038891920841,"['NDUFA13', 'NDUFA11', 'NCF2', 'NDUFA12', 'COX6A1', 'PSMD8', 'TUBB8', 'PSMD7', 'PSMD4', 'TUBB3', 'CREB3L1', 'PSMD2', 'PSMD3', 'PRKACA', 'CSNK2A1', 'SDHC', 'TUBA4A', 'COX6B1', 'COX7A2L', 'DDIT3', 'CSNK2B', 'VDAC2', 'VDAC1', 'UQCRC2', 'ATF4', 'PSMD12', 'NDUFB10', 'UQCRB', 'NDUFB11', 'PSMD13', 'ATP5MC2', 'CACNA1B', 'PIK3R3', 'ATP5MC3', 'ITPR2', 'COX7A2', 'CACNA1C', 'KLC1', 'COX7A1', 'UQCRH', 'ATP5MC1', 'KLC4', 'STIP1', 'KLC2', 'CYC1', 'NDUFV3', 'NDUFV1', 'HSPA8', 'HSPA5', 'EIF2AK3', 'EIF2S1', 'UQCRQ', 'CYCS', 'RYR2', 'GSK3B', 'COX7B', 'COX4I1', 'PIK3CD', 'LAMC1', 'COX7C', 'TUBA1B', 'PPP3CC', 'TUBA1A', 'UQCRFS1', 'RAC1', 'COX8A', 'NDUFC2', 'NDUFC1', 'CREB3', 'TUBB2A', 'PSMA1', 'PIK3CA', 'PSMA2', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB6', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'ATP5F1B', 'PSMB5', 'PSMB2', 'PSMB3', 'NCAM2', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'TUBB4B', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PSMC3', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX']",4.320211673913179e-18,0,0,124
7,Diabetic cardiomyopathy,9.723949105270821e-20,4.029693140794224,176.4083200413843,"['NDUFA13', 'NDUFA11', 'NCF2', 'NDUFA12', 'COX6A1', 'MPC1', 'MPC2', 'AKT3', 'PDK2', 'PRKCG', 'G6PD', 'PRKCB', 'SDHC', 'CPT1B', 'COX6B1', 'COX7A2L', 'VDAC2', 'VDAC1', 'UQCRC2', 'NDUFB10', 'UQCRB', 'NDUFB11', 'ATP5MC2', 'PIK3R3', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'CYC1', 'NDUFV3', 'NDUFV1', 'SMAD2', 'PDHA1', 'NFKB1', 'SP1', 'UQCRQ', 'REN', 'RYR2', 'GSK3B', 'COX7B', 'COX4I1', 'PTEN', 'ATP2A2', 'PIK3CD', 'COX7C', 'CPT2', 'UQCRFS1', 'RAC1', 'COX8A', 'PARP1', 'NDUFC2', 'NDUFC1', 'PLCB4', 'PIK3CA', 'TBC1D4', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'GAPDH', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'NDUFB6', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'PDHB', 'COX5B', 'COX5A', 'PTPA', 'ATP5F1A', 'ATP5F1B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PPP1CA', 'MAPK10', 'NDUFAB1', 'ATP5PO']",4.320211673913179e-18,0,0,99
8,Pathways of neurodegeneration,5.36456270720705e-19,2.473654353719561,104.06491180923119,"['NDUFA13', 'CHRM1', 'NDUFA11', 'NDUFA12', 'UBE2L6', 'PARK7', 'COX6A1', 'PSMD8', 'TUBB8', 'PSMD7', 'PSMD4', 'TUBB3', 'PSMD2', 'PSMD3', 'CAPN2', 'PRKCG', 'GABARAPL2', 'GABARAPL1', 'CSNK2A1', 'PRKCB', 'SDHC', 'DKK2', 'TUBA4A', 'COX6B1', 'COX7A2L', 'DDIT3', 'CSNK2B', 'VDAC2', 'VDAC1', 'UQCRC2', 'RAF1', 'UBA52', 'SQSTM1', 'STX1A', 'ATF4', 'PSMD12', 'VCP', 'UQCRB', 'NDUFB10', 'NDUFB11', 'PSMD13', 'PIK3R4', 'ATP5MC2', 'CACNA1B', 'PSEN2', 'ITPR2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'CACNA1C', 'KLC1', 'UBE2J2', 'COX7A1', 'GABARAP', 'UQCRH', 'ATP5MC1', 'KLC4', 'ATXN2', 'KLC2', 'UBB', 'ATG101', 'UBC', 'NRBF2', 'CYC1', 'NDUFV3', 'NDUFV1', 'WNT10B', 'DNAH11', 'WNT10A', 'XBP1', 'HSPA5', 'DNAH14', 'FZD6', 'EIF2AK3', 'BRAF', 'EIF2S1', 'NFKB1', 'CDK5', 'UQCRQ', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'DNAL4', 'RYR2', 'GSK3B', 'COX7B', 'COX4I1', 'ATP2A2', 'COX7C', 'TUBA1B', 'UCHL1', 'GRM5', 'TUBA1A', 'PPP3CC', 'CASP8', 'NEFL', 'UQCRFS1', 'NEFM', 'RAC1', 'HRAS', 'RAB8A', 'COX8A', 'GPX3', 'SIGMAR1', 'GPX7', 'NDUFC2', 'NDUFC1', 'WIPI2', 'TOMM40L', 'PLCB4', 'TUBB2A', 'PSMA1', 'ALS2', 'PSMA2', 'NDUFS6', 'NDUFS5', 'CAT', 'NDUFS3', 'NDUFS1', 'SLC25A5', 'SLC25A4', 'SLC25A6', 'PRKN', 'DCTN6', 'BECN1', 'DCTN5', 'NDUFB8', 'NDUFB7', 'TOMM40', 'NDUFB6', 'DCTN2', 'NDUFB5', 'DCTN1', 'NDUFB4', 'DNAH5', 'NDUFB3', 'DCTN3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'AMBRA1', 'UQCR10', 'COX5B', 'COX5A', 'PSMA7', 'PSMB6', 'ATP5F1A', 'PSMB5', 'ATP5F1B', 'WNT11', 'PSMB2', 'PSMB3', 'MFN2', 'RPS27A', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'NDUFA4', 'ATP5PB', 'NDUFA3', 'NDUFA2', 'SEPTIN5', 'NDUFA1', 'UBE2G1', 'TUBB4B', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'SOD1', 'MAPK10', 'PSMC5', 'PINK1', 'CCS', 'PSMC3', 'VAPB', 'PSMC1', 'NDUFAB1', 'ATP5PO', 'BAX', 'KRAS', 'ACTR10']",2.0854737524267407e-17,0,0,186
9,Thermogenesis,1.6587039625519142e-16,3.2544578313253014,118.25178279147842,"['NDUFA13', 'NDUFA11', 'NDUFA12', 'COX6A1', 'ACTG1', 'CREB3L1', 'RPS6KA1', 'NPPA', 'PRKACA', 'RPS6', 'SDHC', 'ACSL3', 'CPT1B', 'COX6B1', 'COX7A2L', 'ADCY9', 'UQCRC2', 'COX16', 'NDUFB10', 'UQCRB', 'COX15', 'NDUFB11', 'COX17', 'ATP5MC2', 'ATP5MC3', 'COX7A2', 'COX7A1', 'UQCRH', 'ATP5MC1', 'COX11', 'COX14', 'CYC1', 'NDUFV3', 'ATP5MG', 'NDUFV1', 'ATP5MF', 'ATP5ME', 'COA4', 'COA3', 'NDUFAF8', 'UQCRQ', 'NDUFAF3', 'COX7B', 'COX4I1', 'PRKAG1', 'COX7C', 'RPTOR', 'CPT2', 'UQCRFS1', 'HRAS', 'COA7', 'PRKG1', 'COA5', 'COX8A', 'NDUFC2', 'SIRT6', 'NDUFC1', 'ARID1B', 'CREB3', 'NDUFS6', 'NDUFS5', 'NDUFS3', 'PPARG', 'NDUFS1', 'SOS1', 'SOS2', 'MGLL', 'SMARCD1', 'NDUFB8', 'PRKAA1', 'NDUFB7', 'SMARCD3', 'NDUFB6', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'ADCY1', 'UQCR10', 'COX5B', 'COX5A', 'ADCY5', 'ATP5F1A', 'ATP5F1B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'ATP5F1C', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'NDUFAB1', 'ATP5PO', 'KRAS']",5.731743692818282e-15,0,0,104
10,Coronavirus disease,4.671066408855565e-16,3.3551507582698243,118.43673483234667,"['RPL4', 'RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPL8', 'RPL10A', 'RPL9', 'RPL6', 'RPL7', 'RPS15', 'RPS14', 'RPS17', 'RPS16', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL36', 'RPL35', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'PRKCG', 'RPS9', 'RPL21', 'RPS7', 'PRKCB', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPS6', 'RPSA', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'IFNAR1', 'PIK3R3', 'RPL41', 'ISG15', 'NFKB1', 'RPS26', 'NFKBIA', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL27A', 'RPS20', 'TAB2', 'RPS21', 'RSL24D1', 'RPS24', 'RPS23', 'RPLP1', 'RPLP0', 'PIK3CD', 'RPS4X', 'RPL7A', 'RPLP2', 'IKBKG', 'JAK1', 'RPL13A', 'RPS3A', 'PIK3CA', 'RPL37A', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS27L', 'RPS15A', 'RPL14', 'RPS3', 'RPL13', 'RPL15', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL19', 'STAT1', 'RPL35A', 'RPL23A', 'MAPK10', 'MAS1', 'RPL22L1', 'FAU', 'RPL26L1']",1.4527016531540808e-14,0,0,97
