Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,8.870096980398565e-19,10.126658374792703,420.9290469720572,"['COX7B', 'UQCRB', 'NDUFB5', 'COX4I1', 'MRPS12', 'COX17', 'NDUFB3', 'NDUFB2', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7C', 'UQCRH', 'ATP5MC1', 'ATP5MF', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA1', 'NDUFC1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'ATP5PO', 'CYCS']",2.838431033727541e-17,0,0,33
2,Myc Targets V1,0.00034254044833120426,3.6912222452791035,29.452708231337073,"['EEF1B2', 'RANBP1', 'LSM7', 'SNRPD1', 'VBP1', 'NHP2', 'RPS2', 'PHB', 'RPL18', 'CCT7', 'NME1', 'LSM2']",0.005480647173299268,0,0,12
3,Unfolded Protein Response,0.0006253485759501882,4.954910096818811,36.553369416615205,"['RPS14', 'SPCS1', 'POP4', 'NHP2', 'LSM1', 'BANF1', 'LSM4', 'CKS1B']",0.0066703848101353404,0,0,8
4,Reactive Oxygen Species Pathway,0.003059133880954407,6.137978142076503,35.536582177884725,"['NDUFA6', 'GLRX2', 'TXN', 'ATOX1', 'LAMTOR5']",0.024473071047635256,0,0,5
5,Adipogenesis,0.004518161873054179,3.446878317089646,18.611936618972486,"['COX7B', 'NDUFA5', 'UQCRQ', 'DDT', 'ATP5PO', 'CHCHD10', 'UQCR11', 'UQCR10']",0.028916235987546748,0,0,8
6,DNA Repair,0.012898756858518563,3.0757575757575757,13.381465772460864,"['SNAPC5', 'MRPL40', 'GMPR2', 'COX17', 'POLR2I', 'POLR2K', 'NME1']",0.068793369912099,0,0,7
7,Pperoxisome,0.034058041809988525,3.663673469387755,12.38207728226834,"['IDI1', 'FIS1', 'PRDX5', 'FABP6']",0.15569390541709038,0,0,4
8,Allograft Rejection,0.18522975906437336,1.7224713888029695,2.904359400469934,"['RPS9', 'RPL9', 'RPL39', 'PSMB10', 'NME1']",0.6607733631328945,0,0,5
9,E2F Targets,0.1858425083811266,1.8708529565672423,3.148375548875219,"['RANBP1', 'DCTPP1', 'NME1', 'CKS1B']",0.6607733631328945,0,0,4
10,Myc Targets V2,0.2224981670461759,2.4253711201079624,3.6449360401686226,"['PHB', 'DCTPP1']",0.711994134547763,0,0,2
11,Bile Acid Metabolism,0.3408534680779704,1.730094466936572,1.8621051841387324,"['IDI1', 'PRDX5']",0.9449000296402045,0,0,2
12,Xenobiotic Metabolism,0.3730745205928335,1.3218552875695733,1.3033190327218676,"['GSTO1', 'DDT', 'DHPS', 'PSMB10']",0.9449000296402045,0,0,4
13,Notch Signaling,0.38386563704133303,2.2681451612903225,2.1716643700776683,['PSENEN'],0.9449000296402045,0,0,1
14,Pancreas Beta Cells,0.5033317940434324,1.510752688172043,1.0371403257345395,['SPCS1'],0.9808504221792289,0,0,1
15,G2-M Checkpoint,0.5053247148325415,1.2086369770580296,0.8249600717372696,"['SNRPD1', 'CKS1B']",0.9808504221792289,0,0,2
16,Myogenesis,0.5682031572674472,1.0250805338242062,0.5794536831470909,"['BAG1', 'MYL6B', 'COX7A1']",0.9808504221792289,0,0,3
17,Androgen Response,0.5997086282580159,1.1320564516129032,0.5788333253283043,['IDI1'],0.9808504221792289,0,0,1
18,Glycolysis,0.6799496289658198,0.8604336043360433,0.33190069744549183,"['HAX1', 'TXN', 'POLR3K']",0.9808504221792289,0,0,3
19,Cholesterol Homeostasis,0.7401322890334966,0.7533602150537635,0.22670593206481296,['IDI1'],0.9808504221792289,0,0,1
20,UV Response Up,0.8001466953785197,0.6678662468136153,0.14890759122892233,"['SELENOW', 'CCK']",0.9808504221792289,0,0,2
21,mTORC1 Signaling,0.8158442176388991,0.6437246963562753,0.13101847962744556,"['IDI1', 'ATP5MC1']",0.9808504221792289,0,0,2
22,IL-6/JAK/STAT3 Signaling,0.8220432964358927,0.5823361082206036,0.1141158726222729,['HAX1'],0.9808504221792289,0,0,1
23,Estrogen Response Late,0.8232736093987145,0.632289225087009,0.12295918630833531,"['BAG1', 'COX6C']",0.9808504221792289,0,0,2
24,p53 Pathway,0.8439770146460934,0.6002699055330635,0.10182379523379294,"['TRIAP1', 'RPL18']",0.9808504221792289,0,0,2
25,Fatty Acid Metabolism,0.8964930260361879,0.4393194335169158,0.04800213469300868,['IDI1'],0.9808504221792289,0,0,1
26,Estrogen Response Early,0.9460636030087611,0.3389379184418746,0.01879257509212426,['BAG1'],0.9808504221792289,0,0,1
27,Apoptosis,0.9610898911422894,0.3040595954073264,0.012067315088706844,['IGFBP6'],0.9808504221792289,0,0,1
28,Interferon Gamma Response,0.9687093738175235,0.28449820788530467,0.009044378940640502,['PSMB10'],0.9808504221792289,0,0,1
29,IL-2/STAT5 Signaling,0.9687093738175235,0.28449820788530467,0.009044378940640502,['GSTO1'],0.9808504221792289,0,0,1
30,KRAS Signaling Up,0.9703694645913649,0.2799899193548387,0.00842164561918287,['F13A1'],0.9808504221792289,0,0,1
31,Complement,0.9734310268312839,0.27138318670576733,0.00730788987277264,['ATOX1'],0.9808504221792289,0,0,1
32,Hypoxia,0.9808504221792289,0.24843189964157705,0.004803506771168605,['PRDX5'],0.9808504221792289,0,0,1
