Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NRF1 (mouse),6.063952923561625e-09,3.331932773109244,63.04317997419242,"['NDUFA13', 'COX7B', 'COX4I1', 'POMP', 'COX7A2', 'PHB', 'COX5B', 'COX7C', 'MRPL54', 'CKS1B', 'PSMB6', 'RPS15', 'RPS14', 'RPS16', 'SPATA22', 'BAG1', 'RPL35', 'RPS2', 'CHCHD1', 'BTF3', 'TIMM8B', 'TMED9', 'RPS9', 'NDUFA6', 'NDUFA5', 'RPL21', 'RPS8', 'TRAPPC4', 'GLRX2', 'COX6C', 'COX6B1', 'LSM7', 'RPS28', 'SPCS1', 'NHP2', 'GEMIN6', 'SNRNP25', 'POLR3K', 'TOMM5']",1.776738206603556e-06,0,0,39
2,HIF1A (human),3.287544213627728e-07,2.8379992600292465,42.36552468901366,"['MRPS17', 'BEX4', 'COX7B', 'RPS19BP1', 'RPL10', 'GMPR2', 'NDUFB3', 'COX7A2', 'COX7A1', 'PSMB10', 'EEF1B2', 'C12ORF57', 'RPS15', 'RPS15A', 'SPATA22', 'SNRPD1', 'DDT', 'C9ORF16', 'BANF1', 'SEC61B', 'RPL17', 'RPL39', 'RPS13', 'MRPL47', 'COX6B1', 'MRPL52', 'GCHFR', 'CORT', 'FABP6', 'NDUFS5', 'MORN2', 'NHP2', 'SNRPE', 'FAU', 'RPL29', 'RPP25', 'POLR3K', 'DCTPP1']",4.8162522729646214e-05,0,0,38
3,FOXA1 (mouse),5.5187096664820244e-05,2.4360730593607305,23.88516379241962,"['MESP1', 'BEX2', 'UQCRB', 'NDUFB10', 'RPS19BP1', 'RPL11', 'MYL6B', 'PHB', 'RPL9', 'LSM10', 'UBL5', 'RPLP2', 'ROMO1', 'RPL17', 'POLR2K', 'BTF3', 'RPS9', 'MRPS24', 'RPS8', 'LSM1', 'NDUFC1', 'ATOX1', 'NME1', 'COX6B1', 'RPS28', 'FABP6', 'UFC1', 'NHP2', 'RNF181', 'TOMM5']",0.005389939774264111,0,0,30
4,FOXA1 (human),0.00014113899686028804,2.294250889871643,20.34029006617373,"['NDUFB5', 'RPL12', 'POP4', 'RPL11', 'NUDT1', 'COX7A1', 'UBL5', 'MFSD5', 'C9ORF16', 'RPL35', 'SEC61B', 'RPL18', 'TMSB10', 'CHCHD1', 'RPL39', 'BTF3', 'GADD45GIP1', 'DHPS', 'NDUFA1', 'GLRX2', 'LSM2', 'NME1', 'SDHAF1', 'UFC1', 'TSR2', 'SNRPE', 'SNRNP25', 'CTXN2', 'RPP25', 'POLR3K']",0.0103384315200161,0,0,30
5,NRF1 (human),0.00029816302138558904,2.410890052356021,19.5712924377424,"['PSENEN', 'IDI1', 'MESP1', 'RANBP1', 'NDUFA13', 'ENDOG', 'UQCRB', 'NDUFA12', 'C14ORF119', 'RPLP1', 'POP4', 'COX17', 'MRPS12', 'MRPL36', 'RNF5', 'MZT2B', 'LSM7', 'RPS16', 'NDUFS6', 'SPATA22', 'SCO2', 'SEC61G', 'BAG1', 'TOMM7']",0.017472353053195517,0,0,24
6,ELK4 (human),0.0006264928458003984,2.130810366104484,15.71552167485519,"['IDI1', 'RPL10', 'MRPS33', 'MRPS12', 'UQCR11', 'UQCR10', 'COX5B', 'MRPL54', 'ANAPC11', 'C12ORF57', 'RPS15', 'PRDX5', 'BAG1', 'C9ORF16', 'RPL19', 'FIS1', 'RPL21', 'NME2', 'CCK', 'LSM2', 'PSMC5', 'MRPL51', 'C18ORF32', 'RNF181', 'SNRPE', 'RPL29', 'RPP25', 'NOP10']",0.03059373396991946,0,0,28
7,FOXF2 (human),0.0009869797278030752,2.089145597210113,14.45868640811569,"['MRPS17', 'NDUFA12', 'GMPR2', 'RPL11', 'LAGE3', 'RPS15', 'RPS15A', 'RPS16', 'SNRPD1', 'C19ORF53', 'C9ORF16', 'RPS13', 'SERF2', 'GADD45GIP1', 'RPL41', 'RPS9', 'DHPS', 'NME2', 'LSM4', 'LSM2', 'COX6B1', 'MZT2B', 'UFC1', 'NHP2', 'SNRPE', 'FAU', 'RPL29']",0.04131215146375729,0,0,27
8,ESR1 (human),0.001345664757367651,2.012439202128561,13.30396820191782,"['IDI1', 'MESP1', 'COX7B', 'COX4I1', 'NDUFB3', 'TMEM160', 'PHB', 'LAGE3', 'C9ORF16', 'IGFBP6', 'POLR2I', 'GADD45GIP1', 'OST4', 'ENDOG', 'DHPS', 'MRPL47', 'LSM2', 'NME1', 'COX6B1', 'MZT2B', 'MRPL52', 'LSM7', 'FABP6', 'MORN2', 'S100A6', 'NHP2', 'FAU', 'NOP10']",0.049284971738590214,0,0,28
9,FOXO3A (human),0.0016803556657623655,2.448308765464596,15.641632140994776,"['BTF3', 'BEX4', 'RPL12', 'RPL11', 'NDUFA1', 'NME1', 'UBL5', 'DPM3', 'SDHAF1', 'SNRPE', 'SEC61B', 'CTXN2', 'RPL18', 'TMSB10', 'CHCHD1', 'POLR3K', 'RPL39']",0.052100274486167955,0,0,17
10,IKZF1 (human),0.0017781663647156297,1.9952520087655223,12.634280055727741,"['RPL10', 'RPL11', 'MRPS12', 'NUDT1', 'TRIAP1', 'TMEM141', 'C12ORF57', 'RPS15', 'RPS14', 'RPS16', 'RPL18A', 'SNRPD1', 'C9ORF16', 'RPS2', 'SERF2', 'ENDOG', 'DHPS', 'NME2', 'MRPL52', 'CORT', 'FABP6', 'SDHAF1', 'TSR2', 'SNRPE', 'FAU', 'SNRNP25', 'TOMM6']",0.052100274486167955,0,0,27
11,YY1 (mouse),0.002017698352733926,1.9502097902097901,12.102607716408158,"['ISCA2', 'NDUFA13', 'POP4', 'MRPS12', 'NUDT1', 'NDUFB2', 'MRPL36', 'MRPL14', 'COX5B', 'UQCRH', 'HDDC3', 'MRPL54', 'RPS15', 'SPATA22', 'GADD45GIP1', 'FIS1', 'RANBP1', 'ENDOG', 'NDUFA6', 'GSTO1', 'RPL35A', 'MRPL47', 'NDUFC1', 'MRPL46', 'NME1', 'LSM7', 'RPS28', 'FAU']",0.053744147031912756,0,0,28
12,SMARCA2 (human),0.002595536617508924,1.9608642478597635,11.67491120856501,"['IDI1', 'ISCA2', 'COX7B', 'SHC3', 'RPLP1', 'MRPS12', 'RNF5', 'COX7A1', 'C12ORF57', 'MRPL40', 'DDT', 'RPS2', 'CCT7', 'PPIL1', 'RPS9', 'PCP4L1', 'H2AFZ', 'VBP1', 'GLRX2', 'MRPL46', 'MRPL21', 'LENG1', 'FABP6', 'TOMM7', 'RNF181', 'FAU']",0.0633743524108429,0,0,26
13,IRF8 (human),0.002851143832904759,1.8757371007371006,10.991885099270482,"['MESP1', 'NDUFA13', 'NDUFA12', 'MRPS12', 'COX7A2', 'UQCR10', 'COX7C', 'CKS1B', 'RPS15', 'RPS14', 'BAG1', 'RPL35', 'IGFBP6', 'RPL17', 'NDUFA8', 'RPL41', 'MRPS24', 'GSTO1', 'LSM4', 'LENG1', 'DPM3', 'PSMC5', 'MRPL51', 'UQCRQ', 'RNF181', 'SNRPE', 'RPL29', 'CTXN2', 'DCTPP1']",0.06426039561854573,0,0,29
14,ELK1 (mouse),0.004016231263666191,1.8895012494437409,10.425155568997171,"['GMPR2', 'RPL11', 'MRPL36', 'COX7A2', 'NEDD8', 'TMEM160', 'PHB', 'TXNDC17', 'RPS14', 'PRDX5', 'MRPL40', 'MFSD5', 'CHCHD1', 'SERF2', 'PSENEN', 'FIS1', 'PRELID1', 'NDUFA6', 'NDUFA4', 'DHPS', 'LSM1', 'LENG1', 'NDUFS6', 'SNRPE', 'CTXN2', 'RPP25']",0.08405398287529955,0,0,26
15,CREB1 (human),0.004316150293936789,1.64491289708681,8.957194559478772,"['NDUFA13', 'UQCRB', 'RPL12', 'ZC3HAV1L', 'UQCR11', 'RPL9', 'UQCRH', 'ANAPC11', 'EEF1B2', 'SNAPC5', 'RPS15', 'RPS14', 'CHCHD2', 'SPATA22', 'RPLP2', 'IGFBP6', 'POLR2I', 'RPL18', 'RPL39', 'RPS13', 'GADD45GIP1', 'RANBP1', 'RPL41', 'RPS9', 'NDUFA5', 'RPL21', 'VBP1', 'TRAPPC4', 'NDUFC1', 'GLRX2', 'ATOX1', 'LSM2', 'PDRG1', 'MRPL52', 'HAX1', 'SPCS1', 'UQCRQ', 'NDUFS5', 'C18ORF32', 'UFC1', 'NHP2', 'POLR3K']",0.08430880240823196,0,0,42
16,GFI1 (human),0.004943408131006121,1.9052719665271967,10.116423095280071,"['MRPS17', 'GADD45GIP1', 'RPL41', 'RPL11', 'NDUFB3', 'DHPS', 'NME2', 'LSM4', 'MRPL52', 'GCHFR', 'PSMB6', 'RPS14', 'SPCS1', 'FABP6', 'MFSD5', 'C19ORF53', 'UFC1', 'NHP2', 'RPLP2', 'SNRPE', 'FAU', 'SNRNP25', 'RPS13', 'SERF2']",0.09052616139904958,0,0,24
