Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,ILF3,5.9707028424348995e-09,5.433446718340489,102.88992688896803,"['RPL21', 'RPL10', 'RPS8', 'RPL12', 'RPL11', 'NEDD8', 'RPL9', 'UQCRH', 'LSM2', 'RPS14', 'RPS28', 'RPS15A', 'RPS16', 'MRPL40', 'RPL18A', 'LAMTOR2', 'RPS2', 'RPL29', 'RPL18', 'RPL17', 'RPS13', 'RPL19']",5.015390387645315e-07,0,0,22
2,ESR1,3.01915715472675e-07,3.0959119496855347,46.479291252182406,"['MRPS17', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'MYL6B', 'NEDD8', 'PHB', 'RPL9', 'RPS14', 'RPS15A', 'RPS16', 'RPL18A', 'SNRPD1', 'BAG1', 'SEC61B', 'RPS2', 'CCT7', 'RPL18', 'RPL17', 'RPS13', 'RPL19', 'BTF3', 'FIS1', 'RPS9', 'RPL21', 'RPS8', 'NME2', 'NME1', 'PSMC5', 'HAX1', 'EIF3I', 'RPL29']",1.268046004985235e-05,0,0,33
3,ILF2,1.56736080913682e-05,4.570799706529714,50.56919006837888,"['RPL21', 'RPL10', 'RPS8', 'RPL11', 'NEDD8', 'RPL9', 'MRPL21', 'RPS16', 'RPS15A', 'RPS2', 'RPL18', 'RPL17', 'RPS13', 'RPL19']",0.0004388610265583096,0,0,14
4,RAD21,4.504469969261721e-05,4.379237288135593,43.82677281812105,"['RPL10', 'RPL11', 'RPL35A', 'RPS14', 'RPS16', 'RPS15A', 'TMSB4X', 'EIF3I', 'RPL22L1', 'RPS2', 'CCT7', 'RPL17', 'RPS13']",0.0009459386935449614,0,0,13
5,CTCF,0.010157106399357466,5.645211930926217,25.909161261333118,"['H2AFZ', 'RPL36A', 'FAU', 'RPL17']",0.17063938750920543,0,0,4
6,HTT,0.017034575565436454,2.345744399131402,9.553067859807445,"['NDUFA8', 'CHCHD2', 'PSMC5', 'NDUFA13', 'NDUFB10', 'NDUFS5', 'COX5B', 'COX6C', 'UQCRH', 'COX6B1']",0.23848405791611035,0,0,10
7,HDAC8,0.03358419713745223,4.9855875831485585,16.91958681573303,"['PPIL1', 'RPS28', 'SNRPD1']",0.33218711914591526,0,0,3
8,NR4A2,0.03559147705134806,9.117408906882591,30.412476618158387,"['TCEAL5', 'NDUFS5']",0.33218711914591526,0,0,2
9,HNF4G,0.03559147705134806,9.117408906882591,30.412476618158387,"['HAX1', 'EIF3I']",0.33218711914591526,0,0,2
10,RFX5,0.04813278126208069,7.292307692307692,22.12334335935241,"['NDUFA7', 'LSM7']",0.4043153626014778,0,0,2
11,MYC,0.06362408506952585,1.6159809183064997,4.45164474021998,"['NDUFA8', 'NDUFA5', 'H2AFZ', 'POP4', 'RPL11', 'MRPL14', 'TXN', 'MZT2B', 'GCHFR', 'PSMC5', 'RPS16', 'SCO2', 'EIF3I', 'RPS2', 'POLR2I']",0.48585664962183384,0,0,15
12,DLX4,0.10195807496926804,18.173387096774192,41.493360744515755,['LSM3'],0.5959392308553324,0,0,1
13,TAF1,0.10793043996864689,2.357867017774852,5.249244676812166,"['LSM7', 'LSM1', 'RPL36A', 'RPL35A']",0.5959392308553324,0,0,4
14,NOD2,0.12754137946431507,3.642105263157895,7.500239895659965,"['FIS1', 'NDUFA13']",0.5959392308553324,0,0,2
15,VDR,0.12785767965025785,2.605691056910569,5.359483108945819,"['PSMC5', 'EIF3I', 'BAG1']",0.5959392308553324,0,0,3
16,ESR2,0.1297548312405927,1.733191869555506,3.5393658881799657,"['RPS9', 'RPS16', 'RPL18A', 'EIF3I', 'RPL29', 'RPL17', 'RPS13']",0.5959392308553324,0,0,7
17,TP53,0.13184310740400318,1.5203449800973021,3.080435797143457,"['TMED9', 'PSMC5', 'RPS19BP1', 'TMSB4X', 'RPL11', 'COX17', 'BAG1', 'NEDD8', 'TXN', 'TRIAP1', 'PHB']",0.5959392308553324,0,0,11
18,TCF3,0.1364628641113408,1.800040477636106,3.5851455859145953,"['EEF1B2', 'RPL36A', 'MYL6B', 'COX7A2', 'RPS13', 'LSM2']",0.5959392308553324,0,0,6
19,RARG,0.14574459622535993,3.3102686786897313,6.375244892725802,"['H2AFZ', 'EIF3I']",0.5959392308553324,0,0,2
