pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,1.42395128630079e-30,3.11845331699873e-28,1.43902565267782,-0.829504971067029,-3.09696316628484,84,RPS12|RPL22L1|RPL36A|RPS15A|RPL12|RPL26|RPS8|RPS27A|RPL21|RPL35|RPS24|RPS29|RPS18|RPL36AL|RPS7|RPL24|FAU|RPS6|RPL34|RPL41|RPL35A|RPL27A|RPS27|RPL30|RPL9|RPL11|RPL37|RPL7|RPL37A|RPL17|RPS3A|RPL38|RPL10A|RPS10|RPL10|RPS13|RPS26|RPL6|RPL23A|RPL32|RPL22|RPL19|RPS21|RPL39|RPS9|RPS4Y1|RPS20|RPLP2|RPL23|RPS23|RPL27|RPS4X|RPL29|RPLP1|RPL31|RPS19|RPL7A|RPS25|RPL3|RPL18A|RPS27L|RPS3|RPL26L1|RPL13|RPS28|RPS16|RSL24D1|RPL14|RPL13A|RPL18|RPL36|RPS15|RPL5|RPS2|RPL15|RPL8|RPSA
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.25665332038132e-21,2.47103538581754e-19,1.19534448258848,-0.677407674313831,-2.71992673792381,140,MRPL11|NDUFB1|NDUFA7|MRPS11|NDUFB2|ATP5MG|NDUFS6|NDUFB8|COX7A2|UQCRQ|TIMM8B|ATP5F1C|ATP5PD|NDUFB3|COX6C|ATP5ME|NDUFB7|ATP5MC1|ATP5PF|ATP5F1E|NDUFA6|COX5B|NDUFA1|UQCR11|BAX|COX17|ATP5MF|COX7B|NDUFAB1|MRPS15|NDUFA4|UQCR10|COX7C|COX4I1|ETFB|TIMM10|PHYH|NDUFA5|ATP5MC2|ATP5PO|NDUFA2|COX6B1|UQCRB|NDUFV1|MRPL34|PDHA1|NDUFC1|UQCRFS1|NDUFA8|ATP5MC3|MRPS12|NDUFS3|COX5A|COX8A|COX6A1|SURF1|NDUFC2|NDUFV2|SLC25A5|CYCS|COX11|ISCU|TIMM13|MRPL15|DLD|ATP5PB|UQCRH|NDUFA3|ATP5F1A|ATP6V1E1|MRPS30|NDUFB5|ATP6V1G1|CYC1|VDAC2|POR|VDAC1|LDHA|GRPEL1|GPX4|IDH3B|NDUFB4|ATP6V1F|ATP6V1D|ISCA1|NDUFS2|SLC25A3|ATP5F1B|ECI1|CYB5R3|MRPL35|ECH1|MDH1|ATP5F1D|ALAS1|TIMM17A|BCKDHA|SLC25A11|HSD17B10|VDAC3|TOMM22|HSPA9|SLC25A4|MDH2|SLC25A6
KEGG_OXIDATIVE_PHOSPHORYLATION,2.12635088593543e-18,1.55223614673286e-16,1.10533657731401,-0.728999160501355,-2.74891737163337,89,COX7A1|NDUFB1|NDUFA7|NDUFB2|ATP5MG|NDUFB9|NDUFS6|NDUFB8|COX7A2|UQCRQ|ATP5F1C|ATP5PD|NDUFB3|COX6C|ATP5ME|NDUFB7|NDUFS5|ATP5MC1|ATP5PF|ATP5F1E|NDUFA6|COX5B|NDUFA1|UQCR11|COX17|ATP5MF|COX7B|NDUFAB1|NDUFA4|UQCR10|COX7C|COX4I1|NDUFA5|ATP5MC2|ATP5PO|NDUFA2|COX6B1|UQCRB|NDUFV1|NDUFB10|NDUFC1|UQCRFS1|NDUFA8|ATP5MC3|NDUFS3|COX5A|COX8A|COX6A1|NDUFC2|NDUFV2|COX11|NDUFA11|ATP5PB|UQCRH|NDUFA3|ATP5F1A|ATP6V1E1|NDUFB5|ATP6V1G1|CYC1|NDUFB4|ATP6V1F|ATP6V1D|ATP6V1G2|NDUFS2
KEGG_PARKINSONS_DISEASE,2.489674594687e-17,1.36309684059113e-15,1.07686819261983,-0.728420990911821,-2.7252982202617,85,COX7A1|NDUFB1|NDUFA7|NDUFB2|NDUFB9|NDUFS6|NDUFB8|COX7A2|UQCRQ|ATP5F1C|ATP5PD|NDUFB3|COX6C|NDUFB7|NDUFS5|ATP5MC1|ATP5PF|ATP5F1E|NDUFA6|COX5B|NDUFA1|UQCR11|COX7B|NDUFAB1|NDUFA4|UQCR10|COX7C|COX4I1|PARK7|NDUFA5|ATP5MC2|ATP5PO|NDUFA2|COX6B1|UQCRB|NDUFV1|SNCAIP|NDUFB10|NDUFC1|UQCRFS1|NDUFA8|ATP5MC3|NDUFS3|COX5A|COX8A|COX6A1|NDUFC2|NDUFV2|SLC25A5|CYCS|ATP5PB|UQCRH|NDUFA3|ATP5F1A|NDUFB5|CYC1|VDAC2|SNCA|VDAC1
KEGG_HUNTINGTONS_DISEASE,2.13615578964307e-14,9.35636235863666e-13,0.97599468306432,-0.625956017392501,-2.47890247972837,126,COX7A1|NDUFB1|NDUFA7|POLR2J2|NDUFB2|NDUFB9|NDUFS6|NDUFB8|COX7A2|UQCRQ|ATP5F1C|ATP5PD|NDUFB3|COX6C|NDUFB7|NDUFS5|ATP5MC1|ATP5PF|ATP5F1E|NDUFA6|COX5B|NDUFA1|UQCR11|BAX|COX7B|NDUFAB1|NDUFA4|UQCR10|COX7C|COX4I1|NDUFA5|POLR2K|ATP5MC2|ATP5PO|NDUFA2|POLR2I|COX6B1|UQCRB|NDUFV1|NDUFB10|NDUFC1|UQCRFS1|NDUFA8|ATP5MC3|NDUFS3|COX5A|POLR2L|COX8A|DCTN2|COX6A1|NDUFC2|NDUFV2|SLC25A5|CYCS|TAF4|AP2S1|ATP5PB|CREBBP|UQCRH|NDUFA3|ATP5F1A|NDUFB5|CYC1|VDAC2|VDAC1|PPID|EP300|NDUFB4|POLR2J|POLR2G|SOD1|NDUFS2|ATP5F1B|POLR2J3|ATP5F1D|DNAL4|POLR2E|VDAC3|AP2A1|CLTC|NRF1|SLC25A4|AP2M1|SLC25A6
HALLMARK_MYC_TARGETS_V1,3.74998069828677e-12,1.36874295487467e-10,0.887074988399873,-0.572420604818194,-2.31069978852136,147,EIF2S2|MRPS18B|EEF1B2|HDDC2|RPS6|RPL34|NME1|RPS10|DDX18|RPL6|RPL22|SRSF7|RANBP1|SNRPG|SNRPD1|NDUFAB1|SNRPB2|LSM2|PA2G4|LSM7|PSMA7|ACP1|SNRPD3|EIF3D|POLD2|RPS3|PSMB3|CCT4|COX5A|RPL14|PABPC1|PSMA2|PSMD7|VBP1|NHP2|RPL18|HSPE1|SET|DDX21|RPS2|EIF2S1|CCT7|YWHAQ|MRPL9|PSMC4|APEX1|CYC1|H2AZ1|SSB|VDAC1|POLE3|PSMD8|LDHA|PHB1|HNRNPA1|GNL3|PSMB2|ERH|RPS5|PRDX4|PGK1|HSPD1|SMARCC1|NPM1|RRP9|EIF4H|SLC25A3|RAN|NOP16|CCT3|XRCC6|GLO1|SERBP1|SRM|IMPDH2|CCT2|VDAC3|RPLP0|NCBP2|CBX3|ODC1|YWHAE|NOLC1|SF3A1|TCP1|TOMM70|PSMA4|SRSF3
KEGG_ALZHEIMERS_DISEASE,2.43774929480099e-11,7.62667279373453e-10,0.863415391606693,-0.600308404402838,-2.34482149386043,115,COX7A1|NDUFB1|NDUFA7|NDUFB2|NDUFB9|NDUFS6|NDUFB8|COX7A2|UQCRQ|ATP5F1C|ATP5PD|NDUFB3|COX6C|NDUFB7|NDUFS5|ATP5MC1|ATP5PF|ATP5F1E|NDUFA6|COX5B|NDUFA1|UQCR11|COX7B|NDUFAB1|NDUFA4|UQCR10|COX7C|COX4I1|NDUFA5|ATP5MC2|ATP5PO|NDUFA2|COX6B1|UQCRB|NDUFV1|NDUFB10|NDUFC1|UQCRFS1|NDUFA8|ATP5MC3|NDUFS3|COX5A|COX8A|IL1B|COX6A1|NDUFC2|NDUFV2|CYCS|RYR3|ATP5PB|PSENEN|UQCRH|NDUFA3|ATP5F1A|NDUFB5|CYC1|SNCA|NDUFB4|CALM3|CACNA1S
KEGG_SPLICEOSOME,1.45987914091717e-06,3.99641914826076e-05,0.643551836150722,-0.576040871833474,-2.09736244937208,73,LSM5|SRSF7|LSM3|SNRPG|CWC15|SNRPD1|SNRPB2|LSM2|SNRPE|LSM7|SNRPD3|PPIL1|PHF5A|SNRPB|ALYREF|SYF2|SNRPC|LSM4|BUD31|PRPF4|SRSF9|SF3B6|CRNKL1|LSM6|SF3B5|HNRNPA1|BCAS2|SNU13|WBP11|ZMAT2|HSPA8|DHX8|HSPA1A|RBM8A|DHX38|SNRNP27|NCBP2|SF3A1|SF3B2|SRSF3|RBM25|SLU7|PUF60|PRPF40B|EIF4A3
KEGG_CARDIAC_MUSCLE_CONTRACTION,6.66144294372302e-05,0.00162095111630593,0.538434096309916,-0.556749674688965,-1.89852846624752,50,COX7A1|COX7A2|UQCRQ|COX6C|ATP1B2|COX5B|UQCR11|COX7B|UQCR10|COX7C|COX4I1|COX6B1|UQCRB|UQCRFS1|COX5A|COX8A|COX6A1|UQCRH|CYC1
HALLMARK_INFLAMMATORY_RESPONSE,9.46602379605955e-05,0.00207305921133704,0.538434096309916,0.403580897001818,1.83812138648092,118,CLEC5A|ADGRE1|AQP9|FPR1|ITGB3|RGS1|HPN|CSF3R|OLR1|IRAK2|NOD2|IL15|IL15RA|OPRK1|SLC31A1|ITGA5|IL1R1|TLR1|CYBB|RNF144B|STAB1|TLR2|EBI3|CMKLR1|CSF1|ADORA2B|LYN|TACR1|TNFRSF1B|IL4R|IL10RA|PTGIR|KCNA3|OSMR|HIF1A|EMP3|IRF1|C3AR1|SGMS2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.00043370442695392,0.00863466086390077,0.49849310876659,0.36129951980998,1.66451999242871,127,KDR|CCR6|TNFRSF11B|IL5RA|IL21R|CXCR4|TNFRSF10C|LEP|CSF3R|CCR9|LTBR|IL23A|IL15|IL15RA|TNFRSF10D|HGF|IL1R1|CTF1|PDGFB|CSF1R|TNFRSF10A|CSF1|TGFB2|IFNE|TNFSF13|NGFR|CSF2RB|TNFRSF1B|IL26|IL4R|IL10RA|OSMR|TGFBR1|FLT4|TNFRSF6B|CLCF1|IL17RB|IL7|CCR1
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00053853189402369,0.00878067915360212,0.477270815362862,0.456696347794958,1.83820228273587,61,ISG20|IFI44L|EPSTI1|TENT5A|LPAR6|CASP8|IL15|BATF2|PSMB9|PARP9|GBP2|UBA7|CSF1|CD74|IL4R|SAMD9L|PLSCR1|SP110|GMPR|IRF1|IFI30|IL7|PROCR
HALLMARK_DNA_REPAIR,0.000560114766980372,0.00878067915360212,0.477270815362862,-0.455995800388328,-1.7472859803414,98,RFC3|PDE6G|POLD4|GTF2H5|NME1|APRT|POLR1H|COX17|RPA2|EDF1|POLR2K|MRPL40|POLR2I|NME3|TAF10|DAD1|GMPR2|SNAPC5|RNMT|POLE4|SURF1|ALYREF|MPC2|MPG|GUK1|NT5C|EIF1B|GPX4|CCNO|SUPT4H1|POLR2J|POLR2G|TMED2|RBX1|RAE1|GTF2A2|IMPDH2|RAD52|POLR2E|NCBP2|SAC3D1|TAF13
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.000561321955024793,0.00878067915360212,0.477270815362862,0.351274540502176,1.62896238727479,134,ISG20|IFI44L|PTGS2|FPR1|EPSTI1|TNFAIP3|CASP8|IL15|IL15RA|IRF8|OAS3|MX2|BATF2|CD86|PSMB9|PFKP|CMKLR1|SOCS3|SERPING1|NLRC5|CSF2RB|CD74|IL4R|IL10RA|CIITA|SAMD9L|PLSCR1|C1R|SP110|HIF1A|IRF1|IFI30|CASP4|ISOC1|IL7
