pathway,pval,padj,log2err,ES,NES,size,leadingEdge
sleep_DOWN_wake_UP,0.225677432256774,1,0.0267256748598853,0.479229007830371,1.15756711336818,23,APOBEC4|CRH|THAP1|RHBDL3|DNAJB5|CBLN4|TMC4|SIDT1|TRIB2
cortex_DEG_BHQ05,0.235476452354765,1,0.0259974934286787,0.537598485633978,1.19399403363552,11,PDE5A|TCAP|HEBP2|CYP2A6|NFIL3|BHLHE41|NR1D1
cortex_DEG_BHQ1,0.375262473752625,1,0.0186154628937169,0.459675507404646,1.07499576169262,17,PDE5A|TCAP|HRH3|HEBP2|AMZ1|CYP2A6|NFIL3|BHLHE41|NR1D1
Down_sleep_7OR8,0.377462253774623,1,0.0185284258260605,0.385706328457683,1.03606531410005,107,NRIP2|SEMA3F|ADAMTS2|CD160|APOBEC4|CDH11|OTUD1|CEACAM1|CRH|KCNF1|THAP1|HEXIM1|PEX12|ATF4|CAPN12|SPRY4|SOWAHB|ABRACL|MANF|RHBDL3|DNAJB5|CBLN4|TMC4|SIDT1|ABCC9|PLCXD2|UBE2V2
sleep_UP_wake_DOWN,0.544445555444456,1,0.0131970401317283,0.379586637962403,0.983366831706587,56,MAF1|HMGB3|DCTN6|TMEM141|STMN4|RPRM|TMEM219|FNDC4|SCG5|HMGCS1|SGTB|TLE5|ATRAID|PDXP|ASB14|BDH1|UNC119|ARL6IP4|COMMD8|TMEM97|RAC3|RAD23A|BNIP3|FABP3|ATG9A|RBM3|AHCY|LGI3|NUDT18
sleep_DOWN_wake_No_Change,0.581641835816418,1,0.0122356952758989,0.366443244680109,0.975405375395601,88,NRIP2|SEMA3F|ADAMTS2|CD160|CDH11|OTUD1|CEACAM1|KCNF1|HEXIM1|PEX12|ATF4|CAPN12|SPRY4|SOWAHB|ABRACL|MANF|DNAJB5|ABCC9|PLCXD2|UBE2V2
Up_SD_4OR7,0.706329367063294,1,0.00930262853859015,0.351063231199357,0.929797362780378,80,APOBEC4|SLC38A2|TRPM1|FAM174C|BOLL|CRH|PGLYRP1|SCRT2|THAP1|RHBDL3|DNAJB5|CBLN4|TMC4|SIDT1|APLP2|TRIB2|NOSTRIN|DDA1|F10|GBP7|ADCYAP1|ARID5A|ACKR3|ARPC5L|HS3ST2|BDNF|NEDD8|NEDD9|FZD1|NR1I2|STARD8|CBLN1|NR4A3|CCDC127
sleep_DOWN_wake_DOWN,0.708729127087291,1,0.00924884257648145,0.357332914665134,0.908919521326196,43,LUC7L2|SPAG5|CD8B|CEACAM1|GPR12|DNAJB2|FNDC4|NFIL3|SPINT2|SYT11|LRP8|NEDD9|THBD|LAPTM5|USP27X|RND3|DNAJA4|CHORDC1
sleep_UP_wake_UP,0.730626937306269,1,0.00876007415382627,0.352815448422696,0.90199366220534,46,FNDC10|TSC22D3|DCTN6|ZNF319|SCRT2|DCXR|TNFRSF10B|ARHGDIG|SH3BGRL3|FKBP5|SPRN|DDA1|NUBP2|ADCYAP1|RAB11B|MAT2B|ZFAND5|TUBA1A|NR1D1|TEKT4|NUDT8|FST|DERL3|DHPS|KCNJ11|THY1
AD_GWAS_genes,0.755924407559244,1,0.00819787015215205,0.357118034460811,0.846159361785256,19,EPHA1|RHOH|SCIMP|SEC61G|BCKDK|COX7C|SPDYE3|LILRB2|PRDM7|CTSB|CR1|CLNK
midbrain_DEG_BHQ1_negativeL2FC,0.757724227577242,1,0.00815788193465187,0.350960985974543,0.870329419221416,31,LUC7L2|PPP1R9B|PDE10A|RGS4|IGFBP5|SPRN|CARTPT|PRR36|SHANK1|BHLHE41|MAP1B|NR1D1|RIMBP2|NEDD4|NNAT|PJA2
DE_ANOVA_UP_SD,0.839316068393161,1,0.00631248082948607,0.332404888793824,0.914215944271752,201,NRIP2|SEMA3F|ADAMTS2|CD160|APOBEC4|SLC38A2|CDH11|SPAG5|OTUD1|CD8B|TSC22D3|TRPM1|FAM174C|CEACAM1|BOLL|CRH|PGLYRP1|SCRT2|KCNF1|THAP1|HEXIM1|PEX12|ATF4|CAPN12|SPRY4|POU3F2|SOWAHB|ABRACL|MANF|RHBDL3|DNAJB5|CBLN4|TMC4|SIDT1|TNFRSF10B|ABCC9|SRSF3|PLCXD2|UBE2V2|FKBP5|APLP2|TRIB2|NOSTRIN|DDA1|F10|NFIL3|CALM3|GBP7|ADCYAP1|SYT11|ARID5A|LRP8|ACKR3|ARPC5L|HS3ST2|HYOU1|BDNF|FOXC1|SDF2L1|NEDD8|NEDD9|THBD|FZD1|FOXD1|MYADM|ATP5MC1|NR1I2|STARD8|LAPTM5|CBLN1|TMT1A|NR4A3|RBM3|CCDC127|USP27X|TEKT4|NCBP2AS2|FST|TTC9|CPHXL|INSM1|DCST1|RND3|KLK5|DERL3|DNAJA4|CHORDC1|SCG2|IMPDH2|IER5L|PTGER1|ETV5|CD80|HSPA5|CALR|HERPUD1|PECAM1|GADD45A|SP110|C14orf119|SERPINB8
sleep_No_Change_wake_UP,0.885911408859114,1,0.00517728290745814,0.31731552943916,0.826845573473437,61,SLC38A2|TRPM1|FAM174C|BOLL|PGLYRP1|SCRT2|APLP2|NOSTRIN|DDA1|F10|GBP7|ADCYAP1|ARID5A|ACKR3|ARPC5L|HS3ST2|NEDD8|NEDD9|FZD1|NR1I2|STARD8|CBLN1|NR4A3|CCDC127|FST|INSM1|PTGER1|CALR|PECAM1|SERPINB8|NDUFAF4|DMRT3
Up_sleep_2OR3,0.951904809519048,1,0.00324286709782308,0.316757530716357,0.881785895742593,320,STARD10|ASPHD2|MAF1|MAP1LC3A|ZNF687|BOK|ITM2B|TMSB10|HMGB3|TMEM132A|ARL8A|KEAP1|H1-0|DCTN6|APLP1|SLC22A8|TMEM141|SERF2|STMN4|CENPB|R3HCC1|RPRM|TRIM28|STMN1|MRGPRE|ADAP1|VPS37D|TMEM219|SAC3D1|TTC9B|BTBD6|DUSP28|SMPD1|DMRTC1|CCN3|FNDC4|ACTG1|YDJC|GABARAPL1|MCRIP1|LYRM9|SHISA4|PHLDA3|SUMO3|RHBDD2|BRK1|RAB1B|ANKRD34C|UBE2M|WSB2|SCG5|HMGCS1|MAP1S|ATP6V1E1|SGTB|HRAS|MRPL55|MZT2A|NRARP|DBNDD2|FABP5|ATP6V0E2|TLE5|ATRAID|PDXP|GNG3|BCKDK|COA3|RAB11FIP5|ISCU|ARPC4|CTDNEP1|FIS1|PTGES2|ASB14|MORF4L1|BSG|PTOV1|HINT2|BDH1|COA8|UNC119|CNDP2|PSMB10|PHB2|SSU72|PDE6H|RPL28|EMC9|RUNDC3A|ARL6IP4|TMEM147|PIN1|COMMD8|TMEM97|NARS1|SLC25A5|C2CD2L|SNRNP25|H3-3A|PRR36|RAC3|RAB3A|RAD23A|CLIP3|BNIP3|STUB1|FABP3|ZFAND5|ATP5MC1|CREB3|ZNHIT2|LDB1|FAM131B|ATG9A|MRPS26|ATP6V1G1|RNASEK|TUBB3|RBM3|KRT222|AHCY|PFKM|STMN3|FIBP|NCBP2AS2|LGI3|BEX3|NUDT18|RPS9
sleep_UP_wake_No_Change,0.984501549845015,1,0.001810133651027,0.302033671534974,0.837601592507674,270,STARD10|ASPHD2|MAP1LC3A|ZNF687|BOK|ITM2B|TMSB10|TMEM132A|ARL8A|KEAP1|H1-0|APLP1|SLC22A8|TMEM141|SERF2|CENPB|R3HCC1|TRIM28|STMN1|MRGPRE|ADAP1|VPS37D|SAC3D1|TTC9B|BTBD6|DUSP28|SMPD1|DMRTC1|CCN3|ACTG1|YDJC|GABARAPL1|MCRIP1|LYRM9|SHISA4|PHLDA3|SUMO3|RHBDD2|BRK1|RAB1B|ANKRD34C|UBE2M|WSB2|MAP1S|ATP6V1E1|SGTB|HRAS|MRPL55|MZT2A|NRARP|DBNDD2|FABP5|ATP6V0E2|GNG3|BCKDK|COA3|RAB11FIP5|ISCU|ARPC4|CTDNEP1|FIS1|PTGES2|MORF4L1|BSG|PTOV1|HINT2|COA8|CNDP2|PSMB10|PHB2|SSU72|PDE6H|RPL28|EMC9|RUNDC3A|TMEM147|PIN1|NARS1|SLC25A5|C2CD2L|SNRNP25|H3-3A|PRR36|RAB3A|CLIP3|STUB1|ZFAND5|ATP5MC1|CREB3|ZNHIT2|LDB1|FAM131B|MRPS26|ATP6V1G1|RNASEK|TUBB3|KRT222|PFKM|STMN3|FIBP|NCBP2AS2|LGI3|BEX3|RPS9
midbrain_DEG_BHQ05,0.999200079992001,1,0.000408198680334106,0.254109048323333,0.688770118372448,133,CDK2AP1|PPP1R9B|NOX1|CYCS|RPS28|MT2A|RND2|SMIM29|UQCR10|P4HA3|RGS4|FKBP8|RPS21|COPS9|ATP5ME|POU3F2|IGFBP5|UQCRH|TOMM7|RPL36A|DBNDD2|SPRN|RPL37|COX7C|GAD1|ALDOC|CARTPT|ATP5PB|RPS26|PAX5|ATP5MJ|SLC25A5|PRR36|RPS29|NDUFB5|SHANK1|C1orf53|NDUFB2|RPLP2|BHLHE41|MT1A|RPL34|OAZ1|NR1D1|PVALB|ATP5PF|NDUFA2|ATP5MF|VAMP1|NDUFA1
sleep_No_Change_wake_No Change,0.999300069993001,1,0.000381815797245351,0.235259614659486,0.628730884453672,94,YPEL3|ATOX1|LGI2|UQCR10|STMN1|NGB|POU3F2|TRAPPC1|BUB3|CSRP1|PPDPF|UQCR11|DYNLT3|GOT1|SRSF3|ARPC4|LSM7|PDZRN4|S100A1|SYT11|BAG1|RPL35|LSM4|RTN4|FOXD1|NGRN|SKP1|OAZ1|RNF5|LGI3|CHMP1A|HSBP1|MBOAT7|SBDS|PFDN5|IMP3|IER5L|MICOS13|ITM2C|MDP1|HERPUD1|CSPG4|MEA1|HCFC1R1|NDUFA7|GLRX2|NDUFA6|RPS18|FAU|RPLP0|ATP5IF1|REX1BD|TXN|UROD|SEC62|RAC1
Down_SD_3OR6,0.999700029997,1,0.000249907104274768,0.263317270626438,0.726766200002874,228,MAF1|FNDC10|CCDC115|SMIM10L2A|LUC7L2|HMGB3|NR2F6|H1-0|DCTN6|TMEM141|GPR12|STMN4|FBXO2|RPRM|RND2|NACAD|TRIM28|COPS7A|TMEM219|LXN|GABRD|FNDC4|DIRAS1|TMEM160|PAQR4|C17orf58|DPM2|SCG5|HMGCS1|PPP2R5B|ACLY|MID1IP1|SGTB|PCYT2|CKS1B|MYH3|GATD3|CAPNS1|TLE5|ATRAID|PDXP|SLC8A3|PRDX3|OTUB1|CCNQ|EHD1|FIS1|VDAC1|ASB14|FASN|BDH1|UNC119|SHCBP1L|CNDP2|CALM3|GNB2|SYT11|SLC1A6|RUNDC3A|TMEM14C|ARL6IP4|MSRB1|COMMD8|TMEM97|RAC3|RAD23A|TGFBR3|FAM3C|TSR3|BNIP3|C9orf78|VPS4A|PPIB|FABP3|CREB3|ATG9A|FJX1|RBM3|NT5C3B|AHCY|LGI3|NUDT18|INKA1|KCNS2|NECAB2|FAM241B|HSBP1|VAMP1|TMEM106C|CTSB|RANBP1|PLEKHJ1|PSMC3|IMPDH2|TSR2|CBX4|NOP53|HSPB6|MDP1|MLIP|DUSP26|SRP14|MAGED2|MRPL12|EIF4B|KCTD2|BAX|PUF60|PMVK|C1orf122|DDX54|ARL2BP|HCFC1R1
sleep_No_Change_wake_DOWN,0.999700029997,1,0.000249907104274768,0.251886219124386,0.689884038280657,174,MAF1|FNDC10|CCDC115|SMIM10L2A|LUC7L2|NR2F6|H1-0|GPR12|FBXO2|RND2|NACAD|TRIM28|COPS7A|LXN|GABRD|DIRAS1|TMEM160|PAQR4|C17orf58|DPM2|PPP2R5B|ACLY|MID1IP1|PCYT2|CKS1B|MYH3|GATD3|CAPNS1|SLC8A3|PRDX3|OTUB1|CCNQ|EHD1|FIS1|VDAC1|FASN|SHCBP1L|CNDP2|CALM3|GNB2|SYT11|SLC1A6|RUNDC3A|TMEM14C|MSRB1|RAD23A|TGFBR3|FAM3C|TSR3|C9orf78|VPS4A|PPIB|CREB3|FJX1|NT5C3B|INKA1|KCNS2|NECAB2|FAM241B|HSBP1|VAMP1|TMEM106C|CTSB|RANBP1|PLEKHJ1|PSMC3|IMPDH2|TSR2|CBX4|HSPB6|MDP1|MLIP|DUSP26|SRP14|MAGED2|MRPL12|KCTD2|BAX|PUF60|PMVK|DDX54|ARL2BP|HCFC1R1|SYNGR3|MSMO1
