GENE_SYMBOLS,refseq_ids
LRP8,NM_001018054
ETV5,NM_004454
ATP6AP1,NM_001183
CDIPT,NM_001286585
PSAP,NM_001042465
MIEF1,NM_001304564
BCAP31,NM_001139441
TMEM203,NM_053045
TGOLN2,NM_001206840
RETREG2,NM_001321109
FRMD6,NM_001042481
TMEM109,NM_024092
MSANTD3,NM_001198805
TPRG1L,NM_182752
MARCH4,NA
TMEM246,NA
THY1,NM_001311160
HPCAL4,NM_001282396
LRRC47,NM_020710
ATG9A,NM_001077198
KBTBD11,NM_014867
AP1S1,NM_001283
B4GAT1,NM_006876
SLC8A3,NM_001130417
TUSC2,NM_007275
NEU1,NM_000434
TMEM130,NM_001134450
SRRD,NM_001013694
FAM32A,NM_014077
ZPR1,NM_001317086
CREB3,NM_006368
SPRY4,NM_001127496
LY6E,NM_001127213
MANEAL,NM_001031740
NSG2,NM_015980
PIANP,NM_001244014
SPRED3,NM_001039616
UBL4A,NM_014235
GRINA,NM_000837
PPEF1,NM_001377986
PNMA8A,NM_001103149
PITHD1,NM_020362
EGLN2,NM_017555
CAMKV,NM_001320147
KLHDC3,NM_001242872
SULT4A1,NM_014351
SNN,NM_003498
TBCC,NM_003192
ATP6V0E2,NM_001100592
CCKBR,NM_001318029
USP5,NM_001098536
RAB6B,NM_001363953
RTL6,NM_032287
MAPK3,NM_001040056
EFNB3,NM_001406
POLE3,NM_001278255
NFE2L1,NM_001330261
BAIAP2-DT,NM_001004336
COPS7A,NM_001164093
DDN,NM_015086
OPRL1,NM_000913
FAIM2,NM_012306
NR2F6,NM_005234
C1orf216,NM_001348691
SPRY4-AS1,NR_120664
ARL6IP5,NM_006407
MTCH1,NM_001271641
SPATA2L,NM_152339
MANBAL,NM_001003897
HNRNPUL2,NM_001079559
DDX54,NM_001111322
PARD6A,NM_001037281
SUPT4H1,NM_003168
FAM89B,NM_001098784
OTUB1,NM_017670
KCTD2,NM_015353
RAB1B,NM_030981
CDK5R1,NM_003885
TMEM167B,NM_001322248
VPS18,NM_020857
SPRYD3,NM_032840
FNDC5,NM_001171940
SYT13,NM_001247987
SLC1A6,NM_001272087
FLRT1,NM_001384466
EPN1,NM_001130071
FARSA,NM_004461
TOR1A,NM_000113
EI24,NM_001007277
VSTM2L,NM_080607
MAF1,NM_032272
PDE10A,NM_001130690
PGAM1,NM_001317079
NICN1,NM_032316
SCN2B,NM_004588
SHC3,NM_016848
CDKN2AIPNL,NM_080656
MRFAP1,NM_001272053
CCDC85B,NM_006848
UBXN6,NM_001171091
BORCS6,NM_017622
PEG13,NR_144431
TMEM121,NM_001331238
PCYOX1,NM_016297
SARAF,NM_001284239
PDXP,NM_020315
NOP9,NM_001286367
SERINC1,NM_020755
ABCF2,NM_007189
CTSB,NM_001317237
NCDN,NM_001014839
AP2M1,NM_001025205
RRAGA,NM_006570
SSTR3,NM_001051
DUSP26,NM_001305115
NSG1,NM_001040101
REEP5,NM_005669
GNAZ,NM_002073
ZBTB22,NM_001145338
THAP5,NM_001130475
SRXN1,NM_080725
TOMM20,NM_014765
STOML2,NM_001287031
HEY1,NM_001040708
SPOCK2,NM_001134434
BTBD6,NM_001387567
C1orf115,NM_024709
TWF2,NM_007284
TMEM250,NM_001256526
GSK3A,NM_019884
TMED2,NM_001321445
TM2D2,NM_001024380
GLRX5,NM_016417
NPM3,NM_006993
YWHAH,NM_003405
LAMTOR1,NM_017907
NAT8L,NM_178557
MFSD5,NM_001170790
RBM15B,NM_013286
MRPS2,NM_001371401
PEA15,NM_001297576
ICMT,NM_012405
TTPAL,NM_001039199
ADO,NM_032804
FEN1,NM_004111
BRK1,NM_018462
ATP6AP2,NM_005765
CD59,NM_000611
GTF2F1,NM_002096
MAGEH1,NM_014061
ADCK2,NM_052853
TMED9,NM_017510
PHYHIP,NM_001099335
DMTN,NM_001114135
ALDH1B1,NM_000692
PNMA1,NM_006029
NRN1,NM_001278710
