GENE_SYMBOLS,refseq_ids
TPRG1L,NM_182752
ATP6AP1,NM_001183
THY1,NM_001311160
TMEM203,NM_053045
UBL4A,NM_014235
LY6E,NM_001127213
SPRYD3,NM_032840
PGAM1,NM_001317079
RTL6,NM_032287
COPS7A,NM_001164093
PHF23,NM_001284517
YWHAH,NM_003405
RAN,NM_001300796
NSG1,NM_001040101
C1orf216,NM_001348691
PDXP,NM_020315
SULT4A1,NM_014351
DEXI,NM_014015
PARD6A,NM_001037281
B4GAT1,NM_006876
MOAP1,NM_022151
SNN,NM_003498
PNMA1,NM_006029
PNMA8A,NM_001103149
SEPHS2,NM_012248
ATP6AP2,NM_005765
ANKRD34A,NM_001039888
DIRAS1,NM_145173
SPRY4-AS1,NR_120664
RAB3A,NM_002866
DHCR24,NM_014762
RRAGA,NM_006570
ETV5,NM_004454
MRFAP1,NM_001272053
SRXN1,NM_080725
COA3,NM_001040431
RSL24D1,NM_016304
MRPS17,NM_015969
CALM3,NM_001329921
PEG13,NR_144431
CCDC85B,NM_006848
LAMTOR5,NM_001382293
PNMA8B,NM_020709
CYCS,NM_018947
NEFL,NM_006158
FAM32A,NM_014077
AP1S1,NM_001283
BEX4,NM_001080425
TPI1,NM_000365
OAZ1,NM_001301020
DNAJB9,NM_012328
NRN1,NM_001278710
ENC1,NM_001256574
TUSC1,NM_001004125
ISCU,NM_001301140
PELI3,NM_001098510
GABARAP,NM_007278
SERINC1,NM_020755
GHITM,NM_014394
IRF2BP1,NM_015649
CEND1,NM_016564
HAPLN4,NM_023002
MRPS12,NM_021107
TCEAL7,NM_001348258
ATP6V1G2,NM_001204078
SELENOW,NM_003009
SNRNP25,NM_024571
TCEAL8,NM_001006684
RGS4,NM_001102445
PER2,NM_003894
PRELID1,NM_001271828
PINK1,NM_032409
NAP1L5,NM_153757
SLC25A5,NM_001152
CCDC184,NM_001013635
C3orf80,NM_001168214
CCDC115,NM_001321118
LDHA,NM_001135239
RPP25,NM_017793
PFN2,NM_002628
ACTG1,NM_001199954
ALDH1B1,NM_000692
ATP6V1F,NM_001198909
RNASEK,NM_001004333
CALM1,NM_001166106
YWHAG,NM_012479
POLR2K,NM_005034
CAMK2N2,NM_033259
FAM174C,NM_017914
SELENOM,NM_080430
UQCC3,NM_001085372
MCHR1,NM_005297
RFK,NM_018339
UBE2S,NM_014501
PDE10A,NM_001130690
