GENE_SYMBOLS,refseq_ids
AURKAIP1,NM_001127229
MRPL20-AS1,NR_015434
ANKRD65,NM_001145210
TPRG1L,NM_182752
SMIM1,NM_001163724
RPL22,NM_000983
PARK7,NM_001123377
CORT,NM_001302
FBXO2,NM_012168
NPPA,NM_006172
BX284668.5,NA
MICOS10,NM_001032363
UBXN10-AS1,NA
PINK1,NM_032409
SH2D5,NM_001103160
RPL11,NM_000975
PITHD1,NM_020362
PNRC2,NM_017761
STMN1,NM_001145454
ZNF593,NM_015871
NUDC,NM_006600
ATP5IF1,NM_016311
FABP3,NM_001320996
HCRTR1,NM_001525
EIF3I,NM_001394168
SYNC,NM_001161708
TMEM54,NM_001329722
C1orf216,NM_001348691
LSM10,NM_032881
C1orf122,NM_001142726
NDUFS5,NM_001184979
PPT1,NM_000310
CITED4,NM_133467
SVBP,NM_199342
RPS8,NM_001012
PRDX1,NM_001202431
UQCRH,NM_001297565
BEND5,NM_001302082
KTI12,NM_138417
COA7,NM_023077
GADD45A,NM_001199741
CLCA4-AS1,NR_135837
TAF13,NM_005645
LAMTOR5,NM_001382293
ATP5PB,NM_001002014
PPM1J,NM_005167
TAFA3,NM_001004440
BCAS2,NM_005872
PEX11B,NM_001184795
MLLT11,NM_006818
RIIAD1,NM_001144956
MRPL9,NM_001300733
FLG-AS1,NR_103778
S100A6,NM_014624
RPS27,NM_001030
HAX1,NM_001018837
TDRD10,NM_001098475
PMVK,NM_001323011
CKS1B,NM_001826
DPM3,NM_018973
SYT11,NM_152280
SSR2,NM_003145
LAMTOR2,NM_001145264
MEF2D,NM_001271629
NAXE,NM_144772
DUSP23,NM_001319658
TSTD1,NM_001113205
KLHDC9,NM_001007255
PFDN2,NM_012394
UFC1,NM_016406
PCP4L1,NM_001102566
FCRLB,NM_001002901
RGS4,NM_001102445
MPC2,NM_001143674
EEF1AKNMT,NA
AXDND1,NM_144619
GLRX2,NM_001243399
C1orf53,NM_001024594
SHISA4,NM_198149
TIMM17A,NM_006335
SNRPE,NM_001304464
SERTAD4-AS1,NR_024337
NEK2,NM_001204182
SRP9,NM_001130440
H3F3A,NA
MRPL55,NM_001321284
GUK1,NM_000858
HIST3H2A,NA
RPS7,NM_001011
YWHAQ,NM_006826
ODC1,NM_001287188
FKBP1B,NM_001322963
PTRHD1,NM_001013663
POMC,NM_000939
OST4,NM_001134693
ATRAID,NM_001170795
SNX17,NM_001267059
FNDC4,NM_022823
CRIM1-DT,NR_037631
GEMIN6,NM_024775
MORN2,NM_001145450
CALM2,NM_001305624
RPS27A,NM_001135592
PRADC1,NM_032319
CCT7,NM_001009570
BOLA3,NM_001035505
MRPL53,NM_053050
POLE4,NM_019896
TMSB10,NM_021103
TGOLN2,NM_001206840
PARTICL,NR_038942
RNF181,NM_016494
MRPL35,NM_001363782
COX5B,NM_001862
MRPL30,NM_016503
PDCL3,NM_024065
MTLN,NM_001355251
CHCHD5,NM_001304353
DBI,NM_001079862
MZT2B,NM_001330282
CCDC115,NM_001321118
IMP4,NM_001320304
MZT2A,NM_001085365
ITGA6-AS1,NR_157573
ATP5MC3,NM_001002256
ASNSD1,NM_001353497
COQ10B,NM_001320818
NDUFB3,NM_001257102
SUMO1,NM_001005781
EEF1B2,NM_001037663
RPL37A,NM_000998
CRYBA2,NM_057093
CNPPD1,NM_001321389
STK16,NM_001008910
ITM2C,NM_001012514
PTMA,NM_001099285
COPS9,NM_001163424
DUSP28,NM_001033575
JAGN1,NM_001363890
BRK1,NM_018462
RPL32,NM_000994
LSM3,NM_014463
RPL15,NM_001253379
RPSA,NM_001304288
EIF1B,NM_005875
RPL14,NM_001034996
CCK,NM_000729
HIGD1A,NM_001099668
CCDC51,NM_001256964
TMA7,NM_001329417
NDUFAF3,NM_199069
IMPDH2,NM_000884
TUSC2,NM_007275
MANF,NM_006010
RPL29,NM_000992
SPCS1,NM_014041
SELENOK,NM_021237
TRMT10C,NM_017819
RPL24,NM_000986
