"","Name",""
"C00805","Salicylic acid","0"
"C00086","Urea","0"
"C05828","Methylimidazoleacetic acid","0"
"C00328","Kynurenine","0"
"C21016","Ophthalmic acid","0"
"C01132","N-Acetylgalactosamine","0"
"C02990","Palmitoylcarnitine","0"
"C00750","Spermine","0"
"C00020","Adenosine monophosphate","0"
"C00216","D-Arabinose","0"
"C05519","L-Allothreonine","0"
"C01073","N-Acetyl-beta-alanine","0"
"C02571","L-Acetylcarnitine","0"
"C05422","Dehydroascorbic acid","0"
"C01233","Glycerylphosphorylethanolamine","0"
"C00670","Glycerophosphocholine","0"
"C00794","Sorbitol","0"
"C02997","N-Acetylhistidine","0"
"C03145","N-Formyl-L-methionine","0"
"C00059","Sulfate","0"
"C00550","2beta-Hydroxytestosterone","0"
"C01717","Kynurenic acid","0"
"C02712","N-Acetyl-L-methionine","0"
"C02067","Pseudouridine","0"
"C00366","Uric acid","0"
"C01152","1-Methylhistidine","0"
"C00315","Spermidine","0"
"C02170","Methylmalonic acid","0"
"C00021","S-Adenosylhomocysteine","0"
"C00836","Sphinganine","0"
"C02477","alpha-Tocopherol","0"
"C00258","Glyceric acid","0"
"C00956","Aminoadipic acid","0"
"C00719","Betaine","0"
"C00029","Uridine diphosphate glucose","0"
"C00791","Creatinine","0"
"C00078","L-Tryptophan","0"
"C01251","Homocitric acid","0"
"C00157","Phosphatidylcholine","0"
"C00514","D-Mannonate","0"
"C01924","Homo-L-arginine","0"
"C01029","N8-Acetylspermidine","0"
"C00064","Glutamine","0"
"C00079","Phenylalanine","0"
"C02494","1-Methyladenosine","0"
"C00082","L-Tyrosine","0"
"C05345","Beta-D-Fructose 6-phosphate","0"
