"Query","Entrez","Symbol","Name","Comment"
"BCAP31","10134","BCAP31","B cell receptor associated protein 31","1"
"TPRG1L","127262","TPRG1L","tumor protein p63 regulated 1 like","1"
"ATP6AP1","537","ATP6AP1","ATPase H+ transporting accessory protein 1","1"
"THY1","7070","THY1","Thy-1 cell surface antigen","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"TGOLN2","10618","TGOLN2","trans-golgi network protein 2","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
"LRRC47","57470","LRRC47","leucine rich repeat containing 47","1"
"AP2M1","1173","AP2M1","adaptor related protein complex 2 subunit mu 1","1"
"UBL4A","8266","UBL4A","ubiquitin like 4A","1"
"LY6E","4061","LY6E","lymphocyte antigen 6 family member E","1"
"NEU1","4758","NEU1","neuraminidase 1","1"
"SPRYD3","84926","SPRYD3","SPRY domain containing 3","1"
"COPZ1","22818","COPZ1","COPI coat complex subunit zeta 1","1"
"TBCC","6903","TBCC","tubulin folding cofactor C","1"
"MANBAL","63905","MANBAL","mannosidase beta like","1"
"PGAM1","5223","PGAM1","phosphoglycerate mutase 1","1"
"ATP6V0D1","9114","ATP6V0D1","ATPase H+ transporting V0 subunit d1","1"
"RTL6","84247","RTL6","retrotransposon Gag like 6","1"
"SNX17","9784","SNX17","sorting nexin 17","1"
"RETREG2","79137","RETREG2","reticulophagy regulator family member 2","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"PHF23","79142","PHF23","PHD finger protein 23","1"
"HCCS","3052","HCCS","holocytochrome c synthase","1"
"EGLN2","112398","EGLN2","egl-9 family hypoxia inducible factor 2","1"
"TUSC2","11334","TUSC2","""tumor suppressor 2, mitochondrial calcium regulator""","1"
"YWHAH","7533","YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta","1"
"RAN","5901","RAN","""RAN, member RAS oncogene family""","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"SCN2B","6327","SCN2B","sodium voltage-gated channel beta subunit 2","1"
"GSK3A","2931","GSK3A","glycogen synthase kinase 3 alpha","1"
"TOMM22","56993","TOMM22","translocase of outer mitochondrial membrane 22","1"
"NSG1","27065","NSG1","neuronal vesicle trafficking associated 1","1"
"ABCF2","10061","ABCF2","ATP binding cassette subfamily F member 2","1"
"SARAF","51669","SARAF","store-operated calcium entry associated regulatory factor","1"
"CDKN2AIPNL","91368","CDKN2AIPNL","CDKN2A interacting protein N-terminal like","1"
"ATP6V1B2","526","ATP6V1B2","ATPase H+ transporting V1 subunit B2","1"
"DCTN1","1639","DCTN1","dynactin subunit 1","1"
"FAM89B","23625","FAM89B","family with sequence similarity 89 member B","1"
