"Symbol","Uniprot","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf"
"SPTAN1","Q13813","1.0242158292455","6408.15420946875","0.564482845045537","0.00610036788959582","5474.53013029565","3330.75970685627",0.793131114431602,1
"PLEC","Q15149","1.344995959927","11060.4920859449","0.21321808359971","0.0176356527851665","10779.7240153333","2476.29467884918",0.533998455711266,1
"ANK2","Q01484","1.49517463594173","1648.30060725904","0.829351921929912","0.00343318433397429","1643.58983383849","124.528510764735",0.921974095598283,1
"DYNC1H1","Q14204","2.09177779110123","2382.17016021874","0.861829572775689","0.00387339841397704","2066.13024558983","-1185.68144140638",0.938321900748117,1
"SPTBN1","Q01082","1.36581414199322","3035.71793685072","0.83481091766692","0.00385442505735323","2972.16400080719","617.919529083644",0.924229599128551,1
"SYNE1","Q8NF91","5.41942561456604","2315.00524208168","0.082979708726913","0.011322619734638","-1760.07571815158","1503.78945907958",0.351057630748294,1
"MACF1","Q9UPN3","2.74157928069772","1065.6927530382","0.443116403527266","0.00455032994373679","415.013431664651","-981.562476572968",0.718547344370561,1
"AHNAK","Q09666","0.905099953955299","16223.9637912235","0.019029980992574","0.0548050430380133","12759.9348441421","10020.0331272995",0.172106795689784,1
"MAP1B","P46821","2.53294652325397","9699.87375468621","0.326920063516641","0.0152983146266478","5545.97303498338","-7957.99811209374",0.636681990385198,1
"MAP2","P11137","3.83724686898144","18723.6392064941","0.00613085443188654","0.03616888057733","-11999.7514710813","-14372.9130578059",0.0975600999465795,1
"DST","Q03001","1.46329152018902","2684.13103751504","0.0265381036787743","0.0148898104634882","2668.63533855862","288.001486710929",0.199777208233085,1
"BSN","Q9UPA5","4.89747093058092","3688.41573699044","0.0381794011478761","0.0197986647961219","-3625.42192225366","678.76839534652",0.240041727572986,1
"MAP1A","P78559","2.27548842309798","4549.75394626724","0.339941500770768","0.0136689317799685","3466.05282044011","-2947.32740249425",0.645830996115434,1
"CLTC","Q00610","1.89807799321312","739.933189437599","0.97707229532981","0.00146993530325841","700.657316854237","-237.866452384358",0.989164150972587,1
"TLN2","Q9Y4G6","5.67400811541593","2204.73170123509","0.213407167919702","0.011309472654262","-1261.5317224875","1808.14257944132",0.534133123037973,1
"SPTBN2","O15020","3.23872624989662","1461.35017688528","0.372470333656141","0.00811546558419387","-141.723094547501","-1454.46172309708",0.672136402115002,1
"PCLO","Q9Y6V0","4.63261234839266","1677.84485428077","0.203744461410521","0.0124420116844748","-1672.50852211348","-133.710876499442",0.52560555347039,1
"AKAP12","Q02952","1.85376805831786","4108.37209987062","0.141188195771135","0.0234175291111943","3944.98189947374","-1147.10031114103",0.449499192764785,1
"ANK3","Q12955","1.48265675676395","1420.87541067683","0.267764983363453","0.0119267869073459","1415.35988786199","125.073260521076",0.587691256832952,1
"MYH10","P35580","3.27711328576971","2823.47381539226","0.176509923627017","0.0114909956576075","-381.468783729524","-2797.58573653171",0.494584984385733,1
"RYR2","Q92736","4.97715789489942","230.173530824667","0.9363194293754","0.00229347364501305","-222.152673460635","60.2332463560304",0.972319115807826,1
"MYH9","P35579","1.49469418098565","6567.04575285624","0.0233198286183091","0.0303009842824717","6548.03828614471","499.28401064947",0.188830197744526,1
"TLN1","Q9Y490","1.09355728844979","3933.2042847899","0.015544806190943","0.0357353469424272","3493.73358423782","1806.63266555724",0.158160306739621,1
"NEFM","P07197","2.08061631632422","43306.4492196623","0.0500296634786687","0.0685441168676937","37799.2707312519","-21134.419230268",0.275110338087486,1
"DMXL2","Q8TDJ6","3.9290604289329","1042.81798893444","0.339474434371681","0.00829445601040725","-738.9081892697","-735.855995338384",0.645830996115434,1
"MYO5A","Q9Y4I1","2.35517107378883","964.030445577689","0.772330513380581","0.00484286761087973","682.369743013937","-680.97447369179",0.893957593946954,1
"LRP1","Q07954","4.85321934478621","1139.09706985825","0.124378188687867","0.012477925085905","-1127.81976192366","159.889709406527",0.423666593900171,1
"FLNA","P21333","1.84983697839501","9790.11245299102","0.402213942291795","0.0801737946292986","9411.43205233577","-2696.52527643943",0.694250884371369,1
"SYN1","P17600","5.84440098627353","3399.0210799805","0.59902712144969","0.0100508912264147","-1444.0376102412","3077.02773506524",0.810314303771049,1
"FASN","P49327","3.79520152158232","2459.2845279631","0.071959270698275","0.0176854145758465","-1495.38128628431","-1952.41266081465",0.328693180108999,1
"ATP1A1","P05023","1.96413595348415","2729.38974525341","0.549119536747331","0.00898646845399959","2520.95776035301","-1046.10723733775",0.785143198509179,1
"ATP1A3","P13637","3.5983167712621","2966.76453600249","0.449483170389648","0.00925034129071736","-1308.37391855447","-2662.67713050765",0.721796443367182,1
"DNM1","Q05193","5.37325785001688","2975.98463431541","0.469844394734977","0.00794295585097352","-2349.41849252834","1826.66835814476",0.733867664130364,1
"PRKDC","P78527","0.582009310108174","1191.96400353365","0.0696513803056346","0.0119041751377126","655.226834968539","995.718826003149",0.324347965261161,1
"GFAP","P14136","1.23103688511058","70815.5855351736","0.0224431307403287","0.0963158443714661","66767.4027689755","23600.0229274229",0.186506695817474,1
"ATP1A2","P50993","3.47177092080024","4468.1006105458","0.593263521374004","0.00759686185409101","-1448.61036770859","-4226.75420015488",0.806079143803941,1
"HUWE1","Q7Z6Z7","1.91976818040664","332.414218794207","0.599530359337748","0.00454554106560234","312.377873781713","-113.662996741152",0.810647210220655,1
"AHNAK2","Q8IVF2","3.79224310316527","364.308648668929","0.834779461223671","0.00736307767839612","-220.663238537828","-289.876743898124",0.924229599128551,1
"MAP6","Q96JE9","5.31723070684048","2398.25540098299","0.350145538482738","0.0101067138508905","-1972.78596418515","1363.72449851798",0.655024476347645,1
"CNTN1","Q12860","5.9427912935916","1662.63335416632","0.482566545315848","0.00732174490436631","-555.084318228835","1567.23676259932",0.741986419735938,1
"UBR4","Q5T4S7","2.21595714053945","416.15767408904","0.303822830055232","0.00569188989373133","332.511261547693","-250.246819454635",0.617925974505878,1
