"Symbol","Uniprot","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"SPTAN1","Q13813","0.781477058338817","1052583.21285233","1051049.1928278",0.907335169657116,1
"PLEC","Q15149","0.00957181993463308","629115.000063349","649723.650224096",0.113153102827871,1
"ANK2","Q01484","0.0907151243111717","480398.339827494","486847.93846752",0.319441390795386,1
"DYNC1H1","Q14204","0.564970957409118","615637.348367437","618260.989282496",0.778191972711942,1
"SPTBN1","Q01082","0.904269478686848","789120.405432212","788774.087875561",0.966844297691737,1
"SYNE1","Q8NF91","0.377486369024608","204638.553753719","206120.407024141",0.635159019715393,1
"MACF1","Q9UPN3","0.668260289968644","234263.74574055","234576.659428616",0.843909676961971,1
"AHNAK","Q09666","0.504119810937257","298307.655785305","294199.608825644",0.737802154043267,1
"MAP1B","P46821","0.343184230594627","635767.446701622","629079.711667495",0.604245511010909,1
"MAP2","P11137","0.346144452040263","516989.578763472","510446.91046273",0.607541048572016,1
"DST","Q03001","0.255884841047684","180331.558178946","181860.915743992",0.518538420110633,1
"BSN","Q9UPA5","0.325471692107592","186415.74017248","184651.969813707",0.587654340750642,1
"MAP1A","P78559","0.288889313219833","333094.802714651","336911.843103008",0.552773328403406,1
"CLTC","Q00610","0.97721836048431","503363.604640935","504111.413085978",0.992846738892784,1
"TLN2","Q9Y4G6","4.54688327051441e-05","195244.526933673","188053.039050337",0.0064598810683272,0.355293458757996
"SPTBN2","O15020","0.783535838312947","180313.582671188","180752.293550626",0.908524861341055,1
"PCLO","Q9Y6V0","0.605453615865584","134979.681193545","134402.668493275",0.807340367640558,1
"AKAP12","Q02952","0.247333391811982","175688.346566499","178969.483197441",0.509451715635179,1
"ANK3","Q12955","0.694277651703985","119154.405033089","118780.16993265",0.859487574527082,1
"MYH10","P35580","0.0251803304324565","245664.739647124","240971.681800769",0.176856784641888,1
"RYR2","Q92736","0.284038693541262","100263.72846925","99463.5563454528",0.548525670136683,1
"MYH9","P35579","0.0481980879380301","217128.234579545","211054.791630106",0.24079186754467,1
"TLN1","Q9Y490","0.183303740400636","110424.533366187","108245.97190804",0.442345201283028,1
"NEFM","P07197","0.0694259662242112","630226.621804804","668740.103515313",0.283026099443773,1
"DMXL2","Q8TDJ6","0.185566724315066","125719.329993498","124416.164850225",0.445515401875518,1
"MYO5A","Q9Y4I1","0.344470680960792","199414.873389377","197643.249825949",0.605828021838314,1
"LRP1","Q07954","0.00106569261211817","91248.3697944799","93510.2554910139",0.0381930171254807,1
"FLNA","P21333","0.0188570746111724","122620.204335504","104642.498876543",0.152514750768819,1
"SYN1","P17600","0.162516816840825","338227.70606516","345756.473710873",0.417666933788999,1
"FASN","P49327","0.00535808614045553","138792.719519755","143655.50904794",0.0861483232541554,1
"ATP1A1","P05023","0.338046899397475","304847.522496842","301867.294313359",0.600285245045809,1
"ATP1A3","P13637","0.689066003399828","320981.41966726","319763.608634259",0.856127250625991,1
"DNM1","Q05193","0.0284863552301988","374430.107355694","382464.417353655",0.187683288169286,1
"PRKDC","P78527","0.724904025323661","100402.278623007","100894.982979658",0.877676482640852,1
"GFAP","P14136","0.00238863209710706","744814.044549321","862992.725885767",0.0584629174861536,1
"ATP1A2","P50993","0.0503053773821416","588885.272431167","577787.240812969",0.244891763736782,1
"HUWE1","Q7Z6Z7","0.488291446189764","73159.8640716276","73472.5406977751",0.72400557125746,1
"AHNAK2","Q8IVF2","0.286650579744544","49373.6488471088","48414.2911868965",0.55088234877616,1
"MAP6","Q96JE9","0.321370089605331","237545.92926126","240072.897324724",0.582912228453124,1
"CNTN1","Q12860","0.945018077981192","227318.268191392","227390.183968677",0.981181405971968,1
"UBR4","Q5T4S7","0.166753615805692","73174.563744439","72659.1776680893",0.422096778071162,1
"TUBB4B","P68371","0.174722786669389","818159.028274029","831724.466964349",0.433458505596888,1
"TUBB4A","P04350","0.0187020447570056","102729.438328624","106529.627216996",0.152226851803377,1
"TUBB2A","Q13885","0.928997693850852","178971.638382821","178412.595335143",0.976222159729768,1
"TUBB2B","Q9BVA1","0.447541604536816","5650.26257097904","5805.18319882845",0.691900553233179,1
"SPTBN4","Q9H254","0.0716035407789176","57285.4750388585","58032.5391018125",0.286634255966425,1
"VCP","P55072","0.485628307683771","152035.439172574","152944.212443298",0.721679115322226,1
"RTN4","Q9NQC3","0.00465174655643669","131331.309430124","127387.370075642",0.0791911712243928,1
"DPYSL2","Q16555","0.032222835125916","547337.831194991","562261.65140728",0.19671033880774,1
"MYO18A","Q92614","0.0671022179219979","92695.2451484997","93734.3524193435",0.27903977537126,1
"TUBB","P07437","0.303719923433089","56049.5856868751","57042.2320632131",0.565198257134117,1
"EPB41L3","Q9Y2J2","0.106112504942205","272142.73103249","268716.02408715",0.342912784788416,1
"TUBA1A","Q71U36","0.0589021018849637","680693.622017232","698367.941547397",0.263488805572664,1
"MYH14","Q7Z406","0.531684163785789","49140.854877378","49490.1445716939",0.757088919780262,1
"NEFL","P07196","0.0251028095014368","317726.376335112","342487.087497416",0.176714732832637,1
"ACTN1","P12814","0.319726712832653","137463.600377437","135216.369057973",0.581394294642325,1
"VPS13C","Q709C8","0.408152780953759","49847.4700203918","50076.4138978804",0.657453273628669,1
"ATP5F1B","P06576","0.263304575003858","260371.616569769","264783.653168547",0.526684282987185,1
"UBA1","P22314","0.0236840141412214","145607.337912912","149291.759343773",0.172155243255353,1
"DCTN1","Q14203","0.0455161878281044","131238.485429407","133237.093498056",0.234606524860691,1
"SPTB","P11277","0.468507527195602","50849.6753866633","51808.0210238646",0.708415313110511,1
"PYGB","P11216","0.2133744013248","214495.316322814","218388.803566254",0.4728812310185,1
"GAPDH","P04406","0.0196202402659723","589301.751305105","607806.19140337",0.156601182265891,1
"ACO2","Q99798","0.606344754766885","210877.291932984","209872.252218369",0.80770165594075,1
"ADD2","P35612","0.69306013327077","158904.453983404","158215.991137098",0.858445491603267,1
"KIF21A","Q7Z4S6","0.447601394496253","94779.0953574907","95358.9517282815",0.691900553233179,1
"ATP2B2","Q01814","0.130312668971153","160602.245279931","158158.250001774",0.377834209773874,1
"HSPG2","P98160","0.033587178561557","53594.6700139611","49643.089692366",0.202195849984597,1
"EPB41L1","Q9H4G0","0.979093764142179","147650.9891539","147836.537677744",0.993589438052855,1
"ACTN4","O43707","0.000126050141817401","159952.756376336","153318.061627409",0.0110913801044993,0.984955808161171
"TUBB3","Q13509","0.437131903138688","133292.210764582","134301.436747836",0.682603655300901,1
"ITPR1","Q14643","0.374775716858718","75742.0849796771","78857.5474452952",0.632558524652105,1
"TNR","Q92752","0.305854396327707","159773.650239208","158398.082279023",0.567144340983555,1
"HSPA4","P34932","0.557470972878552","137955.917315931","137027.529589498",0.773726142464122,1
"TUBA4A","P68366","0.609487332027228","70201.3024194479","71349.1850787116",0.809694196307255,1
"STXBP1","P61764","0.175027822996005","423041.733730056","415747.260247343",0.433458505596888,1
"LRPPRC","P42704","0.000640262547708458","121281.920451471","115583.779320726",0.0290872764406622,1
"HSP90AA1","P07900","0.716807484141227","184341.308170787","185667.252331309",0.873811806720678,1
"MYH11","P35749","0.0144648230420106","31007.9290381908","22257.4960224659",0.135654816329106,1
"OXR1","Q8N573","0.185088988536055","112405.93251026","114024.931118372",0.445010878898687,1
"HSPD1","P10809","0.0490926538972497","303553.897454594","297839.646633914",0.242331015510492,1
"ATP2A2","P16615","0.405803455475763","175815.529946115","174348.969845767",0.655243845439797,1
"NFASC","O94856","0.781580883921429","171659.831722019","171089.268963643",0.907335169657116,1
"ATP2B4","P23634","0.80475874211992","203163.707078429","203921.024869481",0.918682952655231,1
"AP2B1","P63010","0.0224025189567188","260199.082134952","254194.202830232",0.16684541240126,1
"FLNB","O75369","0.471373936670419","38741.3171082008","39111.0608271729",0.710242179163643,1
"AP2A1","O95782","0.020492283458404","181310.355190701","177536.649680393",0.159013607690138,1
"PKM","P14618","0.0797827263586538","495969.753675321","505728.945838546",0.300740569273023,1
"C3","P01024","0.263378066020351","77007.9064640998","80113.321540546",0.526684282987185,1
"CKB","P12277","0.0517982169052738","366056.518078346","373657.842317559",0.248161414406995,1
"ALDOA","P04075","0.037471226841987","411749.815016794","422829.630629788",0.212518926907255,1
"PI4KA","P42356","0.00659220427688877","94912.2230545402","92781.5721321797",0.0924802230154557,1
"HSPH1","Q92598","0.57106551166474","121001.498137884","119945.414432491",0.782448870445078,1
"HK1","P19367","0.895824861590136","330457.941489526","330365.487951424",0.962857698550939,1
"GDI1","P31150","0.362133343562516","236266.425209557","238798.273587196",0.620919516153928,1
"HSP90AB1","P08238","0.651488639165014","304288.315460353","302492.479267637",0.834546266628757,1
"ATP2B1","P20020","0.211236247661594","103670.279067221","102546.726459745",0.471465306834532,1
"CKAP5","Q14008","0.9281575292845","94159.3026486774","94145.6454054736",0.975867548676115,1
"TUBA1C","Q9BQE3","0.598525004529697","5616.48325871691","5811.57432439558",0.802345923039124,1
"CTNNA2","P26232","0.0372383847666505","98768.2379098839","97050.7129653987",0.212191288968032,1
"NRCAM","Q92823","0.00939563188344253","113499.550495942","110515.08645595",0.112014309891369,1
"HTT","P42858","0.581461980153744","41012.4172865572","40857.6159618243",0.790568222521438,1
"CADPS","Q9ULU8","0.212535294863932","101537.896880605","100212.280205141",0.472605089047017,1
"PFKP","Q01813","0.27417606144493","123312.963134426","124951.168774669",0.537681306380979,1
"ALB","P02768","0.79926103085878","315311.480259587","313950.536014415",0.916288981093091,1
"BASP1","P80723","0.763658179653302","342127.18107044","340982.486658804",0.897192153933379,1
"ATP6V1B2","P21281","0.401422157217776","149886.820773909","150822.805522679",0.653374570905919,1
"NBEA","Q8NFP9","0.748349226438582","44265.3921356317","44316.6912667807",0.88955855585392,1
"SYNJ1","O43426","0.366604703501523","143944.958323949","142645.39801786",0.624787165356794,1
"NCAM1","P13591","0.994165592054369","316311.062252567","316315.7332636",0.99876702703945,1
"CEP170B","Q9Y4F5","0.556676010955134","48319.3092738231","48069.833150274",0.773447074965046,1
"PLCB1","Q9NQ66","0.106081244113491","116501.75239601","113612.761686545",0.342912784788416,1
"ENO1","P06733","0.0419769875919108","394098.946227466","405786.170210007",0.225435175974702,1
"HSPA8","P11142","0.660255212713569","399625.998916207","401886.722506529",0.839609551439525,1
"NDUFS1","P28331","0.974462970718026","146617.895288109","146560.936933274",0.992153807873543,1
"CLASP2","O75122","0.107452634216132","66848.4097208632","66148.5966362711",0.345528758750969,1
"ACTN2","P35609","0.0107230713671354","74814.7032597591","71735.7488554206",0.118851176826661,1
"IMMT","Q16891","0.213377177070797","180904.77492865","178791.422727546",0.4728812310185,1
"NSF","P46459","0.786938332225229","344831.635757468","345990.14785526",0.909904724475872,1
"OGDH","Q02218","0.651797305175845","94510.83815083","94971.2496578575",0.834667524186949,1
"OPA1","O60313","0.0325991809704853","118981.708084626","116537.794327075",0.197925408005728,1
"EPRS1","P07814","0.0508369236280027","63294.2205445078","62299.9794680765",0.245968867634188,1
"APOB","P04114","0.754625667462539","23062.1585138043","23372.5048272297",0.892705296473924,1
"NUMA1","Q14980","0.438914268656631","42720.0320513783","43603.6650161131",0.684292916058044,1
"EPB41L2","O43491","0.749134503426662","93362.875465657","92996.754892336",0.889896170534499,1
"HSPA9","P38646","0.205244589908995","164054.287993075","161890.767450715",0.466267560803206,1
"VPS13A","Q96RL7","0.924299295717794","49484.4861214088","49524.3592468503",0.974267180603189,1
"SYN2","Q92777","0.0651531037885667","118947.924377333","123396.534628087",0.275282051595866,1
"ROCK2","O75116","0.0583166787126277","100592.682426885","99209.9828157517",0.262643531677506,1
"KIF1A","Q12756","0.198041783709148","60554.6184816609","59910.2127769842",0.460606053079491,1
"ACACA","Q13085","0.997413908187926","37314.33786305","37278.7341530647",0.999660102339686,1
"ITSN1","Q15811","0.209699958183222","68195.8742268865","68811.5566864925",0.47005033655872,1
"SBF1","O95248","0.935132137008418","55089.19184447","55122.0560580184",0.97754147405803,1
"ADD1","P35611","0.0680861781951089","120949.275971056","122868.255132686",0.280833325307648,1
"EEA1","Q15075","0.000166396604410766","98213.5625665541","95591.6904255743",0.0123830768272926,1
"VIM","P08670","0.0278328093906387","171740.463903562","150364.801643648",0.185134695788293,1
"SRCIN1","Q9C0H9","0.00332789121108088","81471.448878786","83084.7620393556",0.0675954257493359,1
"USP9X","Q93008","0.454813084628592","73355.8900721382","73078.8135051847",0.697528840684557,1
"GAP43","P17677","0.0997133663095824","247523.155462886","240399.861050477",0.333356289699463,1
"HECTD4","Q9Y4D8","0.653239557060796","29528.7584510626","29454.5161321012",0.835282915868607,1
"A2M","P01023","0.551132704902487","74974.3240278236","75907.7307119219",0.769930813733713,1
"PC","P11498","0.563419936499726","76588.1951093491","76164.589565624",0.776946745248257,1
"VCL","P18206","0.00142635612432778","103462.747378483","95041.122351646",0.0435372920136612,1
"KIF5C","O60282","0.0272648931340642","54779.6990055076","53640.46095691",0.183646841295269,1
"ATP2B3","Q16720","0.351225171318884","55047.8066475949","55570.301318377",0.611605089312828,1
"SEPTIN7","Q16181","0.0322980457262821","183611.803455733","179566.974813115",0.196913497492618,1
"WDR7","Q9Y4E6","0.818087762484484","58287.8747473933","58151.7188669812",0.926186290358412,1
"ALDOC","P09972","0.0860813348481399","188844.122115465","194040.577996644",0.311551436083078,1
"TRIO","O75962","0.974599084079446","46881.3748021649","46826.5330174547",0.992153807873543,1
"NEFH","P12036","0.00350224200676636","114803.65724686","129153.920241639",0.0694581701544983,1
"DNM1L","O00429","0.0313948813471446","148481.224724605","145370.314997705",0.194389542667661,1
"ANXA6","P08133","0.185983010099557","213071.122138931","209498.867628242",0.445515401875518,1
"KTN1","Q86UP2","0.0221568034115243","74761.8567124825","73016.7582511041",0.166288352902414,1
"ATP6V1A","P38606","0.593163888943798","210972.187043294","209894.084248952",0.798121424204914,1
"ENO2","P09104","0.119122928707048","160017.410330718","166116.635278031",0.361311359801144,1
"AGL","P35573","0.406277301418436","69028.6981532531","68196.1219612137",0.655784101070783,1
"UTRN","P46939","0.846539896729007","25600.9921018528","25682.4574456826",0.938677842066193,1
"ALDH1L1","O75891","0.932386802799891","104032.198319649","104020.265638548",0.97698025407103,1
"SACS","Q9NZJ4","0.0235057406997649","27983.8853169727","28713.8751397829",0.17149753298596,1
"DNM3","Q9UQ16","0.467007476803296","80505.7235715002","80034.3298560316",0.707208609252123,1
"MADD","Q8WXG6","0.514787369006746","52213.4907162672","51829.1840237146",0.746213876307587,1
"ATP5F1A","P25705","0.666804422089971","441379.851361688","443287.510087104",0.843108374467805,1
