pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.29908232832224e-05,0.00262414630321093,0.593325476396405,0.500610904480255,1.37003565394185,188,PDP1|LRPPRC|NDUFS2|IDH1|ATP5PD|FH|MRPL11|SLC25A4|CS|NDUFA4|NDUFA2|ACAT1|IDH3A|NDUFA9|ATP5PB|MRPS30|LDHB|AIFM1|COX4I1|FXN|ATP5ME|CYCS|ACO2|ACADSB|SLC25A6|ATP5F1E|COX17|SDHC|SLC25A5|NDUFS3|NDUFB5|COX7A2L|ECI1|SUCLA2|MRPL34|MRPL15|ATP5PO|COX7C|DECR1|MRPS22|NDUFS1|COX5A|ATP5F1A|NDUFB2|ETFA|ATP5MG|TIMM50|ALDH6A1|NDUFV1|GPI|PMPCA|HADHB|HSD17B10|OXA1L|NDUFS4|OAT|NDUFV2|NDUFB1|COX15|COX6C|SDHA|DLD|GPX4|NDUFB6|SLC25A20|VDAC2|NNT|NDUFB4|NDUFB8
KEGG_OXIDATIVE_PHOSPHORYLATION,0.000187049651419578,0.0188920147933773,0.518848077743792,0.527088158095286,1.40880203120868,104,NDUFB10|MT-ND4|NDUFS2|ATP5PD|NDUFA4|NDUFA2|NDUFA9|ATP5PB|COX4I1|PPA1|ATP5ME|ATP5F1E|COX17|SDHC|NDUFS3|NDUFB5|COX7A2L|ATP5PO|COX7C|NDUFS1|COX5A|ATP5F1A|NDUFB2|ATP5MG|NDUFV1|NDUFS4|MT-ATP6|NDUFV2|NDUFB1|NDUFV3|COX15|COX6C|SDHA|NDUFB6|NDUFB4|NDUFB8|NDUFA4L2|MT-CO2|PPA2|LHPP|ATP5F1C|UQCRB|NDUFC2|UQCRC2|NDUFB3|ATP6V1C1
HALLMARK_MTORC1_SIGNALING,0.000718971276171434,0.0484107325955432,0.477270815362862,0.482476933685192,1.30758801937692,147,ASNS|STIP1|PGK1|SERPINH1|SEC11A|IDH1|ARPC5L|GLA|HSPE1|TM7SF2|HMGCS1|ADD3|PPA1|PHGDH|PRDX1|CCT6A|TOMM40|GGA2|PSMC4|SYTL2|FADS2|EIF2S2|CYP51A1|CTH|NHERF1|ABCF2|FKBP2|GCLC|PGM1|SKAP2|NAMPT|TUBG1|PSMA3|GPI|ITGB2|IDI1|LTA4H|EEF1E1|FDXR|UFM1|AK4|PPIA|TES|PSME3|HSPA4|HSPD1|SLC1A4|GSK3B|TMEM97|ETF1|NFYC|IGFBP5|ACLY|TBK1|GMPS|SHMT2|CANX|PLOD2|PNP|USO1|HMBS|DHCR7|RPA1
KEGG_PARKINSONS_DISEASE,0.0016998300169983,0.0740592607405926,0.354819512103747,0.498490968326324,1.332367418868,104,NDUFB10|MT-ND4|NDUFS2|UBA1|ATP5PD|SLC25A4|NDUFA4|NDUFA2|NDUFA9|ATP5PB|COX4I1|CYCS|SLC25A6|ATP5F1E|SDHC|SLC25A5|NDUFS3|NDUFB5|COX7A2L|ATP5PO|COX7C|NDUFS1|COX5A|ATP5F1A|NDUFB2|NDUFV1|NDUFS4|MT-ATP6|NDUFV2|NDUFB1|NDUFV3|COX6C|SDHA|NDUFB6|VDAC2|NDUFB4|NDUFB8|NDUFA4L2|MT-CO2|ATP5F1C|UQCRB|NDUFC2|UQCRC2|NDUFB3|NDUFS7|COX8A|NDUFA3|CASP9|SDHD|HTRA2|UBE2G1|PARK7|NDUFB9|NDUFS8
KEGG_FATTY_ACID_METABOLISM,0.0021997800219978,0.0740592607405926,0.310776919977249,0.607997708164512,1.50563671628329,32,ALDH9A1|ALDH3A2|ADH5|ACAT1|ACADSB|ECI1|GCDH|ADH1B|ALDH2|CPT1C|HADHB|ALDH7A1|ACSL1|ACSL4
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.0021997800219978,0.0740592607405926,0.310776919977249,0.575080276835131,1.45309541567147,41,ALDH9A1|PGM2|PGK1|BPGM|ALDH3A2|ADH5|LDHB|ACSS2|PGAM1|PGM1|ADH1B|ALDH2|GPI|DLD|ALDH7A1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.0028997100289971,0.0836773465510592,0.269842314478839,0.577608265212533,1.45428048280481,39,C7|CD59|FGA|FGB|A2M|C3|C1QA|F3|FGG|CD46|C1QC|SERPING1|CD55|SERPINA1|F13A1|SERPIND1|C6|C8G
KEGG_HUNTINGTONS_DISEASE,0.003999600039996,0.0965014609650146,0.229089382980959,0.473113451116996,1.27658670234339,130,NDUFB10|NDUFS2|ATP5PD|DNAL4|SLC25A4|NDUFA4|NDUFA2|NDUFA9|ATP5PB|COX4I1|PLCB3|CYCS|SLC25A6|ATP5F1E|SDHC|SLC25A5|GRIN1|NDUFS3|NDUFB5|GRIN2B|COX7A2L|ATP5PO|COX7C|NDUFS1|COX5A|SOD1|ATP5F1A|NDUFB2|CREB1|NDUFV1|NDUFS4|MT-ATP6|NDUFV2|NDUFB1|NDUFV3|POLR2K|COX6C|SDHA|NDUFB6|VDAC2|NDUFB4|NDUFB8|NDUFA4L2|MT-CO2|ATP5F1C|UQCRB|NDUFC2|UQCRC2|NDUFB3|DNAL1|NDUFS7|COX8A|DCTN4|NDUFA3|CASP9|SDHD
KEGG_TRYPTOPHAN_METABOLISM,0.0042995700429957,0.0965014609650146,0.220823464091113,0.639917430046637,1.52931839530908,21,ALDH9A1|CAT|ALDH3A2|ACAT1|MAOA|GCDH|ALDH2|ALDH7A1
HALLMARK_HEME_METABOLISM,0.004999500049995,0.100989901009899,0.204544131818546,0.474934164912073,1.2776665034937,121,CA1|ASNS|HBD|BPGM|FECH|TMCC2|CAT|UROS|HBB|IGSF3|BLVRA|DCUN1D1|SLC4A1|C3|BSG|SPTA1|RAD23A|PPOX|SELENBP1|TOP1|GCLC|BLVRB|ARHGEF12|EPB41|ALDH6A1|USP15|HDGF|GAPVD1|H1-0|CTSB|FOXO3|NNT|AHSP|CLIC2|SPTB|AGPAT4|HAGH|ANK1|MKRN1|DCAF10|YPEL5|NEK7|ABCG2|PGLS
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0096990300969903,0.15801949216843,0.146151534304949,0.476148660681387,1.26937303060516,98,PDCD4|SERPINA3|ALDH3A2|PAPSS2|DNAJC12|IGFBP4|GLA|FGFR3|PPIF|ADD3|EEIG1|FABP5|SLC22A5|PCP4|FKBP4|HSPA4L|NHERF1|MEST|FKBP5|CELSR2|ARL3|IL6ST|GFUS|DCXR|OLFM1|BLVRB|FDFT1|UNC13B|HOMER2|SERPINA1|TPD52L1|S100A9|COX6C|SLC1A4|NBL1|LTF|TIAM1|PLXNB1|ABCA3|FLNB|SCARB1|CAV1|SLC29A1|DHCR7|CKB|NAB2|DYNLT3
KEGG_LIMONENE_AND_PINENE_DEGRADATION,0.0103989601039896,0.15801949216843,0.141072897117004,0.718074144665776,1.58673853114017,10,ALDH9A1|ALDH3A2|ALDH2|YOD1|ALDH7A1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.0110988901109889,0.15801949216843,0.136483198012004,0.610890212731912,1.45994716814809,21,LDHB|MAT2A|AMD1|SRM|CTH|MPST|MTR|AHCYL1|MAT2B|SMS
KEGG_ALZHEIMERS_DISEASE,0.0115988401159884,0.15801949216843,0.133462622481397,0.458846251767738,1.23602441691964,125,NDUFB10|NDUFS2|ATP5PD|NDUFA4|NDUFA2|NDUFA9|ATP5PB|COX4I1|PLCB3|CYCS|ATP5F1E|SDHC|GRIN1|NDUFS3|NDUFB5|GRIN2B|COX7A2L|ATP5PO|COX7C|NDUFS1|COX5A|ATP5F1A|NDUFB2|NDUFV1|MAPK1|HSD17B10|NDUFS4|MT-ATP6|NDUFV2|NDUFB1|NDUFV3|COX6C|SDHA|FADD|FAS|NDUFB6|NDUFB4|NDUFB8|NDUFA4L2|CACNA1C|MT-CO2|GSK3B|BAD|ATP5F1C|UQCRB|NDUFC2|UQCRC2|NDUFB3|CDK5|NDUFS7|COX8A|NDUFA3|CASP9|SDHD|APOE
KEGG_GLYCEROLIPID_METABOLISM,0.011998800119988,0.15801949216843,0.131183404131763,0.573164743343825,1.41237230144005,30,DGKZ|ALDH9A1|ALDH3A2|GLA|DGKQ|AKR1B1|LCLAT1|ALDH2|GK|ALDH7A1|AGPAT3|DGKI|AGPAT4
HALLMARK_GLYCOLYSIS,0.0125987401259874,0.15801949216843,0.12797030576243,0.460246950108846,1.23727181997131,118,ALDH9A1|PGM2|PGK1|NASP|GALK1|GYS1|IDH1|HDLBP|GPC1|PSMC4|SDHC|PPFIA4|FKBP4|PGAM1|CTH|PYGL|BPNT1|PRPS1|CAPN5|COPB2|FUT8|GCLC|NSDHL|GFUS|SLC25A13|GFPT1|SOD1|RARS1|NDUFV3|UGP2|DLD|ALDH7A1|AK4|GPC4|PPIA|TALDO1|CYB5A|AK3|LHPP|RPE|PGAM2|PGLS
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,0.0132986701329867,0.15801949216843,0.124499976253388,0.634210919559663,1.48409741724941,17,FECH|UROS|EARS2|BLVRA|PPOX|BLVRB|CP|COX15
KEGG_PYRUVATE_METABOLISM,0.014998500149985,0.168316501683165,0.117106883409404,0.559728039673111,1.38610240852598,32,ALDH9A1|ALDH3A2|ACAT1|LDHB|AKR1B1|ACSS2|ACYP1|GLO1|ALDH2|GRHPR|DLD|ALDH7A1|ME3|HAGH
KEGG_BETA_ALANINE_METABOLISM,0.0173982601739826,0.184970976586552,0.108573492628993,0.611107372901443,1.44711870673459,19,ALDH9A1|ALDH3A2|SRM|GAD2|ALDH2|ALDH7A1|ABAT|SMS|AOC3|HIBCH|MLYCD
KEGG_BUTANOATE_METABOLISM,0.0183981601839816,0.185821417858214,0.105519930289441,0.580163959920911,1.40811722427189,25,ALDH9A1|ALDH3A2|ACAT1|AACS|HMGCS1|GAD2|ALDH2|OXCT1|ALDH5A1|ALDH7A1|ABAT
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.0211978802119788,0.203903419181891,0.0981470491928706,0.528194174394942,1.33284551464983,40,ALDH9A1|MCCC1|ALDH3A2|ACAT1|HMGCS1|ACADSB|MCCC2|ALDH2|OXCT1|ALDH6A1|HADHB|HSD17B10|DLD|ALDH7A1|ABAT
HALLMARK_UV_RESPONSE_UP,0.0242975702429757,0.223019364730194,0.0915140765993025,0.457986433637767,1.22277832409787,101,ASNS|STIP1|SLC25A4|PPIF|PPT1|EPHX1|AMD1|BSG|CHKA|FKBP4|GGH|SULT1A1|MAOA|DNAJA1|IL6ST|PRPF3|TARS1|OLFM1|NXF1|RAB27A|LYN|WIZ|FOSB|MARK2|SELENOW|TYRO3|POLE3|ICAM1|TMBIM6|HSPA2|NTRK3|PPAT|CDC5L
