Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-3171,5.9171836474290136e-05,8.307168458781362,80.87082378659669,"['CCDC80', 'MMP16', 'EIF4EBP2', 'CD59', 'ARID3A', 'ATP1B3', 'PIAS1']",0.13692362960150736,0,0,7
2,mmu-miR-190a-5p,0.00037220005244355665,3.499523122989908,27.63251129641133,"['SEMA5A', 'MLLT10', 'ZNF608', 'THRB', 'PLGRKT', 'PLAGL1', 'ZNF239', 'ATP1B3', 'ATP2B2', 'SLC39A12', 'ATP2C1', 'TAF1']",0.43063546067719505,0,0,12
3,hsa-miR-1270,0.0009729166565781806,4.328035392429952,30.01584357681942,"['DYRK1A', 'TUBD1', 'GOLGA8M', 'FAT3', 'BACH2', 'DCAF7', 'LRPPRC', 'FARSB']",0.49093388421136297,0,0,8
4,hsa-miR-875-3p,0.0010256280426787338,3.8554306872807587,26.53480943282342,"['H2AFY', 'ANGEL2', 'TRIM25', 'ATP1B3', 'SSBP2', 'DCAF7', 'GEM', 'SELENOI', 'TRIM56']",0.49093388421136297,0,0,9
5,hsa-miR-620,0.0010607905881835846,4.264987283517016,29.209792466797207,"['DYRK1A', 'TUBD1', 'GOLGA8M', 'FAT3', 'BACH2', 'DCAF7', 'LRPPRC', 'FARSB']",0.49093388421136297,0,0,8
6,hsa-miR-4727-3p,0.0026022172687036604,5.900908928889681,35.11861866174487,"['IPPK', 'HMGA2', 'CD9', 'HMGB1', 'FARSB']",0.9943860274745191,0,0,5
7,hsa-miR-1183,0.003162439705311116,3.951709401709402,22.747665407608945,"['ZNF608', 'HSPA4L', 'ERBIN', 'NFATC2', 'HMGB1', 'DCAF7', 'PIAS1']",0.9943860274745191,0,0,7
8,hsa-miR-496,0.007359939143349759,3.0274244034115383,14.869811385897778,"['SEMA5A', 'MRPS27', 'GMDS', 'SMYD5', 'NFATC2', 'SLC30A1', 'GPR89B', 'SELENOI']",0.9943860274745191,0,0,8
9,mmu-miR-145a-5p,0.008123020822645167,5.615172706081797,27.026124801518883,"['NR4A2', 'THRB', 'MAOA', 'KLF4']",0.9943860274745191,0,0,4
10,hsa-miR-6766-3p,0.010220344581810623,5.213301849665486,23.89451725236935,"['CLIP2', 'RASSF8', 'HMGA2', 'PUM1']",0.9943860274745191,0,0,4
11,hsa-miR-200c-3p,0.010288126298383651,2.3678296865759907,10.836999645454874,"['MLLT10', 'DUSP1', 'SHC1', 'SERPINH1', 'ERBIN', 'LEPR', 'RASSF8', 'UBE2D1', 'RIN2', 'MYLK', 'TRIM56']",0.9943860274745191,0,0,11
12,hsa-miR-1271-5p,0.010502586654297917,3.485555995251286,15.880659147593212,"['KDM5A', 'ACY1', 'MIGA1', 'SERPINH1', 'TUBD1', 'EIF4EBP2']",0.9943860274745191,0,0,6
13,hsa-miR-4782-3p,0.013974987391500715,4.70772238514174,20.10426330103668,"['CLIP2', 'RASSF8', 'HMGA2', 'PUM1']",0.9943860274745191,0,0,4
14,hsa-miR-219a-5p,0.013974987391500715,4.70772238514174,20.10426330103668,"['CLIP2', 'RASSF8', 'HMGA2', 'PUM1']",0.9943860274745191,0,0,4
15,hsa-miR-4446-5p,0.01437172553527482,2.2478932584269664,9.536670305630244,"['LMLN', 'RGS5', 'CCDC80', 'ACTN2', 'SMOC1', 'TET3', 'RABL3', 'TRIP10', 'CCDC93', 'ARHGAP6', 'SLC7A2']",0.9943860274745191,0,0,11
16,mmu-miR-153-3p,0.018152437929211517,12.117808219178082,48.57969218159313,"['SEL1L', 'C3ORF33']",0.9943860274745191,0,0,2
17,hsa-miR-6846-3p,0.018504868106714867,4.291362826122184,17.121342276815746,"['IPPK', 'ZMIZ1', 'FAM120B', 'SERPINH1']",0.9943860274745191,0,0,4
18,hsa-miR-1248,0.018809284063202942,2.5279031793295554,10.0443823685657,"['RGS5', 'OAF', 'TTF2', 'MRO', 'HMGB1', 'CCDC93', 'IFI44L', 'DCAF7']",0.9943860274745191,0,0,8
19,hsa-miR-4485-5p,0.019385171234052024,2.3586392657621706,9.300696912956736,"['KDM5A', 'ZNF682', 'ANGEL2', 'CACNA1A', 'RAB27A', 'TUBD1', 'HMGB1', 'SSBP2', 'APTX']",0.9943860274745191,0,0,9
20,hsa-miR-4528,0.019597354430757684,3.445741686646513,13.549899190502101,"['ENDOU', 'KCTD10', 'MBNL3', 'PUM1', 'WDR35']",0.9943860274745191,0,0,5
21,hsa-miR-146a-5p,0.020942303467490903,2.3250649146274296,8.988663936468301,"['RSAD2', 'DUSP1', 'BGLAP', 'ELP2', 'ISG15', 'STON2', 'IFI44L', 'MDN1', 'MYLK']",0.9943860274745191,0,0,9
22,hsa-miR-6859-3p,0.021975909403877558,4.0523415977961434,15.471064005295979,"['IPPK', 'ZMIZ1', 'FAM120B', 'SERPINH1']",0.9943860274745191,0,0,4
23,mmu-miR-882,0.022372763935902543,3.3199397287795076,12.615475347456131,"['OXTR', 'ST8SIA1', 'TYW3', 'ATP2B2', 'MRO']",0.9943860274745191,0,0,5
24,mmu-miR-448-5p,0.0229280986947952,10.385909980430528,39.2108825262464,"['INTU', 'CSNK1G1']",0.9943860274745191,0,0,2
25,mmu-miR-376b-3p,0.0229280986947952,10.385909980430528,39.2108825262464,"['PKIB', 'ARID3A']",0.9943860274745191,0,0,2
26,hsa-miR-3664-5p,0.023444086767934184,2.2764399922943555,8.543791116243519,"['LMLN', 'TMED8', 'HSPA4L', 'MRPS10', 'TUBD1', 'ELP2', 'PARVB', 'TERF1', 'ACAD10']",0.9943860274745191,0,0,9
27,mmu-miR-3473a,0.023851211223204934,3.2604084451460142,12.180626024448484,"['OXTR', 'ST8SIA1', 'TYW3', 'ATP2B2', 'MRO']",0.9943860274745191,0,0,5
28,hsa-miR-429,0.024205604658113118,2.4024841316955112,8.94005445947155,"['MLLT10', 'SHC1', 'SERPINH1', 'ERBIN', 'UBE2D1', 'RASSF8', 'RIN2', 'TRIM56']",0.9943860274745191,0,0,8
29,hsa-miR-365b-5p,0.024238308909400645,2.587878787878788,9.6264455621676,"['INTU', 'ANGEL2', 'KREMEN1', 'HMGA2', 'FGFR1OP', 'TUBD1', 'ATP1B3']",0.9943860274745191,0,0,7
30,hsa-miR-6083,0.024323519167332403,2.2606757480676514,8.401375347566525,"['LMLN', 'RGS5', 'ZNF608', 'CCDC80', 'DNAJA4', 'ARID3A', 'BACH2', 'PITPNC1', 'FARSB']",0.9943860274745191,0,0,9
