Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Protein Serine/Threonine Phosphatase Complex (GO:0008287),0.0019716853583518486,6.484914218102938,40.393665512936806,"['PPP3CB', 'PPP4R1', 'PPP4R2', 'PPP2R2B', 'PPP4R4']",0.2717948019022511,0,0,5
2,Septin Cytoskeleton (GO:0032156),0.00532395413954051,10.665226781857452,55.838210679170075,"['SEPTIN2', 'SEPTIN4', 'SEPTIN7']",0.2717948019022511,0,0,3
3,Septin Ring (GO:0005940),0.00532395413954051,10.665226781857452,55.838210679170075,"['SEPTIN2', 'SEPTIN4', 'SEPTIN7']",0.2717948019022511,0,0,3
4,Rough Endoplasmic Reticulum (GO:0005791),0.006027732807972384,6.329004329004329,32.349973516042354,"['SFTPD', 'MACO1', 'PTGDS', 'SEC62']",0.2717948019022511,0,0,4
5,Protein Phosphatase 4 Complex (GO:0030289),0.00667365953916239,28.392241379310345,142.23340084355038,"['PPP4R1', 'PPP4R2']",0.2717948019022511,0,0,2
6,Collagen-Containing Extracellular Matrix (GO:0062023),0.006823300466165298,2.236283185840708,11.153265562618971,"['GDF10', 'ITIH4', 'COL27A1', 'COL11A1', 'COL12A1', 'COL23A1', 'NPNT', 'HSPG2', 'COLQ', 'VCAN', 'COL5A1', 'MDK', 'COL21A1', 'COL9A2']",0.2717948019022511,0,0,14
7,Focal Adhesion (GO:0005925),0.008761764965687271,1.8797563576342735,8.905078657657132,"['VASP', 'SCARB2', 'PDGFRB', 'TLE2', 'PPP1R12A', 'AVIL', 'DOCK7', 'ADAM10', 'IQGAP1', 'HSPG2', 'LPP', 'DCAF6', 'ENAH', 'CSRP1', 'PEAK1', 'CTNNA1', 'CAPN2', 'CPNE3', 'CALR', 'TLN1']",0.2877806833021686,0,0,20
8,Cell-Substrate Junction (GO:0030055),0.00963282621931945,1.861131202083032,8.640447919450247,"['VASP', 'SCARB2', 'PDGFRB', 'TLE2', 'PPP1R12A', 'AVIL', 'DOCK7', 'ADAM10', 'IQGAP1', 'HSPG2', 'LPP', 'DCAF6', 'ENAH', 'CSRP1', 'PEAK1', 'CTNNA1', 'CAPN2', 'CPNE3', 'CALR', 'TLN1']",0.2877806833021686,0,0,20
9,Endoplasmic Reticulum Lumen (GO:0005788),0.01413370652153035,2.095567626559516,8.92542654891615,"['COL27A1', 'COL11A1', 'COL12A1', 'COL23A1', 'ADAM10', 'BACE1', 'VCAN', 'COL5A1', 'DNAJB11', 'COL21A1', 'ARSG', 'CALR', 'COL9A2']",0.3753284287384171,0,0,13
10,Dendritic Spine Membrane (GO:0032591),0.015941329327411508,14.193965517241379,58.746555270374564,"['GPER1', 'SHISA6']",0.38099777092513504,0,0,2
11,Cytoskeleton Of Presynaptic Active Zone (GO:0048788),0.021817555581619706,11.354310344827587,43.43069500373834,"['RIMS1', 'ERC2']",0.4345329820005925,0,0,2
12,Intracellular Vesicle (GO:0097708),0.021817555581619706,11.354310344827587,43.43069500373834,"['RAB29', 'AP3B2']",0.4345329820005925,0,0,2
13,Membrane Raft (GO:0045121),0.025914245943189158,2.3799126637554586,8.693731535658031,"['MFAP3', 'CAPN2', 'MAL', 'TPP1', 'MAPT', 'ADCY8', 'NOL3', 'PLPP1']",0.4764234446478622,0,0,8
14,Vacuolar Lumen (GO:0005775),0.03966901642501847,2.174422956955708,7.01726479958191,"['SCARB2', 'PYGB', 'VCAN', 'NAAA', 'TPP1', 'HSPG2', 'PRDX6', 'UNC13D']",0.6310562960229475,0,0,8
15,Catenin Complex (GO:0016342),0.0422464465956785,4.262203023758099,13.486612125364315,"['CDH23', 'CTNNA1', 'CDH26']",0.6310562960229475,0,0,3
16,Non-Motile Cilium (GO:0097730),0.0422464465956785,4.262203023758099,13.486612125364315,"['SEPTIN2', 'PKD1L1', 'SEPTIN7']",0.6310562960229475,0,0,3
17,Clathrin Coat Of trans-Golgi Network Vesicle (GO:0030130),0.052222343347787546,6.306034482758621,18.616957776404135,"['AP1B1', 'AP2A1']",0.7341847094188955,0,0,2
18,Glial Cell Projection (GO:0097386),0.07083035567707913,5.158699059561129,13.657488709489856,"['KCNJ10', 'MAPT']",0.7369310944681841,0,0,2
19,Lysosomal Lumen (GO:0043202),0.07460146409465232,2.331887201735358,6.052635101916878,"['SCARB2', 'VCAN', 'NAAA', 'TPP1', 'HSPG2']",0.7369310944681841,0,0,5
20,Axon (GO:0030424),0.07982361825092739,1.718716973155781,4.344806252890071,"['NFIB', 'GPER1', 'DOCK7', 'ALDH1A1', 'SACS', 'IQGAP1', 'MAPT', 'SEPTIN4', 'EPHB2', 'ADCY8']",0.7369310944681841,0,0,10
21,Protein Kinase Complex (GO:1902911),0.08082145961419902,4.728448275862069,11.894471970250178,"['CAB39L', 'IRS1']",0.7369310944681841,0,0,2
22,Cortical Granule (GO:0060473),0.09902364859982159,14.165591397849463,32.75646513929033,['CALR'],0.7369310944681841,0,0,1
23,Basement Membrane (GO:0005604),0.10173414970954323,2.8393088552915766,6.488934435080334,"['COL23A1', 'HSPG2', 'COLQ']",0.7369310944681841,0,0,3
24,Clathrin Adaptor Complex (GO:0030131),0.10197129463387516,4.052339901477833,9.251751063041825,"['AP1B1', 'AP2A1']",0.7369310944681841,0,0,2
25,Endoplasmic Reticulum Membrane (GO:0005789),0.10721664102032212,1.3190230235202354,2.945251533369598,"['NOTCH2', 'SCARB2', 'LMBR1L', 'LMAN2L', 'ABHD4', 'PDCD6', 'AGPAT3', 'TM7SF2', 'SERP1', 'MLANA', 'TMEM38B', 'PTGDS', 'SEC11A', 'SFTPD', 'FZD9', 'MBOAT2', 'STIMATE', 'MACO1', 'ELOVL6', 'HLA-E', 'TBXAS1', 'PIGM', 'SIK2', 'DEGS2', 'PNPLA6', 'CALR', 'LPIN2']",0.7369310944681841,0,0,27
26,U1 snRNP (GO:0005685),0.11305421397512626,3.781896551724138,8.244110175261733,"['PRPF39', 'SNRPD1']",0.7369310944681841,0,0,2
27,Pigment Granule (GO:0048770),0.11305421397512626,3.781896551724138,8.244110175261733,"['MLANA', 'RAB29']",0.7369310944681841,0,0,2
28,Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),0.1244287983351047,3.5452586206896552,7.388395640945279,"['CALR', 'HLA-E']",0.7369310944681841,0,0,2
29,CatSper Complex (GO:0036128),0.12980701512079176,9.443010752688172,19.27985577759018,['HSPA2'],0.7369310944681841,0,0,1
30,Dystroglycan Complex (GO:0016011),0.12980701512079176,9.443010752688172,19.27985577759018,['SGCZ'],0.7369310944681841,0,0,1
31,Keratin Filament (GO:0045095),0.12980701512079176,9.443010752688172,19.27985577759018,['GPER1'],0.7369310944681841,0,0,1
32,Sarcoglycan Complex (GO:0016012),0.12980701512079176,9.443010752688172,19.27985577759018,['SGCZ'],0.7369310944681841,0,0,1
33,Chromosome (GO:0005694),0.13211371066447083,1.702195408077761,3.4454005893048256,"['STAG1', 'POLR1A', 'HMGB2', 'PIN4', 'PDS5B', 'ZFX', 'PUM3']",0.7369310944681841,0,0,7
34,cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.14186962451827928,1.6032966357094531,3.1309926729466437,"['KLHDC2', 'DDB1', 'PDCD6', 'FBXO2', 'CDC27', 'FBXL17', 'KLHL13', 'DCAF6']",0.7369310944681841,0,0,8
35,Lytic Vacuole (GO:0000323),0.14903185549044126,1.5341002895740248,2.9203059485485237,"['BACE1', 'RRAGD', 'SFTPD', 'VPS33B', 'NAAA', 'TMEM192', 'TPP1', 'ARSG', 'UNC13D']",0.7369310944681841,0,0,9
36,MHC Class I Protein Complex (GO:0042612),0.1595407994616406,7.081720430107527,12.998183374829578,['HLA-E'],0.7369310944681841,0,0,1
37,Activin Receptor Complex (GO:0048179),0.1595407994616406,7.081720430107527,12.998183374829578,['ACVR1C'],0.7369310944681841,0,0,1
38,"Asymmetric, Glutamatergic, Excitatory Synapse (GO:0098985)",0.1595407994616406,7.081720430107527,12.998183374829578,['SHISA6'],0.7369310944681841,0,0,1
39,Cortical Endoplasmic Reticulum (GO:0032541),0.1595407994616406,7.081720430107527,12.998183374829578,['STIMATE'],0.7369310944681841,0,0,1
40,Pseudopodium (GO:0031143),0.1595407994616406,7.081720430107527,12.998183374829578,['CAPN2'],0.7369310944681841,0,0,1
41,"Signal Recognition Particle, Endoplasmic Reticulum Targeting (GO:0005786)",0.1595407994616406,7.081720430107527,12.998183374829578,['SRP72'],0.7369310944681841,0,0,1
42,Melanosome (GO:0042470),0.1599844049611887,2.9848003629764066,5.470180757843223,"['MLANA', 'RAB29']",0.7369310944681841,0,0,2
43,Clathrin-Coated Vesicle (GO:0030136),0.18154434783691378,1.8614718614718615,3.176146256287675,"['SFTPD', 'VPS33B', 'AP2A1', 'UNC13D']",0.7369310944681841,0,0,4
44,Azurophil Granule (GO:0042582),0.18444870033275232,1.6082854799015587,2.7186198836639957,"['PYGB', 'CPNE3', 'PRCP', 'PRDX6', 'SNAP29', 'UNC13D']",0.7369310944681841,0,0,6
45,Lysosome (GO:0005764),0.1871918510702558,1.2924543429844098,2.1656639572277814,"['SCARB2', 'SLC44A2', 'SFTPD', 'VPS33B', 'AP1B1', 'TMEM192', 'AP3B1', 'HSPG2', 'UNC13D', 'BACE1', 'VCAN', 'NAAA', 'RRAGD', 'SLC17A5', 'TPP1', 'ARSG', 'FNIP1']",0.7369310944681841,0,0,17
46,AP-3 Adaptor Complex (GO:0030123),0.1882607116844353,5.66494623655914,9.460049577505979,['AP3B2'],0.7369310944681841,0,0,1
