Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Allograft Rejection,0.06195015281725811,3.4528690282185437,9.6038969416338,"['FLNA', 'EIF3D', 'RPL39']",0.8417059791964124,0,0,3
2,p53 Pathway,0.08092921074691341,2.534852801519468,6.373077351669969,"['FBXW7', 'KIF13B', 'IP6K2', 'RPS12']",0.8417059791964124,0,0,4
3,Myc Targets V1,0.11566160892882989,2.2158835758835758,4.77985258145532,"['IMPDH2', 'HNRNPR', 'RAD23B', 'EIF3D']",0.8417059791964124,0,0,4
4,Interferon Alpha Response,0.1644460360832895,2.8274410774410774,5.104019756915623,"['LGALS3BP', 'PNPT1']",0.8417059791964124,0,0,2
5,Complement,0.3588446854073178,1.6091871091871093,1.649200536762703,"['CTSL', 'PHEX']",0.8417059791964124,0,0,2
6,Interferon Gamma Response,0.3800006910314723,1.5353535353535352,1.4855807634287035,"['LGALS3BP', 'PNPT1']",0.8417059791964124,0,0,2
7,G2-M Checkpoint,0.42139665135683846,1.4061447811447811,1.2151632151806349,"['NASP', 'RAD23B']",0.8417059791964124,0,0,2
8,heme Metabolism,0.46785958223430724,1.2802071346375143,0.9724287813301674,"['TFDP2', 'CDR2']",0.8417059791964124,0,0,2
9,Cholesterol Homeostasis,0.47954951987478694,1.5550028918449972,1.1427842456330524,['ACTG1'],0.8417059791964124,0,0,1
10,Glycolysis,0.480730231714262,1.2482229704451926,0.9142596852501474,"['MED24', 'NASP']",0.8417059791964124,0,0,2
11,Spermatogenesis,0.5047362036363977,1.4433941997851771,0.9868765516138533,['TLE4'],0.8417059791964124,0,0,1
12,Androgen Response,0.5690030338518305,1.2015753669889009,0.6775317169792628,['PTPN21'],0.8417059791964124,0,0,1
13,PI3K/AKT/mTOR  Signaling,0.5857940611978146,1.1466165413533835,0.6131956003205667,['PPP2R1B'],0.8417059791964124,0,0,1
14,KRAS Signaling Dn,0.6019356239324303,1.096436744033998,0.5565565282710722,['PRKN'],0.8417059791964124,0,0,1
15,UV Response Up,0.7075906900959615,0.8182040467021211,0.28300816717350047,['CDO1'],0.8417059791964124,0,0,1
16,UV Response Dn,0.7218010313900018,0.7859492481203008,0.2562239802734594,['PTPN21'],0.8417059791964124,0,0,1
17,Xenobiotic Metabolism,0.7353256861324191,0.7561196223641812,0.2324627531633604,['CDO1'],0.8417059791964124,0,0,1
18,IL-2/STAT5 Signaling,0.743125080661978,0.7392746572313136,0.21948392054509983,['SWAP70'],0.8417059791964124,0,0,1
19,DNA Repair,0.7481975037155888,0.7284515636918383,0.2113152709797793,['IMPDH2'],0.8417059791964124,0,0,1
20,Epithelial Mesenchymal Transition,0.7531704953817338,0.717937701396348,0.20350924513130786,['FLNA'],0.8417059791964124,0,0,1
21,Estrogen Response Early,0.7628258861072187,0.6977861319966583,0.18890847867708555,['MED24'],0.8417059791964124,0,0,1
22,Apical Junction,0.7675120431581118,0.6881244206406427,0.1820784843034802,['ACTG1'],0.8417059791964124,0,0,1
23,E2F Targets,0.7743695008606994,0.6741181813594389,0.17237614997958958,['NASP'],0.8417059791964124,0,0,1
24,Mitotic Spindle,0.8188842465432263,0.5864221958404784,0.11717450859806518,['FLNA'],0.8530044234825275,0,0,1
25,Oxidative Phosphorylation,0.8617677480972573,0.5054302422723476,0.07519259350241836,['UQCRB'],0.8617677480972573,0,0,1
