Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Respiratory Chain Complex III (GO:0045275),0.007677418107703009,159.125,774.8547275823506,['UQCR11'],0.06274272943970359,0,0,1
2,Mitochondrial Respiratory Chain Complex III (GO:0005750),0.007677418107703009,159.125,774.8547275823506,['UQCR11'],0.06274272943970359,0,0,1
3,"RNA Polymerase II, Core Complex (GO:0005665)",0.011072246371712398,106.0530303030303,477.59005671520856,['POLR2I'],0.06274272943970359,0,0,1
4,Mitochondrial Inner Membrane (GO:0005743),0.03188556947070474,8.240361445783133,28.393003729473996,"['MRPS18B', 'UQCR11']",0.09793492277205668,0,0,2
5,Organelle Inner Membrane (GO:0019866),0.034936364127228135,7.829226361031519,26.2610027637012,"['MRPS18B', 'UQCR11']",0.09793492277205668,0,0,2
6,Cytosolic Large Ribosomal Subunit (GO:0022625),0.04032614467084687,27.009671179883945,86.72144406124968,['RPL29'],0.09793492277205668,0,0,1
7,Large Ribosomal Subunit (GO:0015934),0.04032614467084687,27.009671179883945,86.72144406124968,['RPL29'],0.09793492277205668,0,0,1
8,Small-Subunit Processome (GO:0032040),0.05749552879685926,18.640374331550802,53.237805585861345,['RPS19BP1'],0.11234023016017139,0,0,1
9,Mitochondrial Membrane (GO:0031966),0.059474239496561325,5.774840085287846,16.297823043477372,"['MRPS18B', 'UQCR11']",0.11234023016017139,0,0,2
10,Axon (GO:0030424),0.14440472921833528,6.985353535353536,13.517604224891091,['NEFH'],0.24548803967116997,0,0,1
11,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.2040421358164891,2.653564154786151,4.21765117973321,"['RPS19BP1', 'NEFH']",0.3153378462618468,0,0,2
12,Neuron Projection (GO:0043005),0.32339436363729185,2.752232142857143,3.106947418819876,['NEFH'],0.43224490194836696,0,0,1
13,Cytoskeleton (GO:0005856),0.3305402191369865,2.6780632411067193,2.964688142350143,['NEFH'],0.43224490194836696,0,0,1
14,Nucleolus (GO:0005730),0.4424107398552143,1.8244702665755297,1.487885702343757,['RPS19BP1'],0.5053631572963271,0,0,1
15,Nuclear Lumen (GO:0031981),0.4459086682026416,1.8045183982683983,1.4574032742177483,['RPS19BP1'],0.5053631572963271,0,0,1
16,Nucleus (GO:0005634),0.9647760994342861,0.2826179685417222,0.010134461570520115,['POLR2I'],0.9804533149629614,0,0,1
17,Intracellular Membrane-Bounded Organelle (GO:0043231),0.9804533149629614,0.23418720126223955,0.004622913426562554,['POLR2I'],0.9804533149629614,0,0,1
