Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Sin3 Complex (GO:0016580),0.0040594759486230515,388.94444444444446,2141.800913008026,['ING1'],0.020297379743115258,0,0,1
2,Sin3-type Complex (GO:0070822),0.0040594759486230515,388.94444444444446,2141.800913008026,['ING1'],0.020297379743115258,0,0,1
3,Microtubule (GO:0005874),0.031540741720390494,46.86486486486486,161.98724226198095,['MAP1A'],0.08136555142177282,0,0,1
4,Axon (GO:0030424),0.03822693326831274,38.44444444444444,125.49093039331576,['MAP1A'],0.08136555142177282,0,0,1
5,Polymeric Cytoskeletal Fiber (GO:0099513),0.041558458511809344,35.265306122448976,112.16674417751143,['MAP1A'],0.08136555142177282,0,0,1
6,Dendrite (GO:0030425),0.04881933085306369,29.846320346320347,90.124812088891,['MAP1A'],0.08136555142177282,0,0,1
7,Microtubule Cytoskeleton (GO:0015630),0.05933367292601876,24.358156028368793,68.8015187972163,['MAP1A'],0.08476238989431252,0,0,1
8,Neuron Projection (GO:0043005),0.09301980939633557,15.147321428571429,35.974022030438384,['MAP1A'],0.11627476174541947,0,0,1
9,Nucleus (GO:0005634),0.5666492146568994,1.5557184750733137,0.8836711740834402,['ING1'],0.6259567620904375,0,0,1
10,Intracellular Membrane-Bounded Organelle (GO:0043231),0.6259567620904375,1.2891781521184278,0.6039464203812527,['ING1'],0.6259567620904375,0,0,1
