Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-937,0.025138488130085356,2.0661348430262483,7.610308550301166,"['HIST1H2BN', 'LBH', 'NFYA', 'SESN2', 'C4ORF36', 'MELTF', 'MEX3D', 'PALM2-AKAP2', 'ZDHHC3', 'TNPO3', 'DHDDS']",0.9999934902989506,0,0,11
2,mmu-miR-341,0.11882329340414641,2.0088729375405014,4.279136040056153,"['SMIM14', 'SLC30A9', 'FAT1', 'UBE2G2', 'DNAJC16']",0.9999934902989506,0,0,5
3,mmu-miR-5100,0.1449628009348081,1.4025665816999209,2.7087461437197446,"['HEMK1', 'PAQR7', 'DCTN4', 'PDYN', 'PTPRH', 'C1QL3', 'LIMD2', 'ZNRF1', 'GPR153', 'BTBD1', 'ZNF585B', 'SNAP29', 'CREB5', 'PTPN3']",0.9999934902989506,0,0,14
4,hsa-miR-4454,0.15369851227906564,1.2500227686703096,2.3409955251399537,"['KLHL18', 'ZBTB8A', 'ACSS3', 'ICA1L', 'C15ORF40', 'DNAJC24', 'METTL21A', 'LETM2', 'RBM3', 'BLOC1S5', 'ZNF528', 'OGFOD1', 'PRX', 'GATAD1', 'POLR2F', 'ZNF667', 'ZNF841', 'SNAP29', 'TRIM66', 'XRCC5', 'BHMT2', 'BFAR', 'UBE2G2', 'TPCN1', 'C1ORF159', 'TSR1', 'ZNF557', 'SLC28A2']",0.9999934902989506,0,0,28
5,hsa-miR-517c,0.18644340596643752,1.2829193801931282,2.1548267215619306,"['LMLN', 'SMIM14', 'CEMIP', 'SLC46A2', 'PAQR7', 'RRP1B', 'TRAF1', 'ZNF14', 'ACTR3B', 'LIMD2', 'NPAS4', 'FCHSD1', 'FBXO40', 'LBH', 'CALU', 'ZNF841', 'PIK3AP1', 'SEC11A']",0.9999934902989506,0,0,18
6,hsa-miR-517a,0.18644340596643752,1.2829193801931282,2.1548267215619306,"['LMLN', 'SMIM14', 'CEMIP', 'SLC46A2', 'PAQR7', 'RRP1B', 'TRAF1', 'ZNF14', 'ACTR3B', 'LIMD2', 'NPAS4', 'FCHSD1', 'FBXO40', 'LBH', 'CALU', 'ZNF841', 'PIK3AP1', 'SEC11A']",0.9999934902989506,0,0,18
7,hsa-miR-4757-3p,0.19672833634280823,1.253048104633119,2.037370390954729,"['ZBTB8A', 'NFYA', 'CUL2', 'GTPBP10', 'LENG8', 'OR9Q1', 'NAGPA', 'PYY', 'SLC25A29', 'KCTD20', 'POFUT1', 'TRAF6', 'INPP5D', 'CREB3L2', 'WBP2NL', 'NUSAP1', 'C9ORF170', 'SEC11A', 'PCDHAC2', 'SNTB2']",0.9999934902989506,0,0,20
8,hsa-miR-483-5p,0.2001855767263932,1.1501915227629513,1.8500950942403984,"['ZNF594', 'ZBTB8A', 'ICA1L', 'GTPBP10', 'ALOX12B', 'UBE3B', 'HSCB', 'MAGT1', 'CYB561D1', 'METTL21A', 'PARL', 'TMEM69', 'DLL4', 'NLN', 'BLOC1S5', 'ZNRF1', 'TMEM267', 'KCTD20', 'ZNF429', 'GATAD1', 'ZNF667', 'VHL', 'EMC8', 'SNAP29', 'TRIM66', 'CD96', 'HIPK4', 'PRMT8', 'RFC3', 'PAQR7', 'USP4', 'ACAD9', 'CRTAM', 'C21ORF58', 'ADAT1', 'GTPBP6', 'PLPBP', 'LRP2BP', 'TSPAN14', 'POLR3A', 'KIF4A', 'CYP20A1', 'TSR1', 'MAPT', 'NOTUM', 'SLC28A2', 'RNF121', 'METAP2']",0.9999934902989506,0,0,48
9,hsa-miR-4636,0.2017571446675824,1.2737770649558942,2.0389229221317096,"['PTCD3', 'ZNF594', 'EIF5B', 'COL26A1', 'EGR4', 'UBE2D2', 'ABCB8', 'SERPINB9', 'DHDDS', 'NPAS4', 'TCTN3', 'C1QTNF7', 'GIPC1', 'CALU', 'AQP11', 'ZNF557', 'SEC11A']",0.9999934902989506,0,0,17
10,mmu-miR-376a,0.21038222601200537,1.312874545166904,2.046547280418708,"['CCDC112', 'KLHL18', 'VPS33B', 'ILDR2', 'SERPINB9', 'DNAJC24', 'ZC3HAV1', 'FGF1', 'CTSO', 'PAK1', 'ANKRD53', 'SNAP29', 'CREB5']",0.9999934902989506,0,0,13
