Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),0.0002039095315957664,1.7161345043132248,14.583426371094964,"['SPAG16', 'ITGB1', 'CYFIP1', 'SPEF1', 'AVIL', 'TXNDC15', 'RPGR', 'NUDCD3', 'OPHN1', 'TCTN3', 'TCTN1', 'TEKT1', 'TMEM107', 'DZIP1L', 'BBS9', 'NEK1', 'RAC1', 'CFAP43', 'SNAP29', 'BBS4', 'RAB8A', 'ACTR2', 'MKKS', 'IFT140', 'CCDC113', 'ANO6', 'MTSS1', 'CD2AP', 'RILPL2', 'TMEM138', 'FSCN1', 'RAPGEF2', 'TNIK', 'RAPGEF6', 'CCNO', 'ARHGEF6', 'RAB1A', 'ARL3', 'DNAH5', 'FGD6', 'RAP1A', 'KIF3B', 'STK36', 'TTC21B', 'CFAP20', 'PLK4', 'CARMIL1', 'DMTN', 'MBD1', 'DCDC2', 'PARVB', 'WDR54', 'TMEM231', 'ATAT1', 'IFT20', 'EHD2', 'AHI1', 'IFT22', 'GOLPH3', 'TMEM17', 'UBXN10', 'CEP83', 'HYLS1', 'IFT27', 'B9D1', 'CEP41', 'RAB17']",0.9131068824858419,0,0,67
2,Protein-Containing Complex Disassembly (GO:0032984),0.0007542793765197347,2.5795118343195265,18.546039362260903,"['NAPA', 'GSK3B', 'BECN1', 'UVRAG', 'VCP', 'VPS33A', 'VPS4B', 'VPS33B', 'PYM1', 'PEX2', 'PEX10', 'WIPI2', 'GSPT1', 'VAMP8', 'VAMP7', 'ETF1', 'VIPAS39', 'CHMP6', 'SNAP29', 'CHMP7', 'VTI1B']",0.9628626414155719,0,0,21
3,Regulation Of Lamellipodium Assembly (GO:0010591),0.0007858022216450983,3.6590652699435937,26.157945647093907,"['CYFIP1', 'ACTR2', 'DMTN', 'AUTS2', 'AVIL', 'NRG1', 'CDC42', 'FER', 'ARPC2', 'PIK3CA', 'RAC2', 'FSCN1', 'RAC1']",0.9628626414155719,0,0,13
4,Regulation Of Inclusion Body Assembly (GO:0090083),0.0014036362225241872,9.55654253501879,62.77395685721375,"['DNAJB1', 'DNAJB6', 'DNAJA4', 'SACS', 'HSPA1B', 'HSPA1A']",0.9628626414155719,0,0,6
5,"Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)",0.0015793666977326432,2.5271390986044384,16.30189537509893,"['SUPT16H', 'PARP1', 'PWWP2B', 'ZMYND8', 'MED8', 'MED19', 'MED4', 'ELL2', 'MED18', 'MED6', 'MED17', 'MED28', 'MED11', 'DDX39B', 'MED10', 'KAT7', 'EAPP', 'CDK13', 'HMGN1']",0.9628626414155719,0,0,19
6,Oligosaccharide-Lipid Intermediate Biosynthetic Process (GO:0006490),0.0016368214551768687,6.6909090909090905,42.92217549427787,"['ALG8', 'ALG6', 'PDCD6', 'SRD5A3', 'ALG14', 'ALG3', 'ALG11']",0.9628626414155719,0,0,7
7,Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),0.0017051641355938965,3.7578224308203776,23.95271305488051,"['HSPA9', 'DNAJB1', 'DNAJC7', 'PTGES3', 'HSPA6', 'SDF2', 'HSPA14', 'HSPE1', 'HSPA1B', 'DNAJC18', 'HSPA1A']",0.9628626414155719,0,0,11
8,Positive Regulation Of Lamellipodium Assembly (GO:0010592),0.002049622441414674,3.984775915155662,24.666160108166675,"['CDC42', 'ACTR2', 'CYFIP1', 'AUTS2', 'ARPC2', 'PIK3CA', 'AVIL', 'FSCN1', 'RAC2', 'RAC1']",0.9628626414155719,0,0,10
9,Cellular Response To Heat (GO:0034605),0.0022524824549780688,3.109537671232877,18.954878304473766,"['VCP', 'HSP90AA1', 'HSP90AB1', 'PDCD6', 'HSPA6', 'HIKESHI', 'FGF1', 'DNAJB1', 'DHX36', 'MAPT', 'PRKACA', 'HSPA1B', 'HSPA1A']",0.9628626414155719,0,0,13
10,Negative Regulation Of Protein Dephosphorylation (GO:0035308),0.0024177121863399736,4.302701778385773,25.923492358371465,"['PPP1R16B', 'GSK3B', 'BOD1', 'PPP4R4', 'CRY2', 'ENSA', 'PPP1R8', 'TIPRL', 'STYXL1']",0.9628626414155719,0,0,9
