Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cytoplasmic Ribosomal Proteins WP477,6.858527462712915e-37,19.19906610474664,1598.7092234080326,"['RPL5', 'RPL30', 'RPL3', 'RPL32', 'RPL34', 'RPLP1', 'RPL10A', 'RPL8', 'RPL9', 'RPL6', 'RPL7', 'RPS4X', 'RPS15', 'RPL7A', 'RPS14', 'RPS17', 'RPL18A', 'RPS19', 'RPS18', 'RPS6KA2', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPS9', 'RPS7', 'RPL21', 'RPS8', 'RPL23', 'RPS5', 'RPL22', 'RPL13A', 'RPSA', 'RPS3A', 'RPL37A', 'RPL24', 'RPL27', 'RPL26', 'RPL29', 'RPL28', 'UBA52', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPS3', 'RPL13', 'RPS2', 'RPL15', 'RPS27A', 'RPL18', 'RPL17', 'RPL19', 'RPL41', 'RPL35A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPS20', 'FAU', 'RPS21', 'RPS24', 'RPS23']",3.7996242143429546e-34,0,0,70
2,Electron Transport Chain (OXPHOS system in mitochondria) WP111,1.6638840594352054e-31,13.96405777628485,989.6465043275391,"['COX7B', 'NDUFA12', 'COX4I1', 'COX6A1', 'COX7C', 'ATP5IF1', 'UQCRFS1', 'NDUFC2', 'SDHC', 'NDUFC1', 'SDHD', 'COX6B1', 'COX7A2L', 'SCO1', 'NDUFS6', 'NDUFS5', 'NDUFS1', 'UQCRC2', 'SLC25A5', 'SLC25A6', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB6', 'COX15', 'NDUFB5', 'NDUFB4', 'COX17', 'NDUFB3', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'UQCRH', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'COX11', 'NDUFV3', 'NDUFV1', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1C', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO']",4.608958844635519e-29,0,0,66
3,Oxidative phosphorylation WP623,2.0214222596105572e-17,12.190024712479802,468.5863202845804,"['NDUFB8', 'NDUFB7', 'NDUFA11', 'NDUFB10', 'NDUFB6', 'NDUFB5', 'NDUFB4', 'ATP5MC2', 'NDUFB2', 'ATP5MC3', 'NDUFB1', 'ATP5MC1', 'ATP5F1A', 'ATP5F1B', 'NDUFV3', 'NDUFV1', 'ATP5MG', 'ATP5MF', 'ATP5ME', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'ATP5PD', 'NDUFA5', 'ATP5PB', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'NDUFC2', 'NDUFC1', 'ATP5F1E', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'ATP5PO', 'NDUFS1']",3.732893106080829e-15,0,0,37
4,Nonalcoholic fatty liver disease WP4396,8.776695928497154e-16,4.305790079631584,149.27856210146797,"['GSK3B', 'NDUFA13', 'COX7B', 'NDUFA11', 'NDUFA12', 'IRS1', 'COX4I1', 'PRKAG1', 'PIK3CD', 'COX6A1', 'COX7C', 'AKT3', 'UQCRFS1', 'RAC1', 'NDUFC2', 'SDHC', 'NDUFC1', 'SDHD', 'COX6B1', 'COX7A2L', 'PIK3CA', 'NDUFS6', 'DDIT3', 'NDUFS5', 'NDUFS1', 'UQCRC2', 'ATF4', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB10', 'NDUFB6', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'PIK3R3', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'UQCRH', 'CDC42', 'NDUFV3', 'NDUFV1', 'NDUFA8', 'XBP1', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA4', 'NDUFA3', 'NDUFA2', 'EIF2AK3', 'NDUFA1', 'COX6C', 'EIF2S1', 'NFKB1', 'UQCRQ', 'NDUFAB1', 'CYCS', 'BAX']",1.215572386096856e-13,0,0,65
5,Mitochondrial complex I assembly model OXPHOS system WP4324,8.72077157585707e-14,8.939730310728942,268.8220135580984,"['NDUFA13', 'NDUFB8', 'NDUFB7', 'DMAC1', 'NDUFB10', 'NDUFB6', 'NDUFA12', 'DMAC2', 'NDUFB11', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'ECSIT', 'TMEM186', 'FOXRED1', 'NDUFV3', 'NDUFV1', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS5', 'NDUFAB1', 'NDUFS1', 'TMEM126B']",9.662614906049633e-12,0,0,33
6,Mitochondrial CIV Assembly WP4922,3.7685262313722773e-10,10.099900695134062,219.15943110933563,"['COA3', 'COX7B', 'COX16', 'PET100', 'COX15', 'NDUFA4', 'TACO1', 'COX4I1', 'COX17', 'COX7A2', 'COX6A1', 'HIGD1A', 'COX5B', 'COX6C', 'COX7C', 'PET117', 'COX6B1', 'TMEM177', 'PNKD', 'COX11', 'COX14', 'SMIM20']",3.479605886967069e-08,0,0,22
7,Base Excision Repair WP4752,1.2875375972005602e-05,5.23479163717023,58.944768913672384,"['FEN1', 'PARP1', 'MPG', 'APEX2', 'LIG3', 'HMGB1', 'POLE4', 'POLD4', 'NEIL2', 'NTHL1', 'POLD1', 'APEX1', 'POLD2', 'POLE3', 'POLL', 'POLE']",0.0010189940412130146,0,0,16
8,Cellular Proteostasis WP4918,3.3676157794985866e-05,inf,inf,"['VBP1', 'PFDN1', 'PFDN2', 'PFDN4', 'PFDN5', 'PFDN6']",0.002332073927302771,0,0,6
9,Mitochondrial complex III assembly WP4921,0.00034077097896768237,6.858767303889255,54.76245525114858,"['UQCRB', 'UQCC2', 'UQCRQ', 'LYRM7', 'UQCRFS1', 'UQCR11', 'UQCR10', 'UQCRC2', 'UQCRH']",0.020976346927566225,0,0,9
10,Translation Factors WP107,0.0008782536025474033,2.718801669973545,19.13377111080087,"['EIF2B2', 'EIF2AK1', 'EIF2AK3', 'EIF2S2', 'EIF2S1', 'EIF1', 'EEF1B2', 'EEF1A1', 'EIF5', 'EIF2S3', 'EIF6', 'EIF3I', 'EIF3J', 'EIF4H', 'ETF1', 'EIF3F', 'EIF3D', 'EIF4G3', 'EIF4B']",0.048655249581126145,0,0,19
