Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Sterol Biosynthetic Process (GO:0016126),4.384636821553554e-06,25.382867132867133,313.15868036595634,"['SQLE', 'HMGCS1', 'MSMO1', 'HMGCR', 'FDFT1']",0.0022471920817410717,0,0,5
2,Cholesterol Metabolic Process (GO:0008203),4.86932195393515e-06,16.12416604892513,197.2397618851109,"['SQLE', 'HMGCS1', 'SNX17', 'MSMO1', 'HMGCR', 'FDFT1']",0.0022471920817410717,0,0,6
3,Secondary Alcohol Biosynthetic Process (GO:1902653),6.287955593471667e-05,22.40895061728395,216.79067503480186,"['HMGCS1', 'MSMO1', 'HMGCR', 'FDFT1']",0.017426994759648467,0,0,4
4,Cholesterol Biosynthetic Process (GO:0006695),7.552327089771816e-05,21.228070175438596,201.4770941705524,"['HMGCS1', 'MSMO1', 'HMGCR', 'FDFT1']",0.017426994759648467,0,0,4
5,Steroid Biosynthetic Process (GO:0006694),0.0003629244437814222,13.434259259259258,106.41701133023356,"['SQLE', 'MSMO1', 'HMGCR', 'FDFT1']",0.06699585232205053,0,0,4
6,Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377),0.0009826458924095355,10.06875,69.728729086654,"['DCXR', 'PDGFB', 'ROMO1', 'BRCA1']",0.13037022776788992,0,0,4
7,Positive Regulation Of Calcium Ion Import (GO:0090280),0.0009887232875137914,66.37442922374429,459.2510514392442,"['CXCL12', 'PDGFB']",0.13037022776788992,0,0,2
8,Integrin Activation (GO:0033622),0.0020489701999956743,39.81917808219178,246.49735489413493,"['CXCL12', 'FERMT3']",0.18911994945960073,0,0,2
9,Isoprenoid Biosynthetic Process (GO:0008299),0.0020489701999956743,39.81917808219178,246.49735489413493,"['IDI1', 'HMGCR']",0.18911994945960073,0,0,2
10,Positive Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904754),0.0020489701999956743,39.81917808219178,246.49735489413493,"['IGFBP5', 'PDGFB']",0.18911994945960073,0,0,2
11,Induction Of Positive Chemotaxis (GO:0050930),0.0027139279732468287,33.18036529680365,196.07466563320747,"['CXCL12', 'VEGFB']",0.2087462932755686,0,0,2
12,Negative Regulation Of Cell Activation (GO:0050866),0.0027139279732468287,33.18036529680365,196.07466563320747,"['PDGFB', 'LDLR']",0.2087462932755686,0,0,2
13,Negative Regulation Of Amyloid Fibril Formation (GO:1905907),0.0034663219657795484,28.438356164383563,161.09365273895662,"['LDLR', 'PFDN6']",0.21926381939776005,0,0,2
14,Organic Hydroxy Compound Biosynthetic Process (GO:1901617),0.004014834084128424,10.351961950059453,57.11963387225683,"['SQLE', 'MSMO1', 'HMGCR']",0.21926381939776005,0,0,3
15,Positive Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000379),0.004014834084128424,10.351961950059453,57.11963387225683,"['DCXR', 'PDGFB', 'ROMO1']",0.21926381939776005,0,0,3
16,Epithelial Cell Differentiation (GO:0030855),0.0041636826781256174,6.592896174863388,36.13800663539586,"['YAP1', 'CDHR2', 'ALDOC', 'KRT10']",0.21926381939776005,0,0,4
17,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),0.004304346560274294,24.881849315068493,135.55954818748924,"['IGFBP5', 'PDGFB']",0.21926381939776005,0,0,2
18,Hexose Metabolic Process (GO:0019318),0.004773187157095196,9.682758620689656,51.751837284556736,"['PMM1', 'DCXR', 'ALDOC']",0.21926381939776005,0,0,3
19,Sterol Metabolic Process (GO:0016125),0.0051825593437127655,9.379525862068965,49.35934461616938,"['SQLE', 'MSMO1', 'HMGCR']",0.21926381939776005,0,0,3
20,Regulation Of Endosome Size (GO:0051036),0.005226223214247802,22.115677321156774,116.19723713827985,"['RILP', 'BORCS6']",0.21926381939776005,0,0,2
21,Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043567),0.005226223214247802,22.115677321156774,116.19723713827985,"['IGFBP5', 'IGFBP6']",0.21926381939776005,0,0,2
22,Positive Regulation Of Positive Chemotaxis (GO:0050927),0.005226223214247802,22.115677321156774,116.19723713827985,"['CXCL12', 'VEGFB']",0.21926381939776005,0,0,2
23,Positive Regulation Of Smooth Muscle Cell Migration (GO:0014911),0.00623020010484014,19.9027397260274,101.07301513909617,"['IGFBP5', 'PDGFB']",0.23280452738756752,0,0,2
24,Positive Regulation Of Cellular Metabolic Process (GO:0031325),0.006534819910644468,8.573793103448276,43.13141352489298,"['DCXR', 'PDGFB', 'ROMO1']",0.23280452738756752,0,0,3
25,Negative Regulation Of Protein Metabolic Process (GO:0051248),0.0065959738310514444,4.503933566433567,22.61558288837792,"['IGFBP5', 'HMGCR', 'LDLR', 'RILP', 'PFDN6']",0.23280452738756752,0,0,5
26,Positive Regulation Of Angiogenesis (GO:0045766),0.007247492435362924,5.581404320987654,27.5001357839479,"['PKM', 'VEGFB', 'BRCA1', 'ETS1']",0.23280452738756752,0,0,4
27,Regulation Of Smooth Muscle Cell Migration (GO:0014910),0.007314551781407864,18.092154420921545,88.97521662610463,"['IGFBP5', 'PDGFB']",0.23280452738756752,0,0,2
28,Regulation Of Amyloid Fibril Formation (GO:1905906),0.007314551781407864,18.092154420921545,88.97521662610463,"['LDLR', 'PFDN6']",0.23280452738756752,0,0,2
29,Regulation Of Calcium Ion Import (GO:0090279),0.007314551781407864,18.092154420921545,88.97521662610463,"['CXCL12', 'PDGFB']",0.23280452738756752,0,0,2
30,Establishment Of Protein Localization To Mitochondrion (GO:0072655),0.008078495500145956,7.895281306715064,38.043804773927135,"['GRPEL2', 'ROMO1', 'TOMM22']",0.24854837822115722,0,0,3
31,Epithelium Development (GO:0060429),0.008663186193763512,5.286184210526316,25.10235866522703,"['CDHR2', 'LOXL3', 'ALDOC', 'KRT10']",0.25793938247882975,0,0,4
32,Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707),0.009717607457595227,15.30663856691254,70.92814420483997,"['IGFBP5', 'PDGFB']",0.2657405931046141,0,0,2
33,Positive Regulation Of T-helper 1 Cell Cytokine Production (GO:2000556),0.010076837224985367,inf,inf,['IL1R1'],0.2657405931046141,0,0,1
34,Regulation Of T-helper 1 Cell Cytokine Production (GO:2000554),0.010076837224985367,inf,inf,['IL1R1'],0.2657405931046141,0,0,1
35,Regulation Of T-helper 17 Cell Lineage Commitment (GO:2000328),0.010076837224985367,inf,inf,['LOXL3'],0.2657405931046141,0,0,1
36,DNA Modification (GO:0006304),0.011032989307986733,14.212328767123287,64.05305371622671,"['EXOSC4', 'TDG']",0.2679855034545199,0,0,2
37,Long-Term Memory (GO:0007616),0.011032989307986733,14.212328767123287,64.05305371622671,"['CALB1', 'LDLR']",0.2679855034545199,0,0,2
38,Protein Import Into Mitochondrial Matrix (GO:0030150),0.011032989307986733,14.212328767123287,64.05305371622671,"['GRPEL2', 'ROMO1']",0.2679855034545199,0,0,2
39,Glycolytic Process (GO:0006096),0.012422100968844598,13.26392694063927,58.205799538620724,"['PKM', 'ALDOC']",0.2939897229293222,0,0,2
40,Positive Regulation Of Calcium Ion Transport (GO:0051928),0.013883343723523088,12.434075342465754,53.18135405797288,"['CXCL12', 'PDGFB']",0.32035815642029525,0,0,2
41,Protein-Containing Complex Assembly (GO:0065003),0.018580126840435602,2.7264866339334426,10.866856130450211,"['YAP1', 'CXCL12', 'TRAPPC1', 'TBCC', 'COX7A1', 'PFDN6', 'FERMT3']",0.34977027678716827,0,0,7
42,Entrainment Of Circadian Clock By Photoperiod (GO:0043153),0.018684234697459917,10.468637346791636,41.66596362011789,"['PPP1CC', 'OPN5']",0.34977027678716827,0,0,2
43,Protein Targeting To Mitochondrion (GO:0006626),0.018834671815597066,5.654912166558231,22.461627021225496,"['GRPEL2', 'ROMO1', 'TOMM22']",0.34977027678716827,0,0,3
44,Negative Regulation Of Insulin-Like Growth Factor Receptor Signaling Pathway (GO:0043569),0.02005286227584087,98.89795918367346,386.63003780206014,['IGFBP5'],0.34977027678716827,0,0,1
45,Amylin Receptor Signaling Pathway (GO:0097647),0.02005286227584087,98.89795918367346,386.63003780206014,['CALCR'],0.34977027678716827,0,0,1
46,Cytolysis By Host Of Symbiont Cells (GO:0051838),0.02005286227584087,98.89795918367346,386.63003780206014,['ROMO1'],0.34977027678716827,0,0,1
47,Negative Regulation Of Dendritic Cell Apoptotic Process (GO:2000669),0.02005286227584087,98.89795918367346,386.63003780206014,['CXCL12'],0.34977027678716827,0,0,1
48,Photoperiodism (GO:0009648),0.02041849684625985,9.944520547945206,38.6972528349595,"['PPP1CC', 'OPN5']",0.34977027678716827,0,0,2
49,Organophosphate Ester Transport (GO:0015748),0.022217255370892693,9.470319634703197,36.05242745127983,"['LDLR', 'PITPNC1']",0.34977027678716827,0,0,2
50,Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),0.022217255370892693,9.470319634703197,36.05242745127983,"['MAPKAPK3', 'VEGFB']",0.34977027678716827,0,0,2
51,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),0.025649200754799532,4.9927586206896555,18.28968740642931,"['SPRED2', 'WFIKKN1', 'LTBP1']",0.34977027678716827,0,0,3
52,Negative Regulation Of Secretion By Cell (GO:1903531),0.026002454512799717,8.645622394282311,31.55275519659824,"['SYT4', 'HMGCR']",0.34977027678716827,0,0,2
53,Carbohydrate Catabolic Process (GO:0016052),0.026002454512799717,8.645622394282311,31.55275519659824,"['PKM', 'ALDOC']",0.34977027678716827,0,0,2
54,Positive Regulation Of Vasculature Development (GO:1904018),0.02892303569328997,4.7540229885057474,16.84405928176341,"['VEGFB', 'BRCA1', 'ETS1']",0.34977027678716827,0,0,3
55,Negative Regulation Of Lipoprotein Particle Clearance (GO:0010985),0.02992903838484026,49.445578231292515,173.50087931486948,['LDLR'],0.34977027678716827,0,0,1
56,Calcitonin Family Receptor Signaling Pathway (GO:0097646),0.02992903838484026,49.445578231292515,173.50087931486948,['CALCR'],0.34977027678716827,0,0,1
57,Regulation Of Saliva Secretion (GO:0046877),0.02992903838484026,49.445578231292515,173.50087931486948,['OPRK1'],0.34977027678716827,0,0,1
58,Positive Regulation Of T-helper 1 Type Immune Response (GO:0002827),0.02992903838484026,49.445578231292515,173.50087931486948,['IL1R1'],0.34977027678716827,0,0,1
59,Positive Regulation Of Epidermis Development (GO:0045684),0.02992903838484026,49.445578231292515,173.50087931486948,['KRT10'],0.34977027678716827,0,0,1
60,Terpenoid Metabolic Process (GO:0006721),0.02992903838484026,49.445578231292515,173.50087931486948,['FDFT1'],0.34977027678716827,0,0,1
61,Killing By Host Of Symbiont Cells (GO:0051873),0.02992903838484026,49.445578231292515,173.50087931486948,['ROMO1'],0.34977027678716827,0,0,1
62,Negative Regulation Of Astrocyte Differentiation (GO:0048712),0.02992903838484026,49.445578231292515,173.50087931486948,['LDLR'],0.34977027678716827,0,0,1
63,Negative Regulation Of Cellular Extravasation (GO:0002692),0.02992903838484026,49.445578231292515,173.50087931486948,['CXCL12'],0.34977027678716827,0,0,1
64,Negative Regulation Of Fat Cell Differentiation (GO:0045599),0.030028441000414408,7.952876712328767,27.879686621334876,"['YAP1', 'CCDC85B']",0.34977027678716827,0,0,2
65,Protein Insertion Into Mitochondrial Membrane (GO:0051204),0.030028441000414408,7.952876712328767,27.879686621334876,"['ROMO1', 'TOMM22']",0.34977027678716827,0,0,2
66,Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705),0.03428417377034729,7.3627600202942665,24.835115524908222,"['IGFBP5', 'PDGFB']",0.34977027678716827,0,0,2
67,Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661),0.03428417377034729,7.3627600202942665,24.835115524908222,"['IGFBP5', 'PDGFB']",0.34977027678716827,0,0,2
68,Positive Regulation Of miRNA Transcription (GO:1902895),0.036494838109080815,7.0993150684931505,23.502882071856313,"['PDGFB', 'ETS1']",0.34977027678716827,0,0,2
69,Vesicle Budding From Membrane (GO:0006900),0.036494838109080815,7.0993150684931505,23.502882071856313,"['TRAPPC1', 'RILP']",0.34977027678716827,0,0,2
70,Protein Transmembrane Import Into Intracellular Organelle (GO:0044743),0.036494838109080815,7.0993150684931505,23.502882071856313,"['GRPEL2', 'ROMO1']",0.34977027678716827,0,0,2
71,Cytokine-Mediated Signaling Pathway (GO:0019221),0.03764198230132971,3.309917355371901,10.85532180173259,"['YAP1', 'CXCL12', 'IL1R1', 'PDGFB']",0.34977027678716827,0,0,4
72,Cell Chemotaxis (GO:0060326),0.03875895253010817,6.854038734057629,22.278323065294636,"['CXCL12', 'PDGFB']",0.34977027678716827,0,0,2
73,DNA Methylation Involved In Embryo Development (GO:0043045),0.03970635197353262,32.961451247165535,106.34168777031095,['STPG4'],0.34977027678716827,0,0,1
74,Negative Regulation Of Leukocyte Apoptotic Process (GO:2000107),0.03970635197353262,32.961451247165535,106.34168777031095,['CXCL12'],0.34977027678716827,0,0,1
