Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NFE2L2,0.09710506073592705,10.521642619311876,24.53606851669251,['PRKCH'],0.40281492660856244,0,0,1
2,CCNE1,0.10732692546195348,9.445663010967099,21.08154597648589,['PRKCH'],0.40281492660856244,0,0,1
3,RARA,0.22769960045771157,4.094989106753813,6.059470289120022,['LIMD1'],0.40281492660856244,0,0,1
4,STAT1,0.24524279551859496,3.755902360944378,5.278945395906028,['FLT1'],0.40281492660856244,0,0,1
5,SMAD4,0.25672842929519035,3.559013282732448,4.83932007991907,['GPNMB'],0.40281492660856244,0,0,1
6,NOTCH1,0.2750412092012406,3.27906162464986,4.2327253510297345,['SERPINE1'],0.40281492660856244,0,0,1
7,STAT3,0.2819704486259937,3.1825909554573273,4.029010585788673,['FLT1'],0.40281492660856244,0,0,1
8,MYC,0.380807049676436,1.5945165945165944,1.5394459193228345,"['CECR2', 'CTSD']",0.4685989787561093,0,0,2
9,CTNNB1,0.42173908088049833,1.9087719298245613,1.6479734584852626,['FLT1'],0.4685989787561093,0,0,1
10,ESR1,0.7441596388669576,0.7480321625052899,0.22104327871001786,['CTSD'],0.7441596388669576,0,0,1
