Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-3471,0.00031933557854757635,26.21751152073733,211.03177751305435,"['CPM', 'TNFSF10', 'LIMD1']",0.2296022809757074,0,0,3
2,mmu-miR-425-5p,0.0013664499859576155,5.603693181818182,36.95937778415516,"['SLC6A6', 'TNFAIP8', 'DTNA', 'SLC38A2', 'TANC2', 'PTPRG']",0.4279926658880889,0,0,6
3,mmu-miR-1960,0.0017857830287402875,37.69444444444444,238.52661048126873,"['CPM', 'RASGRP3']",0.4279926658880889,0,0,2
4,hsa-miR-148a-3p,0.0027806454350861455,7.600811359026369,44.731323682185426,"['ALCAM', 'SERPINE1', 'SLC38A2', 'FOXP1']",0.4905993963236477,0,0,4
5,mmu-miR-9-5p,0.004217706247113605,4.421511627906977,24.178876464392843,"['SLC6A6', 'CECR2', 'FLT1', 'DTNA', 'TANC2', 'PTPRG']",0.4905993963236477,0,0,6
6,mmu-miR-3059-5p,0.004716852899981921,21.96527777777778,117.65950260247294,"['ALOX15B', 'TANC2']",0.4905993963236477,0,0,2
7,hsa-miR-8485,0.004993725503587372,3.7818367838228215,20.042120313704554,"['SLC6A6', 'CPNE8', 'FLT1', 'DTNA', 'PARD3B', 'FOXP1', 'FAM107B']",0.4905993963236477,0,0,7
8,hsa-miR-5002-3p,0.005458685911806928,20.271367521367523,105.62491715063004,"['CPM', 'EMID1']",0.4905993963236477,0,0,2
9,hsa-miR-124-3p,0.006963229147271633,3.0407452346471486,15.103722004965258,"['CPNE8', 'CPM', 'DRAM1', 'ACOT11', 'DPYD', 'CDC42EP3', 'SERPINE1', 'LIMD1', 'SLC38A2']",0.4921224874007434,0,0,9
10,hsa-miR-152-3p,0.007204343237320128,8.320471281296024,41.04547730995196,"['ALCAM', 'SLC38A2', 'FOXP1']",0.4921224874007434,0,0,3
