Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-323b-3p,0.0003695642881827227,4.813357884164714,38.04086190064664,"['ENAH', 'TMEM184B', 'TFCP2', 'TRIM4', 'ZNF117', 'NUDT16', 'COL9A2', 'SEC62', 'CREB5']",0.5181415010010519,0,0,9
2,hsa-miR-3171,0.0003695642881827227,4.813357884164714,38.04086190064664,"['NUDT7', 'CCDC80', 'MMP16', 'EIF4EBP2', 'RORA', 'CD59', 'ARID3A', 'ATP1B3', 'PIAS1']",0.5181415010010519,0,0,9
3,hsa-miR-1270,0.000633698756911551,3.207471931862176,23.619620796951025,"['DYRK1A', 'FZD9', 'TUBD1', 'PDE4DIP', 'GOLGA8M', 'LPP', 'BACH2', 'DCAF7', 'LRPPRC', 'SHISA6', 'GRK3', 'FAT3', 'FARSB']",0.5181415010010519,0,0,13
4,hsa-miR-6083,0.0012038102480805442,2.3095075395198394,15.525118341613426,"['LMLN', 'AGTPBP1', 'ANKRD33B', 'SLC43A3', 'DOCK7', 'ARHGAP29', 'ARID3A', 'DEK', 'BACH2', 'PITPNC1', 'RGS5', 'ZNF608', 'CCDC80', 'SRP72', 'DNAJA4', 'CREBRF', 'ZNF117', 'L2HGDH', 'TNRC6A', 'FARSB']",0.5181415010010519,0,0,20
5,hsa-miR-4786-3p,0.0013191554451885783,2.790050405435021,18.500164562837377,"['LMBR1L', 'RNF20', 'ANKRD26', 'BTG1', 'ANKRD24', 'ARHGAP29', 'RORA', 'POLD3', 'SERP1', 'GPER1', 'TRIP10', 'MACROD2', 'SIK2', 'COL9A2']",0.5181415010010519,0,0,14
6,hsa-miR-5197-3p,0.001687391240511389,2.3552095684899728,15.037004093263983,"['WDR26', 'P3H2', 'ERBIN', 'TMEM192', 'AK4', 'DDB1', 'RPS6KA3', 'VCAN', 'MED13', 'AIFM2', 'PEAK1', 'CDC27', 'SERPINH1', 'EIF4EBP2', 'CALR', 'HMGN2', 'TNRC6A', 'ARHGEF6']",0.5181415010010519,0,0,18
7,mmu-miR-129-5p,0.0017456636854779701,1.9133656611457481,12.151059115362271,"['KDM5A', 'BTG1', 'METTL2A', 'SEL1L', 'PDS5B', 'LPP', 'BACH2', 'DCAF6', 'MED13', 'PDZD2', 'KIAA0355', 'FNIP1', 'NCOA1', 'ANGEL2', 'RFX3', 'ISG15', 'ARID3A', 'PUM2', 'BACE1', 'VCAN', 'PEAK1', 'NAAA', 'SP3', 'ASXL2', 'CREBRF', 'PPIH', 'TPP1', 'TNRC6A', 'CSNK1G1']",0.5181415010010519,0,0,29
8,hsa-miR-875-3p,0.0018070452566013354,2.686082093489501,16.965461637295842,"['TMEM184B', 'H2AFY', 'ANGEL2', 'ATP1B3', 'ZNF44', 'DCAF7', 'GEM', 'SELENOI', 'PEX5L', 'PPP3CB', 'TRIM25', 'CALR', 'SSBP2', 'TRIM56']",0.5181415010010519,0,0,14
9,hsa-miR-4485-5p,0.0018139765923491427,2.2765167265167263,14.36990589854669,"['KDM5A', 'ZNF682', 'MTMR10', 'AGTPBP1', 'SLC43A2', 'ANGEL2', 'GSR', 'CACNA1A', 'RAB27A', 'TUBD1', 'HMGB1', 'APTX', 'PEX5L', 'NWD1', 'SNRPD1', 'TTC4', 'ZNF844', 'FLYWCH2', 'SSBP2']",0.5181415010010519,0,0,19
10,mmu-miR-145a-5p,0.001820632039100629,4.711127487103906,29.72048489927777,"['NR4A2', 'THRB', 'IRS1', 'MAOA', 'FBXL17', 'KLF4', 'RREB1']",0.5181415010010519,0,0,7
11,mmu-miR-190a-5p,0.0019886798712531652,2.3159154286873194,14.405652246081631,"['SEMA5A', 'STARD13', 'THRB', 'PLGRKT', 'ATP1B3', 'ATP2B2', 'SLC39A12', 'ATP2C1', 'MLLT10', 'ZNF608', 'FAM168A', 'PLAGL1', 'MFAP3', 'ZNF239', 'TLN1', 'TNRC6A', 'MEGF9', 'TAF1']",0.5181415010010519,0,0,18
12,hsa-miR-620,0.0023201339487720673,2.86569849152066,17.38370061752318,"['GRK3', 'DYRK1A', 'TUBD1', 'PDE4DIP', 'GOLGA8M', 'FAT3', 'LPP', 'BACH2', 'DCAF7', 'LRPPRC', 'SHISA6', 'FARSB']",0.554125324765062,0,0,12
13,hsa-miR-4735-5p,0.002728181687283746,2.2410993865030675,13.231719576065235,"['SCARB2', 'NQO2', 'AGTPBP1', 'COL23A1', 'GSR', 'FZD9', 'KREMEN1', 'MRPS10', 'STON2', 'PTBP2', 'SELENOI', 'SETBP1', 'CRY2', 'MXI1', 'ACO1', 'ZNF644', 'SSBP2', 'FARSB']",0.6014591319811704,0,0,18
14,hsa-miR-6772-3p,0.003451268190899782,3.64349376114082,20.655015406221597,"['NCOA1', 'ZNF362', 'NQO2', 'CAPN5', 'CREBRF', 'AMOTL2', 'RREB1', 'TMA16']",0.706523902508484,0,0,8
15,hsa-miR-124-5p,0.004061950019963976,2.980886064118142,16.41303326883139,"['RGS5', 'NR4A1', 'TRIM4', 'LMAN2L', 'PLEKHA1', 'TXNRD1', 'LCOR', 'ZNF117', 'ASTN2', 'SLC7A2']",0.7289751458791957,0,0,10
16,hsa-miR-1183,0.004069644917678692,2.796617605998963,15.393141304550985,"['ZNF608', 'RACGAP1', 'PLEKHA1', 'HSPA4L', 'ERBIN', 'NFATC2', 'HMGB1', 'DEK', 'N4BP2', 'DCAF7', 'PIAS1']",0.7289751458791957,0,0,11
17,mmu-miR-185-5p,0.004570783533121292,2.924413672940691,15.756947442558472,"['OXTR', 'VCAN', 'KCNJ10', 'ST8SIA1', 'TYW3', 'DLC1', 'ATP2B2', 'MRO', 'EPHB2', 'TEAD1']",0.7705803297603308,0,0,10
18,hsa-miR-2276-3p,0.005282975177685804,2.2003227867982367,11.536877347540988,"['ZNF682', 'DFFA', 'NQO2', 'SLC43A2', 'GSR', 'MSL2', 'RAB27A', 'HAUS3', 'TUBD1', 'MRO', 'APTX', 'DCAF7', 'GRK3', 'CNKSR3', 'SIK2', 'MAPT']",0.7778175510434469,0,0,16
19,hsa-miR-454-5p,0.005364198817723856,3.3472891072891073,17.499655064866914,"['LMBR1L', 'DDX17', 'RNF20', 'KCNJ10', 'PLEKHA1', 'RABL3', 'AP3B2', 'KLF2']",0.7778175510434469,0,0,8
20,hsa-miR-4727-3p,0.005427896378530682,3.734658094681473,19.480737100451634,"['IPPK', 'MED13', 'HMGA2', 'CD9', 'HMGB1', 'TTC28', 'FARSB']",0.7778175510434469,0,0,7
21,mmu-miR-1955-3p,0.006023486796919807,5.150563607085346,26.330139483291596,"['KCNJ10', 'NAAA', 'LPP', 'SLC5A3', 'JAZF1']",0.7885366021071606,0,0,5
22,hsa-miR-582-3p,0.0061543118661614256,3.258947368421053,16.59000505524076,"['PTCD3', 'SLC25A37', 'EIF4EBP2', 'RAB27A', 'CPNE3', 'RREB1', 'SELENOI', 'DKK3']",0.7885366021071606,0,0,8
23,mmu-miR-488-3p,0.0063281025291223635,6.862350891301434,34.74240023122744,"['ZNF583', 'NWD1', 'TXNRD1', 'WDR89']",0.7885366021071606,0,0,4
24,hsa-miR-4699-3p,0.006828789792634411,2.5837388483373886,12.88409232283377,"['MLLT10', 'BTG1', 'AGTPBP1', 'AHCY', 'ACVR1C', 'SNRPD1', 'DOCK7', 'UBE2D1', 'HMGB1', 'DEK', 'SLC38A2']",0.805883835514053,0,0,11
