Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,CDX2 mouse,0.03871929200935725,33.847117794486216,110.0511044070721,['HEPH'],0.2614634457670995,0,0,1
2,TAL1 human,0.03871929200935725,33.847117794486216,110.0511044070721,['ANGPT2'],0.2614634457670995,0,0,1
3,TAL1 mouse,0.04816431895709728,25.383458646616543,76.9915025998712,['TFDP2'],0.2614634457670995,0,0,1
4,GATA1 mouse,0.04816431895709728,25.383458646616543,76.9915025998712,['TFDP2'],0.2614634457670995,0,0,1
5,GATA2 human,0.04816431895709728,25.383458646616543,76.9915025998712,['ANGPT2'],0.2614634457670995,0,0,1
6,GATA2 mouse,0.04816431895709728,25.383458646616543,76.9915025998712,['ANGPT2'],0.2614634457670995,0,0,1
7,LMO2 human,0.04816431895709728,25.383458646616543,76.9915025998712,['ANGPT2'],0.2614634457670995,0,0,1
8,BCL3 mouse,0.05751723263625594,20.305263157894736,57.985144610240646,['CTSL'],0.2732068550222157,0,0,1
9,PTTG1 human,0.09402544792503366,11.27736006683375,26.661819762101256,['DOCK1'],0.2923440792775546,0,0,1
10,CREB5 human,0.09402544792503366,11.27736006683375,26.661819762101256,['LGALS3BP'],0.2923440792775546,0,0,1
11,ETS2 human,0.10293099263132237,10.148872180451129,23.075455051500096,['ANGPT2'],0.2923440792775546,0,0,1
12,FOXO1 human,0.11174964507760915,9.225563909774436,20.217769998652173,['ANGPT2'],0.2923440792775546,0,0,1
13,SOX9 mouse,0.11174964507760915,9.225563909774436,20.217769998652173,['PHEX'],0.2923440792775546,0,0,1
14,CDX2 human,0.12048224665424477,8.456140350877194,17.895331266167503,['HEPH'],0.2923440792775546,0,0,1
15,JUN mouse,0.12066947273228451,3.453775038520801,7.303698424198358,"['ANGPT2', 'PHEX']",0.2923440792775546,0,0,2
16,MYB human,0.12912963069198832,7.805089647194911,15.976538417511254,['CDO1'],0.2923440792775546,0,0,1
17,ATF2 human,0.13769262255726045,7.247046186895811,14.368946400758453,['IMPDH2'],0.2923440792775546,0,0,1
18,VHL human,0.1461720396387773,6.763408521303258,13.00583842933991,['ANGPT2'],0.2923440792775546,0,0,1
19,SRF human,0.1461720396387773,6.763408521303258,13.00583842933991,['KPNA1'],0.2923440792775546,0,0,1
20,FOXA2 mouse,0.1545686915290922,6.340225563909774,11.837940880520955,['TLE4'],0.29368051390527516,0,0,1
21,FOXO1 mouse,0.1873435678131062,5.070676691729323,8.492425540858983,['ANGPT2'],0.30928559040955034,0,0,1
22,ETS1 mouse,0.1873435678131062,5.070676691729323,8.492425540858983,['ANGPT2'],0.30928559040955034,0,0,1
23,STAT3 human,0.1925947069522717,2.543181818181818,4.189045832403759,"['LGALS3BP', 'NR2C2']",0.30928559040955034,0,0,2
24,SREBF1 mouse,0.19533826762708445,4.828857858933047,7.885633617457899,['FBXW7'],0.30928559040955034,0,0,1
25,E2F1 human,0.21409428148924448,2.3646934460887947,3.6447937426597865,"['WWOX', 'UHRF1']",0.3254233078636516,0,0,2
26,MYOD1 mouse,0.22654391165319196,4.055037593984962,6.020986656365285,['CDO1'],0.3311026401085113,0,0,1
27,ETS1 human,0.26386676895672245,3.3779448621553883,4.500472983284056,['ANGPT2'],0.37136804519835015,0,0,1
28,STAT1 human,0.36544231603818983,2.249456975772765,2.264408743565719,['CTSL'],0.47073618293384073,0,0,1
29,EGR1 human,0.3716964041263316,2.2003922850604773,2.1776795627252996,['IMPDH2'],0.47073618293384073,0,0,1
30,TFAP2A human,0.37788930837947393,2.1534154535274355,2.0956047787569356,['IMPDH2'],0.47073618293384073,0,0,1
31,SP3 mouse,0.38402162291971215,2.1083959899749374,2.0178539145087178,['ANGPT2'],0.47073618293384073,0,0,1
32,RELA mouse,0.4137947458524719,1.9087813874308412,1.684280467421054,['PHEX'],0.49138126069981036,0,0,1
33,SP3 human,0.44764245242715306,1.7139034025742321,1.3775677914942142,['CTSL'],0.5154670664312672,0,0,1
34,JUN human,0.5379773993098536,1.3114930182599356,0.8130453140724121,['CTSL'],0.6012688580521893,0,0,1
35,NFKB1 mouse,0.6097706870593376,1.0729483282674772,0.5307578337896568,['PHEX'],0.6620367459501378,0,0,1
36,TRP53 mouse,0.64670819835012,0.9690572585309427,0.42237338721556955,['UHRF1'],0.6826364315917933,0,0,1
37,TP53 human,0.6737418110176118,0.8993018259935553,0.35514176533213704,['UHRF1'],0.6919510491532228,0,0,1
38,SP1 human,0.7632761460476951,0.7237173175801335,0.1955016611006893,"['CTSL', 'IMPDH2']",0.7632761460476951,0,0,2
