Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-361,0.0013762614336762268,2.0787499339567814,13.695603973375507,"['GRAMD1C', 'RNF13', 'UQCRB', 'MRPS36', 'TEX26', 'NR2C1', 'PBLD', 'ACTG1', 'LRRTM4', 'VPS36', 'RAB11FIP4', 'KPNA1', 'PDIA3', 'SPAG9', 'PNPT1', 'BTBD7', 'RAD23B', 'TANC2', 'RNF145', 'DYNC1LI2', 'CLCN4', 'TFDP2', 'TRIM13', 'LCORL', 'DOCK1', 'C21ORF62']",0.3907220078307713,0,0,26
2,mmu-miR-3962,0.0024678931513794533,2.3266162888329136,13.969912666158024,"['SPAG9', 'ANGPT2', 'HSDL1', 'KCNJ9', 'MYRIP', 'NR2C2', 'TRAK1', 'DGKZ', 'NR2C1', 'ARL17A', 'DYNC1LI2', 'HOOK2', 'LRRTM4', 'MTG1', 'ZNF605', 'NAA15', 'EFHC2']",0.3907220078307713,0,0,17
3,hsa-miR-921,0.0030724164405396496,1.9476347141219281,11.267633413088047,"['PRKN', 'SLC35F6', 'RNF13', 'RRH', 'RTL9', 'NR2C2', 'TRAK1', 'NR2C1', 'ARL17A', 'PPP2R1B', 'HEPH', 'ZNF605', 'RNF170', 'CTNNA2', 'ZNF621', 'VPS36', 'ZNF641', 'TLE4', 'SPAG9', 'ANGPT2', 'TMA7', 'DYNC1LI2', 'CLCN4', 'TTC3', 'NAA15', 'CGGBP1']",0.3907220078307713,0,0,26
4,hsa-miR-4444,0.0035118009971817532,3.1591495016611297,17.854332309666713,"['CTSL', 'EFCAB2', 'TRIM13', 'BTBD7', 'MFF', 'ZNF621', 'TRAK1', 'RNF40', 'TANC2']",0.3907220078307713,0,0,9
5,mmu-miR-547,0.004137797618915992,1.9456948338005606,10.677178643252686,"['GRAMD1C', 'TLE4', 'SPAG9', 'TRAPPC2', 'ANGPT2', 'ATP8B2', 'RNF13', 'UHRF1', 'CIPC', 'BTBD7', 'CIB1', 'NR2C2', 'TRAK1', 'TANC2', 'ARL17A', 'TFDP2', 'PPP2R1B', 'ZNF605', 'TRIM13', 'NAA15', 'LCORL', 'MFGE8', 'ZNF135', 'KPNA1']",0.3907220078307713,0,0,24
6,hsa-miR-941,0.004217402215428413,2.585792349726776,14.140498370054999,"['SMIM3', 'ATP8B2', 'TFDP2', 'UQCRB', 'KCNJ9', 'TMEM44', 'MTG1', 'KIF13B', 'BTBD7', 'KIAA0232', 'DGKZ', 'IP6K2']",0.3907220078307713,0,0,12
7,mmu-miR-344,0.004700415131798753,2.171939171939172,11.64182081684392,"['PRKN', 'SPAG9', 'TRAPPC2', 'PNPT1', 'HSDL1', 'RNF13', 'SEMA3D', 'CIPC', 'C17ORF58', 'HNRNPR', 'BTBD7', 'NR2C2', 'RAD23B', 'TANC2', 'ARL17A', 'CYSTM1', 'VPS36']",0.3907220078307713,0,0,17
8,mmu-miR-344c,0.004700415131798753,2.171939171939172,11.64182081684392,"['PRKN', 'SPAG9', 'TRAPPC2', 'PNPT1', 'HSDL1', 'RNF13', 'SEMA3D', 'CIPC', 'C17ORF58', 'HNRNPR', 'BTBD7', 'NR2C2', 'RAD23B', 'TANC2', 'ARL17A', 'CYSTM1', 'VPS36']",0.3907220078307713,0,0,17
9,mmu-miR-872,0.007352412305964636,2.0236934547279373,9.941853099798472,"['SPAG9', 'GPSM2', 'ANGPT2', 'ATP8B2', 'UQCRB', 'RTL9', 'HNRNPR', 'BTBD7', 'KIAA0232', 'MFF', 'NR2C1', 'RNF40', 'TANC2', 'DYNC1LI2', 'RNF170', 'DOCK1', 'ZNF641', 'ZNF135']",0.5075921965707538,0,0,18
10,mmu-miR-5123,0.007632965361966224,2.0575076501002427,10.03092355927412,"['SPAG9', 'ANGPT2', 'SWAP70', 'C17ORF58', 'HNRNPR', 'BTBD7', 'MFF', 'NR2C1', 'CYB5D2', 'PHEX', 'TMEM44', 'TTC3', 'RNF170', 'LCORL', 'PDE8A', 'ZNF641', 'RAB11FIP4']",0.5075921965707538,0,0,17
11,hsa-miR-1263,0.013228485070426807,1.8618094222643446,8.053038479048276,"['WWOX', 'ATP8B2', 'UQCRB', 'UHRF1', 'C17ORF58', 'MARCH9', 'BTBD7', 'TANC2', 'ARL17A', 'DYNC1LI2', 'LRRTM4', 'TMEM44', 'EFCAB2', 'RNF170', 'NAA15', 'MFGE8', 'RPS24', 'ZNF641', 'C21ORF62']",0.6413558963366546,0,0,19
12,hsa-miR-1268,0.01349933540822391,2.0103223221534536,8.654668429658548,"['PRKN', 'TRAPPC2', 'SLC35F6', 'SEMA3D', 'BTBD7', 'TFDP2', 'EFCAB2', 'KIF13B', 'TRIM13', 'RNF170', 'ZNF621', 'RPS24', 'ZNF641', 'RAB11FIP4', 'ZNF135']",0.6413558963366546,0,0,15
13,hsa-miR-1268b,0.01349933540822391,2.0103223221534536,8.654668429658548,"['PRKN', 'TRAPPC2', 'SLC35F6', 'SEMA3D', 'BTBD7', 'TFDP2', 'EFCAB2', 'KIF13B', 'TRIM13', 'RNF170', 'ZNF621', 'RPS24', 'ZNF641', 'RAB11FIP4', 'ZNF135']",0.6413558963366546,0,0,15
14,hsa-miR-4474-5p,0.014242839527249645,1.7704781319495924,7.527189526991867,"['GRAMD1C', 'SLC35F6', 'SMARCC2', 'ATP8B2', 'RNF13', 'UQCRB', 'FBXW7', 'SWAP70', 'NR2C2', 'NR2C1', 'TANC2', 'PBLD', 'ARL17A', 'CLCN4', 'TRIM13', 'RPS20', 'NAA15', 'LCORL', 'EIF3D', 'CGGBP1', 'RPS24', 'KPNA1']",0.6413558963366546,0,0,22
15,hsa-miR-4520a-5p,0.018008776824449797,2.181306925851213,8.762083149349547,"['PRKN', 'PDIA3', 'WWOX', 'UHRF1', 'CIPC', 'PTPN21', 'KIAA0232', 'ATP6V0E2', 'CGGBP1', 'RAB11FIP4', 'KPNA1']",0.6413558963366546,0,0,11
16,hsa-miR-4520b-5p,0.018008776824449797,2.181306925851213,8.762083149349547,"['PRKN', 'PDIA3', 'WWOX', 'UHRF1', 'CIPC', 'PTPN21', 'KIAA0232', 'ATP6V0E2', 'CGGBP1', 'RAB11FIP4', 'KPNA1']",0.6413558963366546,0,0,11
17,hsa-miR-324-5p,0.021821320974600423,1.6725476315805397,6.397273514410457,"['GRAMD1C', 'WWOX', 'RPL41', 'SMARCC2', 'HSDL1', 'ATP8B2', 'UQCRB', 'BTBD7', 'TRAK1', 'RNF40', 'CYB5D2', 'TANC2', 'ARL17A', 'CLCN4', 'PPP2R1B', 'ZNF605', 'KIF13B', 'RNF170', 'ZNF621', 'VPS36', 'RAB11FIP4', 'C21ORF62', 'KPNA1']",0.6413558963366546,0,0,23
18,hsa-miR-770-5p,0.02386476731017315,1.656278115665599,6.186781902466244,"['LGALS3BP', 'TRAPPC2', 'FBXW7', 'MRPS36', 'PTPN21', 'TRAK1', 'RAD23B', 'NR2C1', 'CYB5D2', 'TANC2', 'DYNC1LI2', 'ZNF718', 'PPP2R1B', 'LRRTM4', 'ZNF605', 'RNF170', 'NAA15', 'ZNF621', 'S100PBP', 'ZNF641', 'RAB11FIP4', 'IP6K2', 'KPNA1']",0.6413558963366546,0,0,23
19,hsa-miR-4712-5p,0.02386476731017315,1.656278115665599,6.186781902466244,"['LGALS3BP', 'TRAPPC2', 'FBXW7', 'MRPS36', 'PTPN21', 'TRAK1', 'RAD23B', 'NR2C1', 'CYB5D2', 'TANC2', 'DYNC1LI2', 'ZNF718', 'PPP2R1B', 'LRRTM4', 'ZNF605', 'RNF170', 'NAA15', 'ZNF621', 'S100PBP', 'ZNF641', 'RAB11FIP4', 'IP6K2', 'KPNA1']",0.6413558963366546,0,0,23
20,mmu-miR-465c-3p,0.024928352257739667,1.7053745474798105,6.295815596112638,"['PDIA3', 'SPAG9', 'SLC35F6', 'WWOX', 'MRPS36', 'SWAP70', 'BTBD7', 'NR2C2', 'NR2C1', 'CYB5D2', 'TANC2', 'RNF145', 'DYNC1LI2', 'TFDP2', 'ZMYND11', 'S100PBP', 'CGGBP1', 'CDR2', 'RAB11FIP4', 'C21ORF62']",0.6413558963366546,0,0,20
21,mmu-miR-465b-3p,0.024928352257739667,1.7053745474798105,6.295815596112638,"['PDIA3', 'SPAG9', 'SLC35F6', 'WWOX', 'MRPS36', 'SWAP70', 'BTBD7', 'NR2C2', 'NR2C1', 'CYB5D2', 'TANC2', 'RNF145', 'DYNC1LI2', 'TFDP2', 'ZMYND11', 'S100PBP', 'CGGBP1', 'CDR2', 'RAB11FIP4', 'C21ORF62']",0.6413558963366546,0,0,20
22,mmu-miR-465a-3p,0.024928352257739667,1.7053745474798105,6.295815596112638,"['PDIA3', 'SPAG9', 'SLC35F6', 'WWOX', 'MRPS36', 'SWAP70', 'BTBD7', 'NR2C2', 'NR2C1', 'CYB5D2', 'TANC2', 'RNF145', 'DYNC1LI2', 'TFDP2', 'ZMYND11', 'S100PBP', 'CGGBP1', 'CDR2', 'RAB11FIP4', 'C21ORF62']",0.6413558963366546,0,0,20
