Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,PPARD human,0.008937986090665193,8.351656859708887,39.39848176655388,"['HSD11B2', 'CAT', 'LPL', 'TXN', 'SOD1']",0.9638221281777511,0,0,5
2,REST human,0.023985301847746828,2.571101355220462,9.591015533141563,"['NRP1', 'GLRA1', 'VGF', 'STAT1', 'BDNF', 'DYRK1A', 'KCNQ3', 'CD59', 'CARTPT', 'CHGB']",0.9638221281777511,0,0,10
3,BCL11B mouse,0.04055392488862051,10.016713091922005,32.10479462820345,"['CDKN1B', 'ZBTB7B', 'BCL2L1']",0.9638221281777511,0,0,3
4,HES1 mouse,0.04055392488862051,10.016713091922005,32.10479462820345,"['CDKN1B', 'MAP2', 'CORO1A']",0.9638221281777511,0,0,3
5,PAX3 human,0.04055392488862051,10.016713091922005,32.10479462820345,"['DPYSL2', 'MITF', 'BCL2L1']",0.9638221281777511,0,0,3
6,RUNX3 mouse,0.05317322977922204,inf,inf,"['SLC22A17', 'ITGAE']",0.9638221281777511,0,0,2
7,HDAC3 mouse,0.053999609111799365,4.4524251805985555,12.995642761378905,"['NFKBIA', 'JUN', 'CDKN1B', 'BCL2L1']",0.9638221281777511,0,0,4
8,SMARCA4 mouse,0.053999609111799365,4.4524251805985555,12.995642761378905,"['NFKBIA', 'SPARC', 'MITF', 'CALM1']",0.9638221281777511,0,0,4
9,MYC mouse,0.05877677385041635,1.9097277644763677,5.412184726102858,"['PDGFRB', 'NOP56', 'CCND2', 'TRRAP', 'CDK4', 'ODC1', 'BAX', 'HNRNPA1', 'PTMA', 'NDRG1', 'RHOA', 'NRGN']",0.9638221281777511,0,0,12
10,MYOD1 mouse,0.06511697955216006,1.9346146937309143,5.284535345125873,"['MYL6', 'CREBBP', 'MAF', 'ALDH1A1', 'SELENOW', 'DCX', 'ATP6V1E1', 'ACACB', 'PPARGC1A', 'CDON', 'SMAD7']",0.9638221281777511,0,0,11
11,NRF1 mouse,0.07441808938497493,2.338177874186551,6.074717592413815,"['FMR1', 'COX4I1', 'COX17', 'IDE', 'CD47', 'NR3C1', 'KIF17']",0.9638221281777511,0,0,7
12,NRF1 human,0.08051820615752045,2.504879182156134,6.310471878480632,"['PRDX5', 'SNRPN', 'CAPNS1', 'FMR1', 'IDE', 'COX6A1']",0.9638221281777511,0,0,6
13,AATF mouse,0.08410454163478068,5.007892293407614,12.398012462392524,"['BAX', 'TPT1', 'BBC3']",0.9638221281777511,0,0,3
14,NCOA3 mouse,0.08410454163478068,5.007892293407614,12.398012462392524,"['NFKBIA', 'PPARG', 'CLOCK']",0.9638221281777511,0,0,3
15,SNAI2 mouse,0.08410454163478068,5.007892293407614,12.398012462392524,"['TJP1', 'CTNNB1', 'BBC3']",0.9638221281777511,0,0,3
16,EGR1 mouse,0.08457219292797068,1.6709627329192547,4.127528185659854,"['CDKN2D', 'JUN', 'CREBBP', 'GADD45B', 'PTGES2', 'BNIP3', 'NDRG1', 'IGF1R', 'SMAD7', 'HSD11B2', 'CCND2', 'CAT', 'PPP1R1B', 'BAX']",0.9638221281777511,0,0,14
17,ATF6 human,0.0858476926612998,2.782853308557861,6.832407367870661,"['XBP1', 'WBP1', 'HSPA5', 'DDIT3', 'NUCB1']",0.9638221281777511,0,0,5
18,BCL6 human,0.0858476926612998,2.782853308557861,6.832407367870661,"['XBP1', 'CCND2', 'SUMO1', 'NFKB1', 'BCL2L1']",0.9638221281777511,0,0,5
19,HNF4A mouse,0.0858476926612998,2.782853308557861,6.832407367870661,"['CEBPA', 'CEBPB', 'PPARGC1A', 'GCK', 'SLC27A5']",0.9638221281777511,0,0,5
20,CREB1 human,0.08957795874593709,1.6171121065448095,3.901519031800889,"['GSK3B', 'GSK3A', 'JUN', 'CRTC1', 'BDNF', 'ODC1', 'NOLC1', 'MITF', 'CCK', 'ETV3', 'PPM1D', 'ACACA', 'STMN1', 'POLD2', 'SLC22A8']",0.9638221281777511,0,0,15
21,STAT3 mouse,0.1115495923901787,1.6087251486195913,3.5283943658856463,"['CDKN2D', 'MDC1', 'EGR1', 'CDKN1B', 'RNLS', 'PHB', 'PKD1', 'HIF1A', 'BACE1', 'NT5E', 'CCND2', 'MAF', 'BCL2L1']",0.9638221281777511,0,0,13
22,FOXO1 mouse,0.11244716388403356,1.908599769728102,4.170809296308246,"['EGR1', 'CDKN1B', 'CCND2', 'LPL', 'BAX', 'PPARG', 'PPARGC1A', 'GCK']",0.9638221281777511,0,0,8
23,LEF1 mouse,0.13137318840519818,2.6709597523219815,5.421282371123847,"['MESP1', 'COL11A1', 'ZBTB16', 'CTNNB1']",0.9638221281777511,0,0,4
24,NR0B2 mouse,0.13137318840519818,2.6709597523219815,5.421282371123847,"['NEUROD1', 'PPARG', 'PPARGC1A', 'SMAD7']",0.9638221281777511,0,0,4
25,EHMT2 mouse,0.13500580409529986,6.675742574257426,13.367757325576253,"['WNT10A', 'PPARG']",0.9638221281777511,0,0,2
26,HNF1B mouse,0.13500580409529986,6.675742574257426,13.367757325576253,"['PKHD1', 'PDE4C']",0.9638221281777511,0,0,2
27,KLF2 human,0.13500580409529986,6.675742574257426,13.367757325576253,"['FABP5', 'PPARG']",0.9638221281777511,0,0,2
28,MAF mouse,0.13500580409529986,6.675742574257426,13.367757325576253,"['MAF', 'CCND2']",0.9638221281777511,0,0,2
