Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Protein Secretion,0.005462317853476329,1.858974358974359,9.685037170289391,"['TMED10', 'SGMS1', 'STX16', 'COPB1', 'CLTC', 'NAPG', 'RPS6KA3', 'GOLGA4', 'AP1G1', 'LAMP2', 'KIF1B', 'ARFIP1', 'ARFGEF2', 'MON2', 'STX7', 'GBF1', 'ADAM10', 'AP2B1', 'STAM', 'SCAMP1', 'ARFGAP3', 'SCAMP3', 'IGF2R', 'ARCN1', 'DOP1A', 'GNAS', 'VAMP4', 'PAM', 'COPE']",0.2731158926738165,0,0,29
2,Reactive Oxygen Species Pathway,0.021578914671856582,2.04701166180758,7.852415777302146,"['PRNP', 'ABCC1', 'EGLN2', 'GPX3', 'GLRX', 'OXSR1', 'GLRX2', 'SOD2', 'SCAF4', 'PTPA', 'MSRA', 'GCLC', 'STK25', 'NDUFS2', 'FTL']",0.4231935206698115,0,0,15
3,heme Metabolism,0.025391611240188686,1.4601473459635814,5.3636124327322525,"['USP15', 'TFRC', 'GDE1', 'SLC2A1', 'HTRA2', 'ADIPOR1', 'BACH1', 'TRAK2', 'AGPAT4', 'SDCBP', 'UROD', 'RNF19A', 'BSG', 'LAMP2', 'MXI1', 'DCAF10', 'BTRC', 'CLIC2', 'MARK3', 'RBM5', 'ATP6V0A1', 'CAST', 'EIF2AK1', 'FOXJ2', 'ASNS', 'CTNS', 'GAPVD1', 'RCL1', 'SLC25A38', 'ALDH6A1', 'GCLC', 'ARL2BP', 'TRIM58', 'HDGF', 'ATG4A', 'TOP1', 'ACKR1', 'YPEL5', 'TMEM9B', 'NFE2L1', 'OSBP2', 'TNRC6B']",0.4231935206698115,0,0,42
4,UV Response Up,0.09341042226753613,1.3503384912959382,3.2013181549461236,"['BTG1', 'TFRC', 'CNP', 'AMD1', 'CEBPG', 'CLTB', 'DDX21', 'ENO2', 'HSPA13', 'DNAJB1', 'UROD', 'BSG', 'PRKACA', 'ATP6V1C1', 'CYB5B', 'KLHDC3', 'GPX3', 'SIGMAR1', 'ASNS', 'SOD2', 'TUBA4A', 'PTPRD', 'OLFM1', 'CDC34', 'EIF2S3', 'PSMC3', 'STK25', 'DLG4', 'PRPF3', 'TYRO3', 'TMBIM6']",0.8898615978596963,0,0,31
5,KRAS Signaling Dn,0.10820089582316458,1.3643127210635444,3.033911742143992,"['PRKN', 'TENM2', 'THRB', 'SMPX', 'ARHGDIG', 'CELSR2', 'TGM1', 'NUDT11', 'C5', 'KCNN1', 'NOS1', 'SYNPO', 'SLC25A23', 'TGFB2', 'CAMK1D', 'DTNB', 'ARPP21', 'NGB', 'CDKAL1', 'ADRA2C', 'ATP4A', 'CCNA1', 'NR6A1', 'SELENOP', 'SIDT1', 'CHST2']",0.8898615978596963,0,0,26
6,Spermatogenesis,0.12552576892582434,1.38576545158934,2.8758017317708053,"['TLE4', 'SLC12A2', 'GSTM3', 'PACRG', 'MAST2', 'SPATA6', 'PIAS2', 'CHFR', 'CCNA1', 'PCSK1N', 'DBF4', 'PRKAR2A', 'MAP7', 'SCG3', 'NOS1', 'CNIH2', 'LPIN1', 'STAM2', 'ZC3H14', 'EZH2', 'CLVS1']",0.8898615978596963,0,0,21
7,Apical Surface,0.13959862223260527,1.6723636363636363,3.2928571721039495,"['GSTM3', 'NCOA6', 'CROCC', 'ADAM10', 'THY1', 'CX3CL1', 'TMEM8B', 'DCBLD2', 'SULF2']",0.8898615978596963,0,0,9
8,Mitotic Spindle,0.14312844937485725,1.2282664703717334,2.3877657457755035,"['PIF1', 'DOCK4', 'RABGAP1', 'ROCK1', 'RASAL2', 'KLC1', 'AKAP13', 'CNTRL', 'ABL1', 'ARFIP2', 'STK38L', 'CEP250', 'TLK1', 'CEP192', 'KIF1B', 'FLNB', 'KIF3C', 'SYNPO', 'CLASP1', 'CDK5RAP2', 'NCK1', 'ARHGEF11', 'TBCD', 'ARHGAP29', 'MYO9B', 'HOOK3', 'SSH2', 'TUBA4A', 'CD2AP', 'LATS1', 'TIAM1', 'DLG1', 'NIN', 'CTTN', 'RASA1', 'ALMS1', 'RASA2', 'CDC42EP2', 'NF1', 'ARHGEF7', 'VCL', 'ARF6']",0.8898615978596963,0,0,42
9,Estrogen Response Early,0.17388125063636053,1.2352228933585183,2.1608775360277317,"['SLC22A5', 'MAST4', 'ABHD2', 'SLC2A1', 'NADSYN1', 'CELSR2', 'TMEM164', 'PAPSS2', 'THSD4', 'SYNGR1', 'ABLIM1', 'DEPTOR', 'TBC1D30', 'SLC39A6', 'LRIG1', 'FLNB', 'RRP12', 'SLC19A2', 'BCL11B', 'ABCA3', 'SNX24', 'GAB2', 'NAV2', 'TIAM1', 'AR', 'OLFM1', 'MYBBP1A', 'DLC1', 'BHLHE40', 'RARA', 'CHPT1', 'NBL1']",0.8898615978596963,0,0,32
10,G2-M Checkpoint,0.17797231957193926,1.2112946362968406,2.0908486780439137,"['PRIM2', 'AMD1', 'HMGB3', 'RASAL2', 'GSPT1', 'ORC5', 'RPS6KA5', 'RAD21', 'CHEK1', 'CHMP1A', 'NSD2', 'ABL1', 'LBR', 'SLC12A2', 'UPF1', 'CASP8AP2', 'SMARCC1', 'DR1', 'RPA2', 'FOXN3', 'MAPK14', 'MEIS2', 'CDC25B', 'CUL4A', 'ILF3', 'MEIS1', 'DBF4', 'EWSR1', 'DKC1', 'MTF2', 'MCM3', 'NUP98', 'TOP1', 'MNAT1', 'KPNB1', 'EZH2', 'MAD2L1']",0.8898615978596963,0,0,37
