Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Intracellular Membrane-Bounded Organelle (GO:0043231),3.7729675403354335e-07,1.2952469762211678,19.15700562409665,"['ATF1', 'RB1', 'RPL4', 'ZNF174', 'TFRC', 'ZFYVE9', 'MYT1L', 'NEXMIF', 'EHMT1', 'THYN1', 'PHAX', 'ENO1', 'ZC3H12C', 'ALKBH5', 'CNST', 'TBK1', 'TFG', 'LIPJ', 'PSMD2', 'ZC3H12B', 'PSMD3', 'CDK20', 'ANKFY1', 'IER5', 'RNF111', 'GAMT', 'PRKCI', 'RBFOX1', 'TSPYL1', 'ENDOG', 'RBFOX3', 'FNBP1', 'PRKCE', 'STARD9', 'MRTFA', 'SOX11', 'ARMC8', 'DICER1', 'SCAMP3', 'SND1', 'HCFC1', 'EID2', 'EWSR1', 'CDIP1', 'ATF7', 'GPLD1', 'TSPYL4', 'TSPYL5', 'RHNO1', 'MEPCE', 'NAIF1', 'SDR39U1', 'BAZ2B', 'C9ORF78', 'PRDM10', 'HIF1A', 'PRDX3', 'LDHA', 'WDR70', 'RNF216', 'PRDX1', 'PTPMT1', 'VTI1A', 'MCMBP', 'PPARGC1A', 'BARD1', 'CREBBP', 'F8A1', 'ABCA6', 'PLK2', 'ABCA3', 'SETD1A', 'IRF2BP1', 'MAD2L1BP', 'TRIP4', 'ABCA7', 'LARP6', 'NR2F6', 'MLLT10', 'EHD3', 'HNRNPK', 'CDK12', 'DZIP1', 'RNF220', 'SETD5', 'SETD2', 'CDKN1B', 'DENND1A', 'SETD6', 'PHF23', 'RPLP0', 'TDRP', 'FMN1', 'TCF20', 'FMN2', 'JRKL', 'SMG6', 'ZCWPW2', 'TRIM8', 'MED12', 'NKRF', 'PEA15', 'PHF24', 'RRP12', 'IKBKE', 'GPRASP2', 'TIGD3', 'DUSP3', 'ANXA4', 'TCF12', 'TET2', 'MED27', 'GNL1', 'MED23', 'RARB', 'SF3B2', 'C11ORF54', 'PHLPP1', 'SGMS1', 'CCNDBP1', 'NSD3', 'SCAF8', 'NSD1', 'UBN2', 'NSD2', 'USP1', 'NCDN', 'PABPC1L2A', 'SAMD1', 'SRSF11', 'PMS1', 'NKTR', 'RUNX1T1', 'EGLN1', 'WWOX', 'MBD5', 'CENPV', 'TRMT10C', 'MBD6', 'EGLN2', 'UTP3', 'NR1H2', 'MBD2', 'YLPM1', 'TUBB4B', 'ELP5', 'WDR13', 'HIPK3', 'BYSL', 'ZNF33A', 'PSMC6', 'PSMC3', 'SNX17', 'NFIC', 'GID8', 'EEF1AKMT2', 'ZNF571', 'CCNT2', 'MRE11', 'GTF2B', 'RTKN2', 'PDCD5', 'RAB43', 'NUDT11', 'HMGN5', 'TUBB3', 'LAMP3', 'PAPOLB', 'KPNA3', 'TLE2', 'USP5', 'USP3', 'MAGI2', 'RPS6', 'UBE2E1', 'FBXO11', 'MYT1', 'RNF40', 'PIAS2', 'CDC25B', 'CLIP3', 'KAT6B', 'ZNF438', 'SRSF4', 'PHIP', 'ERG', 'ZNF431', 'NOTCH2', 'ZNF672', 'RAB5B', 'DNMT1', 'ANKRD16', 'KMT2A', 'CUL3', 'KMT2C', 'MAZ', 'STK39', 'ARL2', 'FOXO3', 'FHIT', 'STK33', 'BAG5', 'ORC2', 'STK38', 'PSAP', 'DVL2', 'SMYD3', 'TPPP', 'BCL2L15', 'OSBPL9', 'SEC16B', 'AKIRIN2', 'OSBPL6', 'FBXO38', 'ANKRD23', 'DHCR24', 'BTBD7', 'FOXN3', 'MCC', 'EEF2', 'COPRS', 'MLXIPL', 'PTPRE', 'COPS6', 'CDK5', 'STK24', 'NF1', 'REEP6', 'SLC49A4', 'MAP3K14', 'ZNF410', 'NFE2L1', 'ZNF652', 'EIF4G1', 'MDM1', 'PPP1R13B', 'NXT1', 'CALCOCO2', 'CELF2', 'LRRK2', 'PIK3CB', 'ARRB2', 'ATRAID', 'CDC73', 'SYNE2', 'PIK3C2B', 'FUNDC2', 'SCRN1', 'AP1G1', 'ZNF407', 'PPP6R2', 'PPP6R3', 'TLK2', 'LBR', 'YAF2', 'IDH3A', 'EIF5A', 'KSR1', 'ELAC2', 'ARNT', 'VPS37A', 'SMC1B', 'ARL4C', 'MMS22L', 'DNAJC2', 'PPM1B', 'PKM', 'NOS1AP', 'ZNF516', 'MCM3', 'GAPDH', 'MCM2', 'CEBPA', 'PRKAA1', 'GTF2A2', 'HDAC1', 'ZBTB49', 'VPS4A', 'PRCP', 'AMBRA1', 'MALT1', 'DNAJB2', 'ZNRF2', 'POLR2A', 'RBBP5', 'ZNF507', 'POLR2C', 'TP53INP2', 'DRAM2', 'CNNM2', 'JAZF1', 'RNGTT', 'ASCC1', 'FOXJ3', 'FBXL17', 'RPL23A', 'PTPN12', 'REC8', 'RAD52', 'CUL4A', 'PINK1', 'APC', 'NOVA1', 'IMPDH2', 'KLF9', 'EIF3G', 'PTPN6', 'STUB1', 'POLR3H', 'INSM1', 'PABPC1L', 'NOP53', 'TRIM33', 'TPT1', 'TNRC6A', 'SMARCAL1', 'TCERG1', 'SPARC', 'CMAS', 'UBE2L6', 'NUDT5', 'AQP1', 'CCAR1', 'ZNF609', 'HERC2', 'KAT5', 'PPP2R1A', 'ACAD11', 'ZFPL1', 'GLUL', 'AGFG1', 'ABT1', 'JMJD4', 'SRRM4', 'COG7', 'ESCO1', 'SFMBT1', 'NSMCE2', 'P3H2', 'HSD11B1L', 'GCAT', 'NIF3L1', 'RRAGA', 'THAP5', 'XRN1', 'TCERG1L', 'THAP7', 'GRWD1', 'CSNK2B', 'AKAP9', 'CD2BP2', 'PREB', 'KDELR2', 'ZNF830', 'RTEL1', 'PAXIP1', 'TSHZ1', 'EIF5A2', 'TSHZ2', 'PIK3R4', 'DCUN1D2', 'HTATSF1', 'RPAP2', 'GMCL1', 'TTBK2', 'STRIP1', 'SCFD1', 'FXR2', 'ZNHIT6', 'ZNF704', 'MIER1', 'NEU1', 'TP53BP2', 'ZBED1', 'HIVEP3', 'B4GALNT3', 'RAB11FIP3', 'N4BP1', 'RAB11FIP5', 'ATP6V0A1', 'SRPK2', 'STAT5B', 'BCL11B', 'SETDB2', 'PTK2', 'WAPL', 'MSRA', 'POLA1', 'CDAN1', 'INTS5', 'NDUFAF3', 'ATM', 'RNPS1', 'CALM1', 'RETREG1', 'INKA2', 'RCOR1', 'CC2D1A', 'PCSK2', 'INTS13', 'FAF1', 'TECR', 'CTSZ', 'OTUD7A', 'OTUD7B', 'RSF1', 'PRPF19', 'N4BP2L2', 'NAT14', 'BABAM1', 'SCML2', 'XPO4', 'RSRC1', 'CTSK', 'XPO6', 'HNF4A', 'DHX15', 'UBXN7', 'CTSF', 'AASS', 'PACRG', 'ZHX3', 'PRMT1', 'NCOA6', 'NCOA3', 'CACYBP', 'TUBG1', 'CBFA2T2', 'ZDHHC17', 'SUPT3H', 'OOEP', 'RNF144A', 'RAD51B', 'TFEC', 'G2E3', 'MAPRE3', 'HNRNPH2', 'PTMA', 'SFI1', 'PRKN', 'AMER1', 'ZDHHC20', 'PURB', 'PTPA', 'RBM15B', 'FAM172A', 'CUX1', 'HSF2', 'SHOC2', 'HSF5', 'SCAND1', 'PAK2', 'DYNC1I1', 'UBL4A', 'CD74', 'YIPF3', 'YIPF5', 'RPA1', 'HUWE1', 'RANBP9', 'RANBP6', 'PEX14', 'PPP1CA', 'MAD2L2', 'PER1', 'ITCH', 'KBTBD6', 'RIT2', 'CCNG1', 'TCEA2', 'HDGF', 'TRIP12', 'TRIP13', 'MAD2L1', 'DPAGT1', 'UBE3D', 'WASHC2C', 'CCND1', 'EP300', 'CADPS2', 'ZGPAT', 'APLP2', 'ATG9A', 'TOMM34', 'TRAPPC2B', 'UBE4B', 'PUS7', 'TMEM250', 'RUNDC3A', 'HNRNPUL2', 'CMPK1', 'SBDS', 'WDFY2', 'STAM2', 'PPID', 'ATP6V1A', 'ZCCHC8', 'COPB1', 'HTRA2', 'CACNA1A', 'PDS5A', 'CCNB3', 'UBB', 'DEAF1', 'NPHP4', 'CYC1', 'NLRP1', 'MSC', 'ASIC2', 'MYH10', 'BPTF', 'ISOC2', 'SPECC1', 'SMAD2', 'PRNP', 'CBX7', 'SMAD4', 'CBX6', 'POU2F1', 'HELQ', 'UBE2I', 'PDHA1', 'HSPA5', 'PHF12', 'DENND4C', 'PHF11', 'HMGA1', 'NFXL1', 'MSN', 'SUPT5H', 'SMAD5', 'TDRD3', 'ISG20', 'DIAPH3', 'APPBP2', 'UBE2T', 'MKRN2', 'UBA3', 'UBE2N', 'SERGEF', 'PICALM', 'RERE', 'KDM5B', 'USP37', 'GSK3A', 'THRB', 'USP31', 'HSPB6', 'NVL', 'CHD8', 'NGLY1', 'TNFAIP3', 'YBX2', 'LDB2', 'DDX41', 'PKD1', 'PIDD1', 'DBP', 'UBE2Q1', 'ZNF385B', 'CNPPD1', 'RBM5', 'RBM6', 'KDM6A', 'USP46', 'USP48', 'SUN1', 'CAMK1D', 'USP42', 'BUD31', 'USP45', 'GLRX2', 'KLF15', 'LATS1', 'EEF1G', 'CREB3', 'CCNA1', 'ELF1', 'ELF2', 'GORASP1', 'ATP6V1B2', 'CRY1', 'RBMS1', 'TMEM9', 'USP15', 'RGS14', 'POLDIP3', 'BRAT1', 'TAF9', 'DDX23', 'RNF6', 'MAT2B', 'PSMB10', 'ATAD2B', 'MAPK9', 'CAND1', 'TAF1B', 'MKNK1', 'MVB12B', 'MXI1', 'MTA3', 'S100PBP', 'REPS1', 'SPEN', 'USP24', 'ATF7IP', 'ATE1', 'ARFGEF2', 'KDM4C', 'B3GAT3', 'EYA3', 'SWT1', 'BNIP3', 'SGTA', 'ZFC3H1', 'SSRP1', 'ARID3B', 'CLCN4', 'GLB1', 'SHLD2', 'CDK2AP2', 'TAF7', 'ACIN1', 'TAF6', 'NAA16', 'ERCC5', 'NAA15', 'SSBP3', 'TAF2']",0.00014224087627064585,0,0,629
2,Nucleus (GO:0005634),2.2746096469141325e-05,1.2514884195610056,13.379809131517645,"['ATF1', 'RB1', 'RPL4', 'ZNF174', 'MYT1L', 'NEXMIF', 'EHMT1', 'THYN1', 'PHAX', 'ENO1', 'ZC3H12C', 'ALKBH5', 'PSMD2', 'ZC3H12B', 'PSMD3', 'CDK20', 'IER5', 'RNF111', 'GAMT', 'PRKCI', 'RBFOX1', 'TSPYL1', 'ENDOG', 'RBFOX3', 'STARD9', 'MRTFA', 'SOX11', 'ARMC8', 'DICER1', 'SND1', 'HCFC1', 'EID2', 'EWSR1', 'CDIP1', 'ATF7', 'TSPYL4', 'TSPYL5', 'RHNO1', 'MEPCE', 'NAIF1', 'SDR39U1', 'BAZ2B', 'C9ORF78', 'PRDM10', 'HIF1A', 'LDHA', 'WDR70', 'RNF216', 'PRDX1', 'PTPMT1', 'MCMBP', 'PPARGC1A', 'BARD1', 'CREBBP', 'F8A1', 'PLK2', 'SETD1A', 'IRF2BP1', 'MAD2L1BP', 'TRIP4', 'LARP6', 'NR2F6', 'MLLT10', 'EHD3', 'HNRNPK', 'CDK12', 'DZIP1', 'RNF220', 'SETD5', 'SETD2', 'CDKN1B', 'SETD6', 'PHF23', 'RPLP0', 'TDRP', 'FMN1', 'TCF20', 'FMN2', 'JRKL', 'SMG6', 'ZCWPW2', 'TRIM8', 'MED12', 'NKRF', 'PHF24', 'IKBKE', 'GPRASP2', 'TIGD3', 'DUSP3', 'ANXA4', 'TCF12', 'TET2', 'MED27', 'GNL1', 'MED23', 'RARB', 'SF3B2', 'C11ORF54', 'SGMS1', 'CCNDBP1', 'NSD3', 'SCAF8', 'NSD1', 'UBN2', 'NSD2', 'USP1', 'NCDN', 'PABPC1L2A', 'SAMD1', 'SRSF11', 'PMS1', 'NKTR', 'RUNX1T1', 'EGLN1', 'WWOX', 'MBD5', 'CENPV', 'TRMT10C', 'MBD6', 'EGLN2', 'UTP3', 'NR1H2', 'MBD2', 'YLPM1', 'TUBB4B', 'ELP5', 'WDR13', 'HIPK3', 'ZNF33A', 'PSMC6', 'PSMC3', 'NFIC', 'GID8', 'EEF1AKMT2', 'ZNF571', 'CCNT2', 'MRE11', 'GTF2B', 'RTKN2', 'PDCD5', 'NUDT11', 'HMGN5', 'TUBB3', 'PAPOLB', 'KPNA3', 'TLE2', 'USP5', 'USP3', 'MAGI2', 'RPS6', 'UBE2E1', 'FBXO11', 'MYT1', 'RNF40', 'PIAS2', 'CDC25B', 'CLIP3', 'KAT6B', 'ZNF438', 'SRSF4', 'PHIP', 'ERG', 'ZNF431', 'NOTCH2', 'ZNF672', 'DNMT1', 'ANKRD16', 'KMT2A', 'CUL3', 'KMT2C', 'MAZ', 'ARL2', 'FOXO3', 'FHIT', 'STK33', 'BAG5', 'ORC2', 'STK38', 'DVL2', 'SMYD3', 'TPPP', 'BCL2L15', 'AKIRIN2', 'FBXO38', 'ANKRD23', 'DHCR24', 'BTBD7', 'FOXN3', 'MCC', 'EEF2', 'COPRS', 'MLXIPL', 'PTPRE', 'COPS6', 'CDK5', 'STK24', 'NF1', 'REEP6', 'ZNF410', 'NFE2L1', 'ZNF652', 'EIF4G1', 'MDM1', 'PPP1R13B', 'NXT1', 'CALCOCO2', 'CELF2', 'PIK3CB', 'ARRB2', 'CDC73', 'SYNE2', 'FUNDC2', 'SCRN1', 'ZNF407', 'PPP6R2', 'PPP6R3', 'TLK2', 'LBR', 'YAF2', 'IDH3A', 'EIF5A', 'ELAC2', 'ARNT', 'SMC1B', 'ARL4C', 'MMS22L', 'DNAJC2', 'PPM1B', 'PKM', 'NOS1AP', 'ZNF516', 'MCM3', 'GAPDH', 'MCM2', 'CEBPA', 'PRKAA1', 'GTF2A2', 'HDAC1', 'ZBTB49', 'VPS4A', 'AMBRA1', 'MALT1', 'DNAJB2', 'POLR2A', 'RBBP5', 'ZNF507', 'POLR2C', 'TP53INP2', 'JAZF1', 'RNGTT', 'ASCC1', 'FOXJ3', 'FBXL17', 'RPL23A', 'PTPN12', 'REC8', 'RAD52', 'CUL4A', 'PINK1', 'APC', 'NOVA1', 'IMPDH2', 'KLF9', 'EIF3G', 'PTPN6', 'STUB1', 'INSM1', 'PABPC1L', 'TRIM33', 'TPT1', 'SMARCAL1', 'TCERG1', 'CMAS', 'UBE2L6', 'NUDT5', 'AQP1', 'CCAR1', 'ZNF609', 'HERC2', 'KAT5', 'PPP2R1A', 'ACAD11', 'ZFPL1', 'GLUL', 'ABT1', 'JMJD4', 'SRRM4', 'ESCO1', 'SFMBT1', 'NSMCE2', 'GCAT', 'NIF3L1', 'RRAGA', 'THAP5', 'XRN1', 'TCERG1L', 'THAP7', 'GRWD1', 'CSNK2B', 'CD2BP2', 'PREB', 'ZNF830', 'RTEL1', 'PAXIP1', 'TSHZ1', 'TSHZ2', 'DCUN1D2', 'HTATSF1', 'RPAP2', 'GMCL1', 'TTBK2', 'STRIP1', 'FXR2', 'ZNHIT6', 'ZNF704', 'MIER1', 'TP53BP2', 'ZBED1', 'HIVEP3', 'N4BP1', 'SRPK2', 'STAT5B', 'BCL11B', 'INSR', 'SETDB2', 'PTK2', 'WAPL', 'POLA1', 'CDAN1', 'INTS5', 'NDUFAF3', 'ATM', 'RNPS1', 'CALM1', 'INKA2', 'RCOR1', 'CC2D1A', 'INTS13', 'FAF1', 'TECR', 'OTUD7A', 'OTUD7B', 'RSF1', 'PRPF19', 'N4BP2L2', 'NAT14', 'BABAM1', 'SCML2', 'XPO4', 'RSRC1', 'XPO6', 'HNF4A', 'DHX15', 'UBXN7', 'AASS', 'PACRG', 'ZHX3', 'PRMT1', 'NCOA6', 'NCOA3', 'CACYBP', 'TUBG1', 'CBFA2T2', 'SUPT3H', 'OOEP', 'RAD51B', 'TFEC', 'G2E3', 'MAPRE3', 'HNRNPH2', 'PTMA', 'SFI1', 'PRKN', 'PURB', 'PTPA', 'RBM15B', 'FAM172A', 'CUX1', 'HSF2', 'SHOC2', 'HSF5', 'SCAND1', 'PAK2', 'DYNC1I1', 'UBL4A', 'CD74', 'RPA1', 'HUWE1', 'RANBP9', 'RANBP6', 'PEX14', 'PPP1CA', 'MAD2L2', 'PER1', 'KBTBD6', 'RIT2', 'CCNG1', 'TCEA2', 'HDGF', 'TRIP12', 'TRIP13', 'MAD2L1', 'UBE3D', 'CCND1', 'EP300', 'ZGPAT', 'APLP2', 'TOMM34', 'TRAPPC2B', 'UBE4B', 'PUS7', 'TMEM250', 'HNRNPUL2', 'CMPK1', 'SBDS', 'PPID', 'ZCCHC8', 'HTRA2', 'CACNA1A', 'PDS5A', 'CCNB3', 'UBB', 'DEAF1', 'CYC1', 'NLRP1', 'MSC', 'ASIC2', 'MYH10', 'BPTF', 'ISOC2', 'SMAD2', 'CBX7', 'SMAD4', 'CBX6', 'POU2F1', 'HELQ', 'UBE2I', 'PDHA1', 'HSPA5', 'PHF12', 'PHF11', 'HMGA1', 'NFXL1', 'MSN', 'NUP153', 'SUPT5H', 'SMAD5', 'TDRD3', 'ISG20', 'DIAPH3', 'APPBP2', 'UBE2T', 'MKRN2', 'UBA3', 'UBE2N', 'SERGEF', 'PICALM', 'RERE', 'KDM5B', 'USP37', 'GSK3A', 'THRB', 'USP31', 'HSPB6', 'NVL', 'CHD8', 'NGLY1', 'TNFAIP3', 'YBX2', 'LDB2', 'DDX41', 'PKD1', 'PIDD1', 'DBP', 'UBE2Q1', 'ZNF385B', 'CNPPD1', 'RBM5', 'RBM6', 'KDM6A', 'USP46', 'USP48', 'CAMK1D', 'USP42', 'BUD31', 'USP45', 'GLRX2', 'KLF15', 'LATS1', 'EEF1G', 'CREB3', 'CCNA1', 'ELF1', 'ELF2', 'CRY1', 'RBMS1', 'USP15', 'RGS14', 'POLDIP3', 'BRAT1', 'TAF9', 'DDX23', 'RNF6', 'MAT2B', 'PSMB10', 'ATAD2B', 'MAPK9', 'CAND1', 'TAF1B', 'MKNK1', 'MVB12B', 'MXI1', 'MTA3', 'S100PBP', 'SPEN', 'USP24', 'ATF7IP', 'ATE1', 'KDM4C', 'EYA3', 'SWT1', 'BNIP3', 'SGTA', 'ZFC3H1', 'SSRP1', 'ARID3B', 'SHLD2', 'CDK2AP2', 'TAF7', 'ACIN1', 'TAF6', 'NAA16', 'ERCC5', 'NAA15', 'SSBP3', 'TAF2']",0.00428763918443314,0,0,536
3,Axon (GO:0030424),7.183449153339404e-05,2.0618340782305156,19.67225958422595,"['CNTNAP2', 'GSK3A', 'PRKAA1', 'KCNC1', 'DCTN1', 'SSNA1', 'LRRK2', 'PTPRO', 'DOCK7', 'ATP1A3', 'RNF6', 'GRM3', 'ALCAM', 'FXR2', 'GRM7', 'SCN11A', 'TUBB3', 'TMEM108', 'NEFM', 'EMB', 'KIF1A', 'NCDN', 'NEFH', 'NTRK1', 'NTRK2', 'TGFB2', 'SEMA6A', 'SYT1', 'INSR', 'CCK', 'OPRM1', 'L1CAM', 'CCSAP', 'OLFM1', 'NELL1', 'NFASC', 'PINK1', 'CDK5', 'RUFY3', 'NF1', 'CNTN4', 'ADGRL3', 'HCN1']",0.009027201102696518,0,0,43
4,Early Endosome (GO:0005769),0.00032095308622502963,1.769165487977369,14.23154860736758,"['WASHC4', 'CNTNAP2', 'ZFYVE9', 'WIPF3', 'SNX12', 'DYSF', 'WASHC2C', 'ZFYVE28', 'ZFYVE26', 'AP1G1', 'LAMP3', 'DNER', 'TOM1', 'TMEM108', 'ANKFY1', 'VPS35', 'SH3GL2', 'STX8', 'TBC1D2B', 'CLIP3', 'WDFY2', 'ATP6V0D1', 'PI4K2A', 'RAB5B', 'TSG101', 'VPS4A', 'LRP6', 'PRDX3', 'AP3M2', 'SNX4', 'RPS6KC1', 'MICALL1', 'MVB12B', 'VPS11', 'RAB11FIP5', 'NTRK1', 'NTRK2', 'F8A1', 'MON2', 'RAB4A', 'OSBPL6', 'MYO5A', 'PLEKHA3', 'SNX21', 'HPS6', 'IGF2R', 'NELL1', 'EHD3', 'ITCH', 'PIKFYVE', 'CLCN4', 'SNX17', 'PICALM']",0.024812841985508247,0,0,53
5,Calcium Channel Complex (GO:0034704),0.00032908278495369023,3.0611989299610896,24.5483701719263,"['CACNA2D3', 'CACNA1B', 'CACNA1A', 'CACNA1D', 'CACNA1C', 'CACNA1F', 'PKD1', 'CACNA1E', 'RYR3', 'PTPA', 'CACNA1I', 'CACNG7', 'CACNB3', 'SCN11A', 'MICU2', 'CALM1', 'SCN3A']",0.024812841985508247,0,0,17
6,trans-Golgi Network (GO:0005802),0.0006611827469931141,1.8079103006407098,13.236579624698413,"['PCSK2', 'CABP7', 'CLTC', 'AP4E1', 'BICD1', 'SCAMP5', 'RAB43', 'ARFRP1', 'GOLGA4', 'ATXN2', 'CCDC91', 'CNST', 'AP1G1', 'KIF13A', 'MICALL1', 'VTI1A', 'ARFIP2', 'VPS54', 'ARFIP1', 'ATP9B', 'CLASP2', 'ARFGEF1', 'CD74', 'ARFGEF2', 'RBFOX1', 'ATP8B4', 'COG7', 'RIC1', 'COG5', 'STX8', 'COG3', 'YIPF5', 'ATG9A', 'PLEKHA3', 'SCAMP3', 'IGF2R', 'KLHL20', 'CLIP3', 'YIPF7', 'RELCH', 'PHIP', 'TBC1D23', 'PI4K2A', 'CHST2']",0.04154431593606734,0,0,44
7,Endosome Membrane (GO:0010008),0.0008375681368851696,1.627845967503363,11.533301605020382,"['WASHC4', 'SLC48A1', 'TFRC', 'ZFYVE9', 'CLTC', 'SNX12', 'WASHC2C', 'ANTXR1', 'SCAMP5', 'ZFYVE28', 'LAPTM4A', 'PIP4P1', 'CHMP1B', 'KIF13A', 'TOM1', 'TMEM108', 'ANKFY1', 'VPS35', 'CTSD', 'VPS18', 'ATP6V0B', 'ATP6AP1', 'APLP2', 'ATG9A', 'ATP6AP2', 'VPS37A', 'SCAMP3', 'RNF144A', 'CLIP3', 'RNF167', 'ACAP2', 'ATP6V0D1', 'ATP6V0C', 'PI4K2A', 'RAB5B', 'TSG101', 'VPS4A', 'CLEC16A', 'LRP6', 'APH1A', 'SNX4', 'UBB', 'MICALL1', 'MVB12B', 'VPS11', 'VTI1A', 'RAB11FIP3', 'ATP6V0A1', 'NTRK1', 'MON2', 'RAB4A', 'OSBPL6', 'INSR', 'SNX21', 'IGF2R', 'EHD3', 'PIKFYVE', 'CLCN4', 'SNX17', 'RAB12']",0.045109026800815556,0,0,60
8,Neuron Projection (GO:0043005),0.0012116054076180614,1.472483881076051,9.888920523881362,"['CHRM3', 'CNTNAP2', 'GSK3A', 'CHRM1', 'KCNC1', 'LRRK2', 'PTPRO', 'DOCK7', 'MAST1', 'STMN4', 'GPHN', 'ARHGAP44', 'GRM3', 'ALCAM', 'CDH2', 'GRM7', 'SCN11A', 'TUBB3', 'PPP2R1A', 'DNER', 'CAPN2', 'TMEM108', 'RAC3', 'NEFM', 'EMB', 'KIF1A', 'ANKS1A', 'NEFH', 'RGS6', 'PACRG', 'SEMA6A', 'MAGI2', 'RPS6', 'NPY1R', 'OPRM1', 'CCSAP', 'ANK1', 'SSTR3', 'RNF40', 'OLFM1', 'RUFY3', 'ARHGEF7', 'PI4K2A', 'PRKN', 'SPTBN4', 'NLGN1', 'PRKAA1', 'RTN1', 'RGS14', 'DCTN1', 'AMIGO1', 'SSNA1', 'OPRL1', 'ATP1A3', 'RNF6', 'RTN4', 'PGRMC1', 'BRINP2', 'FXR2', 'UBB', 'NCDN', 'GABRD', 'MARK1', 'NTRK1', 'NTRK2', 'PRNP', 'TGFB2', 'SYT1', 'PLK2', 'INSR', 'BNIP3', 'MYO5A', 'SEPTIN3', 'CCK', 'L1CAM', 'GRIN2B', 'NELL1', 'NFASC', 'PINK1', 'RIT2', 'DLG2', 'CDK5', 'NF1', 'CNTN4', 'ADGRL3', 'HCN1']",0.051071724334033924,0,0,86
9,Golgi Membrane (GO:0000139),0.0012192188833058497,1.5497545444564689,10.398147676571297,"['CHPF', 'PITPNB', 'PKD1', 'SCAMP5', 'RAB43', 'C1GALT1C1', 'AP1G1', 'ARFIP1', 'MAN1A1', 'LARGE1', 'GOLGA7', 'ARMH3', 'SH3GL2', 'GALNT8', 'COG7', 'COG5', 'COG3', 'SLC35C1', 'ATG9A', 'ZDHHC17', 'DNM2', 'TPST1', 'CREB3', 'RER1', 'GORASP1', 'CHST1', 'KDELR2', 'PI4K2A', 'CHST2', 'ST6GALNAC6', 'NOTCH2', 'NAA60', 'RTN1', 'SGMS1', 'ZDHHC20', 'RAB1B', 'COPB1', 'GNAI3', 'FUT1', 'SCFD1', 'FUT8', 'MAN2A2', 'CHSY1', 'LMAN2', 'MGAT5', 'VTI1A', 'MAN1C1', 'CHSY3', 'RAB6B', 'ARFGEF1', 'GALNT7', 'CD74', 'ARFGEF2', 'SLC35A4', 'RIC1', 'SLC35A3', 'ABCA6', 'PTGES2', 'B3GAT3', 'GALNT1', 'PLEKHA3', 'ARCN1', 'EXT2', 'PIKFYVE', 'B4GAT1', 'KRAS', 'COPG1', 'COPE']",0.051071724334033924,0,0,68
10,Voltage-Gated Calcium Channel Complex (GO:0005891),0.0014044682424080395,3.117265372168285,20.474499852177654,"['CATSPER2', 'CACNA2D3', 'CACNA1B', 'CACNA1A', 'CACNA1D', 'CACNA1C', 'CACNA1F', 'CACNA1E', 'CACNA1I', 'CACNG7', 'CACNB3', 'SCN11A', 'SCN3A']",0.05294845273878309,0,0,13
