Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome biogenesis in eukaryotes,6.919346791477755e-05,3.212974752736299,30.775813120771556,"['RBM28', 'UTP6', 'CSNK2A1', 'NMD3', 'GNL2', 'UTP18', 'GTPBP4', 'RPP25L', 'RRP7A', 'RCL1', 'EMG1', 'TBL3', 'LSG1', 'XPO1', 'EIF6', 'NOB1', 'GAR1', 'UTP14A', 'RPP38']",0.014004501840957523,0,0,19
2,Herpes simplex virus 1 infection,9.305316837845531e-05,1.7285757595835116,16.045227095444492,"['ZNF132', 'ZNF45', 'CASP9', 'ZNF808', 'ZNF529', 'ZNF84', 'ZSCAN32', 'ZNF845', 'ZNF569', 'ZNF765', 'ZNF324', 'ZNF169', 'ZNF564', 'ZNF285', 'ZNF160', 'IFNGR2', 'HLA-C', 'TRAF2', 'ZNF14', 'ZNF317', 'ZNF557', 'ZNF875', 'ZNF780A', 'ZNF114', 'ZNF433', 'ZNF597', 'BIRC2', 'IRF9', 'ZNF596', 'ZNF671', 'ZNF324B', 'ZNF790', 'ZNF470', 'ZNF2', 'ZNF25', 'ZNF7', 'ZNF429', 'ZNF627', 'ZNF549', 'EIF4EBP1', 'ZNF667', 'ZNF623', 'ZNF347', 'ZNF589', 'ZNF585B', 'ZNF620', 'ZNF267', 'ZNF420', 'ZNF585A', 'ZNF286A', 'ZNF584', 'ZNF540', 'EIF2B4', 'ZNF460', 'ZNF140', 'ZNF184', 'EIF2AK1', 'EIF2AK2', 'PTPN11', 'EIF2S1', 'PML', 'ZNF337', 'ZNF578', 'ZNF610', 'ZNF334', 'NECTIN2', 'ZNF772']",0.014004501840957523,0,0,67
3,RNA transport,0.0022878398059405086,1.9309275087052864,11.740323529486208,"['EIF4A1', 'NMD3', 'PNN', 'XPO1', 'XPO5', 'EIF4EBP1', 'EIF4EBP2', 'NUP43', 'RPP38', 'EIF2B4', 'EIF5B', 'SEC13', 'UBE2I', 'PABPC5', 'PYM1', 'SENP2', 'EIF2S1', 'RPP25L', 'THOC7', 'SNUPN', 'DDX39B', 'CLNS1A', 'GEMIN5', 'GEMIN6', 'GEMIN8', 'EIF4E2', 'EIF3A', 'NUP37']",0.1905905425649727,0,0,28
4,Porphyrin and chlorophyll metabolism,0.0025327646852488068,4.8013730691215475,28.70473911372963,"['FECH', 'COX15', 'MMAB', 'BLVRB', 'HCCS', 'EARS2', 'HMOX2']",0.1905905425649727,0,0,7
5,RNA polymerase,0.005270814172744539,3.5672530446549393,18.7122771101272,"['POLR3A', 'POLR2A', 'POLR3C', 'POLR3D', 'POLR1C', 'POLR1D', 'POLR2F', 'POLR3H']",0.3173030131992212,0,0,8
6,Protein processing in endoplasmic reticulum,0.010213625552550653,1.7365671641791045,7.960480512908879,"['UBE2D4', 'RPN2', 'SAR1A', 'UBXN2A', 'RRBP1', 'UBE2J2', 'HSPBP1', 'GANAB', 'MAP2K7', 'SEC23B', 'SEC31A', 'MBTPS1', 'SEC13', 'EIF2AK1', 'EIF2AK2', 'TRAF2', 'UBE2G2', 'EIF2S1', 'RBX1', 'ERN1', 'NSFL1C', 'DAD1', 'DNAJC10', 'DNAJA2', 'STUB1', 'CRYAB']",0.5123835485529578,0,0,26
7,Tyrosine metabolism,0.013299951068814757,4.4534098582039165,19.238707976578063,"['GSTZ1', 'FAHD1', 'LRTOMT', 'GOT2', 'ADH5']",0.5718978959590345,0,0,5
8,Proteasome,0.022415898082880425,2.4314642703268294,9.234664428029728,"['PSMA3', 'PSMA4', 'PSMB2', 'PSMD4', 'PSMA1', 'PSMD13', 'PSMA2', 'PSMF1', 'PSMB8']",0.737664434623492,0,0,9
9,N-Glycan biosynthesis,0.022933964784101424,2.2864985060107013,8.631843484555578,"['ALG8', 'GANAB', 'RPN2', 'DAD1', 'SRD5A3', 'ALG14', 'MGAT3', 'ALG13', 'ALG3', 'ALG11']",0.737664434623492,0,0,10
10,Spinocerebellar ataxia,0.02615975003953693,1.6752133105802047,6.103695494270275,"['BECN1', 'BEAN1', 'TRPC3', 'PSMD13', 'ATP2A2', 'ATP2A1', 'TRAF2', 'WIPI1', 'OMA1', 'ERN1', 'AFG3L2', 'PSMA3', 'DAB1', 'PSMA4', 'RELN', 'PSMD4', 'PSMA1', 'PSMB2', 'PSMA2', 'ULK2', 'NRBF2']",0.737664434623492,0,0,21
11,Aminoacyl-tRNA biosynthesis,0.028996906124492846,2.969144144144144,10.512451221682317,"['AARS2', 'TARS2', 'IARS2', 'QRSL1', 'EARS2', 'PSTK']",0.737664434623492,0,0,6
12,One carbon pool by folate,0.0294085488886442,3.424920791564951,12.077879973042219,"['ATIC', 'MTHFD1', 'MTHFD2L', 'AMT', 'ALDH1L2']",0.737664434623492,0,0,5
13,Spliceosome,0.03755008921054624,1.6235892347761378,5.328748984460449,"['DDX5', 'SF3B2', 'HNRNPA3', 'SF3B3', 'DDX42', 'CDC5L', 'PLRG1', 'CHERP', 'EFTUD2', 'HNRNPM', 'PRPF6', 'HNRNPK', 'DDX39B', 'PPIE', 'PPIH', 'RP9', 'SNRPA1', 'HNRNPC', 'SF3B1', 'RBMX']",0.869428988644186,0,0,20
14,Cytosolic DNA-sensing pathway,0.0438327575894101,2.3983200707338637,7.50044347544813,"['POLR3A', 'POLR3C', 'POLR3D', 'POLR1C', 'POLR1D', 'POLR2F', 'POLR3H']",0.9424042881723171,0,0,7
15,Ubiquinone and other terpenoid-quinone biosynthesis,0.054506539955786346,4.448752528658125,12.943354468423436,"['COQ3', 'VKORC1L1', 'COQ5']",0.9999896987344626,0,0,3
16,Mannose type O-glycan biosynthesis,0.06460821304063435,2.6182627000834096,7.1725048140268886,"['B3GAT1', 'CHST10', 'RXYLT1', 'POMGNT1', 'FKTN']",0.9999896987344626,0,0,5
17,RNA degradation,0.06718228041481583,1.725259333829387,4.658796710663552,"['EXOSC7', 'CNOT7', 'CNOT1', 'EXOSC9', 'PABPC5', 'C1D', 'DHX36', 'WDR61', 'CNOT9', 'EXOSC1', 'HSPD1', 'MPHOSPH6']",0.9999896987344626,0,0,12
18,Other glycan degradation,0.07074555124192396,2.9664867296446245,7.857231426074078,"['MAN2B2', 'FUCA1', 'HEXB', 'FUCA2']",0.9999896987344626,0,0,4
19,Various types of N-glycan biosynthesis,0.08371682693027264,2.010730877445528,4.987246525526797,"['RPN2', 'DAD1', 'HEXB', 'ALG14', 'ALG13', 'ALG3', 'ALG11']",0.9999896987344626,0,0,7
20,Pyrimidine metabolism,0.08821104746425712,1.8749376825012463,4.552391946268504,"['NT5E', 'DUT', 'RRM1', 'UCK2', 'CTPS2', 'NME4', 'UMPS', 'DHODH']",0.9999896987344626,0,0,8
21,Propanoate metabolism,0.09835878951589663,2.0543139293139294,4.764227982600386,"['ALDH6A1', 'DBT', 'PCCB', 'ECHDC1', 'ACOX3', 'ACADS']",0.9999896987344626,0,0,6
22,Non-homologous end-joining,0.11382088346451322,2.965160710271971,6.443677511637384,"['DCLRE1C', 'PRKDC', 'XRCC5']",0.9999896987344626,0,0,3
23,Huntington disease,0.11835741336104831,1.2751941795300363,2.7213234278568397,"['BECN1', 'NDUFB8', 'HIP1', 'NDUFB6', 'PSMD13', 'CLTC', 'DNAH9', 'AP2A2', 'TUBB8', 'CASP9', 'PSMD4', 'PSMB2', 'POLR2A', 'POLR2F', 'NRBF2', 'NDUFV3', 'MAP2K7', 'NDUFA9', 'DNAH17', 'SDHC', 'TRAF2', 'WIPI1', 'TUBA4A', 'ERN1', 'PSMA3', 'PSMA4', 'PSMA1', 'PSMA2', 'NDUFAB1', 'ULK2', 'NDUFS1', 'UQCRC2', 'ACTR10']",0.9999896987344626,0,0,33
24,Folate biosynthesis,0.11865625107986104,2.3726495726495727,5.0573609608199,"['QDPR', 'GCH1', 'GGH', 'MOCS1']",0.9999896987344626,0,0,4
25,Hypertrophic cardiomyopathy,0.13586047714726682,1.5623068511386868,3.118562611586468,"['PRKAB2', 'TPM4', 'SGCB', 'TPM1', 'DAG1', 'ATP2A2', 'ATP2A1', 'IGF1', 'CACNG3', 'TTN']",0.9999896987344626,0,0,10
26,Sulfur metabolism,0.15258944694977003,3.556873315363881,6.686937189702221,"['ETHE1', 'BPNT1']",0.9999896987344626,0,0,2
