Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,ESR1 (human),5.9605133441908154e-05,1.4536267286239437,14.1405448189956,"['VKORC1L1', 'CRCP', 'PGAP2', 'UBXN2A', 'EHMT2', 'ZDHHC6', 'PVR', 'GNPTAB', 'CDH1', 'CDC26', 'DAG1', 'ZNF845', 'ZNF569', 'BSN', 'ZNF564', 'TMEM8B', 'HEMK1', 'NGDN', 'VPS33B', 'BOLA1', 'GTPBP6', 'ZFYVE21', 'LIG3', 'AARSD1', 'DHDDS', 'ERN1', 'NIF3L1', 'DDX39B', 'CCNE2', 'TMEM138', 'ETHE1', 'TRIB3', 'LETMD1', 'ZNF433', 'GCDH', 'AARS2', 'NLRX1', 'TMED10', 'MEAF6', 'FBF1', 'C1ORF56', 'MTMR9', 'RPAP1', 'PLA2G6', 'ACTR3B', 'PPL', 'HSPBP1', 'ZBTB3', 'SULT1A1', 'EMG1', 'LARP1', 'PRPSAP2', 'DHX33', 'SMYD2', 'CHST15', 'MOV10L1', 'ZNF667', 'RAB6A', 'DECR2', 'MAP2K7', 'HMOX2', 'ATP6V1C2', 'SLC35E1', 'NEK6', 'GOT2', 'WDR53', 'COPS4', 'SMU1', 'SETX', 'HNRNPM', 'TBL3', 'CNOT7', 'TFCP2', 'CABYR', 'BFSP1', 'ARPC2', 'EIF6', 'ATG16L1', 'NMT1', 'GRB2', 'HNRNPC', 'SAE1', 'CUTC', 'COPE', 'SLC35F2', 'ZFAND2A', 'SLC2A3', 'MAGT1', 'WDR45', 'VSIG10', 'ZNF529', 'ENOSF1', 'ENSA', 'NOS1', 'UTP14A', 'BTN3A1', 'CXORF56', 'DUSP1', 'SH2D3C', 'AKR1A1', 'AMT', 'DDX51', 'SIRT6', 'QRSL1', 'TERF2', 'COMMD7', 'SLC25A19', 'EXOC3', 'SNRPA1', 'ZNF596', 'ENG', 'CDC123', 'GALT', 'RNF8', 'C15ORF40', 'SLC3A1', 'TXLNG', 'HSPD1', 'TM9SF3', 'CAMKK2', 'SLC25A26', 'OGFRL1', 'RBBP4', 'PSMB2', 'ZNF629', 'PHKG2', 'MGAT3', 'SLC25A23', 'ZNF585B', 'SEC23B', 'DTD1', 'EXOSC1', 'SH2B1', 'NDUFA9', 'MPP2', 'HIPK4', 'RRM1', 'DUT', 'PTCD2', 'RPA2', 'CFLAR', 'POLR3A', 'ZNF70', 'VPS41', 'NDUFAB1', 'TCEA1', 'FOSB', 'POLR3H', 'RBMX']",0.018775617034201067,0,0,149
2,ATF4 (human),0.001999348916523654,1.333828849349903,8.289657856734319,"['GALNT11', 'PGAP2', 'PWWP2B', 'ZFAND5', 'SYAP1', 'PARK7', 'TM7SF3', 'ZFYVE27', 'ZMIZ1', 'CDC26', 'ZNF845', 'BSN', 'TSPYL2', 'C11ORF87', 'TMEM170A', 'RNF41', 'NIF3L1', 'ZNF839', 'ZNF317', 'YME1L1', 'UBE2V1', 'OBSL1', 'LIPT1', 'FKBP2', 'MEAF6', 'STXBP3', 'PEX11B', 'PLA2G6', 'DDX60', 'ACTR3B', 'PRKCZ', 'SYNGR1', 'DHX36', 'MOV10L1', 'TBC1D14', 'ST3GAL5', 'MYH11', 'RAB6A', 'SNX5', 'SLC38A4', 'JAG1', 'IGF1', 'UBAC1', 'IFT20', 'AIMP2', 'NR4A1', 'ID2', 'MAFF', 'NMU', 'GNB4', 'NIT1', 'COPE', 'ZNF772', 'FLT1', 'DDX49', 'PPP1R10', 'ZC3H4', 'PRR3', 'DDX42', 'NKAP', 'ATP2A2', 'CELF6', 'UFSP2', 'WDR45', 'ZCCHC17', 'ELAVL1', 'LETM2', 'TMEM187', 'CASP9', 'SDF2', 'TRIM66', 'YWHAH', 'ZNF121', 'CDADC1', 'DUSP1', 'IFNGR2', 'ACAD9', 'DDX51', 'WIPI1', 'FOS', 'JOSD1', 'GPCPD1', 'ZDHHC16', 'SENP2', 'COMMD7', 'RENBP', 'FAHD2A', 'BET1L', 'RAP2B', 'SLC25A19', 'THRAP3', 'CLDN12', 'ZNF239', 'PTRH1', 'ETF1', 'RP9', 'ACOX3', 'CRK', 'BIRC2', 'RBKS', 'VPS4B', 'TTN', 'MTHFSD', 'KCTD20', 'DNAJB6', 'FAM177A1', 'UBN1', 'TWISTNB', 'CDC37L1', 'ANKRD53', 'RBBP8', 'ZNF589', 'SUSD5', 'SIAE', 'RRM1', 'PTCD1', 'ZNF460', 'TAF12', 'CDC5L', 'TTC1', 'PNMA3', 'SEMA4F', 'TTC9C', 'CFLAR', 'DHODH', 'GALC', 'PDP1', 'SLC25A37', 'NAGK', 'DNAJA2', 'KLF9', 'OCIAD1', 'PNPLA4', 'FOSB', 'ZNF610', 'ZNF334', 'FAM50A']",0.3148974543524755,0,0,137
3,NFYB (mouse),0.0056174546399425426,1.3537511310883168,7.014971347281656,"['TDRKH', 'TMEM183A', 'MRPS16', 'DGKA', 'CETN3', 'STMN2', 'ZDHHC5', 'MRPL38', 'MED19', 'NRL', 'HNRNPR', 'YEATS4', 'GXYLT2', 'DDX41', 'MAGT1', 'ZCCHC17', 'WDR89', 'PWP1', 'MECP2', 'RUVBL2', 'ENSA', 'MMP28', 'NUSAP1', 'DACT3', 'HMG20A', 'BBS4', 'TSPYL2', 'TYW3', 'ANGEL1', 'GOLPH3L', 'VWA5A', 'ZFYVE21', 'ALG13', 'PPP2R5D', 'ZDHHC16', 'COMMD6', 'KCTD7', 'ALDH3A2', 'VMAC', 'ARMCX4', 'MSH2', 'TEX9', 'MORF4L2', 'LANCL2', 'TUT1', 'TARS2', 'ITGB1BP1', 'SF3B2', 'RAB5B', 'GALT', 'RNF34', 'TOMM40', 'RPN2', 'PRKDC', 'MTMR9', 'DDX60', 'RPAP1', 'ZBTB3', 'TTN', 'PRPSAP2', 'ASTE1', 'STK35', 'BLOC1S1', 'RBBP8', 'ST3GAL5', 'TASP1', 'MOV10L1', 'UTP20', 'CCT8', 'DECR2', 'UBE2I', 'RAB4B', 'MMAB', 'FUCA1', 'RHBDD1', 'EIF2AK2', 'KLHL23', 'PNMA3', 'TTC9C', 'PNRC1', 'COPS3', 'MARCKS', 'TMEM17', 'MORN4', 'DLG3', 'CNOT1', 'LPCAT3', 'CYP20A1', 'KLF9', 'ECHDC1', 'HNRNPC', 'SLC28A2', 'CENPQ', 'MRAP2', 'TMEM229B']",0.3431534634287474,0,0,95
4,NR1I2 (human),0.00620827650089533,1.3058845957748664,6.636338307188511,"['VKORC1L1', 'PGAP2', 'UBE2D4', 'ANKRD35', 'UBXN2A', 'FBXO27', 'THUMPD3', 'NRL', 'ZFAND1', 'RASSF1', 'ZNF329', 'CLCC1', 'ZNF324', 'LZTS1', 'RPP38', 'TMEM8B', 'ZNF160', 'VPS33B', 'ECH1', 'HUS1', 'TRAFD1', 'SDHC', 'CSNK1E', 'GTPBP4', 'RBX1', 'DYNC1LI2', 'NIF3L1', 'DDX39B', 'DMWD', 'PPIE', 'SERPING1', 'TARS2', 'UBE2V1', 'ARL9', 'GCDH', 'SAR1A', 'SLC1A1', 'TRANK1', 'GLT8D2', 'PLA2G6', 'RPAP1', 'ZBTB3', 'PGS1', 'RRP7A', 'DSN1', 'PRPSAP2', 'EPB41L1', 'PTPMT1', 'PSMF1', 'C16ORF58', 'HMOX2', 'NUS1', 'ACBD4', 'FUCA1', 'EIF2AK1', 'EIF2AK2', 'PARVB', 'AIMP2', 'HNRNPM', 'COPS3', 'COQ3', 'TMEM234', 'PTPRA', 'DNAJC10', 'GNB4', 'GRB2', 'NIT1', 'WDR47', 'C17ORF75', 'ZC3H4', 'NCAN', 'HEXB', 'NKAP', 'CELF6', 'MAGT1', 'WDR45', 'USE1', 'VSIG10', 'MRPL33', 'TMEM221', 'ATIC', 'ZNF529', 'ENOSF1', 'TCP11L1', 'NANS', 'SEC13', 'SH2D3C', 'AKR1A1', 'AMT', 'TMC7', 'PLRG1', 'TERF1', 'COMMD7', 'POMGNT1', 'SLC25A19', 'THRAP3', 'ZNF239', 'CRK', 'NAPA', 'CEBPD', 'VPS4B', 'RNF8', 'TXLNG', 'SLC3A1', 'MLLT1', 'RBFA', 'ZNF629', 'RBBP4', 'ZNF347', 'SH2B1', 'LMLN', 'HIPK4', 'UTP3', 'AP3D1', 'RPA2', 'SYNJ2BP', 'POLR3A', 'RLIM', 'CLUAP1']",0.3431534634287474,0,0,119
5,SRF (human),0.006287553530393196,1.2037621872632647,6.102091092357105,"['TDRKH', 'EIF4A1', 'JRK', 'TMEM183A', 'PGAP3', 'EHMT2', 'ZDHHC5', 'PPAN', 'GCC2', 'ICAM5', 'IFIT1', 'PALM2-AKAP2', 'ZFYVE27', 'GOLGA5', 'TRIM25', 'BVES', 'JUNB', 'EIF2A', 'TMEM8B', 'TSPYL2', 'ALG8', 'GIN1', 'NGDN', 'GOLPH3L', 'DNTTIP1', 'GTPBP6', 'HLA-C', 'ZFYVE21', 'AARSD1', 'GTPBP4', 'MED6', 'ZNF16', 'DHX40', 'NIF3L1', 'ARC', 'DDX39B', 'MTHFD2L', 'ACOT2', 'TCEANC2', 'SERPING1', 'ALPK3', 'UQCRC2', 'ANKRA2', 'LIPT1', 'MEAF6', 'ANP32A', 'RPN2', 'NMD3', 'ABCB8', 'PRKCZ', 'SKA2', 'DGUOK', 'SYNGR1', 'RDH11', 'ERI3', 'CHST10', 'FAM192A', 'RSU1', 'PROM1', 'ZNF267', 'SEC31A', 'EGR1', 'ZNF142', 'TMEM184C', 'AFAP1L2', 'HOMER1', 'RAB27A', 'HNRNPC', 'CENPBD1', 'C19ORF44', 'MRAP2', 'LIN54', 'GFM1', 'ZNF131', 'FKBP14', 'CETN3', 'CLTC', 'LPCAT1', 'MRPL38', 'TMEM186', 'TCTN3', 'RARS', 'ENSA', 'XPO5', 'ANXA7', 'CCHCR1', 'ZNF121', 'CACYBP', 'PDCD1LG2', 'FOS', 'COMMD6', 'KIF7', 'COMMD5', 'ZDHHC15', 'KIN', 'C12ORF45', 'PSMA3', 'RAP2B', 'CCKBR', 'PSMA2', 'CLDN12', 'SGK3', 'MPND', 'ZNF597', 'ZNF596', 'GAS7', 'TAGLN', 'TOMM40', 'ICA1L', 'IFI6', 'PTN', 'TM9SF3', 'PCNP', 'PSMB2', 'CREG1', 'ZNF589', 'SIAE', 'ZNF584', 'MPP2', 'GCH1', 'MGMT', 'MTX3', 'GINS3', 'CRIPT', 'TTC9C', 'PDP1', 'RABIF', 'XK', 'MORN4', 'FOSB', 'ACTR10', 'ZNF574', 'DGKG', 'HDDC2', 'GALNT11', 'PUS10', 'TXNL4B', 'YEATS4', 'ZFAND1', 'HNMT', 'FGF1', 'TMEM140', 'TM7SF3', 'UBE2Z', 'FNTA', 'POFUT1', 'ZNF84', 'CAPN5', 'RPP38', 'PUS3', 'SLC30A9', 'ANKRD46', 'TPM4', 'CTNNBIP1', 'MR1', 'RNF41', 'VMAC', 'MORF4L2', 'PPIH', 'UBE2V1', 'RAB5B', 'DDX5', 'ZNF790', 'CCDC149', 'DDX1', 'SLC38A10', 'SLC1A4', 'SBNO2', 'ORC6', 'ORC3', 'TCTEX1D2', 'UTP20', 'SUDS3', 'C16ORF58', 'KLHDC10', 'AP1M1', 'ZNF540', 'TRAPPC3', 'DR1', 'ACBD4', 'RAB4B', 'PDHA1', 'SRD5A3', 'CHERP', 'GNAO1', 'BCL9', 'COQ3', 'TMEM234', 'DLG3', 'CNOT1', 'MAFF', 'PI4KB', 'ZSCAN1', 'MUS81', 'LGALS3BP', 'RNF10', 'MAFIP', 'PODXL2', 'PRR3', 'MCM9', 'RMND1', 'ZC3H8', 'ATP2A2', 'ETFB', 'SGCB', 'PDE4B', 'NOS1', 'TRIM65', 'PAAF1', 'PSTK', 'CDADC1', 'H2AFY', 'CXORF56', 'RBM18', 'AMT', 'ARAP3', 'PPP2R5D', 'PLRG1', 'TCTE3', 'REXO4', 'DNAJC7', 'FAM153B', 'ACOX3', 'SFT2D1', 'RBKS', 'BIRC2', 'RGS17', 'RALB', 'NDUFB6', 'RRBP1', 'MTIF3', 'BPHL', 'DLL1', 'TTN', 'SLC25A26', 'DNAJB6', 'NUP43', 'ZNF623', 'CACNG3', 'SEC23B', 'ZNF286A', 'PTCD3', 'MBTPS1', 'DUT', 'FAHD1', 'SGTB', 'USP20', 'MMAB', 'CDC5L', 'PTPN14', 'PML', 'GALC', 'MARCKS', 'TNIP1', 'XPNPEP1', 'NEURL2', 'KLF9', 'RUNDC1', 'ESF1', 'PTPN5', 'RBMX', 'NUP37']",0.3431534634287474,0,0,262
6,CPEB1 (mouse),0.007811708400909657,1.336324554258304,6.484022589203062,"['TDRKH', 'TMEM183A', 'MRPS16', 'DGKA', 'CETN3', 'STMN2', 'ZDHHC5', 'MRPL38', 'MED19', 'NRL', 'HNRNPR', 'YEATS4', 'GXYLT2', 'DDX41', 'MAGT1', 'ZCCHC17', 'WDR89', 'PWP1', 'MECP2', 'RUVBL2', 'ENSA', 'MMP28', 'NUSAP1', 'DACT3', 'HMG20A', 'BBS4', 'TSPYL2', 'TYW3', 'ANGEL1', 'GOLPH3L', 'VWA5A', 'ZFYVE21', 'ALG13', 'PPP2R5D', 'ZDHHC16', 'COMMD6', 'KCTD7', 'VMAC', 'ARMCX4', 'MSH2', 'TEX9', 'MORF4L2', 'LANCL2', 'TUT1', 'TARS2', 'ITGB1BP1', 'SF3B2', 'RAB5B', 'GALT', 'RNF34', 'TOMM40', 'RPN2', 'PRKDC', 'MTMR9', 'DDX60', 'RPAP1', 'ZBTB3', 'TTN', 'PRPSAP2', 'ASTE1', 'STK35', 'BLOC1S1', 'RBBP8', 'ST3GAL5', 'TASP1', 'MOV10L1', 'UTP20', 'CCT8', 'DECR2', 'UBE2I', 'RAB4B', 'MMAB', 'FUCA1', 'RHBDD1', 'EIF2AK2', 'KLHL23', 'PNMA3', 'TTC9C', 'PNRC1', 'COPS3', 'MARCKS', 'TMEM17', 'MORN4', 'DLG3', 'CNOT1', 'LPCAT3', 'CYP20A1', 'KLF9', 'ECHDC1', 'HNRNPC', 'SLC28A2', 'CENPQ', 'MRAP2', 'TMEM229B']",0.3431534634287474,0,0,94
7,CREB1 (human),0.008047334136449218,1.2138957780388404,5.853908486877909,"['C5ORF22', 'PGAP2', 'PWWP2B', 'THUMPD3', 'PWP1', 'EDNRA', 'ZFYVE27', 'GOLGA5', 'ZMIZ1', 'CDC26', 'ZNF845', 'BVES', 'JUNB', 'EARS2', 'CXADR', 'MAP1S', 'ZNF160', 'NGDN', 'HUS1', 'TMEM170A', 'NIF3L1', 'ARC', 'ZNF839', 'TFR2', 'RRAGD', 'YME1L1', 'RIN2', 'TELO2', 'SLBP', 'SLC22A6', 'SAR1A', 'PEX11B', 'MYNN', 'COPS7B', 'WDR61', 'LIAS', 'RPAP1', 'PRKCZ', 'PGS1', 'DGUOK', 'ACTR3C', 'DSN1', 'PRPSAP2', 'ST3GAL5', 'MOV10L1', 'RDH14', 'ARSF', 'PROM1', 'RALGDS', 'ATP6V1C2', 'EGR1', 'EIF2AK1', 'IGF1', 'SETX', 'AIMP2', 'TBL3', 'ECHDC2', 'RAD17', 'SFXN1', 'HNRNPC', 'PSMG2', 'CALM2', 'MRAP2', 'PPP1R10', 'TCF25', 'MAGT1', 'WDR45', 'LETM2', 'MECP2', 'ATIC', 'ENSA', 'NANS', 'DFFA', 'DUSP1', 'IFNGR2', 'ACAD9', 'SIRT6', 'PDCD1LG2', 'FOS', 'JOSD1', 'MED26', 'KIN', 'CEACAM1', 'PSMA4', 'FAM20C', 'PTRH1', 'GAS7', 'RNF165', 'ZNF232', 'RBFA', 'TMEM68', 'UBN1', 'ANKRD53', 'ZNF347', 'METTL8', 'MBD4', 'SLC16A1', 'EGLN2', 'ZNF460', 'GABRA6', 'MTX3', 'GINS3', 'AP3D1', 'TTC1', 'TTC9C', 'SULF2', 'AGBL5', 'RABIF', 'TCEA1', 'FOSB', 'CENPQ', 'ZNF574', 'CARS', 'GALNT11', 'ZNF691', 'ZFAND5', 'NRL', 'PARK7', 'HNMT', 'TTF1', 'EFTUD2', 'FNTA', 'KCTD7', 'MORF4L2', 'ZNF317', 'UBE2V1', 'FKBP2', 'DDX5', 'NDRG3', 'C1ORF109', 'ZNF429', 'TBC1D14', 'RNF170', 'RAB6A', 'EIF2B4', 'CPSF3', 'DNAJC16', 'IFT20', 'COQ3', 'NR4A1', 'COPS3', 'TMEM234', 'DAB1', 'TFCP2', 'ZFP62', 'JMY', 'PXMP4', 'NIT1', 'MUS81', 'EIF4E3', 'FLT1', 'ZC3H4', 'PRR3', 'RASGRF1', 'DDX42', 'ATP2A2', 'UFSP2', 'ETFB', 'DUSP16', 'ELAVL1', 'CASP9', 'SENP8', 'BCL7C', 'NOS1', 'TRIM66', 'CDADC1', 'AMT', 'TRAF2', 'DDX51', 'SENP2', 'GPCPD1', 'BET1L', 'DALRD3', 'THRAP3', 'DAD1', 'SLC25A19', 'BLVRB', 'ITGB1BP1', 'ETF1', 'ACOX3', 'HAGH', 'CRK', 'RBKS', 'BIRC2', 'DDX28', 'GALT', 'GOSR2', 'ASB13', 'C15ORF40', 'CRMP1', 'DNAH9', 'FOXRED1', 'AP3M1', 'DNAJB6', 'POLR2A', 'ZNF865', 'ZNF620', 'CACNG3', 'SEC23B', 'SH2B1', 'HNRNPA3', 'SLC35A4', 'KCNIP2', 'KCNJ12', 'CDC5L', 'ATP2B3', 'CFLAR', 'GSTZ1', 'GALC', 'SLC25A37', 'DNAJA4', 'DNAJA2', 'OCIAD1', 'ESF1', 'PDCD2', 'ZNF610', 'EIF3A']",0.3431534634287474,0,0,217
8,IRF2 (human),0.009380792648130359,1.2929674463200789,6.036982686907237,"['VKORC1L1', 'TMEM183A', 'EHMT2', 'PITPNB', 'ZDHHC6', 'GPR61', 'HNRNPR', 'HNMT', 'TTF1', 'RPH3A', 'ALKBH2', 'ZNF287', 'ZNF285', 'CSNK2A1', 'TPM1', 'GTPBP6', 'BOLA1', 'AP1B1', 'HLA-C', 'CSNK1E', 'DHX40', 'NIF3L1', 'DDX39B', 'TEX9', 'DMWD', 'MTHFD2L', 'SLC27A2', 'GCDH', 'COX15', 'SLC1A1', 'CUL2', 'MTMR9', 'WDR61', 'PLA2G6', 'DYNC2LI1', 'DSN1', 'MOV10L1', 'BRIX1', 'UTP20', 'MYH11', 'SNX5', 'HMOX2', 'SEC31A', 'DARS', 'ATP8B4', 'UBE2I', 'XRCC5', 'DNAJC16', 'QDPR', 'UCK2', 'CPEB1', 'BFSP1', 'DLG3', 'CUTC', 'RNF10', 'LRRC39', 'RMND1', 'MRPL38', 'UFSP2', 'ZNF45', 'PCSK5', 'LETM2', 'MECP2', 'GYS2', 'CASP9', 'NUDCD2', 'ZNF529', 'DACT3', 'NOS1', 'UTP14A', 'PAAF1', 'CHST7', 'TIGD7', 'TRPC3', 'CXORF56', 'RBM18', 'SH2D3C', 'ZDHHC16', 'COMMD7', 'TERF2', 'COMMD5', 'WDR33', 'PSMA3', 'LSG1', 'PSMA4', 'POC5', 'PSMA2', 'ZNF239', 'ETF1', 'SGK3', 'MOCS1', 'NAPA', 'NDUFB8', 'WNT8A', 'ZNF518A', 'ZNF2', 'DBF4B', 'SAMHD1', 'SLC25A26', 'PPP2CB', 'PSMB2', 'KCTD20', 'IARS2', 'VHL', 'HEATR6', 'SEC23B', 'NDUFA9', 'SLC16A1', 'GCH1', 'UTP3', 'PNRC1', 'KLF9', 'CENPQ']",0.3431534634287474,0,0,113
9,REL (human),0.009804384669392784,1.5896993375233566,7.35224112763506,"['SCARB2', 'FKBP2', 'MRPS35', 'EHMT2', 'WBP4', 'IFI6', 'ABCB8', 'IFIT1', 'LETM2', 'LOXL2', 'SULT1A1', 'OGFRL1', 'SLC25A26', 'GANAB', 'PPP2R3C', 'CREG1', 'PDE4B', 'BVES', 'RRM1', 'ZNF460', 'PARP1', 'BTN2A1', 'ACAD9', 'GTPBP6', 'RAB27A', 'EIF2AK2', 'RHOA', 'AGBL5', 'RAP2B', 'DDX39B', 'TBC1D20', 'PTPRA', 'DRG1', 'STUB1', 'CLUAP1', 'ZSCAN1']",0.3431534634287474,0,0,36
10,PLAU (human),0.0142658551853138,1.2533257179212818,5.326491855952861,"['GALNT11', 'PGAP2', 'PWWP2B', 'ZFAND5', 'SYAP1', 'TTF1', 'ZFYVE27', 'ZMIZ1', 'ZNF845', 'SAMD10', 'EARS2', 'EIF2A', 'TSPYL2', 'C11ORF87', 'AARSD1', 'UNC13D', 'KCTD7', 'NIF3L1', 'ZNF839', 'MORF4L2', 'ZNF317', 'YME1L1', 'UBE2V1', 'GEMIN8', 'ANKRA2', 'OBSL1', 'SLBP', 'DDX5', 'STXBP3', 'ZNF25', 'ACTR3B', 'PRKCZ', 'SYNGR1', 'DHX36', 'ERI3', 'MOV10L1', 'TBC1D14', 'ST3GAL5', 'RNF170', 'NDUFV3', 'RAB6A', 'RALGDS', 'SNX5', 'EGR1', 'EGR3', 'HOMER1', 'GOT2', 'UBAC1', 'IFT20', 'AIMP2', 'COPS3', 'NR4A1', 'ALDH6A1', 'MAFF', 'GNB4', 'PSMG2', 'ANP32B', 'CALM2', 'COPE', 'ZNF772', 'FLT1', 'DDX49', 'EIF4E3', 'PPP1R10', 'ZC3H4', 'PRR3', 'CLTC', 'DDX42', 'NKAP', 'ATP2A2', 'CELF6', 'ZCCHC17', 'ELAVL1', 'LETM2', 'TMEM187', 'CASP9', 'SYNCRIP', 'ENSA', 'SDF2', 'TRIM66', 'BRD3', 'CDADC1', 'DUSP1', 'DDX51', 'FOS', 'JOSD1', 'SSTR2', 'GPCPD1', 'SENP2', 'FAHD2A', 'BET1L', 'PSMA3', 'ZNF239', 'PTRH1', 'RP9', 'SGK3', 'ACOX3', 'HAGH', 'CRK', 'BIRC2', 'RBKS', 'PAFAH1B1', 'FOXRED1', 'MTHFSD', 'KCTD20', 'DNAJB6', 'FAM177A1', 'UBN1', 'MBD4', 'ZNF460', 'MTX3', 'CDC5L', 'TTC1', 'ELP2', 'PNMA3', 'GALC', 'PDP1', 'SLC25A37', 'CYP20A1', 'DNAJA2', 'OCIAD1', 'PNPLA4', 'FOSB', 'ZNF610', 'CENPQ', 'SPG21', 'FAM50A']",0.4281298273340515,0,0,127
